AB,Pos,SF,RBI,Team,AVG,SO
356,OF,1,33,CWS,0.264,99
61,C,1,7,TB,0.344,12
383,OF,5,25,SF,0.264,66
217,OF,1,25,SF,0.221,65
382,3B,5,46,TB,0.275,83
44,OF,0,3,STL,0.182,9
112,C,0,11,SF,0.241,35
331,SS,3,25,ARI,0.23,95
279,OF,3,67,MIA,0.265,95
248,SS,0,20,MIN,0.218,66
356,SS,2,43,NYM,0.25,51
199,C,3,17,NYM,0.236,47
285,OF,1,19,CLE,0.246,75
78,SS,0,4,KC,0.244,12
384,SS,1,23,OAK,0.245,91
147,OF,1,21,TOR,0.279,36
374,OF,2,51,BAL,0.289,59
308,OF,0,34,TB,0.214,122
302,SS,2,26,ARI,0.232,57
31,OF,0,3,TOR,0.194,10
363,2B,3,47,TB,0.281,69
43,C,0,5,CHC,0.163,12
56,OF,0,1,CIN,0.125,21
20,SS,0,4,TOR,0.35,3
146,1B,2,15,PHI,0.24,36
33,SS,0,0,DET,0.061,11
364,3B,3,52,STL,0.261,81
389,1B,1,66,LAA,0.257,49
124,C,1,8,CIN,0.25,20
329,OF,1,19,OAK,0.295,49
174,OF,0,11,COL,0.276,37
68,SS,0,1,MIL,0.221,14
74,2B,0,3,CWS,0.27,17
28,3B,0,6,DET,0.25,8
71,C,1,5,ARI,0.197,28
162,3B,1,29,TOR,0.296,40
372,OF,2,49,NYY,0.288,85
32,C,0,6,CLE,0.156,7
288,SS,2,34,TOR,0.285,38
66,SS,1,4,NYY,0.212,14
297,1B,3,56,TEX,0.286,73
64,OF,0,8,MIN,0.156,21
318,OF,3,27,ARI,0.289,37
299,SS,0,27,CHC,0.237,92
218,2B,1,23,SD,0.239,62
233,OF,3,21,NYY,0.283,39
143,OF,1,22,WAS,0.21,31
49,OF,0,5,WAS,0.184,11
27,DH,0,3,CLE,0.148,12
98,OF,0,6,MIL,0.296,30
39,OF,0,8,HOU,0.256,17
86,SS,1,7,CWS,0.244,21
98,C,2,10,NYY,0.286,26
15,OF,0,1,HOU,0.267,3
383,SS,2,34,WAS,0.217,122
364,2B,3,47,ATL,0.25,80
11,C,0,2,TEX,0.182,1
317,3B,3,43,LAA,0.24,79
346,3B,6,61,NYY,0.277,89
148,OF,0,19,SD,0.277,31
403,2B,3,48,HOU,0.298,42
404,OF,5,58,SD,0.257,100
190,1B,2,19,LAA,0.258,42
319,OF,0,26,MIA,0.27,75
15,C,0,2,MIN,0.2,8
377,1B,5,61,CHC,0.286,59
365,OF,5,57,SD,0.247,109
271,1B,2,24,SD,0.28,39
255,3B,4,29,SD,0.212,60
28,2B,0,3,SF,0.143,7
151,3B,0,17,ATL,0.285,37
60,OF,2,6,TEX,0.133,20
177,2B,3,11,SD,0.254,44
109,2B,0,7,TEX,0.22,28
58,OF,0,5,CHC,0.224,20
360,OF,3,35,STL,0.289,65
20,SS,1,3,COL,0.2,4
42,SS,1,5,NYY,0.167,16
146,OF,0,18,COL,0.315,35
146,3B,1,11,ATL,0.24,44
39,SS,0,7,NYY,0.308,7
41,3B,0,3,TOR,0.268,9
