Age,Tm,PO,Name,G,RsbP,DP,GS,CG,RF/9
26,NYY,1,Chad Gaudin,11,1,1,6,0,2.36
22,BAL,0,Brian Matusz,8,-1,0,8,0,1.01
29,DET,0,Brandon Lyon,65,0,2,0,0,2.97
33,LAA,0,Scot Shields,20,0,2,0,0,2.55
38,TOT,0,Ron Mahay,57,0,0,0,0,1.61
29,OAK,0,Kevin Cameron,11,0,0,0,0,0.98
33,LAA,1,Brian Fuentes,65,1,0,0,0,1.15
27,LAA,0,Dustin Moseley,3,0,0,3,0,3.07
26,BOS,0,Enrique Gonzalez,2,0,0,0,0,4.91
25,CLE,0,Scott Lewis,1,0,0,1,0,0.00
36,TBR,0,Jason Isringhausen,9,0,0,0,0,0.00
28,TBR,0,Lance Cormier,53,0,1,0,0,2.91
26,TOR,0,Josh Roenicke,13,-1,0,0,0,1.02
28,NYY,0,Edwar Ramirez,20,0,0,0,0,1.23
27,KCR,0,Dusty Hughes,8,1,0,1,0,1.93
26,NYY,1,Jonathan Albaladejo,32,0,0,0,0,2.10
32,CHW,0,Freddy Garcia,9,-1,1,9,0,1.61
28,NYY,0,Sergio Mitre,12,0,1,9,0,2.61
23,SEA,1,Luke French,8,1,1,7,0,0.71
26,TEX,0,Doug Mathis,24,0,1,2,0,2.32
34,MIN,1,R.A. Dickey,35,0,0,1,0,1.96
33,CLE,0,Tomo Ohka,18,0,1,6,0,2.03
23,CLE,0,Chris Perez,32,-1,0,0,0,0.27
26,TBR,1,J.P. Howell,69,0,0,0,0,1.48
28,TOT,0,Jose Veras,47,0,0,0,0,1.61
25,LAA,0,Jose Arredondo,43,0,0,0,0,1.60
27,NYY,0,Brian Bruney,44,0,0,0,0,0.69
36,OAK,0,Brett Tomko,6,0,1,6,1,0.49
32,CLE,0,Winston Abreu,3,0,0,0,0,3.86
24,KCR,0,Carlos Rosa,7,0,0,0,0,0.00
39,BOS,0,Takashi Saito,56,-1,1,0,0,1.62
30,KCR,0,Juan Cruz,46,1,1,0,0,1.07
24,SEA,0,Brandon Morrow,26,0,1,10,0,1.55
24,NYY,0,Mark Melancon,13,0,0,0,0,2.76
24,MIN,0,Jeff Manship,11,-1,0,5,0,1.42
30,MIN,0,Matt Guerrier,79,0,1,0,0,2.36
25,KCR,1,Zack Greinke,33,3,4,33,6,1.81
42,BOS,0,Tim Wakefield,21,-3,1,21,2,1.46
30,BOS,0,Nick Green,1,0,0,0,0,9.00
23,TEX,1,Matt Harrison,11,1,2,11,2,2.27
33,TOR,0,Scott Downs,48,0,1,0,0,2.51
23,TOR,2,Marc Rzepczynski,11,0,2,11,0,1.76
29,SEA,0,Roy Corcoran,16,0,1,0,0,0.95
37,CHW,0,Jose Contreras,21,-2,1,21,0,1.49
28,OAK,0,Santiago Casilla,46,0,1,0,0,1.30
28,CLE,0,Jose Veras,22,0,0,0,0,1.82
26,BAL,0,Radhames Liz,2,0,0,0,0,0.00
35,KCR,0,John Bale,43,-1,1,0,0,2.54
24,DET,0,Joel Zumaya,29,0,0,0,0,1.16
27,DET,0,Dontrelle Willis,7,-1,1,7,0,2.94
28,BAL,0,Sean Henn,6,0,0,0,0,0.00
25,TEX,0,Brandon McCarthy,17,0,1,17,1,1.57
26,SEA,0,Mark Lowe,75,0,0,0,0,0.90
36,TOT,0,Brett Tomko,21,0,1,6,1,0.78
34,SEA,0,Jarrod Washburn,20,1,0,20,1,1.15
22,BOS,0,Michael Bowden,8,0,0,1,0,1.12
32,TOT,0,Winston Abreu,5,0,0,0,0,1.50
23,SEA,1,Felix Hernandez,34,-1,3,34,2,2.00
25,SEA,0,Shawn Kelley,41,0,0,0,0,0.78
33,BAL,1,Alberto Castillo,20,1,0,0,0,3.75
28,LAA,2,Joe Saunders,31,0,3,31,1,1.50
23,CLE,0,Jess Todd,19,0,1,0,0,1.74
30,CLE,0,Vinnie Chulk,8,0,0,0,0,2.25
31,MIN,1,Luis Ayala,28,0,0,0,0,1.67
38,LAA,2,Darren Oliver,63,0,1,1,0,1.11
27,BOS,0,Ramon Ramirez,70,-1,1,0,0,1.42
27,TOR,0,Jeremy Accardo,26,0,0,0,0,1.09
24,LAA,0,Kevin Jepsen,54,0,1,0,0,1.81
27,CLE,0,Anthony Reyes,8,-1,1,8,0,2.11
28,SEA,3,Sean White,52,1,1,0,0,2.38
40,TBR,0,Russ Springer,26,0,0,0,0,0.00
24,BAL,0,David Hernandez,20,0,0,19,0,1.24
28,BOS,0,Daisuke Matsuzaka,12,-1,2,12,0,1.06
26,BAL,0,Matt Albers,56,-1,0,0,0,1.34
24,NYY,0,Anthony Claggett,2,0,0,0,0,0.00
34,TEX,0,Kris Benson,8,0,0,2,0,1.21
24,TOR,0,Jesse Litsch,2,0,0,2,0,2.00
29,BAL,2,Rich Hill,14,-1,0,13,0,1.56
31,TOR,0,Jason Frasor,61,0,0,0,0,1.25
28,MIN,2,Craig Breslow,17,1,0,0,0,1.88
22,TEX,3,Derek Holland,33,1,2,21,1,1.17
40,TBR,0,Brian Shouse,45,0,1,0,0,2.89
32,TBR,0,Winston Abreu,2,0,0,0,0,0.00
25,DET,0,Casey Fien,9,0,0,0,0,0.00
29,TEX,0,Frank Francisco,51,-1,0,0,0,0.18
24,OAK,0,Jon Meloan,6,0,0,0,0,0.00
25,BAL,0,Jason Berken,24,-1,3,24,0,1.50
22,LAA,0,Nick Adenhart,1,0,0,1,0,0.00
28,CHW,0,Bobby Jenks,52,-1,0,0,0,0.51
25,TBR,0,Scott Kazmir,20,0,0,20,0,1.14
32,KCR,4,Bruce Chen,17,1,0,9,0,1.73
26,NYY,0,Phil Coke,72,0,0,0,0,1.80
39,CLE,0,Matt Herges,21,0,0,0,0,2.13
27,DET,0,Armando Galarraga,29,1,2,25,0,1.13
33,MIN,0,Carl Pavano,12,-2,0,12,0,1.95
25,SEA,0,Doug Fister,11,0,1,10,0,1.77
24,CLE,0,Justin Masterson,11,-1,1,10,1,1.41
26,NYY,0,Alfredo Aceves,43,-1,1,1,0,1.18
26,MIN,0,Philip Humber,8,0,0,0,0,1.00
27,OAK,0,Chad Reineke,1,0,0,1,0,0.00
26,OAK,0,Brad Kilby,11,0,0,1,0,0.53
23,TBR,0,Wade Davis,6,0,0,6,1,1.24
33,CLE,0,Carl Pavano,21,-2,2,21,1,1.22
26,TBR,1,Jeff Niemann,31,-2,4,30,2,1.05
28,TOR,0,Dirk Hayhurst,15,0,0,0,0,0.40
29,NYY,0,Chien-Ming Wang,12,-1,1,9,0,2.14
38,TEX,0,Eddie Guardado,48,0,0,0,0,0.94
31,BOS,0,Javier Lopez,14,0,0,0,0,3.09
25,SEA,0,Garrett Olson,31,0,0,11,0,1.01
34,SEA,0,Denny Stark,9,0,0,0,0,0.82
26,KCR,0,Anthony Lerew,3,0,1,2,0,2.70
30,TEX,0,Jason Jennings,44,0,0,0,0,1.03
27,MIN,3,Nick Blackburn,33,0,2,33,3,2.10
26,CHW,0,Carlos Torres,8,0,0,5,0,1.59
25,BOS,0,Hunter Jones,11,0,0,0,0,0.71
30,TEX,0,Willie Eyre,17,0,0,0,0,1.00
27,CLE,0,Rafael Perez,54,0,0,0,0,1.88
37,NYY,6,Andy Pettitte,32,2,1,32,0,1.39
24,CLE,0,Aaron Laffey,25,1,2,19,0,1.41
27,CHW,0,Jimmy Gobble,12,0,0,0,0,0.00
28,CHW,0,Jake Peavy,3,0,1,3,0,1.35
27,DET,0,Zach Miner,51,0,0,5,0,1.46
27,TOR,0,Casey Janssen,21,0,0,5,0,1.80
