LVL,G,oppAVG,oppTAv,PA,AB
MLB,4,0.252,0.257,77,70
MLB,12,0.27,0.262,66,56
MLB,33,0.263,0.268,122,110
MLB,59,0.265,0.264,232,208
MLB,28,0.25,0.259,719,651
MLB,10,0.252,0.262,184,167
MLB,67,0.26,0.264,250,219
MLB,29,0.258,0.267,139,122
MLB,20,0.249,0.257,524,467
MLB,33,0.252,0.257,800,723
MLB,5,0.258,0.262,96,81
MLB,52,0.245,0.251,333,296
MLB,31,0.257,0.265,799,709
MLB,31,0.25,0.257,795,707
MLB,17,0.263,0.264,139,119
MLB,9,0.252,0.258,35,31
MLB,13,0.254,0.259,287,256
MLB,7,0.259,0.261,181,161
MLB,33,0.248,0.255,808,714
MLB,6,0.24,0.255,53,48
MLB,1,0.207,0.249,18,14
MLB,6,0.243,0.252,52,47
MLB,22,0.252,0.254,561,515
MLB,60,0.26,0.263,256,232
MLB,16,0.251,0.254,244,214
MLB,8,0.273,0.264,34,32
MLB,27,0.26,0.26,441,404
MLB,4,0.25,0.252,27,23
MLB,34,0.255,0.258,881,779
MLB,40,0.258,0.264,223,198
MLB,29,0.258,0.261,769,661
MLB,14,0.26,0.268,60,50
MLB,14,0.255,0.259,55,41
MLB,64,0.252,0.261,225,195
MLB,43,0.249,0.253,369,329
MLB,69,0.254,0.257,274,252
MLB,3,0.274,0.278,29,23
MLB,20,0.25,0.257,504,458
MLB,5,0.247,0.25,19,13
MLB,37,0.26,0.267,294,258
MLB,3,0.257,0.252,63,57
MLB,9,0.252,0.263,38,30
MLB,6,0.258,0.269,31,27
MLB,40,0.262,0.265,160,138
MLB,30,0.25,0.258,668,620
MLB,57,0.254,0.26,258,225
MLB,42,0.249,0.258,187,166
MLB,53,0.258,0.264,225,208
MLB,31,0.258,0.261,693,637
MLB,27,0.251,0.255,198,174
MLB,79,0.257,0.262,306,270
MLB,46,0.253,0.261,308,284
MLB,67,0.252,0.259,259,227
MLB,1,0.176,0.21,5,4
MLB,26,0.253,0.258,175,156
MLB,13,0.247,0.254,144,132
MLB,45,0.253,0.261,229,204
MLB,33,0.253,0.255,263,233
MLB,32,0.256,0.264,105,97
MLB,26,0.26,0.264,100,84
MLB,23,0.264,0.261,110,101
MLB,33,0.25,0.257,802,734
MLB,16,0.244,0.255,31,27
MLB,29,0.251,0.258,751,684
MLB,8,0.252,0.255,180,158
MLB,11,0.255,0.271,47,38
MLB,25,0.258,0.263,553,490
MLB,14,0.253,0.262,90,79
MLB,6,0.26,0.261,37,32
MLB,20,0.26,0.265,474,414
MLB,51,0.255,0.263,218,189
MLB,12,0.269,0.26,40,37
MLB,2,0.268,0.255,9,9
MLB,10,0.255,0.256,45,36
MLB,31,0.247,0.256,827,727
MLB,17,0.252,0.255,94,82
MLB,49,0.257,0.264,115,100
MLB,78,0.256,0.26,268,243
MLB,32,0.26,0.263,864,760
MLB,24,0.243,0.257,75,61
MLB,5,0.261,0.27,31,28
MLB,68,0.25,0.258,237,227
MLB,47,0.261,0.264,201,191
MLB,46,0.268,0.27,138,116
MLB,25,0.255,0.256,654,589
MLB,43,0.247,0.257,174,164
MLB,21,0.255,0.26,602,551
MLB,5,0.261,0.26,60,53
MLB,30,0.259,0.266,157,135
MLB,61,0.255,0.262,215,199
MLB,4,0.249,0.261,21,16
MLB,2,0.258,0.258,16,16
MLB,7,0.252,0.262,28,24
MLB,19,0.268,0.271,72,64
MLB,4,0.267,0.285,12,10
MLB,14,0.262,0.263,258,243
MLB,19,0.263,0.266,146,134
MLB,1,0.26,0.25,20,16
MLB,3,0.266,0.263,60,54
MLB,63,0.256,0.262,255,241
MLB,36,0.256,0.264,197,177
MLB,12,0.252,0.256,64,54
MLB,8,0.24,0.258,21,16
MLB,7,0.264,0.265,146,131
MLB,59,0.256,0.263,295,246
MLB,8,0.251,0.262,52,44
MLB,3,0.248,0.275,13,10
MLB,1,0.229,0.236,2,2
MLB,14,0.258,0.265,57,49
MLB,27,0.26,0.259,728,665
MLB,54,0.254,0.266,102,87
MLB,39,0.25,0.263,270,229
MLB,65,0.257,0.264,175,168
MLB,12,0.26,0.264,211,189
MLB,55,0.264,0.266,223,206
MLB,6,0.256,0.26,57,51
MLB,11,0.256,0.262,264,246
MLB,24,0.254,0.261,631,560
MLB,3,0.251,0.254,48,42
MLB,15,0.249,0.258,62,52
MLB,14,0.246,0.254,339,304
MLB,75,0.256,0.261,380,320
MLB,9,0.262,0.266,224,201
MLB,8,0.259,0.257,44,35
MLB,36,0.258,0.263,134,120
MLB,73,0.251,0.262,211,188
MLB,8,0.267,0.27,168,149
MLB,4,0.239,0.245,39,34
MLB,34,0.261,0.266,918,835
MLB,45,0.244,0.253,243,209
MLB,13,0.25,0.254,254,221
MLB,33,0.249,0.257,900,794
MLB,8,0.244,0.262,62,49
MLB,66,0.255,0.26,268,231
MLB,33,0.261,0.264,975,897
MLB,3,0.25,0.26,11,8
MLB,6,0.254,0.255,35,31
MLB,4,0.239,0.257,25,17
MLB,4,0.261,0.261,100,93
MLB,17,0.252,0.257,97,83
MLB,11,0.263,0.273,233,211
MLB,20,0.264,0.27,119,112
MLB,2,0.249,0.264,8,8
MLB,77,0.253,0.26,306,278
MLB,15,0.248,0.253,152,137
MLB,4,0.265,0.256,34,29
MLB,29,0.248,0.256,693,635
MLB,3,0.277,0.276,56,51
MLB,6,0.253,0.247,126,103
MLB,22,0.248,0.254,463,403
MLB,64,0.257,0.26,292,266
MLB,36,0.256,0.263,150,128
MLB,11,0.262,0.266,57,50
MLB,28,0.262,0.267,317,282
MLB,27,0.267,0.268,110,101
MLB,4,0.261,0.261,84,77
MLB,52,0.258,0.261,196,175
MLB,39,0.263,0.265,162,132
MLB,45,0.254,0.262,190,156
MLB,3,0.254,0.25,11,11
MLB,19,0.265,0.261,470,437
MLB,26,0.259,0.263,662,634
MLB,34,0.254,0.259,117,101
MLB,9,0.249,0.262,234,211
MLB,56,0.257,0.26,200,171
MLB,14,0.244,0.254,67,54
MLB,72,0.256,0.266,267,228
MLB,9,0.267,0.267,29,25
MLB,2,0.262,0.267,30,23
MLB,57,0.26,0.263,266,232
