Course Number,Section Number,Course Title,Call Number,Instructor,Days,Times,Location,Min-Max Credits,60/90 Rule,Years,Notes
950,4,Lawyering Skills Course: Public Speaking for Lawyers (LLM-LI),28576.0,"Plum, C.",F,225-425,5223,1-1,*,L4,LLM-LI section only; PF only; limit 16 students; meets first eight weeks of semester only.
870,1,International Tax,28602.0,"Misey, R.",W,500-740,Grainger 2170,3-3,60,L2-L3,Tax I required; meets with Accounting 725; exam on last day of class.
765,1,Equal Employment Law (Employment Discrimination),28652.0,"Clauss, C.",TR,110-230,5240,3-4,60,L2-L3,PF Exam: May 10
815,7,Appellate Advocacy (other moot court: IPSO),28660.0,"Ghosh, S.", , , ,1-3,60,L2-L3,Requires consent of instructor.
771,3,Marital Property,35781.0,"Collins, S.",T,330-530,2260,1-1,60,L2-L3,PF; Pre-req: T&E I; course meets starting March 11th. Exam: May 8
905,1,Bioethics & the Law,35834.0,"Charo, R.",W,110-310,5246,2-2,60,L2-L3,No PF; meets Con Law II and Legal Process Reqs.; LW Paper/project
802,2,Civil Procedure II,28624.0,"Greene, L.",MW,410-530,5240,3-3,60,L1/ L2-L3,PF for 2Ls/3Ls only; limit: 60 2Ls/3Ls; meets Juris. Cts. Req. Exam: May 7
735,1,"Payments (""Horror Stories and Mysteries That Lurk Behind Every Payment You Make"")",28569.0,"Cohen, A.",TR,110-230,3260,3-3,60,L2-L3,PF; Exam: May 10
845,1,Water Rights Law,28625.0,"Monette, R.",MW,410-530,2225,3-3,60,L2-L3,PF; Paper
740,1,Constitutional Law II,28394.0,"Schwartz, D.",TR,410-530,5240,3-3,60,L2-L3,PF; Con Law I required; satisfies Con Law II Req. Take-home Exam
940,7,Housing & Community Economic Development,28550.0,"Alexander, L.",M,110-310,5246,2-3,60,L2-L3,No PF; limit: 20 students; meets Legal Process requirement. LW Paper
ELPA,841,Legal Aspects of Higher Education,13465.0,"TBA, .",M,715-945 pm,Educ. Bldg. 151,3-3,60,L2-L3,Ed. Leadership 841; non-Law School grading; credits count as law credits; interested Law students can enroll directly.
953,1,SP Business Orgs: Transactional IP,28604.0,"Ghosh, S.",MW,950-1150,5223,3-3,60,L2-L3,PF; Bus. Orgs I plus an IP course recommended. LW Paper
950,2,Lawyering Skills: Guardian ad Litem Practice in Wisconsin,28475.0,"Viney, G.",TR,410-535,2225,1-1,60,L2-L3,"PF only; short course: nine sessions starting after Spring Break; Required: Family Law I or II, or Elder Law, or Family Law Project, or Family Court Clinic (concurrent okay) or consent of instructor. Project/presentation"
940,13,Mental Health Law,28591.0,"Van Rybroek, G.",M,540-740,5223,2-2,60,L2-L3,PF; limit 25 students. Take-home Exam.
940,5,Construction Law,28422.0,"Aiken, J.",R,110-310,5246,2-2,60,L2-L3,No PF Exam: May 10
940,11,Defense Function,28436.0,"LaVigne, M.",MW,110-310,2225,3-3,60,L2-L3,No PF; requires consent of instructor.
940,12,Prosecution Function,28551.0,"Kempinen, B.",MW,110-310,3260,3-3,60,L2-L3,PF; requires consent of instructor. Project/presentation
940,4,Fundamentals of Business Transactions II,28421.0,"Heymann, S.",MW,110-230,3226,3-3,60,L2-L3,No PF; pre-req: Fund. Bus. Trans. I.
940,6,Worker's Compensation Law,28423.0,"Aplin, R. Neal, J.",W,500-700,2211,2-2,60,L2-L3,PF; limit: 14 students Project/presentation
915,1,SP Crim. J. Admin: Federal Criminal Appeals,28453.0,"Stevenson, A.", , , ,2-2,60,L2-L3,PF only; req. consent of instructor; limited to clinical participants. Meeting time TBD based on participant schedules. Project/presentation
918,1,SP International Law: International Environmental Law,28518.0,"Atapattu, S.",R,950-1150,3268,3-3,60,L2-L3,PF; limit: 20 students; International Law recommended. Paper
918,2,SP International Law: Vis Competition,28611.0,"Yackee, J.", , , ,2-3,60,L2-L3,PF only; competition team members.
928,1,SP Land Law: Real Estate Process,28586.0,"Johnson, M.",MW,400-515,Grainger 3560,3-3,60,L2-L3,PF; required for Real Estate Concentration; meets with Real Estate 706; limit: 15 Law students. Exam at the May 5th class.
904,1,SP Con Law: Supreme Court Seminar,28419.0,"Church, L.",W,540-740,5223,3-3,60,L2-L3,PF; Con Law I recommended; meets Con Law II Req; limit: 34 students LW Paper
860,1,Adv. Criminal Procedure: Rep. Criminal Appellant,28501.0,"Pray, J.",MWF,1055-1150,3226,3-3,60,L2-L3,PF only; requires consent of instructor; LW Project/presentation
849,1,Pre-Trial Advocacy,28573.0,"Edwards, T. Furlow, J.",W,540-740,3260,3-3,60,L2-L3,PF only; Limit: 24 students.
840,1,Taxation II,28405.0,"Schnur, R.",TR,240-400,3260,3-3,60,L2-L3,PF; pre-req: Tax I; meets Real Estate Law Concentration req. Exam: May 8
838,1,Real Estate Transactions II,28547.0,"Ishikawa, J.",TR,1030-1150,3226,3-3,60,L2-L3,"PF; pre-req: Real Estate Trans. I (Note: Tax I is NOT a pre-req, despite the notice appearing in the Student Center.) Exam: May 5"
815,5,Appellate Advocacy (Pace Competition),28593.0,"Monette, R.", , , ,1-3,60,L2,PF only; consent of instructor; environmental moot court at Pace Univ.
817,1,Business Organizations I,28403.0,"Davis, K.",MW,1030-1150,5240,3-3,60,L1/L2-L3,PF for 2Ls/3Ls only; limit: 50 2Ls/3Ls. Exam: May 11
815,2,Appellate Advocacy (moot board & coaches),28401.0, , , , ,1-3,60,L2-L3,Requires consent of instructor.
815,3,Appellate Advocacy (other moot court), , , , , ,1-3,60,L2-L3,Requires consent of instructor.
815,4,Appellate Advocacy (moot court-Heffernan),28402.0,"Clauss, C.",W,950-1150,5246,1-1,60,L2,PF only; 2Ls only; limit: 20 students not already on the Moot Court Board.
828,1,International Business Transactions,28499.0,"Yackee, J.",MW,900-1020,2211,3-3,60,L2-L3,PF; meets Legal Process Req. Take-home exam
827,1,International Law,28525.0,"Huneeus, A.",MW,1030-1150,3250,3-3,60,L1/L2-L3,PF for 2Ls/3Ls; no PF for 1Ls;; meets Legal Process Req.; limit: 70 2Ls/3Ls Exam: May 12
823,1,Family Law II,28404.0,"Brito, T.",MW,1030-1150,3253,3-3,60,L2-L3,PF; Exam: May 12
773,1,Law and the Elderly,28548.0,"Annen, J.",W,330-530,3226,2-2,60,L2-L3,No PF; T&E I required (can be concurrent) Exam: May 15
940,2,Evidence I,28440.0,"Schwartz, D.",MW,330-530,2260,2-2,60,L2-L3,PF; meets Evidence Req.; meets first half of term only. Take-home Exam: mid-March
802,1,Civil Procedure II,28398.0,"Weston, C.",TR,1030-1150,5240,3-3,60,L1/ L2-L3,PF for 2Ls/3Ls only; limit: 60 2Ls/3Ls; meets Juris. Cts. Req. Exam: May 7
808,1,Advanced Legal Writing: Contract Drafting,28399.0,"Turner, A.",T,540-740,3247,2-2,60,L2-L3,No PF; Limit: 15 students; LW Papers
815,1,Appellate Advocacy (moot court competitors),28400.0, , , , ,1-3,60,L2-L3,Requires consent of instructor.
940,10,From Patient to Policy: Models of System Level Advocacy,28605.0,"Davis, S. Grob, R.",T,435-600,On-line course,2-2,60,L2-L3,PF; requires consent of instructor. Priority for students enrolled in the Consumer Health Advocacy Certificate. Project/presentation
749,1,Trademarks,28571.0,"Frenchick, G.",T,435-635,3253,2-3,60,L2-L3,PF; Papers
751,1,Patent Law,28445.0,"Ossorio, P.",TR,950-1150,3250,4-4,60,L2-L3,"PF; Intro. to I.P., Admin Law recommended. Take-home exam"
741,1,Business Organizations II,28395.0,"Davis, K.",TR,1030-1150,3260,3-3,60,L2-L3,PF; Bus. Orgs. I recommended. Exam: May 5
742,2,Taxation I,28600.0,"Schnur, R.",TR,950-1150,2211,4-4,60,L2-L3,PF; Exam: May 5
743,1,Negotiation/Mediation,28396.0,"Heymann, S.",TR,410-530,2211,3-3,60,L2-L3,No PF; limit 16 students.
743,2,Negotiation/Mediation,28519.0,"Frankel, M. Phillips, M.",R,540-740,5229,2-2,60,L2-L3,No PF; limit 16 students.
744,1,Administrative Law,28454.0,"Ohnesorge, J.",MW,110-230,2260,3-3,60,L2-L3,PF; meets Legal Process requirement; Exam: May 4
771,1,Trusts & Estates I,28643.0,"Erlanger, H.",TR,330-530,2260,2-2,60,L2-L3,"PF; limit: 100 students; meets Wills/Estates Req. Meets through March 6th only. Note: Final Exam will be Sunday, March 9th."
736,1,Secured Transactions,28393.0,"Cohen, A.",TR,1030-1150,2225,3-3,60,L2-L3,PF; Exam: May 5
821,1,Bankruptcy,28623.0,"McDermott, M.",MW,900-1020,5229,3-3,60,L2-L3,PF; Exam: May 3
731,3,Constitutional Law I,28568.0,"Quraishi-Landes, A.",MW,1030-1150,3260,3-3,60,L1/ L2-L3,PF for 2Ls/3Ls; no PF for 1Ls; meets Con Law I Req. Take-home exam.
731,2,Constitutional Law I,28392.0,"Coan, A.",TR,240-400,5229,3-3,60,L1/ L2-L3,PF for 2Ls/3Ls; no PF for 1Ls; meets Con Law I Req. Exam: May 9
725,2,Introduction to Criminal Procedure,28389.0,"Findley, K.",MW,240-400,5229,3-3,60,L1/ L2-L3,No PF; meets Crim. Pro. Req. Exam: May 13
725,3,Introduction to Criminal Procedure,28390.0,"Kempinen, B.",TR,410-530,5229,3-3,60,L1/ L2-L3,No PF; meets Crim. Pro. Req. Exam: May 13
731,1,Constitutional Law I,28391.0,"Althouse, A.",MW,240-400,5223,3-3,60,L1/ L2-L3,No PF; meets Con Law I Req. Exam: May 9
724,1,Property,28385.0,"Church, L.",MTWRF,110-205,5229,4-4,60,L1,No PF; meets Property Req. Exam: May 3
724,2,Property,28386.0,"Mitchell, T.",MTWRF,110-205,2211,4-4,60,L1,No PF; meets Property Req. Exam: May 3
724,3,Property,28387.0,"Klug, H.",MTWRF,435-530,3250,4-4,60,L1,No PF; meets Property Req. Exam: May 3
725,1,Introduction to Criminal Procedure,28388.0,"Lichstein, B.",TR,1030-1150,5229,3-3,60,L1/ L2-L3,No PF; meets Crim. Pro. Req. Exam: May 13
817,2,Business Organizations I,28645.0,"Alexander, L.",TR,240-400,5240,3-4,60,L1/L2-L3,PF for 2Ls/3Ls only; limit: 50 2Ls/3Ls. 1Ls may only enroll for 3-credits. Exam: May 11
904,2,SP Con Law: Institutions in Constitutional Theory & Practice,28646.0,"Coan, A.",R,950-1150,2260,3-3,60,L2-L3,No PF; limit: 12 students; Con Law I required; Con Law II recommended; meets Con Law II Req. LW Paper
731,4,Constitutional Law I,28642.0,"Weston, C.",TR,110-230,5223,3-3,60,L1/ L2-L3,No PF; meets Con Law I Req. Exam: May 9
815,6,Appellate Advocacy (other moot court: BLSA), , , , , ,1-3,60,L2,PF only; consent of instructor;
808,4,Advanced Legal Writing: Writing for Law Practice,35838.0,"Weigold, U.",R,110-310,2260,2-2,60,L2-L3,No PF; Limit: 15 students; LW Papers
815,8,Appellate Advocacy (other moot court: LLSA), , , , , ,1-3,60,L2-L3,Requires consent of instructor.
815,9,Appellate Advocacy (other moot court: ILSA),28670.0,"Monette, R.", , , ,1-3,60,L2-L3,Requires consent of instructor.
715,1,Torts,35759.0,"Sidel, M.",MTWRF,755-850,5229,4-4,60,L1,No PF; meets Torts Req. Exam: May 15
715,2,Torts,35777.0,"Sidel, M.",MTWRF,925-1020,3253,4-4,60,L1,No PF; meets Torts Req. Exam: May 15
715,3,Torts,35778.0,"Charo, R.",MTWRF,925-1020,3260,4-4,60,L1,No PF; meets Torts Req. Exam: May 15
715,4,Torts,35780.0,"Barkan, S.",MTWRF,925-1020,2225,4-4,60,L1,No PF; meets Torts Req. Exam: May 15
771,2,Estate & Gift Tax,28644.0,"Erlanger, H.",R,330-530,2260,1-1,60,L2-L3,PF; Pre-req: T&E I; course meets starting March 13th. Exam: May 14
824,1,Federal Jurisdiction,35782.0,"Althouse, A.",TR,410-530,5223,3-3,60,L2-L3,PF; meets Jurisdiction of Courts Req. Exam: May 14
820,1,Conflict of Laws,35839.0,"Monette, R.",MW,1030-1150,2225,3-3,60,L2-L3,PF; meets Jurisdiction of Courts Req. Exam: May 12
939,1,SP Family Law: Adoption Law & Policy,35798.0,"Brito, T.",M,330-530,3247,2-2,60,L2-L3,PF; Exam: May 6
940,1,Legislation & Regulation,28420.0,"Desai, A.",MW,240-400,2211,3-3,60,L1,No PF; 1Ls only; meets Legal Process Req. 8-hour Take-Home Exam: May 5
940,3,Evidence for Litigators (Evidence II),28435.0,"Schwartz, D.",MW,330-530,2260,2-2,60,L2-L3,No PF; pre-req: 2-credit Evidence I; meets second half of term only.
808,2,Advanced Legal Writing: Contract Drafting,28654.0,"Page, P.",W,540-740,3247,2-2,60,L2-L3,No PF; Limit: 15 students; LW Papers
808,3,Advanced Legal Writing: Drafting & Working with Statutes,35797.0,"Kreye, J.",M,540-740,3247,2-2,60,L2-L3,No PF; Limit: 15 students; LW Papers
940,9,Humanitarian Immigration Law,28441.0,"Barbato, E.",W,330-630,5246,3-3,60,L2-L3,PF only; req. consent of instructor. Students must concurrently enroll in 1 credit of Immigrant Justice Clinic.
904,3,SP Con Law: Politics & Equality,28647.0,"Greene, L.",T,950-1150,2260,3-3,60,L2-L3,No PF; limit: 30 students; Con Law I required; meets Con Law II Req. LW Paper
745,1,Labor Relations II,35923.0,"Davis, P. Houlihan, W. Mandelman, B.",TR,540-700,2225,3-3,60,L2-L3,PF; Labor Relations I required.
940,14,Business Methods for Lawyers,28594.0,"Harvey, C.",MW,410-505,5223,2-2,60,L2-L3,PF; limit 25 students. Exercises/assessments
991,1,Directed Reading, , , , , ,1-3,90,L2-L3,requires consent of instructor
990,1,Directed Research, , , , , ,1-12,90,L2-L3,requires consent of instructor
899,1,Wisconsin Law Review,28418.0,"Desai, A.", , , ,1-3,90,L2-L3,Admission to Journal LW
896,1,"WI Journal of Law, Gender & Society",28417.0,"Quraishi-Landes, A.", , , ,1-3,90,L2-L3,Admission to Journal LW
895,1,WI International Law Journal,28416.0,"Klug, H.", , , ,1-3,90,L2-L3,Admission to Journal LW
872,1,Legal Issues: North America & East Asia,28502.0,"Irish, C.",W,730-930,3261,2-2,90,L2-L3; L4-L5,Evening class; no PF; limit: 6 JD students; course meets for the last seven weeks of term. LW Paper; project
723,5,Legal Research & Writing II,28377.0,"Peterson, K.",TR,1030-1150,3247,3-3,90,L1,No PF; limit: 18 students.
723,6,Legal Research & Writing II,28378.0,"Moritz, D.",TR,240-400,3247,3-3,90,L1,No PF; limit: 18 students.
723,7,Legal Research & Writing II,28379.0,"Baumgartner, M.",TR,240-400,5223,3-3,90,L1,No PF; limit: 18 students.
723,8,Legal Research & Writing II,28380.0,"Peterson, K.",TR,240-400,2225,3-3,90,L1,No PF; limit: 18 students.
723,9,Legal Research & Writing II,28381.0,"Tinglum, T.",MW,110-230,3247,3-3,90,L1,No PF; limit: 18 students.
723,1,Legal Research & Writing II,28373.0,"Dowdal, M.",MW,900-1020,3247,3-3,90,L1,No PF; limit: 18 students.
723,2,Legal Research & Writing II,28374.0,"Dowdal, M.",TR,900-1020,3247,3-3,90,L1,No PF; limit: 18 students.
723,3,Legal Research & Writing II,28375.0,"Moritz, D.",TR,1030-1150,5223,3-3,90,L1,No PF; limit: 18 students.
723,4,Legal Research & Writing II,28376.0,"Tinglum, T.",MW,1030-1150,3247,3-3,90,L1,No PF; limit: 18 students.
723,10,Legal Research & Writing II,28382.0,"Baumgartner, M.",TR,540-700,5223,3-3,90,L1,No PF; limit: 18 students.
940,8,Law & Development: Emerging Economies,28424.0,"Ohnesorge, J.",T,110-310,2260,2-3,90,L2-L3,No PF; limit: 20 students; LW Paper/project
641,306,Sociology of Law (Law student section),35567.0,"Conti, J.",TR,1100-1215,Soc. Sci. 5106,3-3,90,L2-L3,Limit: 10 Law students; cross listed with Sociology 641; meets Legal Process Req. Law students enroll in Discussion section 306. 3Ls: note exam is scheduled for Law School commencement date. Exam: May 16
602,1,Legal Sources,28575.0,"Chang, N.",TR,1030-1150,5246,3-3, ,L4-L5,LLM-LI students only. Exam: May 5
601,1,Intro to American Law,28574.0,"Bowen, J. Jones, D.",F,850-1150,5223,3-3, ,L4-L5,No PF; LLM-LI/LLM/SJD students only. Exam: May 7
850,3,Professional Responsibilities,28546.0,"Schweitzer, N.",TR,215-310,2211,2-2, ,L4-L5,Section strictly limited to LLM-LIs only. Exam: May 10
