Team,SO,2B,H,HR,CS,SF,OPS,G,AVG
TIG,18,6,27,2,0,1,.673,32,.243
RSX,6,0,5,1,1,0,.684,6,.227
YAN,3,1,3,0,0,1,.422,9,.167
ORI,35,12,45,2,2,3,.777,40,.283
RDS,14,2,13,0,1,0,.560,21,.213
MTS,22,11,40,0,3,3,.744,37,.294
CAR,10,0,3,0,0,0,.317,12,.125
NAT,24,1,6,0,1,0,.444,24,.111
DGR,2,0,2,0,0,1,.396,7,.133
ORI,4,4,7,0,0,0,.844,9,.233
TWI,20,5,18,2,0,1,.777,22,.273
PIR,14,3,19,1,0,0,.687,19,.284
CAR,1,1,4,0,0,0,.968,4,.333
PIR,0,1,4,0,0,0,.785,4,.308
YAN,18,6,30,3,0,1,.786,33,.280
TIG,24,5,36,1,1,0,.832,44,.313
BLU,29,6,30,1,0,1,.578,39,.221
NAT,15,0,19,0,0,0,.526,31,.202
IND,20,4,29,4,1,0,.606,34,.228
PHL,42,3,23,1,1,0,.543,36,.211
DGR,16,0,8,0,1,1,.475,18,.163
TWI,23,2,40,0,2,0,.651,45,.288
TIG,23,1,9,1,0,2,.383,22,.130
YAN,39,7,47,6,5,0,.815,47,.283
CAR,13,1,6,1,0,0,.488,16,.143
PHL,13,5,26,0,3,0,.631,31,.255
MRL,5,5,11,0,0,1,1.063,7,.440
TIG,52,9,40,4,1,0,.798,46,.270
TWI,44,6,31,2,5,2,.762,38,.256
CAR,7,1,10,0,0,0,.830,10,.385
YAN,1,1,1,0,0,0,1.667,1,.500
RDS,27,6,35,0,4,2,.528,43,.227
DGR,2,0,5,1,0,0,.908,4,.333
YAN,8,4,14,1,1,1,.808,16,.286
MRL,13,1,13,0,1,0,.630,20,.250
PHL,21,9,39,2,2,0,.952,29,.371
TWI,31,6,30,3,1,1,.713,41,.244
TIG,0,1,4,0,0,0,1.261,3,.500
TWI,23,5,17,0,0,0,.689,23,.258
YAN,17,5,30,5,2,1,.833,32,.280
ORI,43,9,40,0,7,0,.614,51,.209
MTS,0,0,2,0,0,0,1.000,2,.500
PIR,11,0,7,0,0,0,.528,15,.212
ORI,9,1,5,0,0,1,.516,14,.167
NAT,14,2,14,0,2,0,.790,17,.298
RDS,6,2,10,0,1,0,.648,10,.286
PIR,18,8,22,1,1,2,.603,34,.202
BRA,28,5,46,1,0,3,.642,43,.284
YAN,34,4,46,3,9,1,.778,49,.288
YAN,26,14,57,8,0,1,.945,45,.339
MTS,6,0,6,0,0,0,.369,12,.146
MTS,16,4,34,0,1,2,.768,35,.283
PHL,34,10,53,8,1,0,.795,57,.256
RDS,18,3,13,1,1,0,.485,24,.163
NAT,18,3,26,0,2,1,.693,33,.245
MTS,6,0,5,1,0,1,.649,11,.167
RDS,30,6,25,3,3,0,.719,37,.219
MRL,6,2,7,0,0,0,.668,8,.269
IND,1,1,1,0,0,0,.733,2,.200
TWI,22,8,25,0,0,1,.672,27,.258
MRL,33,10,27,3,3,0,.863,27,.267
TIG,23,1,14,0,1,2,.483,28,.179
RSX,2,0,6,1,0,0,.804,6,.286
DGR,40,14,55,3,1,5,.749,53,.274
MRL,32,14,63,4,0,4,.916,52,.348
IND,29,8,44,0,3,1,.683,47,.277
NAT,8,1,4,0,1,1,.497,6,.182
TIG,22,5,32,2,4,0,.700,32,.283
ORI,30,10,48,6,0,1,.936,43,.318
PHL,0,0,0,0,0,0,.400,2,.000
NAT,28,5,32,2,4,1,.761,36,.286
RSX,58,17,48,3,1,1,.747,53,.253
IND,29,5,44,0,3,1,.684,41,.288
NAT,9,0,3,0,1,0,.387,10,.120
IND,10,2,11,0,1,1,.797,9,.333
PIR,21,6,30,9,1,5,.894,42,.236
TIG,5,0,1,0,0,0,.313,6,.063
DGR,7,0,13,0,2,0,.685,20,.265
TIG,8,1,15,2,0,1,.804,14,.313
MTS,1,0,1,0,0,0,.500,2,.250
PIR,1,2,3,0,0,0,1.000,2,.375
TIG,2,0,1,0,0,0,.833,4,.333
PHL,7,1,2,0,0,0,.258,12,.077
DGR,2,2,4,1,0,0,1.083,4,.333
TWI,16,10,64,1,10,2,.765,54,.317
