CS,OPS,SLG,R,RBI,Player,GIDP,POS,AVG,AB
1,0.671,0.332,25,22,M Hernandez,7,C,0.263,190
3,0.811,0.425,19,15,B Roberts,2,OF,0.333,153
3,0.673,0.344,25,16,R Tejada,9,2B,0.28,218
6,0.851,0.475,72,56,E Johnson,7,SS,0.319,427
0,0.85,0.5,5,6,J Saltalamacchia,0,C,0.278,36
0,0.0,0.0,0,0,J Toole,0,2B,0.0,1
0,2.167,1.5,1,3,S Victorino,0,CF,0.667,6
0,0.681,0.385,1,3,M Abreu,1,2B,0.269,26
8,0.509,0.254,16,8,J Schafer,1,CF,0.201,189
0,0.568,0.304,19,13,L Bolivar,3,SS,0.217,184
0,0.718,0.405,12,7,L Hughes,3,2B,0.257,74
3,0.767,0.45,44,33,L Davis,9,LF,0.254,327
