SH,BB,OPS,R,CS,RBI,Team,Player,HR,3B
1,24,0.531,15,1,7,DSL TWI,A Tovar,0,0
0,2,0.399,9,6,2,DSL DIA,F Tineo,0,0
0,14,0.538,16,3,12,DSL MET,L Montero,0,2
4,31,0.757,30,4,31,DSL SEA,A Jimenez,5,1
10,28,0.734,38,3,42,DSL PIR,E Figueroa,2,8
1,31,0.854,53,10,48,DSL TIG,F Contreras,5,5
0,1,0.417,1,0,2,DSL FLA,C Ynoa,0,0
2,20,0.587,20,4,9,DSL GSI,R Rodriguez,0,1
1,5,0.56,13,0,7,DSL ROCK,W Jimenez,0,0
1,17,0.587,23,5,23,DSL DIA,I Pena,1,2
5,10,0.611,19,2,17,DSL WSX,R Valdez,1,0
1,8,0.476,13,1,6,DSL SEA,M Almonte,0,1
0,38,0.867,44,10,26,DSL NYY1,F Frias,4,3
1,1,0.411,1,0,1,DSL BRA,A Maradiaga,0,0
0,0,0.0,0,0,0,DSL RSX,R Oliveras,0,0
3,11,0.6,17,4,25,DSL MET,J Carrion,2,1
0,5,0.731,16,3,21,DSL DIA,L Veras,1,2
2,20,0.898,25,3,31,DSL DOD,I Isabel,3,5
1,8,0.493,9,1,2,DSL ORI,C Larez,0,1
1,10,0.849,26,4,22,DSL TB,A Moreno,4,3
3,25,0.646,30,2,36,DSL PIR,J Herrera,2,2
4,25,0.376,29,7,7,DSL WSX,J Cruz,0,1
0,24,0.714,22,2,38,DSL PAD,J Lantigua,1,2
0,8,0.816,2,3,4,DSL DIA,G Martinez,0,0
5,30,0.667,25,5,25,DSL ROY,A Castellano,0,1
0,28,0.816,41,6,56,DSL CUB,S Ubiera,4,3
1,20,0.871,37,5,48,DSL TIG,M Joseph,3,2
1,9,0.346,6,2,3,DSL NYY2,J De la Rosa,0,0
0,7,0.509,17,3,8,DSL DIA,J Ordaz,0,1
2,12,0.584,5,1,3,DSL FLA,J Heredia,0,0
0,5,0.693,18,2,28,DSL TWI,F Mateo,2,2
0,8,0.675,10,0,8,DSL BRA,J Cortes,3,0
1,13,0.539,15,1,15,DSL TWI,R Silva,0,0
0,27,0.717,20,4,16,DSL DIA,G Jimenez,1,1
2,20,0.507,13,2,5,DSL FLA,P Made,0,1
1,25,0.74,28,2,27,DSL NYY2,B Reyes,5,0
0,22,0.694,12,6,17,DSL ANG,L Espinoza,1,0
1,16,0.608,8,1,28,DSL BRA,A Flores,1,0
8,16,0.545,23,4,18,DSL AST,J Reynoso,1,3
0,22,0.635,31,9,30,DSL BRW,Y Santana,2,3
0,8,0.642,10,2,6,DSL FLA,G Moscat,0,0
3,24,0.797,41,9,33,DSL REDS,H Vargas,0,1
3,56,0.826,43,3,35,DSL TIG,Y Pena,3,2
0,0,0.333,1,0,0,DSL BRW,C Belonis,0,0
0,33,0.69,33,1,39,DSL NYY1,P Urena,6,0
0,1,0.434,0,0,3,DSL FLA,S Corcino,0,0
0,2,0.249,1,0,0,DSL TWI,L Gonzalez,0,0
1,19,0.543,15,0,5,DSL BRW,J De Leon,0,0
1,6,0.707,12,2,12,DSL ATH,R Mullen,1,0
3,28,0.858,45,10,28,DSL REDS,M Mendez,0,2
0,8,0.554,13,0,4,DSL NAT,W Suarez,1,0
2,54,0.914,40,1,36,DSL PIR,C Munoz,3,2
2,52,0.732,36,2,27,DSL BLJ,J Kelly,2,1
1,6,0.447,4,0,2,DSL CUB,B Flete,0,0
1,19,0.538,17,5,11,DSL PIR,C Esqueda,0,0
0,12,0.563,29,4,24,DSL BRW,J Ortiz,4,1
3,19,0.717,20,3,7,DSL CAR,A Cordoba,0,1
1,18,0.618,18,6,9,DSL TWI,C Martinez,0,2
4,31,0.643,36,6,13,DSL MTS,S Marte,0,1
3,24,0.768,18,3,17,DSL SEA,A Nieto,1,0
2,17,0.662,19,0,16,DSL PIR,D Hurtarte,0,0
0,15,0.775,15,5,14,DSL ATH,S Pimentel,2,3
0,18,0.643,19,0,15,DSL MTS,D Rodriguez,0,0
1,8,0.559,6,1,7,DSL AST,V Tavarez,2,0
1,9,0.399,12,2,4,DSL RSX,O Bartomolde,0,1
1,34,0.646,24,2,27,DSL ANG,J Herrera,0,0
7,12,0.442,14,5,6,DSL ROCK,J Rodriguez,0,0
0,9,0.513,9,0,4,DSL DOD,S Ortiz,0,0
0,12,0.601,14,5,27,DSL TIG,F Santana,1,2
0,11,0.534,12,3,10,DSL SEA,H Martinez,0,0
2,32,0.547,41,13,8,DSL MET,Y Pierre,0,0
1,14,0.446,12,3,7,DSL MET,R Guzman,0,0
3,16,0.597,32,3,20,DSL PHI,W Torres,3,0
0,10,0.687,14,0,12,DSL RGR,R Valencia,2,0
1,10,0.641,16,2,7,DSL IND,Y Sanchez,1,2
1,5,0.558,6,0,9,DSL AST,J Bermejo,1,0
1,8,0.64,13,4,6,DSL REDS,F Guerrero,0,0
2,7,0.481,5,0,7,DSL TB,J Trinidad,0,1
1,9,0.596,9,2,8,DSL BRA,I Henriquez,0,1
3,13,0.743,13,4,9,DSL ORI,F Betemit,0,1
3,22,0.648,16,4,11,DSL WSX,D Gonzalez,0,2
3,16,0.614,28,2,17,DSL DOD,N Nunez,1,1
0,8,0.921,15,4,14,DSL PIR,Y Adames,5,0
0,11,0.801,11,3,12,DSL TB,J Herrera,2,0
0,0,0.5,0,0,0,DSL PHI,Y Reyes,0,0
3,20,0.67,29,10,19,DSL PHI,H Arrocha,0,2
2,49,0.705,41,8,23,DSL CUB,J Emeterio,1,1
1,8,0.698,8,2,2,DSL TB,J Rosario,0,0
0,9,0.548,4,3,5,DSL BAL,G Gil,1,0
0,27,0.668,21,2,12,DSL NAT,I Mota,1,1
0,7,0.59,18,1,31,DSL BRA,C Castro,3,1
0,25,0.532,20,5,18,DSL MET,E Diaz,1,1
0,9,0.626,21,2,31,DSL ROCK,H Garcia,0,0
2,15,0.661,9,0,5,DSL RGR,D Cedeno,0,0
3,10,0.558,4,1,7,DSL AST,J Cortorreal,0,0
1,11,0.776,15,2,21,DSL DIA,Y Rosario,1,4
0,6,0.356,7,3,3,DSL SEA,C Baez,0,0
1,22,0.486,17,0,7,DSL NYY2,O Cedeno,0,0
0,0,0.667,0,0,1,DSL DOD,R Hernandez,0,1
0,0,0.0,0,1,0,DSL NAT,F Peguero,0,0
4,41,0.568,26,4,17,DSL PIR,B Chourio,0,4
4,33,0.754,47,5,18,DSL CUB,R Caro,0,8
0,9,0.532,3,0,1,DSL GSI,A Gomez,0,0
1,23,0.67,35,2,23,DSL NAT,K Gutierrez,0,2
2,9,0.447,13,1,6,DSL CAR,Y Sanchez,0,1
2,26,0.633,32,8,16,DSL RSX,J Nunez,0,3
1,18,0.642,12,1,13,DSL RSX,I Lucena,0,1
1,32,0.546,23,5,14,DSL MET,J Martinez,0,2
4,33,0.671,53,5,17,DSL MTS,J Figuera,0,1
1,32,0.822,38,3,34,DSL PIR,A Bastardo,2,3
0,29,0.57,20,1,21,DSL CAR,J Lopez,2,0
0,12,0.924,23,3,29,DSL CAR,B Franco,3,3
0,13,0.66,8,0,14,DSL GSI,E Hernandez,0,1
0,14,0.516,13,2,18,DSL BAL,L Chaves,3,0
0,16,0.627,13,2,18,DSL IND,A De Los Santos,1,0
0,12,0.587,16,1,21,DSL FLA,A Peguero,3,0
0,2,0.733,2,1,1,DSL FLA,S Javier,0,1
3,17,0.645,14,5,16,DSL SEA,G Ramirez,1,1
1,22,0.616,18,3,21,DSL FLA,A Reyes,1,1
5,29,0.68,25,10,9,DSL BRA,Y Grullon,0,0
3,43,0.78,40,3,22,DSL SEA,A Almonte,4,2
0,0,1.4,1,0,1,DSL TB,A Perez,0,1
4,15,0.599,26,12,16,DSL DOD,A Sandoval,0,2
0,34,0.828,50,10,26,DSL NYY1,J Mateo,7,6
3,31,0.81,36,14,46,DSL MTS,J Mora,0,5
1,11,0.609,16,0,19,DSL NAT,B Serrata,0,3
0,10,0.725,13,2,16,DSL BRW,S Matos,4,1
0,17,0.537,20,1,18,DSL CAR,L Bandes,2,2
0,7,0.55,17,2,11,DSL GSI,R Medrano,1,1
0,9,0.332,7,1,1,DSL BLJ,J Almanzar,0,0
2,17,0.732,35,1,37,DSL NYY2,A Aguilar,3,3
2,13,0.626,14,2,9,DSL FLA,E Solano,0,0
0,14,0.451,10,3,13,DSL MET,C Sanchez,0,0
2,30,0.739,38,7,22,DSL GSI,G Cabrera,2,4
3,21,0.714,30,2,13,DSL PAD,D Pomare,0,4
0,4,0.452,2,1,3,DSL PIR,P Reyes,0,0
0,21,0.7,32,3,31,DSL DOD,M Medina,10,2
4,26,0.755,30,6,21,DSL PAD,L Barahona,0,3
0,4,0.333,1,2,0,DSL RSX,L Yovera,0,0
1,10,0.516,8,3,9,DSL ANG,G Santana,0,0
4,18,0.597,30,7,11,DSL PAD,D Bravo,1,2
2,5,0.545,9,1,10,DSL PIR,R Cerda,0,0
2,20,0.624,17,4,17,DSL PHI,J Posso,2,0
0,7,0.844,10,0,11,DSL MTS,H Rojas,0,0
0,11,0.786,36,8,15,DSL DIA,F Ozuna,2,2
1,10,0.663,13,0,7,DSL BLJ,E Alcantara,0,0
1,12,0.75,21,0,11,DSL RGR,J Gonzalez,1,0
4,16,0.723,15,6,9,DSL DOD,R Gomez,0,2
2,20,0.8,21,1,27,DSL RGR,K Mendoza,0,0
1,14,0.684,16,7,3,DSL SEA,E Mejia,0,1
1,37,0.732,34,8,20,DSL CUB,V Cuevas,1,3
0,13,0.563,9,1,8,DSL BAL,K Mena,0,0
0,20,0.824,22,3,13,DSL GSI,C Valdez,5,3
1,9,0.712,28,4,22,DSL AST,H Roa,7,3
0,36,0.802,44,3,55,DSL CUB,A Paula,3,5
0,4,0.459,1,0,1,DSL RGR,T McDonald,0,0
0,17,0.469,17,2,18,DSL CAR,H Alvarado,3,0
0,25,0.705,23,1,18,DSL GSI,C Cartagena,4,1
4,23,0.806,27,4,28,DSL PIR,P Reyes,3,3
1,7,0.682,11,3,2,DSL PAD,M Lendor,0,0
1,3,0.59,9,0,5,DSL CAR,D Pena,0,1
1,12,0.538,6,2,12,DSL SEA,J Franco,0,0
0,19,0.728,8,2,20,DSL GSI,K Rivas,2,0
5,16,0.502,19,8,21,DSL PHI,E Salas,2,1
5,27,0.559,28,4,14,DSL IND,J Rodriguez,0,2
2,13,0.6,16,1,19,DSL BRA,C Vasquez,0,2
4,10,0.513,20,2,8,DSL BRA,N Cleofa,1,0
3,25,0.922,39,7,26,DSL CUB,D Ortiz,1,9
1,7,0.619,16,0,10,DSL NYY1,H Asencio,1,1
3,12,0.514,22,5,13,DSL ROCK,R Reyes,1,0
3,19,0.628,21,3,22,DSL BRA,L Tejada,2,3
1,8,0.587,9,1,3,DSL WSX,V Santana,1,0
