Fecha,Match,Result,Appearance,MINS,G,A,SHT,SOG,FC,FS,Y,R
9/19/2012,CHV @ CLB,L 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
9/15/2012,SJ @ CHV,L 2-0,Unused Sub,0,0,0,0,0,0,0,0,0
9/8/2012,CHV @ SEA,L 1-2,Subbed On,27,0,0,0,0,2,0,0,0
9/2/2012,CHV @ SJ,L 0-4,Started,69,0,0,3,1,0,0,0,0
8/29/2012,CHV @ NE,T 3-3,Started,54,0,0,1,1,1,2,0,0
8/25/2012,SEA @ CHV,L 6-2,Started,69,0,1,2,0,1,3,0,0
8/18/2012,CHV @ COL,T 1-1,Subbed On,29,0,1,1,1,0,0,0,0
8/12/2012,LA @ CHV,L 4-0,Unused Sub,0,0,0,0,0,0,0,0,0
7/28/2012,CHV @ POR,W 1-0,Unused Sub,0,0,0,0,0,0,0,0,0
7/21/2012,CHV @ LA,L 1-3,Unused Sub,0,0,0,0,0,0,0,0,0
7/18/2012,POR @ CHV,W 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
7/7/2012,VAN @ CHV,T 0-0,Unused Sub,0,0,0,0,0,0,0,0,0
6/23/2012,CHV @ DAL,T 0-0,Unused Sub,0,0,0,0,0,0,0,0,0
6/20/2012,MTL @ CHV,W 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
6/16/2012,RSL @ CHV,L 3-0,Unused Sub,0,0,0,0,0,0,0,0,0
5/26/2012,SEA @ CHV,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
5/23/2012,CHV @ NY,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
5/19/2012,LA @ CHV,W 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
5/13/2012,CHV @ SJ,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
5/4/2012,CHI @ CHV,L 2-1,Unused Sub,0,0,0,0,0,0,0,0,0
4/28/2012,CHV @ COL,L 0-4,Unused Sub,0,0,0,0,0,0,0,0,0
4/21/2012,PHI @ CHV,L 1-0,Unused Sub,0,0,0,0,0,0,0,0,0
4/14/2012,CHV @ TOR,W 1-0,Unused Sub,0,0,0,0,0,0,0,0,0
4/7/2012,CHV @ POR,W 2-1,Unused Sub,0,0,0,0,0,0,0,0,0
4/1/2012,KC @ CHV,L 1-0,Unused Sub,0,0,0,0,0,0,0,0,0
3/24/2012,CHV @ RSL,W 1-0,Unused Sub,0,0,0,0,0,0,0,0,0
3/17/2012,VAN @ CHV,L 1-0,Unused Sub,0,0,0,0,0,0,0,0,0
3/11/2012,HOU @ CHV,L 1-0,Unused Sub,0,0,0,0,0,0,0,0,0
10/22/2011,SEA @ CHV,L 3-1,Unused Sub,0,0,0,0,0,0,0,0,0
10/16/2011,CHV @ LA,L 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
10/2/2011,PHI @ CHV,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
9/24/2011,TOR @ CHV,W 0-3,Unused Sub,0,0,0,0,0,0,0,0,0
9/21/2011,CHV @ DC,T 2-2,Unused Sub,0,0,0,0,0,0,0,0,0
9/17/2011,CHV @ CHI,L 2-3,Unused Sub,0,0,0,0,0,0,0,0,0
9/10/2011,DC @ CHV,L 3-0,Unused Sub,0,0,0,0,0,0,0,0,0
8/27/2011,RSL @ CHV,L 1-0,Unused Sub,0,0,0,0,0,0,0,0,0
8/24/2011,CHV @ POR,L 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
8/20/2011,CHV @ COL,T 2-2,Unused Sub,0,0,0,0,0,0,0,0,0
8/13/2011,CHV @ SEA,T 0-0,Unused Sub,0,0,0,0,0,0,0,0,0
8/6/2011,CHV @ NE,W 3-2,Unused Sub,0,0,0,0,0,0,0,0,0
7/31/2011,CHV @ DAL,L 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
7/23/2011,HOU @ CHV,W 0-3,Unused Sub,0,0,0,0,0,0,0,0,0
7/16/2011,NY @ CHV,T 0-0,Unused Sub,0,0,0,0,0,0,0,0,0
7/9/2011,CHV @ KC,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
7/6/2011,SJ @ CHV,W 0-2,Unused Sub,0,0,0,0,0,0,0,0,0
7/2/2011,CHI @ CHV,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
6/25/2011,CHV @ PHI,L 2-3,Unused Sub,0,0,0,0,0,0,0,0,0
6/18/2011,DAL @ CHV,L 2-1,Subbed On,27,0,0,1,0,1,1,0,0
6/11/2011,CHV @ HOU,L 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
6/4/2011,POR @ CHV,W 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
6/1/2011,VAN @ CHV,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
5/28/2011,CHV @ CLB,T 3-3,Unused Sub,0,0,0,0,0,0,0,0,0
5/21/2011,LA @ CHV,L 1-0,Unused Sub,0,0,0,0,0,0,0,0,0
5/15/2011,CHV @ NY,W 3-2,Unused Sub,0,0,0,0,0,0,0,0,0
5/7/2011,CHV @ RSL,L 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
4/30/2011,NE @ CHV,W 0-3,Unused Sub,0,0,0,0,0,0,0,0,0
4/23/2011,CHV @ SJ,W 2-1,Unused Sub,0,0,0,0,0,0,0,0,0
4/16/2011,CHV @ VAN,T 0-0,Unused Sub,0,0,0,0,0,0,0,0,0
4/9/2011,CLB @ CHV,T 0-0,Unused Sub,0,0,0,0,0,0,0,0,0
4/2/2011,CHV @ TOR,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
3/26/2011,COL @ CHV,L 1-0,Subbed On,14,0,0,0,0,0,1,0,0
3/19/2011,KC @ CHV,L 3-2,Subbed On,19,0,0,1,0,1,0,0,0
10/24/2010,DAL @ LA,W 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
10/16/2010,COL @ LA,L 3-1,Unused Sub,0,0,0,0,0,0,0,0,0
10/7/2010,LA @ PHI,W 1-0,Unused Sub,0,0,0,0,0,0,0,0,0
10/3/2010,LA @ CHV,W 2-1,Subbed On,1,0,0,0,0,0,0,0,0
9/24/2010,NY @ LA,L 2-0,Subbed On,14,0,0,1,1,0,1,0,0
9/18/2010,DC @ LA,W 1-2,Subbed On,12,0,1,0,0,0,0,0,0
9/11/2010,CLB @ LA,W 1-3,Unused Sub,0,0,0,0,0,0,0,0,0
9/4/2010,LA @ CHI,T 1-1,Started,61,0,0,2,1,0,0,0,0
8/28/2010,KC @ LA,L 2-0,Subbed On,28,0,0,0,0,1,0,0,0
8/21/2010,LA @ SJ,L 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
8/14/2010,LA @ NY,W 1-0,Started,61,0,0,2,0,0,0,0,0
8/1/2010,CHI @ LA,L 3-2,Started,90,0,0,2,0,1,1,1,0
7/22/2010,SJ @ LA,T 2-2,Subbed On,30,0,0,2,0,0,0,0,0
7/18/2010,LA @ DC,W 2-1,Unused Sub,0,0,0,0,0,0,0,0,0
7/10/2010,LA @ NE,L 0-2,Started,63,0,0,2,2,2,2,1,0
7/4/2010,SEA @ LA,W 1-3,Started,75,0,0,0,0,0,1,0,0
6/26/2010,LA @ TOR,T 0-0,Started,84,0,0,3,3,1,0,0,0
6/9/2010,LA @ RSL,L 0-1,Started,72,0,0,2,1,1,0,0,0
6/5/2010,HOU @ LA,W 1-4,Started,90,1,0,4,2,1,0,0,0
5/29/2010,LA @ CLB,W 2-0,Started,90,1,0,1,1,1,2,0,0
5/20/2010,LA @ DAL,W 1-0,Started,65,0,1,0,0,1,1,0,0
5/15/2010,TOR @ LA,T 0-0,Unused Sub,0,0,0,0,0,0,0,0,0
5/8/2010,LA @ SEA,W 4-0,Subbed On,27,0,0,1,0,1,1,1,0
5/5/2010,LA @ COL,W 1-0,Unused Sub,0,0,0,0,0,0,0,0,0
5/1/2010,PHI @ LA,W 1-3,Subbed On,15,0,0,0,0,0,0,0,0
4/24/2010,LA @ KC,T 0-0,Unused Sub,0,0,0,0,0,0,0,0,0
4/17/2010,RSL @ LA,W 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
4/10/2010,LA @ HOU,W 2-0,Unused Sub,0,0,0,0,0,0,0,0,0
4/1/2010,CHV @ LA,W 0-2,Unused Sub,0,0,0,0,0,0,0,0,0
3/27/2010,NE @ LA,W 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
