CS,G,H,Player,OPS,R,GIDP
0,93,84,A Lavisky,0.718,44,8
3,48,30,M Brisker,0.574,23,3
0,103,96,R Aguila,0.678,51,20
11,137,134,S Schebler,0.7,67,8
2,63,49,R Garcia,0.607,24,3
3,92,73,Y Gonzalez,0.587,37,10
2,21,16,Y Espinal,0.64,9,4
0,28,18,C Schaeffer,0.666,14,1
2,34,19,G Purroy,0.472,5,2
4,106,89,J Bosnik,0.651,47,8
10,101,83,M Walla,0.666,58,7
0,18,14,K Knudson,0.68,3,4
1,67,78,L Adams,0.785,40,4
0,1,1,R Linares,1.0,1,0
2,13,8,A Morales,0.554,6,0
0,4,2,C Gomez,0.599,2,0
0,82,74,D Espy,0.638,33,7
2,78,82,M Dowd,0.722,28,6
5,62,55,O Calixte,0.768,31,5
0,5,4,C Tanabe,0.742,0,0
2,114,96,J Winker,0.674,57,1
9,130,128,N Martini,0.705,82,10
4,58,61,R Jones,0.816,30,3
12,99,74,T Motter,0.72,41,10
2,93,79,A Pettersen,0.632,51,3
5,79,57,L Orr,0.718,41,6
0,1,0,T Lane,0.0,0,0
0,17,10,C Murphy,0.452,9,2
2,20,9,K Na,0.425,6,0
0,29,25,J Casas,0.588,13,1
1,59,64,S Selsky,0.717,27,2
6,106,105,O Dickson,0.845,63,7
0,7,3,M Perry,0.375,4,0
5,51,44,K Taylor,0.6,22,7
5,103,81,T Goeddel,0.706,52,8
1,42,32,J Hunt,0.718,17,2
1,131,135,D Mateo,0.711,73,14
3,78,65,T Hankins,0.676,40,1
0,41,42,A Melchionda,0.761,14,4
7,59,67,T Jankowski,0.687,32,4
0,28,20,J Patton,0.666,7,2
1,48,49,C Casali,0.902,25,6
0,56,55,J McVaney,0.698,34,2
9,117,127,J Trapp,0.783,75,5
2,19,25,K Muller,0.94,17,2
0,38,36,R Cuneo,0.731,11,1
2,105,80,T Hairgrove,0.561,36,7
13,131,134,C Wright,0.654,73,7
3,105,116,J Bonifacio,0.768,54,12
0,18,10,J Acevedo,0.538,5,2
0,34,25,A Munoz,0.563,11,1
6,109,111,A Garcia,0.879,63,3
1,24,21,B Zapenas,0.696,13,0
3,110,89,J Krizan,0.67,38,5
1,74,74,M Rice,0.793,26,10
0,13,8,P Tolentino,0.689,4,1
2,71,75,C Perez,0.804,48,8
0,1,0,J Guida,0.0,0,0
2,73,75,A Monsalve,0.73,36,9
4,67,77,G Montilla,0.82,39,5
1,12,14,L Castillo,0.869,12,0
1,23,17,R Pineda,0.578,5,0
5,109,119,B McMahan,0.835,64,2
0,18,14,C Elder,0.748,7,0
4,84,70,T Stubblefield,0.74,38,4
7,68,73,A Llanos,0.653,30,4
4,22,26,D Ortiz,0.751,8,2
12,110,127,J Austin,0.667,72,5
7,97,75,J Arias,0.568,52,6
0,76,57,J De Jesus,0.655,27,6
3,39,21,M Fabiaschi,0.609,14,0
9,97,84,J Williams,0.651,60,2
1,6,1,C Powers,0.178,2,0
0,74,55,N O'Shea,0.529,24,8
5,38,29,M Garza,0.517,12,3
2,111,125,D Paolini,0.869,68,6
1,23,14,R Davis,0.814,12,2
5,61,44,N Gallego,0.559,20,4
0,39,28,J Caminero,0.504,12,4
10,70,65,T Easterling,0.681,29,11
0,68,61,P Leyland,0.55,18,5
7,133,123,S Jamieson,0.743,79,8
1,16,7,S Dickinson,0.431,4,2
3,117,119,A Workman,0.752,65,5
2,66,72,J Choi,0.883,43,7
6,75,53,Z MacPhee,0.616,27,6
0,6,3,A Torres,0.442,1,0
0,8,4,C Lewis,0.267,0,2
1,3,4,J Dore,0.718,0,0
3,91,99,T Glaesmann,0.806,57,6
0,7,7,G Suarez,0.795,4,0
2,18,10,N Bartolone,0.43,6,2
13,117,127,J Peterson,0.77,78,4
0,24,13,B Stone,0.465,8,0
3,42,39,D Martinez,0.59,19,6
7,71,62,J Sierra,0.541,33,4
0,41,49,K Vargas,1.03,22,4
0,4,2,M Stokes,0.432,0,0
0,1,0,D Baxendale,0.0,0,0
12,122,126,F Lindor,0.707,83,19
0,51,39,L Durham,0.827,21,1
0,13,10,D Villasuso,0.875,6,0
5,49,48,S Wickens,0.789,31,4
0,5,2,W Argo,0.364,1,1
2,36,24,M Crouse,0.598,18,2
0,10,5,J Montero,0.636,4,0
5,65,70,Y Rodriguez,0.737,35,3
0,49,33,C Rasmus,0.56,21,0
6,115,114,T Whitmore,0.75,56,6
3,26,26,J Miller,0.692,12,4
9,86,85,J Goncalves,0.746,42,5
1,8,7,B Billigen,0.693,2,2
0,39,32,S Burruel,0.611,12,4
3,83,72,C Pan,0.625,36,5
0,5,2,J Wooten,0.393,1,0
3,26,17,R Rhodes,0.551,12,1
0,1,1,J Dominguez,2.0,0,0
1,9,9,B Kline,0.78,2,0
0,10,11,D Bergin,1.046,4,0
7,99,90,D Landaeta,0.66,46,9
2,116,104,S Buckley,0.72,46,5
1,5,5,D Pompey,0.579,1,0
2,30,23,D Shines,0.63,12,4
1,102,114,R Morla,0.785,63,12
