SF,R,3B,SO,POS,RBI,GIDP,2B
1,22,2,39,DH,21,2,7
8,32,0,29,3B,22,4,9
0,0,0,0,P,0,0,0
2,31,1,27,SS,21,5,21
1,4,0,6,OF,1,0,0
1,25,0,36,1B,20,6,7
1,8,0,16,1B,7,1,3
0,5,0,23,OF,0,1,0
6,24,2,36,OF,25,2,8
3,32,1,73,OF,33,3,14
0,8,1,44,OF,10,5,4
0,18,4,24,RF,18,4,5
0,2,0,5,C,2,1,0
1,46,1,38,OF,38,1,10
1,21,2,70,SS,13,1,4
0,44,2,40,OF,10,2,3
2,8,1,13,1B,10,2,4
1,15,0,26,2B,5,2,0
0,0,0,3,P,0,0,0
0,0,0,0,P,0,0,0
2,36,0,27,3B,26,1,11
0,3,0,20,C,2,0,0
1,27,4,54,DH,11,2,6
2,42,5,48,OF,37,4,10
2,9,0,58,OF,12,4,6
0,9,0,27,LF,4,0,1
0,21,0,45,C,12,2,4
1,16,2,22,C,8,1,3
2,24,0,36,LF,40,1,13
0,33,1,31,2B,21,2,5
0,2,0,5,OF,3,0,2
0,9,0,18,P,2,1,2
2,11,1,10,SS,11,1,5
1,37,2,46,OF,27,7,8
0,16,0,56,OF,11,2,11
1,31,1,47,SS,25,1,8
0,18,1,17,1B,15,6,6
0,18,0,30,SS,5,1,4
2,26,2,10,2B,23,2,4
1,26,1,59,OF,25,2,3
1,14,2,17,SS,5,0,3
2,17,3,46,OF,11,5,7
1,17,0,27,3B,8,0,2
1,28,0,34,3B,20,3,6
1,18,2,23,2B,18,1,3
0,4,0,12,OF,1,0,0
0,8,0,12,C,7,2,4
1,20,0,55,3B,20,10,9
0,3,0,14,LF,0,0,1
2,8,0,31,1B,12,3,5
0,13,0,19,OF,5,0,0
1,14,0,47,1B,24,3,6
1,17,0,10,2B,7,1,2
0,7,1,27,1B,15,3,2
1,13,1,31,2B,3,1,1
1,23,4,15,3B,13,2,4
0,9,1,2,RF,3,1,2
0,19,0,20,RF,13,7,10
1,7,2,14,DH,7,1,1
0,11,0,19,C,5,5,3
3,45,2,46,OF,33,4,8
2,20,1,43,C,15,2,9
3,46,3,38,2B,36,3,9
3,22,2,27,OF,28,9,16
3,8,1,37,OF,11,0,2
0,9,0,7,DH,12,1,2
1,18,1,34,OF,18,3,6
0,9,1,17,2B,5,2,7
2,29,3,31,CF,19,4,7
1,24,1,24,3B,12,2,10
2,12,0,46,SS,18,7,7
0,4,1,14,OF,3,0,0
0,6,0,16,3B,3,1,2
5,20,0,19,C,23,4,11
1,43,9,29,3B,30,3,17
0,19,0,37,P,16,3,4
6,33,0,51,3B,38,3,10
1,8,0,18,C,16,4,5
4,16,0,23,1B,16,7,7
1,16,0,25,RF,10,2,2
3,38,5,32,3B,23,2,8
3,26,1,53,2B,15,1,2
4,40,6,56,RF,44,7,16
0,37,1,24,OF,30,6,15
1,11,1,21,3B,5,2,3
0,12,2,20,OF,12,2,2
0,4,0,6,OF,1,2,0
0,17,0,35,OF,7,1,4
1,33,1,14,SS,9,5,5
0,0,0,0,P,0,0,0
2,12,0,40,C,15,1,6
0,4,0,13,OF,6,0,6
0,0,0,1,P,0,1,0
0,12,0,32,2B,7,1,0
1,13,1,16,C,9,3,5
1,31,4,75,OF,25,2,11
0,9,0,8,SS,5,1,2
0,4,0,6,1B,6,2,2
0,15,0,34,OF,5,5,5
0,14,1,15,SS,0,0,5
0,1,0,3,DH,0,0,0
4,25,2,9,SS,24,2,15
1,14,1,45,OF,11,3,7
2,33,5,48,OF,30,1,15
0,19,2,50,OF,13,0,7
0,15,6,32,OF,16,0,5
3,13,1,36,OF,10,1,6
2,19,2,20,CF,17,4,7
1,17,2,30,DH,17,5,1
1,18,0,20,LF,14,5,6
0,13,1,11,LF,5,1,5
0,3,0,6,C,2,0,2
3,26,2,33,OF,22,4,17
2,35,8,47,SS,26,1,8
2,12,0,28,C,17,4,6
2,12,0,26,C,7,1,5
0,3,0,9,2B,1,2,1
2,26,1,41,3B,23,1,7
0,22,2,47,OF,13,4,7
