Birth Rate rank [1],Death Rate rank [2],Net Birth Rate rank [3],Popul. rank [4],Abs Popul. Growth rank [5],GDP rank [6],GDP per capita rank [7],GDPpc * Popul. growth rank [8],Country,Popul. [million] [4],GDP (ppp) [b$] [6],GDP per capita [$] [7],GDPpc * Popul. growth [b$] [8],Death rate [/1000 a] [2],Net Birth rate [/1000] [3],Birth rate [/1000] [1],Abs Popul. Growth [1000] [5]
196,62,190,86,200,36,25,200,Sweden,9.02,285.0,31619,-0.01,10.31,-0.04,10.27,-0.36
88,125,81,87,72,104,153,80,Bolivia,8.99,27.2,3027,0.43,7.53,15.77,23.3,142.0
17,19,8,88,52,162,220,118,Somalia,8.86,5.02,567,0.14,16.63,28.5,45.13,253.0
35,23,22,89,57,134,186,91,Rwanda,8.65,13.5,1566,0.33,16.09,24.28,40.37,210.0
36,48,34,90,60,133,182,87,Haiti,8.31,14.6,1752,0.35,12.17,24.27,36.44,202.0
201,73,216,91,208,37,19,213,Austria,8.19,280.0,34115,-0.29,9.76,-1.02,8.74,-8.4
15,36,15,92,56,154,216,110,Burundi,8.09,5.74,710,0.17,13.46,28.76,42.22,233.0
116,74,101,93,88,78,111,67,Azerbaijan,7.96,58.1,7298,0.64,9.75,10.99,20.74,87.0
24,47,28,94,58,147,203,102,Benin,7.86,8.93,1136,0.24,12.22,26.63,38.85,209.0
183,98,201,95,132,41,20,93,Switzerland,7.52,253.0,33613,0.31,8.49,1.22,9.71,9.2
218,31,203,96,216,68,86,215,Bulgaria,7.39,77.1,10444,-0.36,14.27,-4.62,9.65,-34.1
45,183,63,97,65,112,155,77,Honduras,7.33,22.1,3021,0.51,5.28,22.96,28.24,168.0
34,107,49,98,64,144,196,103,Tajikistan,7.32,9.41,1285,0.23,8.25,24.4,32.65,179.0
186,156,221,99,135,40,15,96,Hong Kong,6.94,253.0,36467,0.25,6.29,1.0,7.29,6.9
58,170,70,100,71,97,132,62,El Salvador,6.82,33.2,4866,0.69,5.78,20.83,26.61,142.0
33,200,61,101,67,99,135,59,Paraguay,6.51,30.6,4709,0.75,4.49,24.61,29.1,160.0
37,51,38,102,68,135,169,92,Laos,6.37,13.4,2109,0.32,11.55,23.94,35.49,152.0
112,164,120,103,91,55,41,32,Israel,6.35,166.0,26180,1.96,6.18,11.79,17.97,75.0
47,6,5,104,74,156,212,119,Sierra Leone,6.01,5.38,896,0.12,23.03,22.73,45.76,136.0
73,218,99,105,79,102,131,71,Jordan,5.91,28.9,4891,0.54,2.65,18.6,21.25,110.0
44,215,71,106,75,70,75,36,Libya,5.9,75.0,12705,1.73,3.48,23.01,26.49,136.0
49,128,59,107,76,130,157,90,Papua New Guinea,5.67,15.1,2668,0.33,7.25,22.11,29.36,125.0
67,203,79,108,78,126,154,88,Nicaragua,5.57,16.8,3021,0.34,4.45,20.06,24.51,112.0
21,72,32,109,70,145,184,97,Togo,5.55,9.25,1667,0.25,9.83,27.18,37.01,151.0
187,61,177,110,144,47,16,113,Denmark,5.45,199.0,36418,0.15,10.36,0.77,11.13,4.2
184,78,186,111,140,61,61,120,Slovakia,5.44,96.4,17713,0.12,9.45,1.2,10.65,6.5
188,70,187,112,148,54,23,124,Finland,5.23,172.0,32821,0.1,9.86,0.59,10.45,3.1
89,134,86,113,89,140,172,111,Kyrgyzstan,5.21,10.5,2012,0.16,7.08,15.72,22.8,82.0
72,97,66,114,85,86,90,57,Turkmenistan,5.04,45.1,8945,0.86,8.6,19.01,27.61,96.0
31,77,43,115,77,167,210,122,Eritrea,4.79,4.47,934,0.11,9.6,24.73,34.33,118.0
185,85,188,116,142,122,145,152,Georgia,4.66,17.8,3816,0.02,9.23,1.18,10.41,5.5
180,81,174,117,131,44,7,81,Norway,4.61,207.0,44959,0.43,9.4,2.06,11.46,9.5
190,103,214,118,157,110,123,162,Bosnia and Herzegovina,4.5,24.8,5512,0.01,8.27,0.5,8.77,2.2
207,52,204,119,209,76,73,206,Croatia,4.49,59.4,13218,-0.11,11.48,-1.87,9.61,-8.4
158,207,206,120,114,58,30,61,Singapore,4.49,139.0,30854,0.7,4.28,5.06,9.34,23.0
172,43,138,121,122,146,173,149,Moldova,4.47,8.97,2008,0.03,12.64,3.06,15.7,14.0
91,16,44,122,94,164,202,130,Central African Republic,4.3,4.91,1142,0.07,18.65,15.26,33.91,66.0
150,124,156,123,113,60,42,65,New Zealand,4.08,106.0,26005,0.66,7.53,6.23,13.76,25.0
103,206,113,124,95,84,80,63,Costa Rica,4.08,48.8,11967,0.68,4.36,13.96,18.32,57.0
147,116,149,125,111,51,8,44,Ireland,4.06,177.0,43621,1.17,7.82,6.63,14.45,27.0
157,122,161,126,116,71,59,84,Puerto Rico,3.93,74.9,19070,0.38,7.65,5.12,12.77,20.0
110,163,112,127,100,115,122,95,Lebanon,3.87,21.5,5537,0.26,6.21,12.31,18.52,48.0
12,40,14,128,80,163,193,115,Republic of the Congo,3.7,4.96,1339,0.15,12.93,29.64,42.57,110.0
208,55,215,129,206,80,65,208,Lithuania,3.59,54.0,15067,-0.12,10.98,-2.23,8.75,-8.0
127,186,146,130,107,118,120,105,Albania,3.58,20.2,5643,0.2,5.22,9.89,15.11,35.0
160,90,154,131,118,95,84,109,Uruguay,3.43,36.6,10653,0.18,9.05,4.86,13.91,17.0
86,181,97,132,97,108,103,82,Panama,3.19,25.3,7925,0.41,5.36,16.38,21.74,52.0
14,49,19,133,87,148,159,100,Mauritania,3.18,8.4,2643,0.24,12.16,28.83,40.99,92.0
7,213,35,134,82,89,70,40,Oman,3.1,43.9,14145,1.42,3.81,32.43,36.24,101.0
50,5,10,135,93,174,208,131,Liberia,3.04,2.91,957,0.06,23.1,21.67,44.77,66.0
167,109,169,136,123,128,125,132,Armenia,2.98,16.0,5372,0.06,8.23,3.84,12.07,11.0
96,138,98,137,103,153,171,127,Mongolia,2.83,5.78,2041,0.08,6.95,14.64,21.59,41.0
100,150,100,138,104,136,137,108,Jamaica,2.76,12.7,4608,0.18,6.52,14.3,20.82,39.0
98,205,108,139,105,59,5,34,United Arab Emirates,2.6,129.0,49717,1.88,4.4,14.56,18.96,38.0
20,212,51,140,92,158,168,114,West Bank,2.46,5.33,2165,0.15,3.92,27.75,31.67,68.0
69,220,95,141,101,81,50,50,Kuwait,2.42,52.2,21572,1.02,2.41,19.53,21.94,47.0
56,42,46,142,99,175,198,133,Bhutan,2.28,2.9,1272,0.06,12.7,20.95,33.65,48.0
217,34,208,143,210,96,64,210,Latvia,2.27,35.1,18005,-0.16,13.66,-4.42,9.24,-10.1
171,93,170,144,137,125,99,136,Macedonia,2.05,16.9,8247,0.05,8.77,3.25,12.02,6.7
155,15,80,145,124,131,110,128,Namibia,2.04,15.0,7358,0.08,18.86,5.46,24.32,11.0
216,3,77,146,207,159,162,202,Lesotho,2.02,5.2,2569,-0.02,28.71,-3.96,24.75,-8.0
204,63,211,147,203,85,47,204,Slovenia,2.01,47.1,23439,-0.06,10.31,-1.33,8.98,-2.7
22,45,27,148,102,170,176,126,The Gambia,1.64,3.25,1980,0.09,12.25,27.12,39.37,45.0
221,2,83,149,211,120,81,207,Botswana,1.64,18.7,11416,-0.12,29.5,-6.42,23.08,-10.5
61,20,31,150,110,187,213,150,Guinea-Bissau,1.44,1.24,863,0.03,16.53,20.69,37.22,30.0
1,214,26,151,98,157,147,107,Gaza Strip,1.43,5.33,3728,0.19,3.8,35.65,39.45,51.0
38,44,36,152,109,141,112,98,Gabon,1.42,10.2,7165,0.24,12.25,23.91,36.16,34.0
212,38,194,153,204,106,56,205,Estonia,1.32,26.0,19633,-0.08,13.25,-3.21,10.04,-4.3
135,140,143,154,126,127,72,117,Mauritius,1.24,16.7,13475,0.14,6.86,8.57,15.43,11.0
209,1,67,155,202,152,126,201,Swaziland,1.14,5.91,5201,-0.01,29.74,-2.33,27.41,-2.6
177,58,160,156,151,116,55,139,Trinidad and Tobago,1.07,21.0,19693,0.05,10.57,2.33,12.9,2.5
60,160,68,157,115,206,221,171,East Timor,1.06,0.37,348,0.01,6.24,20.75,26.99,22.0
84,174,88,158,119,155,117,125,Fiji,0.91,5.5,6075,0.09,5.65,16.9,22.55,15.0
117,197,139,159,129,105,34,94,Qatar,0.89,26.1,29423,0.28,4.72,10.84,15.56,10.0
159,121,165,160,145,111,37,123,Cyprus,0.78,22.3,28471,0.11,7.68,4.88,12.56,3.8
126,102,114,161,134,168,134,144,Guyana,0.77,3.62,4718,0.04,8.28,10.0,18.28,7.7
107,210,122,162,130,123,43,101,Bahrain,0.7,17.7,25337,0.24,4.14,13.66,17.8,10.0
16,110,33,163,117,203,218,159,Comoros,0.69,0.44,638,0.01,8.2,28.73,36.93,20.0
170,86,164,164,159,169,124,164,Montenegro,0.63,3.39,5383,0.01,9.2,3.4,12.6,2.1
28,211,55,165,120,197,191,153,Solomon Islands,0.55,0.8,1448,0.02,3.92,26.09,30.01,14.0
62,26,37,166,125,107,6,73,Equatorial Guinea,0.54,25.7,47564,0.53,15.06,20.53,35.59,11.0
65,14,25,167,128,201,197,161,Djibouti,0.49,0.62,1272,0.01,19.31,20.22,39.53,10.0
169,99,172,168,165,98,1,121,Luxembourg,0.47,32.6,68716,0.12,8.41,3.53,11.94,1.7
166,202,219,169,162,142,48,141,Macau,0.45,10.0,22069,0.04,4.47,4.01,8.48,1.8
118,127,119,170,143,173,113,147,Suriname,0.44,3.1,7055,0.03,7.27,10.75,18.02,4.7
75,148,75,171,133,172,109,134,Cape Verde,0.42,3.13,7433,0.06,6.55,18.32,24.87,7.7
179,113,191,172,172,149,53,155,Malta,0.4,8.12,20294,0.02,8.1,2.12,10.22,0.85
90,216,110,173,141,143,44,116,Brunei,0.38,9.53,25118,0.15,3.45,15.34,18.79,5.8
19,135,41,174,127,186,150,146,Maldives,0.36,1.25,3482,0.03,7.06,27.75,34.81,10.0
137,91,124,175,150,151,51,135,The Bahamas,0.3,6.48,21319,0.06,9.05,8.52,17.57,2.6
144,144,157,176,160,139,13,129,Iceland,0.3,11.4,38078,0.08,6.72,6.92,13.64,2.1
42,172,62,177,138,181,102,138,Belize,0.29,2.31,8018,0.05,5.72,23.12,28.84,6.7
165,96,163,178,170,160,60,154,Barbados,0.28,5.11,18249,0.02,8.67,4.04,12.71,1.1
111,198,130,179,146,165,63,137,French Polynesia,0.27,4.58,16680,0.05,4.69,11.99,16.68,3.3
139,154,148,180,161,176,77,151,Netherlands Antilles,0.22,2.8,12628,0.02,6.45,8.33,14.78,1.8
109,173,116,181,149,171,69,142,New Caledonia,0.22,3.16,14404,0.04,5.69,12.42,18.11,2.7
95,117,87,182,147,210,194,180,Vanuatu,0.21,0.28,1323,0.0,7.82,14.9,22.72,3.1
5,120,20,183,136,192,133,148,Mayotte,0.2,0.95,4739,0.03,7.7,33.25,40.95,6.7
4,153,23,184,139,212,204,172,Sao Tome and Principe,0.19,0.21,1106,0.01,6.47,33.78,40.25,6.5
128,147,133,185,163,190,119,166,Samoa,0.18,1.0,5653,0.01,6.62,9.81,16.43,1.7
99,201,109,186,153,180,67,145,Guam,0.17,2.5,14618,0.04,4.48,14.31,18.79,2.4
97,189,106,187,152,194,127,160,Saint Lucia,0.17,0.87,5141,0.01,5.08,14.6,19.68,2.5
125,166,134,188,168,207,156,183,Saint Vincent and the Grenadines,0.12,0.34,2902,0.0,5.98,10.2,16.18,1.2
66,184,73,189,156,214,187,182,Tonga,0.11,0.18,1556,0.0,5.28,20.09,25.37,2.3
143,155,153,190,173,185,68,163,Virgin Islands,0.11,1.58,14521,0.01,6.43,7.53,13.96,0.82
68,195,78,191,158,209,163,176,Federated States of Micronesia,0.11,0.28,2565,0.01,4.75,19.93,24.68,2.2
48,105,53,192,154,213,177,179,Kiribati,0.11,0.21,1958,0.0,8.26,22.39,30.65,2.4
195,84,207,193,196,161,3,195,Jersey,0.091,5.1,55992,0.0,9.28,0.02,9.3,0.0
92,139,92,194,167,204,130,174,Grenada,0.09,0.44,4905,0.01,6.88,15.2,22.08,1.4
83,221,107,195,166,193,82,157,Northern Mariana Islands,0.082,0.9,10915,0.02,2.29,17.14,19.43,1.4
129,157,135,196,175,200,106,175,Seychelles,0.082,0.63,7677,0.01,6.29,9.74,16.03,0.79
199,53,178,197,197,179,17,197,Isle of Man,0.075,2.72,36041,0.0,11.19,-0.14,11.05,-0.01
163,146,179,198,181,182,26,165,Aruba,0.072,2.26,31409,0.01,6.68,4.35,11.03,0.31
176,158,218,199,188,177,12,173,Andorra,0.071,2.77,38904,0.01,6.25,2.46,8.71,0.18
113,180,127,200,174,199,83,170,Antigua and Barbuda,0.069,0.75,10853,0.01,5.37,11.56,16.93,0.8
136,143,144,201,176,205,121,185,Dominica,0.069,0.38,5572,0.0,6.73,8.54,15.27,0.59
168,119,175,202,184,166,2,156,Bermuda,0.066,4.5,68417,0.02,7.74,3.66,11.4,0.24
203,68,213,203,198,178,11,198,Guernsey,0.065,2.74,41921,0.0,10.01,-1.2,8.81,-0.08
18,194,47,204,164,216,178,186,Marshall Islands,0.06,0.12,1903,0.0,4.78,28.27,33.05,1.7
71,217,89,205,171,202,94,167,American Samoa,0.058,0.51,8826,0.01,3.27,19.19,22.46,1.1
140,114,137,206,177,188,57,169,Greenland,0.056,1.1,19517,0.01,7.84,8.09,15.93,0.46
156,94,152,207,182,189,52,178,Faroe Islands,0.047,1.0,21166,0.01,8.7,5.35,14.05,0.25
142,192,162,208,180,183,10,158,Cayman Islands,0.045,1.94,42675,0.02,4.89,7.85,12.74,0.36
130,100,118,209,178,208,95,184,Saint Kitts and Nevis,0.039,0.34,8664,0.0,8.33,9.69,18.02,0.38
173,130,192,210,190,184,4,177,Liechtenstein,0.034,1.79,52550,0.01,7.18,3.03,10.21,0.1
214,41,209,211,199,191,31,199,Monaco,0.033,0.98,30000,0.0,12.91,-3.72,9.19,-0.12
181,112,195,212,192,196,35,187,San Marino,0.029,0.85,29059,0.0,8.17,1.85,10.02,0.05
182,83,182,213,195,198,38,189,Gibraltar,0.028,0.77,27535,0.0,9.31,1.43,10.74,0.04
122,204,147,214,183,195,14,168,British Virgin Islands,0.023,0.85,36947,0.01,4.42,10.47,14.89,0.24
81,209,96,215,179,211,87,181,Turks and Caicos Islands,0.021,0.22,10212,0.0,4.21,17.63,21.84,0.37
115,142,117,216,186,215,118,188,Palau,0.021,0.12,6050,0.0,6.8,11.23,18.03,0.23
134,182,150,217,189,217,100,191,Anguilla,0.013,0.11,8080,0.0,5.34,8.83,14.17,0.12
76,145,76,218,185,218,138,190,Nauru,0.013,0.06,4516,0.0,6.7,18.06,24.76,0.24
93,132,91,219,187,222,199,194,Tuvalu,0.012,0.015,1265,0.0,7.11,15.07,22.18,0.18
121,133,123,220,191,220,151,193,Montserrat,0.009,0.029,3072,0.0,7.1,10.49,17.59,0.1
154,149,168,221,194,221,165,196,Saint Helena,0.008,0.018,2399,0.0,6.53,5.6,12.13,0.04
146,141,158,222,193,219,114,192,Saint Pierre and Miquelon,0.007,0.048,6874,0.0,6.83,6.69,13.52,0.05
