CS,OPS,SLG,R,RBI,Player,GIDP,POS,AVG,AB
0,0.36,0.2,5,1,E Garcia,1,CF,0.16,50
0,0.723,0.394,7,12,J Hermida,2,LF,0.288,66
3,0.655,0.35,32,39,N Sellers,11,1B,0.236,394
3,0.722,0.385,19,16,E Carrera,5,CF,0.286,161
4,0.751,0.473,23,22,M Griffin,4,OF,0.258,186
0,1.014,0.65,3,9,Z Lutz,0,3B,0.3,20
1,0.397,0.167,4,3,J Holt,0,2B,0.167,36
0,0.588,0.307,3,13,J Jaramillo,3,C,0.239,88
3,0.707,0.405,72,76,R Andino,18,SS,0.264,546
2,0.975,0.455,2,5,W Valdez,0,SS,0.455,22
4,0.896,0.533,42,53,P Alvarez,4,3B,0.277,242
6,0.477,0.222,25,7,J Gathright,1,CF,0.185,216
0,0.194,0.1,0,1,A Ricks,0,C,0.067,30
0,0.594,0.333,3,2,R Khoury,2,2B,0.244,45
0,0.566,0.303,21,14,O Chavez,3,2B,0.219,201
3,0.697,0.41,45,35,W Castillo,6,C,0.256,317
3,0.913,0.478,18,12,M Joyce,0,DH,0.293,92
3,0.659,0.331,38,29,T Hulett,9,2B,0.201,284
3,0.738,0.408,49,53,C Valaika,13,2B,0.304,424
4,0.708,0.376,47,31,R Thompson,7,OF,0.279,348
3,0.821,0.476,34,45,S Moore,6,2B,0.28,225
9,0.761,0.436,63,45,P Orr,7,SS,0.264,489
4,0.668,0.361,47,34,C Duffy,6,OF,0.243,346
0,0.333,0.0,0,0,C Ruiz,0,C,0.0,2
1,0.569,0.321,10,13,C Retherford,3,2B,0.201,159
8,0.509,0.254,16,8,J Schafer,1,CF,0.201,189
3,0.673,0.344,25,16,R Tejada,9,2B,0.28,218
2,0.889,0.497,30,20,N Weglarz,3,LF,0.286,175
0,0.492,0.292,2,2,N Ashley,0,C,0.167,24
0,0.719,0.418,24,33,D Winfree,8,RF,0.264,201
1,0.938,0.615,15,25,L Terrero,2,OF,0.302,96
0,0.5,0.25,1,0,C Albernaz,0,C,0.25,4
0,0.785,0.459,12,15,J Head,4,RF,0.257,74
6,0.758,0.463,57,54,M Jones,11,OF,0.247,417
0,0.576,0.307,8,8,J Kunkel,3,C,0.239,88
0,0.667,0.333,0,0,P Britton,0,C,0.333,3
0,1.053,0.624,66,95,D Johnson,6,3B,0.303,340
1,0.768,0.434,43,53,T Flowers,8,C,0.22,346
3,0.717,0.384,45,30,R Gorecki,7,OF,0.253,281
8,0.804,0.404,67,43,W Timmons,9,3B,0.293,386
0,0.716,0.42,16,11,M McBride,4,OF,0.269,119
0,0.668,0.369,20,29,J House,8,C,0.253,225
