ch,Product Name,Output Current,VIN Min.,VIN Max.,VOUT Min.*1,VOUT Max.*1,Voltage Accuracy *1,Dropout Voltage Typ.*2,Dropout Voltage Max.*2,Dropout Voltage Condition *2,Supply Current Typ.*3,RR @1kHz Typ.,Capacitor Capacitance,Other Features ?,Package
1,RP109x,150mA,1.4V,5.25V,0.8V,3.6V,±1%,0.25V,0.35V,IOUT=150mA,50µA,75dB,0.1µF or more,Load Reg: Typ. 5mV TempChar: Typ. ±30ppm/°C,DFN(PLP) 0808-4 DFN1010-4 SC-88A SOT-23-5
1,RP110x,﻿150mA,1.4V,5.25V,0.8V,3.6V,±1%,0.28V,0.40V,IOUT=150mA,1µA,-,0.1µF or more,Constant,DFN(PLP) 0808-4 DFN1010-4 SC-88A SOT-23-5
1,RP112x,﻿150mA,2.0V,5.25V,1.2V,4.8V,±1%,0.20V,0.28V,IOUT=150mA,75µA,"80dB, 65dB*5",1µF or more,Output noise: 10µVrms TempChar: Typ. ±30ppm/°C,DFN(PLP) 1010-4 SC-88A SOT-23-5
1,RP130x,150mA,1.7V,6.5V,1.2V,5.3V,±1%,0.32V,0.51V,IOUT=150mA,38µA,80dB,0.47µF or more,TempChar: Typ. ±20ppm/°C,DFN(PLP) 1010-4 SC-82AB SOT-23-5
1,RP171x,150mA,2.6V,10.0V,1.2V,6.0V,±1%,0.400V,0.580V,IOUT=150mA,23µA,70dB,1µF or more,Thermal Constant,SC-88A SOT-23-5
1,RP173x,﻿150mA,2.5V,11.0V*6,1.2V,5.5V,±1%,0.90V,1.47V,IOUT=150mA,2µA,-,0.1µF or more,Reverse,DFN(PLP) 1010-4 SC-88A SOT-23-5
1,RP201x,150mA,1.4V,5.25V,0.8V,4.0V,±1%*4,0.12V*4,0.18V*4,IOUT=150mA,55µA*4 (1.5µA),70dB*4,1µF or more,Manu/Auto,WLCSP-4-P5 DFN(PLP) 1212-6
1,R1111N,150mA,2.0V,8.0V,1.5V,5.0V,±2%,0.20V,0.30V,IOUT=100mA,35µA,70dB,1µF or more,Tantalum Replaceable with LP2980/2985,SOT-23-5
1,R1114x,150mA,2.0V,6.0V,1.5V,4.0V,±2%,0.22V,0.35V,IOUT=150mA,75µA,70dB,0.47µF to 1µF or more,"⇒RP109x, RP130x",SON1612-6 SC-82AB SOT-23-5
1,﻿R1116N,150mA,1.8V,6.0V,1.5V,4.0V,±1.5%,0.29V,0.46V,IOUT=150mA,10µA,70dB,1µF or more,Seamless,SOT-23-5
1,R1121N,150mA,2.0V,8.0V,1.5V,5.0V,±2%,0.20V,0.30V,IOUT=100mA,35µA,70dB,1µF or more,Tantalum Replaceable with TK111/112/113,SOT-23-5
1,R1122N,150mA,2.0V,6.0V,1.5V,5.0V,±2%,0.19V,0.26V,IOUT=100mA,100µA,80dB,2.2µF to 4.7µF or more,"Replaceable with TK111/112/113 ⇒RP112x, RP130x",SOT-23-5
1,R1150H+VD,150mA,-,24.0V,2.1V,14.0V,±2%,0.30V,0.40V,IOUT=20mA,7µA,-,0.1µF or more,Thermal,SOT-89-5
1,R1154x,150mA,-,24.0V,2.5V 2.5V,12.0V 24.0V,±2% ±50mV,0.20V,0.40V,IOUT=20mA,5µA,-,0.1µF to 2.2µF,Operating Temp.: -40 to 105°C Thermal,DFN1616-6 SOT-23-5 SOT-89-5
1,R1155x,150mA,3.5V,24.0V,2.5V 2.5V,12.0V 23.0V,±2% ±50mV,0.55V*4,1.70V*4,IOUT=150mA VSET=5.0V,65µA*4 (7.5µA),60dB*4,4.7µF or more,Operating Temp.: -40 to 105°C Thermal Reverse Automatic,SOT-23-5 SOT-89-5
1,R1163x,150mA,2.0V,6.0V,1.5V,5.0V,±1.5%*4,0.25V*4,0.35V*4,IOUT=150mA,70µA*4 (6µA),70dB*4,0.47µF or more,Reverse Manual,DFN(PLP) 1616-6 SON-6 SOT-23-5
1,R1180x,150mA,1.7V,6.0V,1.2V,3.6V,±2%,0.25V,0.40V,IOUT=150mA,1µA,-,0.1µF or more, ,SON1612-6 SC-82AB SOT-23-5
1,R1514x,150mA,4.0V,36.0V,2.0V,12.0V,±2%,0.20V,0.35V,IOUT=20mA VSET=5.0V,9µA,-,0.1µF to 10µF,Operating Temp.: -40 to 105°C Thermal,SOT-89-5 HSOP-6J
1,﻿R1516x,150mA,4.0V,36.0V,1.8V,6.2V,±1%,-,0.60V,IOUT=20mA VSET=5.0V,29µA,-,0.1µF to 20µF,Operating Temp.: -40 to 105°C Thermal,SOT-89-5 HSOP-6J
1,RP100x,200mA,1.7V,5.25V,1.2V,3.3V,±0.6%,0.13V,0.23V,IOUT=150mA,18µA,75dB,1µF or more,TempChar: Typ. ±30ppm/°C,DFN(PLP) 1612-4 SOT-23-5
1,RP107x,200mA,1.4V,5.25V,1.0V,4.2V,±1%,0.27V,0.36V,IOUT=200mA,9.5µA,60dB,-*15,Constant,DFN(PLP) 1212-6 SC-88A
1,RP202x,200mA,1.4V,5.25V,0.8V,4.0V,±1%*4,0.20V*4,0.29V*4,IOUT=200mA,50µA*4 (2.5µA),70dB*4,0.47µF or more,Automatic Constant,DFN(PLP) 1010-4 SC-88A SOT-23-5
1,R1160N,200mA,1.4V,6.0V,0.8V,3.3V,±2%*4,0.14V*4,0.2V*4 (0.25V),IOUT=200mA,40µA*4 (4.5µA),70dB*4,2.2µF or more,Tantalum Manual,SOT-23-5
1,R1524x,200mA,3.5V,36.0V,3.3V,9.0V,±0.6%,0.6V,1.7V,IOUT=200mA VSET=5.0V,2.2µA,-,0.1µF or more,Operating Temp.: -40 to 105°C Thermal,SOT-23-5 SOT-89-5 HSOP-6J
1,RP101x,300mA,1.7V,5.25V,1.2V,3.3V,±0.6%,0.13V,0.23V,IOUT=150mA,18µA,75dB,1µF or more,TempChar: Typ. ±30ppm/°C,DFN(PLP) 1612-4 DFN(PLP) 1612-4B SOT-23-5
1,RP102x,300mA,1.7V,5.25V,1.2V,3.3V,±0.8%,0.120V,0.190V,IOUT=300mA,50µA,80dB,1µF or more,TempChar: Typ. ±20ppm/°C,WLCSP-4-P2 DFN(PLP) 1820-6 SOT-23-5
1,RP114x,300mA,1.4V,5.25V,0.8V,3.6V,±1%,0.25V,0.30V,IOUT=300mA,50µA,75dB,1µF or more, ,DFN(PLP) 1010-4 SC-88A SOT-23-5
1,RP170x,300mA,2.6V,10.0V,1.2V,6.0V,±1%,0.77V,1.08V,IOUT=300mA,23µA,70dB,1µF or more,Thermal Constant,SOT-23-5 SOT-89-5
1,RP200x,300mA,1.4V,5.25V,0.8V,4.0V,±1%*4,0.23V*4,0.35V*4,IOUT=300mA,55µA*4 (1.5µA),70dB*4,1µF or more,Manu/Auto,WLCSP-4-P5 DFN(PLP) 1212-6 SOT-23-5
1,R1130H,300mA,2.5V,8.0V,1.5V 1.5V,5.0V 5.0V,±2% ±36mV,0.25V,0.34V,IOUT=100mA,50µA,60dB,0.1µF or more, ,SOT-89-5
1,R1131N,300mA,1.4V,6.0V,0.8V,3.3V,±2%,0.23V,0.35V,IOUT=300mA,60µA,65dB,1µF or more (VSET ≥1.0V),⇒RP101N,SOT-23-5
1,R1131Dxx1,300mA,1.4V,6.0V,0.8V,3.3V,±2%,0.23V,0.35V,IOUT=300mA,60µA,65dB,1µF or more (VSET ≥1.0V), ,SON-6
1,R1161N,300mA,1.4V,6.0V,0.8V,3.3V,±2%*4,0.23V*4,0.35V*4,IOUT=300mA,60µA*4 (4.5µA),65dB*4,1µF or more (VSET ≥1.0V),Manual ⇒RP200N,SOT-23-5
1,R1191x,300mA,3.5V,16.0V,2.0V,15.0V,±1.5%*4,0.55V*4,0.75V*4,IOUT=300mA VSET=5.0V,50µA*4 (6µA),70dB*4,4.7µF or more,VIN: VSET≥3.0V Manual Thermal Reverse,DFN1616-6 SOT-23-5 SOT-89-5
1,R1510S+VD,300mA,3.5V,36.0V,2.5V,12.0V,±1.6%,1.0V*4,2.0V*4,IOUT=300mA VSET=5.0V,110µA*4 (12.5µA),-,6.8µF or more,Operating Temp.: -40 to 105°C Automatic Thermal,HSOP-8E
1,R1511x,300mA,3.5V,36.0V,3.0V 3.0V,9.0V 12.0V,±1% ±30mV,0.64V,1.0V,IOUT=300mA VSET=5.0V,100µA,65dB,6.8µF or more,Operating Temp.: -40 to 105°C Thermal,HSOP-6J TO-252-5-P2
1,R1513S,300mA,3.5V,36.0V,1.2V 1.2V,5.0V 18.0V,±0.8%,0.32V,0.60V,IOUT=300mA VSET=5.0V,75µA,70dB*7,4.7µF or more,Operating Temp.: -40 to 125°C Thermal,HSOP-6J
1,RP105x,400mA,2.4V,5.25V,0.6V,1.5V,±15mV,0.180V,0.260V,IOUT=400mA VSET=1.5V VBIAS=3.6V,28µA,80dB*8,2.2µF or more,"VIN=from 0.9V, Dual power supply",DFN(PLP) 1212-6 SOT-23-5
1,RP106x,400mA,1.0V,3.6V,0.7V,1.8V,±0.8%,0.22V,0.31V,IOUT=400mA VSET=1.5V,48µA,60dB*9,1µF or more,Constant,WLCSP-4-P5 DFN(PLP) 1212-6 SC-88A
1,RP116Z,400mA,1.0V,3.6V,0.7V,1.8V,±0.8%,0.22V,0.31V,IOUT=400mA VSET=1.5V,48µA,60dB*9,1µF or more,Constant Thinner than RP106Z (t=0.36mm),WLCSP-4-P7
1,RP111x,500mA,1.4V,5.25V,0.7V 0.7V,3.6V 3.6V,±0.8%,0.23V,0.34V,IOUT=500mA,80µA,75dB,1µF or more,Load Reg: Typ. 1mV Load transient response accuracy*11: Typ. -75mV/+45mV Thermal Inrush,DFN1212-6 SOT-23-5 SOT-89-5
1,RP115L,500mA*12,1.4V,5.25V,0.7V,4.3V,±1%,0.065V,0.090V,IOUT=500mA,110µA,"75dB, 80dB *10",1µF or more,Load Reg: Typ. 1mV TempChar: Typ. ±30ppm/°C Thermal Reverse Constant Inrush,DFN1216-8
1,R1500H,500mA,4.0V,24.0V,3.0V,12.0V,±2%,0.115V,0.180V,IOUT=200mA VSET=5.0V,70µA,60dB,10µF or more,Operating Temp.: -40 to 105°C Thermal,SOT-89-5
1,R1517x,500mA,3.5V,36.0V,2.5V 2.5V,8.5V 12.0V,±0.8% ±20mV,0.35V,0.62V,IOUT=500mA VSET=5.0V,18µA,-,0.1µF or more,Operating Temp.: -40 to 105°C Constant: Time Adjustable Thermal,HSOP-6J TO-252-5-P2
1,R1170x,800mA,-,6.0V,1.5V,5.0V,±2%,0.12V,0.18V,IOUT=300mA,80µA,50dB,10µF or more,Thermal,HSON-6 SOT-89-5 HSOP-6J
1,RP115x,1A*12,1.4V,5.25V,0.7V,4.3V,±1%,0.13V,0.18V,IOUT=1A,110µA,"75dB, 80dB *10",1µF or more,Load Reg: Typ. 1mV TempChar: Typ.±30ppm/°C Thermal Reverse Constant Inrush,DFN1216-8 SOT-89-5
1,RP131x,1A,1.6V,6.5V,0.8V,5.5V,±1%,0.500V,0.750V,IOUT=1A,65µA,70dB,2.2µF to 4.7µF or more,Thermal Inrush,DFN1616-6B DFN(PLP) 1820-6 SOT-89-5 HSOP-6J TO-252-5-P2
1,RP132x,1A,1.4V,6.5V,0.8V 0.8V,5.5V 5.5V,±1% ±15mV,0.52V,0.72V,IOUT=1A,65µA,70dB,2.2µF to 4.7µF or more,Load Reg: Typ. 5mV Inrush: Time Adjustable Thermal,DFN(PLP) 1820-6 SOT-89-5 HSOP-6J TO-252-5-P2
1,R1172x,1A,1.4V,6.0V,0.8V,5.0V,±2%,0.05V,0.10V,IOUT=300mA,60µA,70dB,4.7µF or more (VSET ≥1.0V),Thermal Inrush,SOT-23-5 SOT-89-5 HSON-6 HSOP-6J
1,R1173x,1A,1.4V,6.0V,0.8V 1.0V,5.0V VIN,±2% ±30mV,0.05V,0.10V,IOUT=300mA,60µA,70dB,4.7µF or more (VSET ≥1.0V),Load Reg: Typ. -3mV Thermal Inrush,SOT-89-5 HSON-6 HSOP-6J
1,R1190x,1A,3.5V,16.0V,2.0V,12.0V,±1.5%,1.1V,1.85V,IOUT=1A VSET=5.0V,150µA,60dB,4.7µF or more,Thermal Inrush: Time Adjustable,SOT-89-5 HSOP-6J TO-252-5-P2
1,R1501x,1A,3.0V,24.0V,3.0V,18.0V,±2%,0.575V,0.900V,IOUT=1A VSET=5.0V,70µA,60dB,10µF or more,Operating Temp.: -40 to 105°C Thermal,HSOP-6J TO-252-5-P2
1,R1518x,1A,3.5V,36.0V,2.5V 2.5V,8.5V 12.0V,±0.8% ±20mV,0.70V,1.30V,IOUT=1A VSET=5.0V,18µA,-,0.1µF or more,Operating Temp.: -40 to 105°C ThermalConstant: Time Adjustable,HSOP-6J TO-252-5-P2
1,R1171S,1.5A,2.1V,6.0V,1.5V,5.0V,±2%,0.09V,0.18V,IOUT=300mA,130µA,50dB,4.7µF to 10µF or more,Thermal,HSOP-6J
1,R1171J,2A,2.1V,6.0V,1.8V,5.0V,±2%,0.09V,0.18V,IOUT=300mA,130µA,50dB,4.7µF to 10µF or more,Thermal,TO-252-5-P1
1,RP108J,3A,1.6V,5.25V,0.8V 0.8V,4.2V 4.2V,±1%,0.51V,0.60V,IOUT=3A,350µA,65dB,10µF or more,Load Reg: Typ. 3mV Thermal Reverse Constant,TO-252-5-P2
1,RN5RF,Ext. Tr.,1.8V,10.0V,1.2V,6.0V,±2%,0.1V*13,0.2V,IOUT=100mA,30µA,60dB,10µF or more,Tantalum,SOT-23-5
2,RP152x,150mA,1.4V,5.25V,0.8V,3.6V,±1%,0.23V,0.35V,IOUT=150mA,40µA,70dB,0.22µF or more,Start-up sequence controllable: xxxC,DFN1212-6 SOT-23-6
2,RP153L,150mA,1.4V,5.25V,0.8V,3.6V,±1%,0.23V,0.35V,IOUT=150mA,"40µA, 85µA*14",70dB,0.22µF or more,Dual Input Type,DFN1216-8
2,R5326K,150mA,1.4V,6.0V,0.8V,4.2V,±1%*4,0.19V*4,0.27V*4,IOUT=150mA,50µA*4 (5.5µA),70dB*4,1µF to 3.3µF,Automatic,DFN(PLP) 1820-6
2,R5328K,150mA,1.4V,6.0V,0.8V,4.0V,±1%*4,0.25V*4,0.35V*4,IOUT=150mA,65µA*4 (2.5µA),70dB*4,1µF or more,Manual,DFN(PLP) 2020-8
2,RP150K,300mA,2.5V,5.25V,1.5V,3.3V,±1%,0.21V,0.34V,IOUT=300mA,24µA,80dB,1µF or more,TempChar: Typ. ±30ppm/°C,DFN(PLP) 2020-8
2,RP154x,300mA,1.4V,5.25V,0.8V,3.7V,±1%,0.25V,0.30V,IOUT=300mA,50µA,75dB,1µF or more,Dual Input Type available: only DFN,DFN1216-8 SOT-23-6
3,R5324K,100mA,2.0V,6.0V,1.5V,4.0V,±2%,0.15V,0.25V,IOUT=100mA,90µA,70dB,1µF or more, ,DFN(PLP) 2527-10
3,R5324K,150mA,2.0V,6.0V,1.5V,4.0V,±2%,0.22V,0.33V,IOUT=150mA,90µA,70dB,1µF or more, ,DFN(PLP) 2527-10
3,R5324K,200mA,2.0V,6.0V,1.5V,4.0V,±2%,0.23V,0.35V,IOUT=200mA,90µA,70dB,1µF or more, ,DFN(PLP) 2527-10
