Compare,Carat,Color,Intensity,Clarity,Polish,Sym.,Flour.,Table,Depth,Price,Advanced » « Basic
Item Details Stock ID: 582978 Lab: GIA Certificate: 2155195635 Length: 6.25 Width: 5.53 Height: 4.08 Fancy Color: Yellow Fluorescence Color: Blue Girdle: Thin to Thick L/W Ratio: 1.130 L/W Ratio Shape: Rectangular You will also receive: All Original Documentation Free Overnight Shipping 30-Day Money Back Guarantee Free Deluxe Gift Packaging View Item Add To Cart,Photo Avail.,1.2,Yellow,Fancy,VS2,Very Good,Good,Medium,66.0,73.9,"$4,968"
Item Details Stock ID: 620618 Lab: GIA Certificate: 5171096857 Length: 5.78 Width: 5.72 Height: 3.72 Fancy Color: Yellow Girdle: Slightly Thick to Extra Thick L/W Ratio: 1.010 L/W Ratio Shape: Square You will also receive: All Original Documentation Free Overnight Shipping 30-Day Money Back Guarantee Free Deluxe Gift Packaging View Item Add To Cart,Photo Avail.,1.04,Yellow,Fancy,VS2,Very Good,Good,Faint,69.0,65.0,"$4,425"
Item Details Stock ID: 626828 Lab: GIA Certificate: 2141993913 Length: 5.63 Width: 5.62 Height: 3.63 Fancy Color: Yellow Girdle: Slightly Thick to Very Thick L/W Ratio: 1.002 L/W Ratio Shape: Square You will also receive: All Original Documentation Free Overnight Shipping 30-Day Money Back Guarantee Free Deluxe Gift Packaging View Item Add To Cart,Photo Avail.,1.02,Yellow,Fancy,VS2,Very Good,Very Good,Faint,65.0,64.6,"$4,839"
Item Details Stock ID: 633599 Lab: GIA Certificate: 1162818865 Length: 5.62 Width: 5.19 Height: 3.83 Fancy Color: Yellow Girdle: Extra Thick to Extra Thick L/W Ratio: 1.083 L/W Ratio Shape: Rectangular You will also receive: All Original Documentation Free Overnight Shipping 30-Day Money Back Guarantee Free Deluxe Gift Packaging View Item Add To Cart,Photo Avail.,1.0,Yellow,Fancy,VS1,Very Good,Good,Faint,61.0,73.8,"$4,524"
Item Details Stock ID: 635502 Lab: GIA Certificate: 2176232865 Length: 5.58 Width: 5.52 Height: 3.68 Fancy Color: Yellow Girdle: Thin to Very Thick L/W Ratio: 1.011 L/W Ratio Shape: Square You will also receive: All Original Documentation Free Overnight Shipping 30-Day Money Back Guarantee Free Deluxe Gift Packaging View Item Add To Cart,Photo Avail.,1.01,Yellow,Fancy,VVS2,Excellent,Very Good,None,57.0,66.6,"$4,646"
Item Details Stock ID: 646423 Lab: IGI Certificate: GT12653302 Length: 5.59 Width: 5.55 Height: 3.71 Fancy Color: Yellow Girdle: Slightly Thick to Very Thick L/W Ratio: 1.007 L/W Ratio Shape: Square You will also receive: All Original Documentation Free Overnight Shipping 30-Day Money Back Guarantee Free Deluxe Gift Packaging View Item Add To Cart,Photo Avail.,1.06,Yellow, ,IF,Excellent,Excellent,None,56.0,66.8,"$4,876"
Item Details Stock ID: 653656 Lab: GIA Certificate: 2165819188 Length: 5.63 Width: 5.56 Height: 3.84 Fancy Color: Yellow Girdle: Very Thick to Extra Thick L/W Ratio: 1.013 L/W Ratio Shape: Square You will also receive: All Original Documentation Free Overnight Shipping 30-Day Money Back Guarantee Free Deluxe Gift Packaging View Item Add To Cart,Photo Avail.,1.05,Yellow,Fancy,VS1,Very Good,Good,Faint,62.0,69.1,"$4,709"
Item Details Stock ID: 678028 Lab: GIA Certificate: 1162940165 Length: 5.67 Width: 5.53 Height: 3.73 Fancy Color: Yellow Girdle: Thick to Extra Thick L/W Ratio: 1.025 L/W Ratio Shape: Square You will also receive: All Original Documentation Free Overnight Shipping 30-Day Money Back Guarantee Free Deluxe Gift Packaging View Item Add To Cart,Photo Avail.,1.05,Yellow,Fancy,VS1,Very Good,Good,Faint,66.0,67.5,"$4,709"
Item Details Stock ID: 679125 Lab: GIA Certificate: 6173053004 Length: 5.83 Width: 5.38 Height: 3.66 Fancy Color: Yellow Girdle: Thick to Extra Thick L/W Ratio: 1.084 L/W Ratio Shape: Rectangular You will also receive: All Original Documentation Free Overnight Shipping 30-Day Money Back Guarantee Free Deluxe Gift Packaging View Item Add To Cart,Photo Avail.,1.03,Yellow,Fancy,VVS1,Very Good,Good,None,68.0,68.0,"$4,738"
Item Details Stock ID: 684664 Lab: GIA Certificate: 1152875514 Length: 5.75 Width: 5.33 Height: 3.48 Fancy Color: Yellow Girdle: Slightly Thick to Extra Thick L/W Ratio: 1.079 L/W Ratio Shape: Rectangular You will also receive: All Original Documentation Free Overnight Shipping 30-Day Money Back Guarantee Free Deluxe Gift Packaging View Item Add To Cart,Photo Avail.,1.0,Yellow,Fancy,VVS2,Very Good,Good,Faint,69.0,65.3,"$4,600"
Item Details Stock ID: 227579 Lab: GIA Certificate: 2121388490 Length: 6.47 Width: 5.91 Height: 3.99 Fancy Color: Yellow Fluorescence Color: Blue Girdle: Slightly Thick to Thick L/W Ratio: 1.095 L/W Ratio Shape: Rectangular You will also receive: All Original Documentation Free Overnight Shipping 30-Day Money Back Guarantee Free Deluxe Gift Packaging View Item Add To Cart,Photo Avail.,1.31,Yellow,Fancy,SI1,Excellent,Very Good,Medium,65.0,67.5,"$4,821"
Item Details Stock ID: 330279 Lab: GIA Certificate: 1152514799 Length: 6.23 Width: 6.08 Height: 3.96 Fancy Color: Yellow Girdle: Thin to Extra Thick L/W Ratio: 1.025 L/W Ratio Shape: Square You will also receive: All Original Documentation Free Overnight Shipping 30-Day Money Back Guarantee Free Deluxe Gift Packaging View Item Add To Cart,Photo Avail.,1.3,Yellow,Fancy,SI2,Good,Good,None,59.0,65.1,"$5,083"
Item Details Stock ID: 620327 Lab: GIA Certificate: 1159823926 Length: 6.04 Width: 5.99 Height: 4.03 Fancy Color: Yellow Girdle: Extra Thick to Extra Thick L/W Ratio: 1.008 L/W Ratio Shape: Square You will also receive: All Original Documentation Free Overnight Shipping 30-Day Money Back Guarantee Free Deluxe Gift Packaging View Item Add To Cart,Photo Avail.,1.36,Yellow,Fancy Light,VS2,Excellent,Excellent,None,58.0,67.2,"$4,770"
