IP,oppRPA+,GS,YEAR,AVG,PA,oppOBP,TEAM
16.0,100,0,2012,0.302,72,0.317,DET
39.0,94,0,2012,0.286,171,0.309,NYA
0.7,107,0,2012,0.667,8,0.321,TOR
13.7,108,0,2012,0.212,56,0.324,WAS
77.7,104,0,2012,0.261,327,0.322,CHN
159.3,93,28,2012,0.23,653,0.308,WAS
1.7,94,1,2012,0.615,15,0.295,KCA
2.0,100,0,2012,0.167,7,0.321,CHA
30.0,91,1,2012,0.32,134,0.309,CHA
45.7,103,0,2012,0.251,198,0.322,ANA
120.3,99,20,2012,0.256,503,0.313,CHN
42.3,103,0,2012,0.269,197,0.321,NYN
15.7,105,0,2012,0.328,72,0.323,COL
25.7,100,0,2012,0.204,107,0.322,NYN
64.0,100,12,2012,0.309,296,0.314,CHN
130.7,95,21,2012,0.26,558,0.31,HOU
9.3,91,0,2012,0.308,51,0.307,WAS
39.3,109,7,2012,0.237,172,0.324,OAK
13.3,99,0,2012,0.317,73,0.315,KCA
29.3,100,0,2012,0.241,120,0.315,MIN
3.7,104,0,2012,0.1,15,0.327,SFN
43.7,100,0,2012,0.209,177,0.316,SFN
199.3,94,32,2012,0.206,822,0.307,WAS
14.0,92,0,2012,0.345,69,0.313,MIL
58.7,99,0,2012,0.265,273,0.318,MIL
74.7,101,12,2012,0.275,316,0.322,DET
7.7,95,0,2012,0.185,31,0.307,CLE
57.3,105,0,2012,0.229,230,0.323,ATL
219.7,101,33,2012,0.249,891,0.318,NYA
7.3,102,0,2012,0.345,33,0.312,NYA
14.3,104,0,2012,0.157,58,0.323,CHA
1.7,78,0,2012,0.429,9,0.286,SLN
13.3,104,1,2012,0.278,56,0.317,MIA
190.3,95,30,2012,0.241,788,0.308,NYN
6.7,118,0,2012,0.136,26,0.348,LAN
5.0,97,0,2012,0.125,20,0.313,PIT
202.3,96,31,2012,0.246,851,0.312,PIT
34.7,97,0,2012,0.238,138,0.312,CHA
69.7,102,0,2012,0.216,295,0.321,KCA
29.7,98,7,2012,0.314,135,0.311,CHN
81.0,94,13,2012,0.171,319,0.31,ATL
176.0,95,29,2012,0.253,744,0.309,SLN
25.0,97,6,2012,0.24,105,0.31,HOU
58.0,100,0,2012,0.23,235,0.316,DET
4.0,104,1,2012,0.5,25,0.315,CHA
32.3,103,2,2012,0.256,145,0.321,BAL
123.0,97,21,2012,0.254,504,0.314,MIL
29.0,103,5,2012,0.242,113,0.322,MIL
2.0,99,0,2012,0.4,12,0.334,SFN
118.0,104,20,2012,0.234,493,0.321,BAL
176.7,102,30,2012,0.275,747,0.319,ANA
32.3,96,5,2012,0.376,158,0.307,WAS
200.0,98,28,2012,0.238,833,0.314,NYA
35.7,98,0,2012,0.289,162,0.319,PIT
16.7,107,0,2012,0.277,72,0.32,MIL
25.7,95,0,2012,0.273,108,0.31,CLE
17.7,101,3,2012,0.333,79,0.317,HOU
48.7,105,0,2012,0.217,211,0.325,OAK
67.7,106,0,2012,0.251,295,0.324,COL
0.7,106,0,2012,0.0,4,0.325,LAN
52.0,104,0,2012,0.207,224,0.324,PHI
174.7,99,28,2012,0.24,723,0.314,CHN
125.3,108,16,2012,0.248,519,0.326,SEA
219.3,100,32,2012,0.222,876,0.316,SFN
61.7,101,12,2012,0.291,271,0.325,MIN
49.3,98,9,2012,0.275,207,0.312,ATL
46.3,100,5,2012,0.244,196,0.321,SDN
66.3,106,0,2012,0.217,283,0.322,BAL
7.7,106,0,2012,0.222,31,0.326,BOS
29.3,101,6,2012,0.256,133,0.313,ARI
1.0,127,0,2012,0.25,5,0.349,TOR
50.7,103,0,2012,0.258,234,0.321,SFN
82.3,108,15,2012,0.236,336,0.325,OAK
39.0,94,7,2012,0.243,165,0.305,MIL
73.3,107,13,2012,0.327,342,0.324,OAK
72.0,101,0,2012,0.241,305,0.323,MIL
92.7,95,17,2012,0.256,401,0.307,ATL
25.7,96,0,2012,0.324,131,0.315,COL
2.7,105,0,2012,0.652,26,0.323,ARI
202.3,95,31,2012,0.258,828,0.307,MIA
57.3,100,0,2012,0.221,237,0.319,CIN
113.0,102,24,2012,0.316,502,0.315,COL
6.7,92,1,2012,0.24,30,0.315,CHA
13.0,99,0,2012,0.111,49,0.324,CHA
52.0,99,0,2012,0.2,212,0.315,OAK
56.7,108,0,2012,0.214,221,0.326,TOR
70.3,96,0,2012,0.189,284,0.311,TBA
52.3,105,0,2012,0.269,228,0.322,TEX
211.0,96,33,2012,0.239,864,0.31,SLN
51.3,98,0,2012,0.223,200,0.315,BOS
23.3,105,0,2012,0.213,107,0.325,PHI
25.0,102,0,2012,0.291,116,0.322,OAK
7.0,98,0,2012,0.231,35,0.319,MIL
66.0,100,1,2012,0.203,263,0.311,TEX
43.7,102,0,2012,0.256,191,0.317,TOR
0.3,124,0,2012,0.8,6,0.356,CHN
9.7,89,1,2012,0.333,45,0.299,SFN
5.0,95,1,2012,0.263,22,0.305,SDN
34.7,99,2,2012,0.282,148,0.32,KCA
161.0,102,29,2012,0.259,709,0.319,BOS
8.3,98,0,2012,0.2,32,0.318,NYA
64.3,104,0,2012,0.231,257,0.321,TEX
4.7,97,0,2012,0.455,26,0.305,PIT
53.0,99,0,2012,0.257,231,0.313,COL
170.3,103,28,2012,0.288,748,0.317,NYA
1.7,97,0,2012,0.167,7,0.313,MIN
45.0,103,0,2012,0.256,194,0.32,BOS
50.3,101,0,2012,0.223,203,0.318,TBA
39.3,99,0,2012,0.216,157,0.315,BOS
68.3,97,0,2012,0.284,303,0.312,MIL
58.7,103,11,2012,0.257,256,0.321,TOR
48.7,96,8,2012,0.203,202,0.315,LAN
21.0,108,0,2012,0.213,84,0.326,ARI
2.3,108,1,2012,0.533,17,0.327,NYA
55.3,103,0,2012,0.168,212,0.32,TBA
2.3,107,0,2012,0.3,14,0.308,ANA
9.0,87,0,2012,0.386,48,0.302,MIL
0.7,97,0,2012,0.5,4,0.309,PHI
9.0,90,0,2012,0.342,41,0.312,SLN
19.3,101,0,2012,0.179,71,0.318,CLE
22.0,104,2,2012,0.265,97,0.327,TOR
1.0,98,0,2012,0.5,7,0.311,TEX
29.3,97,4,2012,0.215,122,0.311,TBA
17.3,94,0,2012,0.246,69,0.315,KCA
3.3,104,0,2012,0.474,21,0.328,OAK
152.3,104,26,2012,0.279,638,0.322,SEA
43.7,102,0,2012,0.291,200,0.318,BAL
63.7,106,0,2012,0.23,275,0.327,MIA
26.3,94,0,2012,0.198,105,0.313,SDN
60.3,101,0,2012,0.295,270,0.318,MIA
31.7,99,0,2012,0.25,141,0.315,SDN
3.3,114,0,2012,0.563,21,0.334,TBA
94.0,106,18,2012,0.304,411,0.321,BOS
40.7,101,7,2012,0.29,185,0.317,COL
70.3,99,0,2012,0.222,281,0.318,MIN
39.7,102,0,2012,0.276,172,0.32,ANA
29.3,94,0,2012,0.181,130,0.308,WAS
54.0,101,0,2012,0.324,245,0.323,DET
71.3,104,13,2012,0.254,317,0.321,TOR
65.0,103,0,2012,0.261,266,0.324,CHA
