#,Trk,Code,Station Name,Arrives,Avg,Departs,Day#,Km,Speed,Elev,Zone,Address
6.2,/==/,SJA,Sijua,18:27,-,18:27,1,-10.8,29,206m,ECR,"Sijua, Jharkhand"
6.3,/==/,BZS,Bansjora,18:32,-,18:32,1,-8.3,29,212m,ECR,"Dhanbad, Jharkhand"
6.4,/==/,BZE,Baseria,18:37,-,18:37,1,-6.2,29,210m,ECR,"Baseria, Jharkhand"
6.5,/==/,KDS,Kusunda Junction,18:42,-,18:42,1,-4.0,29,218m,ECR,"Kusunda, Jharkhand"
7.0,/==/,DHN,Dhanbad Junction»,18:50,-,18:58,1,0.0,64,235m,ECR,"2319801, Jharkhand"
7.1,/==/,DOKM,Dokra Halt,19:03,-,19:03,1,5.3,64,211m,ECR,"Dokra, Jharkhand"
7.2,/==/,PKA,Pradhankhunta Junction,19:07,-,19:07,1,9.1,64,202m,ECR,"Dhanbad, Jharkhand"
7.3,/==/,CAM,Chhota Ambana,19:12,-,19:12,1,15.2,64,200m,ER,"Dhanbad, Jharkhand"
7.4,/==/,KAO,Kalubathan,19:21,-,19:21,1,24.3,64,195m,ER,"Dhanbad, Jharkhand"
7.5,/==/,TNW,Thapar Nagar,19:25,-,19:25,1,28.5,64,144m,ER,"Dhanbad, Jharkhand"
7.6,/==/,MMU,Mugma,19:30,-,19:30,1,33.9,64,135m,ER,"National Highway 2, Jharkhand"
8.0,/==/,KMME,Kumardubi,19:34,-,19:35,1,38.5,44,135m,ER,"Dhanbad - 828203(06540-222077), Jharkhand"
8.1,/==/,BRR,Barakar,19:38,-,19:38,1,41.0,44,129m,ER,"Dist. Bardhaman, West Bengal"
8.2,/==/,ULT,Kulti,19:43,-,19:43,1,44.3,44,148m,ER,"dist - bardhaman, West Bengal"
8.3,/==/,STN,Sitarampur Junction,19:50,-,19:50,1,49.4,44,139m,ER,"G T Rd Before Asansol, West Bengal"
8.4,/==/,BCQ,Barachak Junction,19:55,-,19:55,1,53.1,44,127m,ER,"dist - bardhaman, West Bengal"
9.0,/==/,ASN,Asansol Junction,20:02,-,20:07,1,58.2,68,113m,ER,"Dist - Bardhaman, West Bengal"
9.1,/==/,ASNE,Asansol East,20:08,-,20:08,1,59.8,68,110m,ER,"Asansol, West Bengal"
9.2,/==/,KPK,Kalipahari,20:12,-,20:12,1,63.5,68,106m,ER,"Bardhaman distt, West Bengal"
9.3,/==/,NMC,Nimcha,20:20,-,20:20,1,72.5,68,106m,ER,"Raniganj, West Bengal"
10.0,/==/,RNG,RaniGanj,20:23,-,20:24,1,76.3,40,92m,ER,"Raniganj, West Bengal"
10.1,/==/,BQT,Bakhtarnagar,20:31,-,20:31,1,80.8,40,87m,ER,"Kajora, West Bengal"
10.2,/==/,UDLW,Andal West Cabin,20:32,-,20:32,1,81.9,40,83m,ER,"Andal, West Bengal"
11.0,/==/,UDL,Andal Junction•,20:35,-,21:20,1,83.6,43,86m,ER,"Andal, West Bengal"
11.1,/==/,KJME,Kajoragram,21:27,-,21:27,1,88.6,43,89m,ER,"Near Andal, West Bengal"
11.2,/==/,SXD,Siduli,21:33,-,21:33,1,93.3,43,105m,ER,"Siduli Railway Station, West Bengal"
11.3,/==/,UKA,Ukhra,21:36,-,21:36,1,95.4,43,109m,ER,"Ukhra, West Bengal"
12.0,/==/,PAW,Pandabeswar,21:48,-,21:49,1,103.8,62,87m,ER,"Bardhaman, West Bengal"
12.1,/==/,BMGA,Bhimgara,21:52,-,21:52,1,106.9,62,80m,ER,"Birbhum, West Bengal"
12.2,/==/,PCR,Panchra,21:58,-,21:58,1,112.9,62,78m,ER,"Birbhum, West Bengal"
12.3,/==/,DUJ,Dubrajpur,22:04,-,22:04,1,119.0,62,94m,ER,"Dubrajpur, West Bengal"
12.4,/==/,CPLE,Chinpai,22:10,-,22:10,1,125.1,62,79m,ER,"National Highway 60, West Bengal"
12.5,/==/,KOX,Kachujor,22:13,-,22:13,1,128.7,62,76m,ER,"Suri, West Bengal"
12.6,/==/,KQX,Kachujor,22:13,-,22:13,1,128.7,62,76m,ER,"Kachujor, West Bengal"
13.0,/==/,SURI,Siuri,22:22,-,22:23,1,137.7,17,72m,ER,"Birbhum - 03462 255131, West Bengal"
13.1,/==/,KNRI,Kunuri,22:55,-,22:55,1,146.8,17,60m,ER,"dist - birbhum, West Bengal"
13.2,/==/,MWZ,Mahishadahari,23:04,-,23:04,1,149.2,17,59m,ER,"Dist - Birbhum, West Bengal"
14.0,/==/,SNT,Sainthia Junction,23:30,-,23:35,1,156.8,60,58m,ER,"Dist - Birbhum, West Bengal"
14.1,%==%,GHLE,Gadadharpur,23:42,-,23:42,1,164.0,60,52m,ER,"Dist - Birbhum, West Bengal"
14.2,%==%,MLV,Mallarpur,23:51,-,23:51,1,172.3,60,46m,ER,"Dist - Birbhum, West Bengal"
14.3,%==%,TPF,Tarapith Road,23:56,-,23:56,1,177.6,60,45m,ER,"Dist - Birbhum, West Bengal"
15.0,%==%,RPH,Rampurhat,00:03,-,00:08,2,184.8,50,41m,ER,"DIST - Birbhum, West Bengal"
15.1,%==%,SDLE,Swadinpur,00:16,-,00:16,2,191.5,50,44m,ER,"DIST-BIRBHUM, West Bengal"
16.0,%==%,NHT,Nalhati Junction,00:25,-,00:27,2,198.9,75,48m,ER,"Dist - Birbhum, West Bengal"
16.1,%==%,CTR,Chatra,00:34,-,00:34,2,207.5,75,42m,ER,"Dist - Birbhum, West Bengal"
17.0,%==%,MRR,Murarai,00:40,-,00:41,2,215.1,64,36m,ER,"Dist - Birbhum, West Bengal"
17.1,%==%,RJG,Rajgram,00:52,-,00:52,2,226.8,64,32m,ER,"Dist - Birbhum, West Bengal"
18.0,%==%,PKR,Pakur,01:02,-,01:03,2,237.3,35,37m,ER,"Dist:- Pakur, Jharkhand"
18.1,%==%,TBB,Tilbhita,01:10,-,01:10,2,241.6,35,31m,ER,"Tilbhita, Jharkhand"
18.2,%==%,KLP,Kotalpukur,01:24,-,01:24,2,249.3,35,40m,ER,"Kotalpukur, Jharkhand"
19.0,%==%,GMAN,Gumani,01:35,-,01:36,2,256.0,34,31m,ER,"Gumani, Jharkhand"
19.1,%==|,BDLC,Bonidanga Link Cabin,01:41,-,01:41,2,258.7,34,30m,ER,"Mogalpara, Jharkhand"
20.0,|==|,BHW,Barharwa Junction,01:49,-,01:54,2,263.4,71,36m,ER,"Dist: Sahibganj, Jharkhand"
20.1,|==|,BKLE,Bakudi,02:01,-,02:01,2,271.3,71,65m,ER,"Bakudi, Jharkhand"
20.2,|==|,DDX,Dhamdhamia,02:02,-,02:02,2,273.4,71,46m,ER,"Dhamdhamia, Jharkhand"
21.0,|==|,TPH,Tinpahar Junction,02:08,-,02:09,2,280.1,38,45m,ER,"Dist : Sahibganj, Jharkhand"
21.1,|==|,KXE,Kalian Chak,02:17,-,02:17,2,284.9,38,45m,ER,"Kalian Chak, Jharkhand"
21.2,|==|,TLJ,Taljhari,02:24,-,02:24,2,289.7,38,38m,ER,"Dist : Sahibganj, Jharkhand"
21.3,|==|,KPTO,Karanpur Ato,02:35,-,02:35,2,296.7,38,39m,ER,"Dist : Sahibganj, Jharkhand"
21.4,|==!,MJP,Maharajpur,02:46,-,02:46,2,303.9,38,34m,ER,"Moharajpur, Jharkhand"
21.5,!==!,SLJ,Sakrigali,02:56,-,02:56,2,310.0,38,45m,ER,"Dist : Sahibganj, Jharkhand"
22.0,!==|,SBG,Sahibganj,03:08,-,03:16,2,317.8,60,38m,ER,"Sahibganj, Jharkhand"
22.1,|==|,KRMA,Karamtola,03:25,-,03:25,2,326.9,60,35m,ER,"National Highway 80, Bihar"
23.0,|==|,MZC,Mirza Cheuki,03:31,-,03:32,2,332.9,24,38m,ER,"Bihar, Bihar"
23.1,|==|,AMPL,Ammapali,03:42,-,03:42,2,337.1,24,40m,ER,"Ammapali, Bihar"
24.0,|==!,PPT,Pirpainti,03:53,-,03:54,2,341.4,45,53m,ER,"Bhagalpur, Bihar"
24.1,!==!,LKB,Lakshmipur Bhorang,03:59,-,03:59,2,345.3,45,37m,ER,"Lakshmipur Bhorang, Bihar"
24.2,!==!,SVRP,Shivanarayanpur,04:06,-,04:06,2,350.2,45,47m,ER,"Shivanarayanpur, Bihar"
24.3,!==!,BKSL,Bikram Shila,04:10,-,04:10,2,353.7,45,58m,ER,"Bikram Shila, Bihar"
25.0,!==!,CLG,Kahalgaon,04:21,-,04:22,2,361.7,55,44m,ER,"Bhagalpur, Bihar"
25.1,!==!,EKC,Ekchari,04:27,-,04:27,2,366.1,55,37m,ER,"National Highway 80, Bihar"
26.0,!==!,GGA,Ghoga,04:33,-,04:34,2,371.8,29,42m,ER,"Ghoga, Bihar"
26.1,!==!,LMM,Lailakh Mamalkha,04:46,-,04:46,2,377.6,29,36m,ER,"Lailakh Mamlkha, Bihar"
26.2,!==!,SBO,Sabaur,05:00,-,05:00,2,384.2,29,42m,ER,"Sabour, Bihar"
27.0,|==!,BGP,Bhagalpur Junction,05:15,-, ,2,391.8,-,49m,ER,"Bhagalpur, Bihar"
