BB,HR,OPS,Player,G,Team
4,0,0.834,A Santos,10,PIR
3,0,0.536,D Pellegrino,16,ORI
11,4,0.874,L Perez,41,CAR
1,0,0.561,W Rodriguez,5,NAT
8,0,0.17,S Thompson,13,RSX
8,3,0.801,H Veloz,34,ORI
15,0,0.65,L Correa,39,RAY
4,1,1.029,J Ellsbury,4,RSX
2,1,0.508,V Castro,23,MRL
14,1,0.806,M Foat,43,NAT
12,2,0.634,R Garcia,31,CAR
11,0,0.679,R Cordova,32,MRL
2,1,0.805,M Ohlman,8,ORI
14,2,0.672,L Ortiz,42,MRL
3,0,0.528,M Albaladejo,17,NAT
9,0,0.447,S Russell,39,ORI
22,0,0.642,D Gonzalez,39,TIG
0,0,0.333,G Rowan,2,RAY
9,0,0.651,A Mora,40,PHL
1,0,0.341,B Compton,8,TWI
9,0,0.583,R McChesney,17,RAY
3,2,1.5,A Rendon,5,NAT
21,3,0.654,S Allie,42,PIR
11,0,0.736,J Acevedo,45,CAR
1,0,0.785,G Nivar,14,PIR
2,1,0.597,K Ross,21,PIR
19,0,0.634,C Lien,48,BRA
9,1,0.537,C Dodd,37,CAR
30,2,0.548,T Gibson,52,TIG
1,0,0.944,J Benson,3,TWI
7,2,0.625,C Correa,39,AST
12,1,0.479,N Mikolas,31,YAN
9,0,0.567,P Severino,38,NAT
5,0,1.024,C Flynn,10,MRL
0,1,0.7,E Nunez,4,YAN
6,1,0.749,Y Araujo,30,RAY
1,0,0.488,R Vigil,11,MRL
7,0,0.698,H Garcia,21,BRA
18,2,0.712,E Escobar,54,PIR
4,1,0.517,J Solano,24,AST
3,2,0.633,A Chubb,23,NAT
2,0,0.595,J Carnahan,13,AST
7,0,0.498,C Burke,24,MRL
5,0,0.762,S Heathcott,5,YAN
9,1,0.531,S Edwards,33,RAY
0,0,0.857,P O'Brien,4,YAN
12,3,0.651,M Hernandez,46,ORI
1,0,0.473,Y Aguero,5,RSX
5,0,0.526,T Richards,34,ORI
3,1,0.726,N DeSouza,9,BLU
12,3,0.812,A Schotts,40,TIG
3,3,0.818,T Tewell,35,BRA
9,0,0.455,M Beltran,25,RAY
2,0,0.486,A Ruiz,11,NAT
9,0,0.622,C Rondon,47,RSX
2,0,0.422,F Perez,18,YAN
11,0,0.695,A Araiza,34,RAY
5,0,0.75,B Lasater,6,MRL
12,3,0.712,J Natera,49,RAY
34,0,0.703,W Difo,54,NAT
10,1,0.763,H Castro,51,TIG
