AB,AVG,oppTAv,#,NAME,oppOBP,TEAM
813,0.22,0.269,174.0,Hisashi Iwakuma,0.322,SEA
567,0.317,0.264,145.0,Joe Blanton,0.314,ANA
620,0.297,0.272,105.0,Dallas Keuchel,0.322,HOU
563,0.281,0.247,151.0,Jon Niese,0.302,NYN
581,0.293,0.269,78.0,Phil Hughes,0.321,NYA
714,0.231,0.254,131.0,A.j. Burnett,0.311,PIT
567,0.233,0.265,165.0,Dan Straily,0.316,OAK
319,0.223,0.266,76.0,Tommy Hunter,0.321,BAL
775,0.268,0.254,130.0,Dillon Gee,0.311,NYN
341,0.235,0.27,107.0,Scott Feldman,0.324,BAL
534,0.318,0.269,120.0,Dylan Axelrod,0.323,CHA
748,0.194,0.265,52.0,Yu Darvish,0.317,TEX
415,0.299,0.254,123.0,Ryan Vogelsong,0.309,SFN
702,0.281,0.253,25.0,Edwin Jackson,0.308,CHN
368,0.272,0.265,72.0,Nick Tepesch,0.318,TEX
703,0.222,0.266,146.0,Justin Masterson,0.319,CLE
762,0.232,0.251,99.0,Mike Minor,0.306,ATL
800,0.23,0.268,121.0,Chris Sale,0.322,CHA
384,0.284,0.253,12.0,Jonathan Pettibone,0.306,PHI
376,0.199,0.263,62.0,Clay Buchholz,0.315,BOS
432,0.257,0.258,144.0,Jason Marquis,0.315,SDN
533,0.306,0.268,69.0,Scott Diamond,0.322,MIN
357,0.227,0.258,108.0,Chad Gaudin,0.314,SFN
