Title,Offering,Standing,Credits,When,S,Description,Faculty,Days,Multiple Standings,Start Quarters,Open Quarters
Moving Towards Health Mukti Khanna and Cynthia Kennedy consciousness studies dance health leadership studies psychology somatic studies Signature Required: Winter,Program,FR–SOFreshmen–Sophomore,16,Day, ,"This two-quarter program explores the creation of health through mind-body perspectives. How can we engage in transformational conversations about the connections between personal, community and planetary health? Knowing that in every moment choices we make can move us toward health, or away from it, this program will explore the myriad ways we can embody choices that keep us and our communities vital and alive. Throughout the program, we will recognize that our individual choices can help us create both personal health and a sustainable environment, a conscious life and a positive presence in society.Fall quarter we will explore systems of health and healing from multicultural, neurobiological and ecopsychological lenses. There is a synergistic relationship between planetary and personal well-being; the health of one is related to the health of the other. We will explore the relationship between the body and the natural world. We'll also explore somatic (body-based) literacy as it relates to leadership, communication and engagement with social issues. Somatic literacy includes listening and acting on information from the body. Winter quarter will allow students to design their own health-based project studies while continuing to explore self-leadership, creativity, emotional intelligence, health and self-image.Students will have an opportunity to learn in many ways using diverse modalities and multiple intelligences. We will integrate somatic learning into our studies, including movement workshops (no prior experience necessary). Our inquiry will ask us to attune ourselves to the wisdom that is available and present in our mind-body awareness. We will participate in community readings, community service, rigorous writing assignments and critical study of important texts. Learning through multiple intelligences can be enjoyable.Come join us!",Mukti Khanna Cynthia Kennedy, ,Freshmen FR Sophomore SO,Fall,Fall Winter
"The Pillars of Health, Ancient and Modern Cindy Beck health physiology Signature Required: Winter",Program,FR–SRFreshmen–Senior,08,Evening, ,"In our society the human body is often sedentary and overfed, like something on a factory farm. However, it was meant to be active and powered by nourishing whole foods. This is the secret of vitality.We can make daily life more productive, satisfying, and healthy. Using both personal and community health as guideposts, students will embark on a journey of discovery, looking at the body through movement, nutrition, and mindfulness. This program is designed to help students integrate many facets into a healthy lifestyle. Students will learn how flexibility and strength impact the musculoskeletal system on an anatomical and physiological basis. They will understand the impact of exercise on the cardiovascular, respiratory, and nervous systems. Diet will be woven throughout the program, highlighting how our food choices impact our energy, mood, and metabolism.",Cindy Beck,Mon Wed,Freshmen FR Sophomore SO Junior JR Senior SR,Fall,Fall Winter
Psychology: Child and Family Development Candace Vogler education health psychology Signature Required: Spring,Course,SO–SRSophomore–Senior,04,Evening,S 14Spring,"This 4-credit upper division course is offered for students who anticipate relationship-based careers in clinical or educational contexts. Goals for the course are to build cognitive and experiential understanding of the function of earliest relationships in child development and to examine theories of family development and structures for 'good enough' families as a context for individual development. Students will explore their own development and families as a context for applying theories. Class work include reading response papers, a final synthesis project, active participation in large and small discussion formats, and role play activities. This is an intense reading class- success will require staying current with weekly readings.",Candace Vogler,Wed,Sophomore SO Junior JR Senior SR,Spring,Spring
Re-Imagining the Body Hirsh Diamant and Cindy Beck cultural studies health visual arts,Program,FR–SRFreshmen–Senior,08,Evening and Weekend,S 14Spring,"This interdisciplinary program will explore how the human body was imagined by Eastern and Western cultures and how we can re-imagine the body to achieve better health and a greater sense of well-being. In particular we will study organs and body systems, look at the ways the body was imagined in Western scientific illustration and in alchemical images, Chinese diagrams, and Tibetan paintings. We will look at major organs and body systems from physical, physiological, and spiritual perspectives, practice medical illustration, and explore new ways of understanding and representing the interdependent work of a healthy body. Our study will also include an introduction to energy systems and alternative medicine.Credits will be awarded in medical illustration, cultural studies, and anatomy.",Hirsh Diamant Cindy Beck,Wed Sat,Freshmen FR Sophomore SO Junior JR Senior SR,Spring,Spring
"The Science and Sociology of Human Health Carolyn Prouty, Trisha Vickrey and Wenhong Wang biology chemistry health sociology Signature Required: Winter Spring",Program,SO–SRSophomore–Senior,16,Day,S 14Spring,"This introductory, three-quarter interdisciplinary program explores the basics of health and illness through the lenses of biology, chemistry and medical sociology. We will focus on the social, cultural and scientific aspects of human health and health care primarily in the U.S., with some comparative examination of global health topics. Our case-based approach will incorporate human biology, anatomy, physiology, nutrition, general chemistry and statistics, while also examining the social aspects of health, illness, and health care.Enhancing our study of human systems biology and chemistry, we will examine topics such as epilepsy, cancer, diabetes, tobacco, and HIV/AIDS, how cultures interact with medical systems, and end-of-life decision-making. These specific topics will provide a platform to explore health care systems and health care reform, social and cultural constructions of health and illness, the social determinants of health, role development of health care professionals and their relationships with patients, and ethical issues involved in medical fields. We’ll also cover basic descriptive and inferential statistics, which will give us quantitative tools to untangle some of the complex issues within these topics.Program activities will include lectures, seminar, lab work, workshops, small-group problem solving, guest lectures, film viewing, and individual and group projects. Students will undertake writing, and statistical assignments focused on interpreting and integrating the topics covered. Students will learn the foundational skills of scientific research; how to find, interpret, and evaluate primary medical literature; and how to critically examine issues related to human health through a variety of lenses.Students who complete three quarters will have a solid foundation in human biology, chemistry, human anatomy, physiology, nutrition, statistics, and medical sociology with a working knowledge of the scientific, social and ethical principles relating to human health and public health.",Carolyn Prouty Trisha Vickrey Wenhong Wang, ,Sophomore SO Junior JR Senior SR,Fall,Fall Winter Spring
Small World: Poverty and Development on a Shrinking Planet Peter Dorman anthropology economics environmental studies geography health history international studies mathematics political economy political science sociology,Program,JR–SRJunior–Senior,16,Day,S 14Spring,"There are of poor people in the world today, and even more who have limited access to health care, education and political and cultural opportunities. The word commonly used to refer to the process of economic growth and the expansion of opportunity is development—but there is enormous disagreement over how this word should be understood or even whether it should be used at all. This program will examine development on multiple levels: historical, philosophical, political and economic. It will place the quest for development in the context of European colonial expansion, military conflict and the tension between competing cultural frameworks. In doing this, it will combine “outside” views of development, as seen by administrators and experts, with the “inside” views of people who are most directly affected by development and its absence. At the same time, there will be a strong push toward usable knowledge: learning the skills that are essential for people who work in the field of development and want to make a dent in this radically unequal world. Economics will be an important contributor to our knowledge base; the program will offer introductory-level micro- and macroeconomics, with examples drawn from the development experience. Just as important is statistics, since quantitative methods have become indispensable in development work. We will learn about survey methodology and techniques used to analyze data. Another basis for this program is the belief that economics, politics and lived experience are inseparable. Just as quantitative techniques are used to shed light on people’s experiences, their own voices are essential for making sense of the numbers and can sometimes overrule them altogether. We will read literature that expresses the perspective of writers from non-Western countries, view films and consider other forms of testimony. The goal is to see the world, as much as possible, through their eyes as well as ours.Spring quarter will be devoted primarily to research. It will begin with a short, intensive training in research methods, based on the strategy of deeply analyzing a few papers to see how their authors researched and wrote them. After this, depending on the skills and interests of students, an effort will be made to place them as assistants to professional researchers or, if they prefer, they can pursue their own projects. We will meet as a group periodically to discuss emerging trends in development research and practice, as well as to help each other cope with the difficulties in our own work. By the end of three quarters, students should be prepared for internships or further professional studies in this field.",Peter Dorman,Mon Mon Wed Thu Thu,Junior JR Senior SR,Fall,Fall Winter
Student-Originated Studies: Psychology and Integrative Health Mukti Khanna and Heesoon Jun community studies consciousness studies health psychology Signature Required: Spring,SOS,SO–SRSophomore–Senior,16,Day,S 14Spring,"This program is intended for students who want to deepen their work in psychology through integrating theory and practice, in a setting that combines student-designed and faculty-designed study and projects. The faculty-designed component of the program will train students in the American Psychological Association ethics code that can be applied to working with diverse populations and internship sites. Students will also receive training in writing APA style social science papers and working with social science library data bases. Students will have the option of attending the Western Psychological Association meeting, which is the western regional arm of the American Psychological Association, that will be held in Portland, Oregon, April 24- 27, 2014. Attending this professional conference is one of the best ways to explore the range of work and research that is emerging in the field of psychology nationally.The student-designed component of the program may be a six-credit (15 hour a week) internship or independent study project related to psychology or health. Students will meet with faculty weekly to study more about psychological ethics, psychological writing and community work.",Mukti Khanna Heesoon Jun, ,Sophomore SO Junior JR Senior SR,Spring,Spring
Tend and Tell: Developing and Interpreting an Ethnobotanical Garden Marja Eloheimo Native American studies botany communication community studies consciousness studies education environmental studies health writing,Program,FR–SRFreshmen–Senior,12,Weekend,S 14Spring,"Working as a multidisciplinary project team, this year-long program has a mission. Students will engage in hands-on work to enhance the fledgling ethnobotanical garden at the Evergreen “House of Welcome” Longhouse by refining and caring for existing habitat and theme areas. Through this work, we will create a valuable educational resource and contribute to multiple communities including Evergreen, local K-12 schools, local First Nations, and a growing global collective of ethnobotanical gardens that promote environmental, medical, and cultural diversity and sustainability.During winter quarter, students will focus on the garden's ""story"" through continued work on existing signage, a book draft, and/or other interpretive materials such as a web page. Students will work independently on skill development, research, and project planning or implementation in their selected areas of interest and garden areas. Students will also be active during the winter transplant season and will prepare procurement and planting plans for the spring season.During spring quarter, students will plant and care for the garden, wrapping up all of the work they have begun. They will complete interpretive materials, create and implement educational activities, and participate in the Longhouse Cleansing Ceremony.Since this unique program is grounded in community-service learning, topics in various subject areas – including field botany, community-based herbalism, horticulture, and Indigenous studies – are woven into the fabric of student learning when most appropriate to overall objectives, and are introduced through readings, lectures, workshops, assignments, and projects.The program cultivates community by nurturing each member's contributions and growth, and acknowledges the broader context of sustainability, especially with regard to food and medicine.",Marja Eloheimo,Sat Sun,Freshmen FR Sophomore SO Junior JR Senior SR,Fall,Fall Winter Spring
Turning Eastward: Explorations in East-West Psychology Ryo Imamura community studies consciousness studies cultural studies health philosophy psychology religious studies Signature Required: Winter,Program,SO–SRSophomore–Senior,16,Day, ,"Western psychology has so far failed to provide us with a satisfactory understanding of the full range of human experience. It has largely overlooked the core of human understanding—our everyday mind and our immediate awareness of being—with all of its felt complexity and sensitive attunement to the vast network of interconnectedness with the universe around us. Instead, Western psychology has chosen to analyze the mind as though it were an object independent of the analyzer, consisting of hypothetical structures and mechanisms that cannot be directly experienced. Western psychology's neglect of the living mind--both in its everyday dynamics and its larger possibilities--has led to a tremendous upsurge of interest in the ancient wisdom of Asia, particularly Buddhism, which does not divorce the study of psychology from the concern with wisdom and human liberation.In contrast to Western psychology, Eastern psychology shuns any impersonal attempt to objectify human life from the viewpoint of an external observer and instead studies consciousness as a living reality which shapes individual and collective perception and action. The primary tool for directly exploring the mind is meditation or mindfulness, an experiential process in which one becomes an attentive participant-observer in the unfolding of moment-to-moment consciousness.Learning mainly from lectures, readings, videos, workshops, seminar discussions, individual and group research projects and field trips, in fall quarter we will take a critical look at the basic assumptions and tenets of the major currents in traditional Western psychology, the concept of mental illness and the distinctions drawn between normal and abnormal thought and behavior. In winter quarter, we will then investigate the Eastern study of mind that has developed within spiritual traditions, particularly within the Buddhist tradition. In doing so, we will take special care to avoid the common pitfall of most Western interpretations of Eastern thought—the attempt to fit Eastern ideas and practices into unexamined Western assumptions and traditional intellectual categories. Lastly, we will address the encounter between Eastern and Western psychology as possibly having important ramifications for the human sciences in the future, potentially leading to new perspectives on the whole range of human experience and life concerns.",Ryo Imamura, ,Sophomore SO Junior JR Senior SR,Fall,Fall Winter
The Unquiet Mind: Understanding Psychological Distress Kelly Brown health psychology,Program,JR–SRJunior–Senior,08,Day, ,"In this interactive and experiential class, students will develop an understanding of the impact that social-emotional distress has on how both children and adults interact with the world. During the first half of the program, students will explore ideas which look at what accounts for individual differences among people, why people might act in the ways in which they do, and why they might change. We will also explore cultural factors that increase and decrease psychological well-being in the USA. In the second half of the program, students will explore the skills and techniques needed to work with people in various interpersonal and clinical situations. Students will be able to apply their knowledge of various theories and techniques to case examples and other real-life scenarios.",Kelly Brown,Mon Thu,Junior JR Senior SR,Summer,Summer
What we talk about when we talk about food Lori Blewett and Karen Hogan biology communication cultural studies environmental studies health sustainability studies,Program,FR–SRFreshmen–Senior,12,Evening and Weekend,S 14Spring,"This program explores biological, social, and political dimensions of food. We’ll consider the basic biological composition and processes of our bodies, and learn why some foods are necessary and others are bad for us. These biological questions will be studied in relation to cultural and political constructions of food including discourses of consumption, identity, and sustainability. We’ll explore some recent hot topics related to food, including diet and obesity, GMO food labeling, crop genetic diversity, and food sovereignty. We’re especially interested in public rhetoric on these subjects – how scientific facts and ideas are represented and misrepresented in public debate, how food consumption and related social identities are influenced by media, and how food activism is challenging trends in corporate food production. We’ll examine a variety of media sources, including journalism, online sources, and films.",Lori Blewett Karen Hogan,Wed Sat,Freshmen FR Sophomore SO Junior JR Senior SR,Spring,Spring
Wilderness First Responder Joel Reid health outdoor leadership and education,Course,FR–SRFreshmen–Senior,04,Day and Weekend, , ,Joel Reid,Mon Tue Wed Thu Fri Sat Sun,Freshmen FR Sophomore SO Junior JR Senior SR,Summer,Summer
