RBI,SO,POS,OBP,AB,SH,SLG,SB,Team,GIDP
4,3,C,.615,21,0,.714,0,ATH,0
6,33,SS,.374,88,2,.295,0,PAD,2
20,49,RF,.356,120,0,.258,3,IND,0
13,36,CF,.356,126,2,.310,9,BRE,3
9,17,LF,.266,59,1,.373,1,BRE,1
0,2,OF,.000,4,0,.000,0,ANG,0
3,13,LF,.282,34,0,.206,2,IND,0
14,32,2B,.349,125,1,.360,5,CUB,1
3,3,OF,.227,21,0,.238,0,MAR,0
16,55,RF,.310,205,4,.288,16,DIA,5
5,5,OF,.429,20,0,.800,0,RED,0
0,0,P,--,0,0,--,0,MAR,0
18,37,LF,.370,138,1,.297,8,BRE,4
11,7,OF,.500,30,0,1.000,1,DOD,0
12,19,LF,.305,90,2,.289,2,IND,2
15,24,2B,.312,120,2,.292,3,DOD,3
3,14,C,.295,51,1,.157,1,CUB,2
2,1,OF,.250,7,0,.000,0,GIA,0
16,16,C,.268,55,0,.455,0,BRE,0
38,22,3B,.416,165,0,.648,2,DOD,2
2,6,3B,.283,48,0,.333,2,GIA,1
20,23,2B,.373,152,6,.362,14,DIA,3
1,7,C,.296,24,0,.208,0,DOD,1
8,11,3B,.390,66,1,.379,8,RAN,2
17,32,3B,.442,88,0,.557,1,CUB,1
6,11,3B,.341,37,0,.351,1,PAD,0
5,30,SS,.271,79,1,.241,3,GIA,2
2,2,OF,.500,9,0,.444,1,IND,0
0,0,2B,.000,2,0,.000,0,PAD,0
7,6,OF,.472,38,0,.500,3,DOD,0
9,12,SS,.351,63,2,.429,6,RED,2
10,24,3B,.298,97,2,.320,11,GIA,0
3,16,2B,.269,48,1,.250,0,ATH,0
16,17,3B,.298,55,0,.455,1,PAD,0
9,24,2B,.305,91,0,.363,1,DOD,0
14,25,C,.277,109,0,.404,3,MAR,3
5,18,C,.330,78,0,.295,0,RAN,0
14,19,C,.457,90,0,.467,0,CUB,4
43,52,3B,.435,150,0,.733,6,RAN,0
22,21,3B,.410,110,0,.491,0,GIA,2
3,2,1B,.273,11,0,.364,0,DIA,0
5,31,C,.262,58,1,.241,0,ANG,0
3,15,C,.236,51,0,.216,0,ANG,2
5,18,CF,.383,44,2,.205,2,IND,0
10,19,OF,.379,96,2,.417,13,PAD,2
18,15,LF,.409,75,1,.493,1,DOD,2
11,26,C,.394,91,0,.429,0,GIA,1
12,9,OF,.379,88,0,.375,22,DOD,3
16,31,1B,.366,110,0,.318,0,ANG,5
6,5,LF,.231,24,0,.292,1,DOD,1
1,2,2B,.278,17,0,.294,0,RED,0
6,6,2B,.389,59,1,.271,4,DOD,0
0,1,OF,.000,4,0,.000,0,BRE,0
29,54,1B,.354,163,0,.485,1,GIA,4
0,0,C,.333,8,0,.250,0,MAR,0
14,41,1B,.336,121,4,.314,4,DIA,1
0,2,1B,.000,4,0,.000,0,GIA,1
8,19,LF,.307,70,0,.371,0,PAD,2
14,24,DH,.250,68,0,.294,4,ANG,1
16,32,RF,.359,119,1,.345,8,CUB,4
5,27,CF,.281,82,1,.317,7,DOD,3
22,47,CF,.332,182,4,.330,30,GIA,1
14,28,3B,.307,110,2,.345,0,ANG,4
11,31,RF,.280,97,1,.351,1,ATH,1
4,1,1B,.500,10,0,.500,1,DIA,0
15,35,2B,.395,138,1,.391,8,IND,7
12,21,C,.352,75,0,.280,0,IND,3
0,2,C,.300,9,0,.333,0,MAR,1
0,2,3B,.250,7,0,.429,0,MAR,0
7,6,3B,.323,28,0,.500,1,MAR,0
30,31,SS,.404,172,0,.610,9,IND,4
17,41,1B,.375,109,0,.459,0,IND,3
22,40,CF,.287,157,0,.420,6,IND,1
12,38,3B,.246,122,0,.230,2,BRE,5
7,23,1B,.273,69,0,.246,2,DIA,1
7,3,1B,.600,13,0,1.154,0,MAR,0
42,32,3B,.403,160,0,.550,4,ATH,7
8,17,C,.304,67,0,.313,0,RAN,2
7,13,C,.343,58,0,.241,0,RAN,2
16,24,SS,.284,178,2,.315,9,BRE,7
10,8,C,.393,92,0,.348,0,ANG,1
16,39,RF,.321,120,0,.350,10,BRE,2
3,15,RF,.361,63,0,.270,7,DOD,2
4,44,RF,.193,77,0,.078,1,MAR,1
19,40,1B,.352,181,0,.370,10,PAD,6
0,3,LF,.333,4,0,.000,0,RAN,1
31,14,1B,.391,102,0,.686,1,CUB,2
8,30,LF,.348,58,0,.345,3,MAR,2
7,15,C,.389,78,0,.346,0,MAR,3
12,41,3B,.315,96,0,.323,4,DOD,1
23,34,C,.384,123,0,.382,0,ROY,4
12,50,DH,.282,115,0,.313,2,DOD,1
22,26,LF,.348,156,1,.372,2,PAD,3
0,6,OF,.313,14,0,.357,0,PAD,0
8,4,OF,.417,19,0,.895,0,MAR,0
