Description,2001,2002,2003,2004,2005,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2006 Q1,2006 Q2,Line
"Federal government total treasury securities, excluding U.S. savings bonds liability",-10.7,252.5,389.5,361.9,306.6,570.6,26.2,265.3,364.3,528.7,-113.7,43
Federal government budget agency securities liability,-0.5,0.5,-2.4,-0.6,-0.4,-0.7,-1.4,-0.4,0.8,-1.0,0.2,44
Federal government multifamily residential mortgages liability,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45
Federal government trade payables liability,3.4,0.8,72.6,14.8,12.4,15.1,15.4,15.4,3.9,7.9,20.2,46
Federal government life insurance reserves liability,1.4,1.6,1.1,1.1,1.1,0.0,1.7,0.3,2.6,0.3,2.2,47
Federal government total miscellaneous liabilities (including nonmarketable government securities held by pension funds),53.0,26.0,30.7,50.3,41.9,46.1,58.9,48.0,14.7,21.2,35.4,48
Federal government retirement funds miscellaneous assets (including nonmarketable government securities),60.8,24.5,24.7,40.9,40.0,42.1,33.8,40.9,43.1,32.5,18.7,49
Federal government miscellaneous claims excluding nonmarketable securities held by pension plans liability,-7.8,1.5,6.0,9.3,1.9,4.0,25.1,7.1,-28.4,-11.3,16.7,50
Federal government sector discrepancy,36.7,-6.7,52.1,3.9,-14.2,192.0,-204.0,-63.6,18.6,355.0,-299.9,51
Federal government change in cash balance asset,50.9,-1.6,-24.8,-3.1,4.6,21.0,-45.8,14.8,28.3,-59.4,62.2,52
