PPF,oppTAv,AGE,AVG,YEAR,oppSLG,oppAVG,SLG,oppOBP
112,0.257,26,0.268,2013,0.389,0.25,0.445,0.312
94,0.267,25,0.226,2013,0.406,0.256,0.408,0.319
93,0.266,32,0.281,2013,0.404,0.257,0.461,0.321
100,0.267,41,0.275,2013,0.409,0.256,0.411,0.317
99,0.269,28,0.277,2013,0.407,0.258,0.485,0.321
100,0.268,28,0.289,2013,0.407,0.258,0.453,0.321
101,0.262,24,0.27,2013,0.395,0.25,0.395,0.313
102,0.259,25,0.247,2013,0.393,0.253,0.363,0.313
97,0.264,25,0.257,2013,0.396,0.254,0.413,0.317
99,0.268,24,0.23,2013,0.402,0.26,0.354,0.322
93,0.27,24,0.242,2013,0.409,0.258,0.389,0.321
102,0.256,30,0.247,2013,0.4,0.256,0.366,0.315
107,0.259,30,0.241,2013,0.395,0.252,0.388,0.316
114,0.257,27,0.25,2013,0.392,0.252,0.349,0.312
104,0.256,30,0.234,2013,0.389,0.248,0.367,0.31
101,0.25,31,0.28,2013,0.378,0.248,0.431,0.304
106,0.25,28,0.285,2013,0.379,0.246,0.42,0.306
103,0.259,23,0.264,2013,0.392,0.253,0.494,0.314
98,0.265,25,0.177,2013,0.411,0.262,0.273,0.324
98,0.25,33,0.274,2013,0.381,0.25,0.421,0.304
98,0.251,27,0.26,2013,0.385,0.249,0.442,0.308
104,0.255,32,0.268,2013,0.388,0.253,0.454,0.312
95,0.258,20,0.182,2013,0.395,0.252,0.265,0.315
99,0.262,27,0.247,2013,0.392,0.249,0.351,0.314
100,0.269,27,0.293,2013,0.407,0.257,0.492,0.321
101,0.268,25,0.261,2013,0.407,0.257,0.391,0.319
97,0.267,31,0.272,2013,0.406,0.255,0.442,0.316
112,0.256,29,0.293,2013,0.383,0.252,0.42,0.316
100,0.266,34,0.26,2013,0.404,0.257,0.425,0.32
100,0.263,30,0.253,2013,0.396,0.251,0.376,0.316
100,0.272,25,0.241,2013,0.414,0.26,0.427,0.325
115,0.253,25,0.253,2013,0.379,0.25,0.375,0.309
101,0.265,26,0.194,2013,0.399,0.252,0.334,0.317
96,0.256,23,0.243,2013,0.388,0.251,0.369,0.312
100,0.267,29,0.253,2013,0.408,0.256,0.389,0.318
96,0.264,24,0.216,2013,0.402,0.255,0.343,0.316
99,0.251,27,0.258,2013,0.378,0.247,0.398,0.307
99,0.265,27,0.272,2013,0.397,0.255,0.44,0.318
95,0.267,32,0.311,2013,0.404,0.255,0.507,0.317
101,0.265,34,0.247,2013,0.406,0.258,0.413,0.317
101,0.268,26,0.306,2013,0.405,0.257,0.503,0.322
101,0.256,22,0.234,2013,0.393,0.249,0.371,0.308
99,0.272,29,0.289,2013,0.414,0.26,0.455,0.324
102,0.263,30,0.25,2013,0.392,0.252,0.401,0.314
102,0.254,26,0.252,2013,0.388,0.248,0.375,0.308
101,0.267,26,0.259,2013,0.404,0.256,0.399,0.317
107,0.254,24,0.264,2013,0.385,0.248,0.384,0.31
101,0.266,31,0.251,2013,0.402,0.258,0.369,0.32
99,0.272,25,0.297,2013,0.414,0.26,0.458,0.322
100,0.252,25,0.195,2013,0.384,0.25,0.277,0.309
95,0.257,23,0.237,2013,0.387,0.25,0.339,0.314
100,0.252,22,0.246,2013,0.382,0.246,0.398,0.306
100,0.263,28,0.198,2013,0.399,0.254,0.329,0.315
95,0.26,22,0.253,2013,0.398,0.255,0.336,0.313
102,0.256,25,0.259,2013,0.393,0.247,0.367,0.308
102,0.27,29,0.305,2013,0.415,0.262,0.488,0.323
102,0.253,25,0.263,2013,0.387,0.248,0.407,0.307
98,0.261,32,0.244,2013,0.392,0.249,0.439,0.315
