G,Player,R,SLG,SH,RBI,SB,H,SO
135,N Castellanos,65,.436,1,76,3,158,130
45,M Brownstein,20,.372,2,20,8,41,25
105,M Walker,54,.455,3,72,7,101,120
22,K Holloway,7,.333,0,6,0,18,23
28,J Arias,5,.163,6,5,1,13,20
60,M McGee,44,.426,2,29,5,67,40
52,R Cuneo,25,.379,0,28,1,52,36
12,S Cilladi,1,.296,2,2,0,5,5
123,C Bisson,61,.325,6,43,21,109,106
55,J Campos,23,.241,5,9,0,34,38
87,M Gibbs,32,.317,0,28,1,75,69
55,M Browning,21,.307,2,19,4,44,29
53,G Hall,23,.404,5,16,4,46,46
116,E Inciarte,73,.333,12,25,26,118,59
65,C Stang,30,.387,4,14,12,64,50
60,A Martinez,21,.265,6,24,8,46,53
118,J Marisnick,68,.496,0,77,37,148,91
25,M O'Neill,15,.438,2,10,1,27,13
31,D Iden,14,.253,0,10,1,20,20
64,J Rogers,29,.429,2,37,6,66,48
83,D Harris,44,.361,1,35,12,64,95
14,B Miller,9,.528,0,7,1,22,9
68,V Sanchez,28,.342,0,28,4,58,39
38,J Hicks,21,.446,0,26,2,43,17
65,C Jacobs,31,.521,0,33,0,62,62
30,A Fields,9,.304,0,11,0,22,23
104,J Duran,48,.463,0,71,1,97,152
32,R Grichuk,12,.402,0,13,0,28,29
127,M Helm,58,.379,0,60,16,118,134
69,R Castillo,21,.357,0,32,5,44,58
122,C Moncrief,73,.422,3,53,20,108,158
127,D Vidal,85,.498,2,85,3,127,111
98,R Rodriguez,41,.449,4,42,10,91,83
130,M Wiswall,49,.340,2,57,4,122,104
6,D Macias,3,.308,0,1,0,7,2
97,A Franco,49,.348,16,27,5,95,40
66,J Bass,24,.345,2,20,4,69,38
37,V Hill,18,.292,1,15,8,22,51
70,R Hamme,37,.370,2,24,2,68,49
48,T Jones,18,.351,1,16,2,36,31
19,D Poulk,6,.403,0,10,1,17,16
26,R Gale,9,.333,1,13,0,24,23
60,S Domecus,28,.419,1,23,2,58,37
77,G Pena,28,.314,1,24,2,60,81
70,M Freeman,35,.335,5,27,16,67,39
89,B Namba,35,.311,0,35,1,54,107
47,C Spangenberg,35,.365,3,24,15,54,42
97,B Decker,43,.364,0,34,2,78,88
129,J Robbins,55,.406,9,65,5,123,158
101,M Crouse,73,.475,0,55,38,95,113
35,J Bergman,24,.356,0,18,2,34,16
132,L Ray,76,.432,2,74,10,119,132
101,Y Cabrera,59,.368,0,47,23,83,110
75,D McCallum,21,.258,2,23,2,42,65
27,B Hernandez,7,.361,4,17,1,22,15
10,R Neda,3,.114,0,4,0,4,3
66,G Montilla,26,.418,1,30,7,57,49
33,C Mirabal,6,.287,1,7,1,27,20
10,K Socorro,5,.316,0,2,0,11,1
80,P Elkins,29,.309,3,22,3,59,55
40,D Fitzgerald,16,.184,3,9,4,18,34
76,C Powers,48,.538,1,45,0,93,64
45,R Navarro,18,.252,1,11,10,31,39
83,C Jarrett,34,.272,2,15,7,53,65
32,D Narodowski,10,.361,0,7,3,31,27
7,B Pardo,3,.158,1,0,0,3,6
85,A Llanos,40,.347,4,30,13,85,83
61,C Henderson,17,.280,1,10,2,41,36
42,T Stubblefield,17,.304,0,18,2,33,45
58,B Hernandez,22,.286,3,19,3,35,59
1,R O'Rourke,0,.000,0,0,0,0,0
99,A Alcantara,45,.352,4,37,8,100,76
45,R Garvey,14,.248,0,9,5,27,38
116,R Liriano,81,.499,2,62,65,145,95
6,J Pozo,1,.235,2,2,0,4,7
33,K Knudson,12,.278,2,17,0,26,33
78,W Hatton,27,.311,0,37,4,56,79
100,J Bosnik,31,.363,1,42,2,78,79
93,F Romero,30,.322,9,31,19,69,92
7,P Mooney,3,.600,0,1,0,9,5
8,J Andreoli,3,.111,0,1,2,3,6
16,P Mattingly,8,.458,0,8,1,11,17
46,B Nowlin,21,.388,0,17,0,37,33
116,M Gonzales,66,.468,0,76,4,119,105
83,R Estrada,35,.359,3,25,14,56,39
13,R Ruiz,4,.167,0,2,1,5,8
5,M Stokes,1,.188,0,1,0,2,6
6,C Adamson,0,.222,0,1,0,3,7
113,J Whitaker,67,.556,0,68,10,129,107
74,L Bailey,26,.385,1,35,5,55,89
69,C Walsh,36,.378,1,29,6,55,43
20,M Cerione,6,.213,0,5,3,15,28
7,S Irvine,3,.176,0,1,1,3,4
11,E Lara,4,.438,0,6,0,6,13
65,P LePage,37,.357,4,26,8,60,20
117,A Monsalve,55,.356,0,44,7,121,96
3,K Teran,1,.000,1,0,0,0,1
78,O Taveras,52,.584,0,62,1,119,52
125,L Landry,59,.360,8,41,28,125,67
1,J Meador,0,.000,0,0,0,0,2
71,T Streich,31,.304,4,16,0,46,42
105,S Tinoco,47,.325,3,49,3,103,53
25,C Casali,10,.400,2,14,0,17,9
107,W Cunningham,43,.381,1,50,9,97,71
127,D Dietrich,73,.502,0,81,5,133,128
3,L Mateo,3,.364,0,2,0,4,2
33,K Fontanez,10,.259,2,9,0,22,22
13,J Castillo,4,.475,0,5,0,14,5
53,G Klein,24,.410,0,33,1,55,57
125,A Giansanti,53,.372,3,56,8,103,80
19,D Petitti,3,.179,5,3,0,8,15
3,B Altman,1,.143,0,1,0,1,3
123,B Guinn,49,.307,12,34,34,102,104
34,C Burnette,8,.271,1,7,1,24,21
71,J Blackwood,29,.494,0,43,6,77,51
13,K Smith,4,.242,0,2,0,6,9
111,R Keen,60,.358,8,30,41,108,77
9,J McCann,0,.088,0,1,0,2,12
98,A Leer,40,.290,5,35,4,72,103
48,C Tanabe,13,.288,3,14,1,32,46
89,R Gomez,42,.388,3,37,15,90,91
50,J Dore,18,.354,0,14,0,32,53
92,J Kuebler,35,.333,1,30,5,71,91
36,G Glad,10,.267,2,11,1,21,22
66,M Szczur,55,.431,0,27,17,86,28
126,G Urshela,57,.347,2,46,3,120,69
97,Z Walters,69,.485,3,56,12,109,96
97,M Brisker,72,.351,0,33,24,81,112
95,J Aguilar,58,.544,0,69,1,102,98
134,Y Arbelo,68,.516,0,95,1,114,161
85,N Akins,43,.394,0,45,0,66,77
42,J Blash,13,.347,0,13,5,27,43
76,G Rohan,34,.433,1,52,3,92,50
1,J Gonzalez,0,--,0,0,0,0,0
16,R Enos,5,.278,0,8,2,11,5
35,M Watts,8,.289,0,13,0,24,46
2,R Soares,1,.000,0,0,0,0,0
93,M Swinson,46,.329,1,26,9,82,59
108,T Thompson,46,.408,0,59,3,103,57
126,N Shaw,80,.333,12,40,8,121,82
1,J Edwards,0,--,0,0,0,0,0
47,N Gallego,19,.261,4,13,5,34,33
4,B May,3,.462,1,3,0,2,5
114,G Hopkins,54,.333,6,53,16,95,88
91,B Fletcher,54,.560,0,60,4,112,80
6,M Parker,0,.235,0,1,0,3,5
29,K Castillo,19,.567,0,22,0,32,25
50,L Durham,20,.327,0,29,2,29,54
3,T Motter,1,.455,0,3,1,2,4
3,J Azcona,2,.667,0,5,0,2,3
1,P Krebs,0,--,0,0,0,0,0
37,J Hawkins,23,.306,2,10,10,28,32
49,A Lavisky,19,.391,3,24,0,38,66
66,J Matthews,26,.364,1,21,7,47,60
25,J Morelli,9,.267,1,7,0,22,22
106,N Bartolone,41,.264,13,26,11,78,70
21,J Parks,5,.197,0,7,1,12,19
20,O Arcia,18,.704,0,18,2,25,16
27,M Littlewood,7,.211,0,6,0,15,23
113,T Mittelstaedt,72,.443,4,46,28,111,116
82,J Nester,30,.325,5,23,4,53,72
99,C Edmondson,51,.456,0,54,5,85,73
112,L Domoromo,66,.405,0,68,7,123,83
95,C Perez,58,.355,1,41,6,98,74
13,J Goncalves,5,.326,2,3,3,12,9
