Section Name,Synonym,Credit,Title,Total Seats,Empty Seats,Meeting Information,Building - Room,Days,Start Time,End Time,Instructor,Location
ENG-040-302,113794.0,3.0,Introduction To Writing,16.0,4.0,LECTURE,RMC-103,TTH,11:30AM,12:45PM,FRIEND,LEB
ENG-050-301,113827.0,3.0,Foundation Of College Writing,16.0,8.0,LECTURE,RMC-114,MW,10:00AM,11:15AM,CANNON,LEB
ENG-050-302,113828.0,3.0,Foundation Of College Writing,20.0,7.0,LECTURE,RMC-103,TTH,01:00PM,02:15PM,FRIEND,LEB
ENG-101-301,113907.0,3.0,Composition I,24.0,0.0,LECTURE,RMC-114,MW,08:30AM,09:45AM,VESTAL,LEB
ENG-101-302,113908.0,3.0,Composition I,24.0,0.0,LECTURE,RMC-122,MW,02:30PM,03:45PM,PANNELL,LEB
ENG-101-305,113910.0,3.0,Composition I,24.0,5.0,LECTURE,RMC-122,TTH,10:00AM,11:15AM,VESTAL,LEB
ENG-101-306,113911.0,3.0,Composition I,24.0,8.0,LECTURE,RMC-122,TTH,02:30PM,03:45PM,VESTAL,LEB
ENG-102-301,113996.0,3.0,Composition II,24.0,9.0,LECTURE,RMC-122,MW,01:00PM,02:15PM,VESTAL,LEB
ENG-250-301,114042.0,3.0,Children's Literature,24.0,10.0,LECTURE,RMC-114,F,11:30AM,02:15PM,PANNELL,LEB
GRY-101-301,116085.0,3.0,World Geography I,24.0,5.0,LECTURE,RMC-103,MW,04:00PM,05:15PM,BOSSERT,LEB
HLT-101-301,114211.0,2.0,Lifetime Wellness,28.0,11.0,LECTURE,RMC-116,MW,04:00PM,04:50PM,BEAL,LEB
HLT-101-302,114212.0,2.0,Lifetime Wellness,24.0,16.0,LECTURE,RMC-119,TH,12:00PM,01:50PM,STAFF,LEB
HLT-101-303,114213.0,2.0,Lifetime Wellness,24.0,11.0,LECTURE,RMC-126,MW,11:30AM,12:20PM,CHILDRESS,LEB
HRA-135-301,115697.0,4.0,Refrig Motors & Controls,20.0,15.0,LECTURE,LEB-211,TTH,03:00PM,04:00PM,DINWIDDIE,LEB
 , , , , , ,LAB,LEB-211,TTH,04:00PM,05:30PM, , 
HST-120-301,114327.0,3.0,U.s. History I: To 1865,24.0,17.0,LECTURE,RMC-122,TTH,07:00AM,08:15AM,SPANGLER,LEB
IMT-120-301,114398.0,3.0,Industrial Safety,20.0,15.0,LECTURE,LEB-221,MW,04:00PM,05:15PM,DINWIDDIE,LEB
MTH-040-302,114516.0,3.0,Pre-algebra,20.0,2.0,LECTURE,RMC-109,MW,02:30PM,03:45PM,HILLHOUSE,LEB
MTH-040-304,114517.0,3.0,Pre-algebra,20.0,4.0,LECTURE,RMC-109,TTH,11:30AM,12:45PM,SMITH,LEB
MTH-050-301,114589.0,3.0,Basic Algebra,20.0,7.0,LECTURE,RMC-109,MW,08:30AM,09:45AM,HILLHOUSE,LEB
MTH-050-302,114590.0,3.0,Basic Algebra,20.0,1.0,LECTURE,RMC-109,MW,01:00PM,02:15PM,KOSMICKE,LEB
MTH-050-304,114591.0,3.0,Basic Algebra,20.0,7.0,LECTURE,RMC-109,TTH,10:00AM,11:15AM,SMITH,LEB
MTH-050-305,114592.0,3.0,Basic Algebra,20.0,9.0,LECTURE,RMC-109,TTH,04:00PM,05:15PM,MARLIN,LEB
MTH-050-306,114593.0,3.0,Basic Algebra,20.0,14.0,LECTURE,RMC-109,TTH,02:30PM,03:45PM,MARLIN,LEB
MTH-105-301,114630.0,3.0,Business Mathematics,24.0,20.0,LECTURE,RMC-122,TTH,08:30AM,09:45AM,MAJERUS,LEB
MTH-110-301,114679.0,3.0,Intermediate Algebra,32.0,20.0,LECTURE,RMC-118,MW,08:30AM,09:45AM,KOSMICKE,LEB
MTH-110-304,114681.0,3.0,Intermediate Algebra,32.0,16.0,LECTURE,RMC-118,MW,02:30PM,03:45PM,KOSMICKE,LEB
MTH-130-303,114742.0,3.0,College Algebra,32.0,2.0,LECTURE,RMC-118,MW,10:00AM,11:15AM,KOSMICKE,LEB
MUS-101-301,114801.0,3.0,Music Of The World,24.0,4.0,LECTURE,RMC-118,MW,01:00PM,02:15PM,TRAVIS,LEB
NET-102-301,116310.0,4.0,Desktop Hardware,20.0,16.0,LECTURE,RMC-107,TTH,04:30PM,07:00PM,CHAPPELL,LEB
NUR-215-3A1,114866.0,7.0,Adult Med/sur II Incl Iv,26.0,1.0,LECTURE,RMC-133,TW,08:00AM,03:00PM,BALDWIN,LEB
 , , , , , ,LAB,RMC-133,THF,06:30AM,02:30PM, , 
NUR-225-3B1,114868.0,7.0,Maternal And Pediatric Nursing,26.0,1.0,LECTURE,RMC-133,TW,08:00AM,03:00PM,ROGERS,LEB
 , , , , , ,LAB,TBA-TBA, , , , , 
NUR-230-3B1,114870.0,2.0,Community/mentl Health Nursing,26.0,1.0,LECTURE,RMC-133,TW,08:00AM,10:00AM,BALDWIN,LEB
 , , , , , ,LAB,TBA-TBA, , , , , 
PHL-101-301,114902.0,3.0,Introduction To Philosophy,28.0,3.0,LECTURE,RMC-114,TTH,08:30AM,09:45AM,CAMPBELL,LEB
PHL-105-301,115691.0,3.0,Intro To Ethics,28.0,13.0,LECTURE,RMC-114,F,08:30AM,11:15AM,CAMPBELL,LEB
PHL-110-301,114929.0,3.0,Religions Of The World,28.0,10.0,LECTURE,RMC-103,TTH,04:00PM,05:15PM,MCDARIS,LEB
PHL-120-301,114940.0,3.0,Intro To New Testament,24.0,5.0,LECTURE,RMC-126,MW,10:00AM,11:15AM,CAMPBELL,LEB
PLS-101-301,115690.0,3.0,American Government Politics,28.0,21.0,LECTURE,RMC-118,F,01:30PM,04:20PM,DEMOSS,LEB
PLS-101-302,115025.0,3.0,American Government Politics,28.0,6.0,LECTURE,RMC-116,MW,11:30AM,12:45PM,JOHNSON,LEB
PLS-101-303,115026.0,3.0,American Government Politics,28.0,9.0,LECTURE,RMC-116,MW,01:00PM,02:15PM,JOHNSON,LEB
PLS-101-307,115028.0,3.0,American Government Politics,24.0,10.0,LECTURE,RMC-126,TTH,01:00PM,02:15PM,JOHNSON,LEB
PLS-101-308,115029.0,3.0,American Government Politics,28.0,23.0,LECTURE,RMC-116,TTH,04:00PM,05:15PM,SHELTON,LEB
PSY-100-301,115074.0,3.0,Psych Of Personal Adjustment,24.0,12.0,LECTURE,RMC-122,MW,08:30AM,09:45AM,MARLIN,LEB
PSY-110-301,115120.0,3.0,Introduction To Psychology,28.0,0.0,LECTURE,RMC-122,MW,10:00AM,11:15AM,MARLIN,LEB
PSY-110-302,115121.0,3.0,Introduction To Psychology,28.0,11.0,LECTURE,RMC-122,MW,11:30AM,12:45PM,MARLIN,LEB
PSY-110-303,115122.0,3.0,Introduction To Psychology,28.0,0.0,LECTURE,RMC-116,TTH,10:00AM,11:15AM,BOATWRIGHT,LEB
RDG-050-303,115236.0,3.0,Intro To College Reading II,16.0,6.0,LECTURE,RMC-122,TTH,04:00PM,05:15PM,UDER,LEB
RDG-050-304,115237.0,3.0,Intro To College Reading II,16.0,4.0,LECTURE,RMC-122,TTH,11:30AM,12:45PM,VESTAL,LEB
SOC-101-301,115271.0,3.0,Introduction To Sociology,24.0,1.0,LECTURE,RMC-122,MW,04:00PM,05:15PM,BOATWRIGHT,LEB
SPN-101-301,115301.0,3.0,Beginning Spanish I,24.0,13.0,LECTURE,RMC-126,TTH,04:00PM,05:15PM,MOHRBACHER,LEB
TEC-108-302,115334.0,3.0,Applied Technical Mathematics,28.0,24.0,LECTURE,RMC-114,TTH,11:30AM,12:45PM,MAJERUS,LEB
TEC-285-301,115349.0,1.0,Occupational Seminar,24.0,15.0,LECTURE,RMC-107,T,11:30AM,12:20PM,REEVES,LEB
THR-101-301,115360.0,3.0,Introduction To Theater,24.0,19.0,LECTURE,RMC-116,MW,10:00AM,11:15AM,ESTHER,LEB
