oWAR,WAA,Name,162WL%,RAA,Tm
0.5,-0.3,Dick Burrus*,.498,-3,BSN
-0.5,-0.5,Larry Benton,.497,-5,NYG
-0.7,-1.2,Al Spohrer,.493,-12,2TM
0.6,-0.9,Dave Bancroft#,.495,-8,BRO
-0.0,-0.0,Bill Burwell*,.500,-0,PIT
0.0,0.0,Si Johnson,.500,0,CIN
-0.0,-0.1,Charlie Fitzberger*,.500,-0,BSN
-0.0,-0.0,Ben Cantwell,.500,-0,2TM
-0.2,-0.2,Eppa Rixey,.499,-2,CIN
-0.5,-0.5,Clarence Mitchell*,.498,-5,2TM
0.2,-0.6,Bob O'Farrell,.498,-6,2TM
2.3,-0.3,Les Bell,.499,-2,BSN
-0.1,-0.1,Earl Williams,.500,-1,BSN
2.6,0.2,Lloyd Waner*,.502,3,PIT
-0.3,-0.3,Art Delaney,.498,-3,BSN
-0.5,-0.5,Virgil Barnes,.499,-5,2TM
0.7,0.7,Pete Alexander,.504,7,STL
-0.7,-1.4,Art Jahn,.494,-14,2TM
-0.0,-0.0,Hub Pruett*,.500,-0,PHI
-0.0,-0.0,John O'Connell,.500,-0,PIT
-0.2,-0.2,Russ Miller,.499,-2,PHI
0.4,0.0,Joe Harris,.499,0,2TM
1.0,0.3,Pete Scott,.502,4,PIT
0.1,0.1,Max West,.500,1,BRO
0.0,0.0,Chick Fullis,.500,0,NYG
3.7,1.9,Riggs Stephenson,.513,20,CHC
4.3,2.0,Bill Terry*,.513,21,NYG
-0.8,-1.2,Wally Gilbert,.493,-11,BRO
2.1,0.1,Glenn Wright,.501,2,PIT
-0.0,-0.0,Emilio Palmero*,.500,-0,BSN
0.0,0.0,Ray Foley*,.500,0,NYG
-0.0,-0.0,Elmer Tutwiler,.500,-0,PIT
-0.2,-0.4,Dave Harris,.498,-4,BSN
0.1,0.1,Homer Blankenship,.501,1,PIT
-0.1,-0.1,Ken Ash,.499,-1,CIN
-0.3,-0.8,Rollie Hemsley,.495,-8,PIT
-0.1,-0.2,Luke Urban,.499,-2,BSN
0.3,-0.2,Earl Clark,.499,-2,BSN
