col23,col21,col17,col18,col4,col11,col10,col15,col5,col3,col13
(0.02),[06],-,-,-,-,-,-,-,22 23 42.24 +55 12 25.1,-
-,-,(0.008),[02],-,(0.008),11.893,[03],-,14 07 33.90 +12 23 51.0,11.560
-,-,(0.012),[03],-,(0.013),11.583,[03],-,00 24 28.50 +07 49 00.1,11.273
-,-,(0.007),[05],12.173,(0.012),11.841,[04],(0.013),07 30 34.50 +29 51 12.0,11.507
-,-,(0.009),[03],-,(0.018),11.467,[04],-,08 54 12.60 -08 05 03.0,11.085
(0.02),[03],-,-,-,-,-,-,-,17 48 19.22 -01 48 29.7,-
(0.03),-,-,-,-,-,-,-,-,21 12 45.32 +02 38 33.9,-
-,-,(0.007),[04],-,(0.013),11.648,[04],-,22 27 16.12 +19 16 59.2,11.130
-,-,(0.013),[04],15.037,(0.006),12.501,[03],(0.011),04 23 18.17 +26 41 16.4,10.976
-,-,(0.010),[05],-,(0.023),12.671,[05],-,16 33 52.96 +54 28 22.1,12.228
-,[03],(0.013),[04],-,(0.008),10.503,[05],-,01 04 59.43 +41 06 30.8,10.414
(0.02),[03],-,-,-,-,-,-,-,14 42 39.56 +36 45 24.3,-
-,[02],(0.010),[03],-,(0.007),9.857,[03],-,05 02 57.44 -01 46 42.6,9.818
-,-,(0.012),[03],-,(0.005),10.862,[03],-,15 39 03.50 +00 14 54.0,10.667
-,-,(0.007),[05],-,(0.012),11.526,[05],-,01 19 08.19 +07 34 11.5,11.070
-,-,(0.011),[05],-,(0.007),11.969,[05],-,10 06 29.03 +41 01 26.6,11.727
-,-,(0.014),[03],12.536,(0.014),12.211,[03],(0.013),21 04 14.75 +30 30 21.2,11.946
(0.02),[03],-,-,-,-,-,-,-,12 09 27.80 +38 37 54.6,-
-,-,(0.009),[05],-,(0.024),11.113,[04],-,13 58 40.20 +52 06 24.0,10.876
(0.03),[02],-,-,-,-,-,-,-,05 47 22.19 -38 13 51.3,-
-,-,(0.007),[04],-,(0.009),11.008,[04],-,01 03 15.8 -04 20 44,10.721
-,[02],(0.009),[04],-,(0.009),10.471,[04],-,05 57 07.59 +00 01 11.4,10.176
-,[04],(0.009),[04],-,(0.005),10.699,[04],-,00 55 09.93 +00 43 13.1,10.495
(0.02),[03],-,-,-,-,-,-,-,20 56 46.60 -10 26 54.6,-
(0.05),[04],-,-,-,-,-,-,-,00 06 43.00 -07 32 42.0,-
-,[03],(0.009),[05],-,(0.011),9.868,[05],-,19 01 55.27 +42 29 19.6,9.839
-,-,(0.012),[04],11.788,(0.005),11.936,[04],(0.020),22 41 44.72 +01 12 36.5,11.975
-,-,(0.012),[04],12.429,(0.012),12.159,[04],(0.031),12 21 39.36 -00 07 13.3,11.879
-,-,(0.010),[03],-,(0.009),12.466,[03],-,01 49 46.94 +48 37 53.2,11.877
-,[04],(0.007),[04],-,(0.012),10.126,[04],-,08 51 11.88 +11 45 21.5,10.158
-,-,(0.007),[04],12.775,-,-,[04],(0.008),04 23 50.18 +26 40 07.7,11.532
-,-,(0.012),[03],-,(0.030),14.997,[03],-,18 29 56.90 +01 12 47.1,12.555
-,-,(0.019),[03],-,(0.027),11.327,[02],-,17 13 44.6 +54 33 21.0,11.124
err,N,err,N,Z,err,J,N,err,R.A. (J2000) Decl.,H
-,-,(0.010),[05],12.626,(0.015),12.188,[05],(0.015),18 27 13.52 +04 03 09.4,11.835
-,-,(0.012),[04],12.269,(0.009),12.649,[04],(0.017),01 04 21.63 +04 13 36.0,12.739
-,-,(0.007),[03],-,(0.010),11.965,[03],-,14 40 58.04 -00 27 46.6,11.669
-,-,(0.005),[04],-,(0.008),11.668,[04],-,07 00 52.02 +48 29 24.0,11.393
(0.03),-,-,-,-,-,-,-,-,02 25 16.03 +56 36 35.4,-
-,-,(0.016),[03],-,(0.009),11.617,[03],-,23 30 33.4 +38 18 57,11.331
