RBI,SO,POS,OBP,AB,SH,SLG,SB,Team,GIDP
17,11,SS,.532,71,0,.690,5,CUB,0
15,35,2B,.395,138,1,.391,8,IND,7
9,17,LF,.266,59,1,.373,1,BRE,1
23,34,C,.384,123,0,.382,0,ROY,4
0,2,OF,.000,4,0,.000,0,ANG,0
14,27,CF,.441,113,0,.372,21,GIA,1
21,49,RF,.320,156,0,.378,3,GIA,1
7,5,RF,.263,17,0,.529,0,GIA,1
3,3,OF,.227,21,0,.238,0,MAR,0
8,11,LF,.408,39,1,.410,4,ATH,1
11,26,CF,.365,84,1,.381,8,DIA,3
25,48,C,.422,167,0,.473,8,DIA,3
4,13,SS,.353,74,1,.338,0,PAD,2
27,25,2B,.385,193,9,.430,17,ROY,1
13,36,1B,.333,92,0,.272,1,DIA,4
5,30,SS,.271,79,1,.241,3,GIA,2
7,23,1B,.273,69,0,.246,2,DIA,1
1,1,LF,.182,11,0,.545,0,ATH,0
3,15,RF,.361,63,0,.270,7,DOD,2
0,0,2B,.000,2,0,.000,0,PAD,0
0,0,P,--,0,0,--,0,MAR,0
0,0,P,--,0,0,--,0,MAR,0
0,0,1B,.000,2,0,.000,0,CUB,0
6,10,C,.469,39,0,.538,3,RED,2
0,0,P,1.000,0,0,--,0,DOD,0
9,12,SS,.351,63,2,.429,6,RED,2
13,31,CF,.318,128,2,.320,4,ROY,0
15,24,2B,.312,120,2,.292,3,DOD,3
5,27,CF,.281,82,1,.317,7,DOD,3
11,26,C,.394,91,0,.429,0,GIA,1
14,32,2B,.349,125,1,.360,5,CUB,1
22,26,LF,.348,156,1,.372,2,PAD,3
4,11,RF,.270,31,2,.258,1,GIA,0
22,21,3B,.410,110,0,.491,0,GIA,2
18,17,SS,.412,130,1,.492,2,GIA,5
43,52,3B,.435,150,0,.733,6,RAN,0
0,2,C,.214,14,1,.286,0,ANG,2
3,16,RF,.372,36,0,.306,0,IND,0
16,17,3B,.298,55,0,.455,1,PAD,0
16,24,SS,.284,178,2,.315,9,BRE,7
4,3,C,.615,21,0,.714,0,ATH,0
14,25,C,.277,109,0,.404,3,MAR,3
7,15,C,.356,82,0,.341,1,ROY,1
4,1,OF,.222,8,0,.250,0,PAD,0
8,12,2B,.361,63,0,.381,0,ATH,0
5,15,2B,.265,44,0,.250,3,IND,0
4,7,SS,.391,34,1,.206,1,IND,1
34,29,RF,.413,176,0,.477,9,ROY,6
21,17,1B,.322,154,0,.279,6,BRE,2
27,34,1B,.305,154,0,.435,0,ROY,4
6,3,OF,.395,36,0,.694,3,BRE,1
12,41,3B,.315,96,0,.323,4,DOD,1
20,49,RF,.356,120,0,.258,3,IND,0
0,2,1B,.000,4,0,.000,0,GIA,1
4,10,DH,.162,36,0,.139,0,DIA,1
0,3,C,.000,4,0,.000,0,GIA,0
23,22,2B,.422,137,1,.467,4,RAN,0
11,31,RF,.280,97,1,.351,1,ATH,1
1,7,C,.296,24,0,.208,0,DOD,1
5,0,2B,.500,10,0,1.000,0,PAD,0
29,54,1B,.354,163,0,.485,1,GIA,4
5,31,C,.262,58,1,.241,0,ANG,0
0,2,C,.300,9,0,.333,0,MAR,1
19,34,1B,.382,84,0,.417,1,IND,0
7,6,OF,.472,38,0,.500,3,DOD,0
22,31,2B,.368,132,1,.485,8,IND,3
10,19,OF,.379,96,2,.417,13,PAD,2
12,9,OF,.379,88,0,.375,22,DOD,3
12,13,SS,.370,97,1,.371,8,BRE,0
4,0,SS,.481,22,0,.500,1,ROY,0
14,27,2B,.295,113,1,.283,3,PAD,0
2,11,LF,.194,34,0,.176,1,IND,1
12,19,LF,.305,90,2,.289,2,IND,2
7,13,C,.343,58,0,.241,0,RAN,2
8,19,LF,.307,70,0,.371,0,PAD,2
7,6,3B,.323,28,0,.500,1,MAR,0
12,21,C,.352,75,0,.280,0,IND,3
31,14,1B,.391,102,0,.686,1,CUB,2
2,1,OF,.250,7,0,.000,0,GIA,0
16,31,1B,.366,110,0,.318,0,ANG,5
5,2,C,.619,13,0,.615,0,ROY,1
18,15,LF,.409,75,1,.493,1,DOD,2
20,27,2B,.302,190,1,.305,11,CUB,4
14,24,DH,.250,68,0,.294,4,ANG,1
5,4,LF,.484,22,0,.455,3,DIA,0
10,25,LF,.212,62,0,.306,1,RED,2
1,2,2B,.278,17,0,.294,0,RED,0
5,7,LF,.455,19,0,.842,1,BRE,0
15,27,LF,.289,115,0,.357,1,CUB,1
4,13,2B,.342,67,2,.239,1,MAR,0
9,24,2B,.305,91,0,.363,1,DOD,0
20,24,SS,.314,192,3,.365,5,ANG,4
8,4,OF,.417,19,0,.895,0,MAR,0
7,15,C,.389,78,0,.346,0,MAR,3
15,37,SS,.356,185,0,.378,19,MAR,1
18,37,LF,.370,138,1,.297,8,BRE,4
19,34,2B,.328,165,1,.400,6,ANG,2
5,5,OF,.429,20,0,.800,0,RED,0
