№,G,TOI/G,PIM,PPG
13,2,11:06,8,1
91,8,11:15,10,1
72,1,12:28,36,0
88,0,7:16,0,0
28,0,3:53,84,0
10,7,15:36,28,4
53,8,12:58,26,2
81,0,-,0,0
90,1,6:16,0,0
23,2,8:03,6,0
19,1,15:39,8,0
88,0,4:48,0,0
39,7,17:31,24,2
48,0,11:15,10,0
25,1,7:50,2,0
10,5,14:45,20,1
80,0,11:04,4,0
91,5,12:17,42,2
52,1,12:20,22,0
35,4,11:47,6,0
51,0,11:18,0,0
48,3,11:41,6,0
10,5,15:13,28,2
9,5,16:26,24,2
14,3,12:41,14,0
40,5,11:38,10,0
25,12,18:18,51,4
18,12,17:43,28,5
71,0,6:17,0,0
3,16,17:16,52,9
19,13,13:49,14,4
95,6,13:40,38,0
80,1,17:16,4,1
10,10,12:21,18,1
10,27,20:27,12,8
23,14,17:41,34,3
19,15,15:35,50,9
29,1,7:27,4,0
44,4,12:35,115,0
39,2,7:26,10,0
9,3,15:52,28,2
80,4,15:28,67,2
23,5,10:14,8,0
22,0,12:18,0,0
80,0,2:33,0,0
93,0,5:46,16,0
93,0,5:33,0,0
27,1,5:44,4,1
17,7,11:12,47,0
11,4,13:57,21,2
33,16,17:47,48,5
11,2,12:33,16,0
15,6,16:08,10,4
97,1,7:33,2,0
61,13,15:30,50,4
29,12,15:04,43,4
83,5,8:17,8,0
12,16,15:32,38,5
63,24,19:36,34,14
85,8,16:34,16,1
88,2,10:07,18,0
67,2,13:09,32,1
42,4,10:40,12,1
32,0,6:52,0,0
80,5,17:21,40,0
11,11,16:35,30,2
21,4,7:59,8,0
45,16,15:03,111,7
33,9,15:47,36,1
71,0,2:11,2,0
21,15,15:14,30,4
29,5,13:14,20,0
9,1,9:24,2,0
96,2,7:52,4,0
28,0,2:27,0,0
18,7,14:59,40,2
19,16,16:07,30,4
35,11,13:51,22,1
59,17,13:19,12,3
17,8,17:08,58,5
18,13,18:30,63,5
21,11,17:52,32,5
23,13,14:18,20,2
71,10,16:49,10,4
71,0,6:43,2,0
26,9,17:24,20,4
8,6,7:17,10,0
8,7,15:53,10,2
87,1,8:28,2,0
13,5,16:37,50,0
8,2,9:09,24,0
61,5,12:52,36,3
10,0,6:30,4,0
25,6,14:43,22,2
23,1,10:58,2,0
29,4,11:37,16,1
38,12,16:07,30,3
54,2,9:36,57,0
87,13,17:44,22,4
21,6,14:56,48,1
48,11,13:58,33,2
79,8,16:36,8,1
16,8,15:46,58,2
10,31,19:28,56,13
39,0,7:17,2,0
81,3,10:34,6,0
50,8,14:34,28,2
