Country,Area Harvested (1000 HA),Beginning Stocks (1000 MT),Production (1000 MT),TOTAL Mkt. Yr. Imports (1000 MT),Oct-Sep Imports (1000 MT),Oct-Sep Import U.S. (1000 MT),TOTAL SUPPLY (1000 MT),TOTAL Mkt. Yr. Exports (1000 MT),Oct-Sep Exports (1000 MT),Feed Dom. Consumption (1000 MT),TOTAL Dom. Consumption (1000 MT),Ending Stocks (1000 MT),TOTAL DISTRIBUTION (1000 MT)
Congo (Brazzaville),32,0,20,2,2,0,22,0,0,0,22,0,22
Congo; Democratic Rep of the,"1,100",0,786,14,14,1,800,0,0,0,800,0,800
Costa Rica,48,30,80,185,185,185,295,0,0,200,250,45,295
Cote d''Ivoire,650,25,530,0,0,0,555,0,0,55,500,55,555
Cuba,89,0,47,619,619,0,666,0,0,0,666,0,666
Cyprus,0,0,0,107,107,75,107,0,0,0,107,0,107
Dominican Republic,28,112,25,400,421,421,537,0,0,447,447,90,537
Ecuador,150,50,240,0,0,0,290,0,0,200,250,40,290
Egypt,843,0,"4,524","1,254","1,254","1,092","5,778",0,0,"5,374","5,778",0,"5,778"
El Salvador,276,50,582,65,65,65,697,0,0,157,647,50,697
Estonia,0,0,0,310,310,0,310,0,0,310,310,0,310
Ethiopia,"1,060",0,"1,888",0,0,0,"1,888",0,0,0,"1,888",0,"1,888"
EU-15,"4,043","3,288","28,384","3,851","3,851","3,631","35,523","1,389","1,389","23,312","31,308","2,826","35,523"
Former Czechoslovakia,190,380,"1,000",95,95,0,"1,475",0,0,950,"1,005",470,"1,475"
Former Yugoslavia,"2,268",670,"9,415",853,853,539,"10,938",287,287,"8,475","9,151","1,500","10,938"
Gambia; The,14,0,25,0,0,0,25,0,0,0,25,0,25
Georgia; Republic of,109,116,286,380,380,0,782,0,0,628,693,89,782
Ghana,567,20,715,6,6,6,741,25,25,25,666,50,741
Guatemala,745,44,"1,200",154,154,154,"1,398",0,0,337,"1,336",62,"1,398"
Guinea,50,0,50,0,0,0,50,0,0,0,50,0,50
Guinea-Bissau,30,0,25,0,0,0,25,0,0,0,25,0,25
Guyana,5,0,5,0,0,0,5,0,0,5,5,0,5
Haiti,175,0,170,1,1,1,171,0,0,15,171,0,171
Honduras,350,15,510,65,68,68,590,0,0,240,568,22,590
Hong Kong,0,0,0,183,183,8,183,0,0,183,183,0,183
Hungary,"1,084","1,183","6,747",0,0,0,"7,930",170,156,"5,050","5,700","2,060","7,930"
India,"5,915",300,"9,651",0,0,0,"9,951",0,0,"2,300","9,451",500,"9,951"
Indonesia,"2,700",275,"5,000",0,0,0,"5,275",125,125,"1,900","4,975",175,0
Iran,45,35,40,949,949,0,"1,024",0,0,950,989,35,"1,024"
Iraq,45,0,105,612,612,612,717,0,0,650,717,0,717
Israel,8,24,22,293,293,250,339,0,0,287,315,24,339
Jamaica & Dep,2,6,2,190,190,190,198,0,0,155,195,3,198
Japan,1,"1,289",2,"15,993","15,993","13,950","17,284",0,0,"12,318","15,743","1,541","17,284"
Jordan,1,0,1,223,223,204,224,0,0,200,224,0,224
Kazakhstan; Republic of,134,75,479,675,675,0,"1,229",0,0,"1,034","1,108",121,"1,229"
Kenya,"1,815",997,"2,836",3,3,0,"3,836",147,147,75,"2,704",985,"3,836"
Korea; Democratic Peoples Rep,700,0,"2,680",306,306,0,"2,986",0,0,0,"2,986",0,"2,986"
Korea; Republic of,25,519,121,"6,100","6,100","5,680","6,740",0,0,"5,000","6,500",240,"6,740"
Kuwait,0,0,0,57,57,57,57,0,0,57,57,0,57
Kyrgyzstan; Republic of,72,43,452,50,50,0,545,0,0,457,493,52,545
Latvia,0,18,0,425,425,0,443,0,0,411,411,32,443
Lebanon,2,37,2,95,95,41,134,0,0,119,119,15,134
Lesotho,130,0,170,0,0,0,170,0,0,50,170,0,170
Libya,0,0,0,281,281,0,281,0,0,281,281,0,281
Lithuania,0,48,0,810,810,0,858,0,0,800,801,57,858
Madagascar,145,0,170,0,0,0,170,28,28,0,142,0,170
Malawi,"1,271",105,"1,510",317,317,0,"1,932",0,0,30,"1,660",272,"1,932"
Malaysia,19,112,34,"1,283","1,283",31,"1,429",0,0,"1,250","1,294",135,"1,429"
Mali,175,0,230,5,5,0,235,0,0,55,235,0,235
Malta,0,0,0,56,56,17,56,0,0,0,56,0,56
Mauritania,3,0,2,0,0,0,2,0,0,0,2,0,2
Mexico,"5,800",194,"9,750","4,995","4,995","4,611","14,939",0,0,850,"13,989",950,"14,939"
Moldova; Republic of,316,155,"1,586",95,95,0,"1,836",210,210,"1,328","1,401",225,"1,836"
Morocco,406,20,403,91,129,129,514,0,0,330,494,20,514
Mozambique,670,0,453,323,323,86,776,0,0,0,726,50,776
Nepal,751,0,"1,201",0,0,0,"1,201",0,0,0,"1,201",0,"1,201"
New Zealand,15,25,139,28,28,28,192,0,0,150,187,5,192
Nicaragua,228,0,280,38,38,38,318,0,0,0,268,50,318
Nigeria,"2,000",150,"1,900",0,0,0,"2,050",0,0,100,"1,850",200,"2,050"
Norway,0,4,0,0,0,0,4,0,0,4,4,0,4
Pakistan,863,0,"1,179",0,0,0,"1,179",0,0,380,"1,179",0,"1,179"
Panama,85,12,90,40,33,33,142,0,0,98,130,12,142
Paraguay,480,0,700,0,0,0,700,0,0,0,700,0,700
Peru,480,30,"1,010",424,424,289,"1,464",2,0,900,"1,412",50,"1,464"
Philippines,"3,607",140,"4,412",370,441,33,"4,922",0,0,"2,380","4,770",152,"4,922"
Poland,51,104,244,500,490,378,848,0,0,498,598,250,848
Romania,"2,733",700,"6,760",864,864,654,"8,324",0,0,"6,000","7,524",800,"8,324"
Russian Federation,"1,428","2,868","4,663","10,750","10,750",0,"18,281",150,150,"14,475","15,775","2,356","18,281"
Rwanda,80,0,94,0,0,0,94,0,0,30,94,0,94
Saudi Arabia,2,30,2,803,803,707,835,0,0,815,815,20,835
Senegal,100,0,131,14,14,11,145,0,0,8,145,0,145
Sierra Leone,11,0,12,0,0,0,12,0,0,1,12,0,12
Singapore,0,0,0,252,252,1,252,0,0,252,252,0,252
Somalia,230,0,250,3,3,0,253,0,0,0,253,0,253
South Africa; Republic of,"4,163","1,100","9,180",205,73,0,"10,485","1,000","3,067","4,300","8,285","1,200","10,485"
Swaziland,84,0,80,0,0,0,80,0,0,0,80,0,80
Switzerland,28,125,259,64,64,0,448,0,0,300,313,135,448
Syria,56,10,109,220,220,180,339,0,0,300,319,20,339
Taiwan,82,500,395,"5,314","5,314","5,009","6,209",0,0,"5,000","5,209","1,000","6,209"
Tajikistan; Republic of,19,14,109,90,90,0,213,0,0,183,194,19,213
Tanzania; United Republic of,"1,950",630,"3,100",0,0,0,"3,730",56,56,45,"2,974",700,"3,730"
Thailand,"1,400",200,"4,100",0,0,0,"4,300","1,179","1,319","2,650","2,700",421,"4,300"
Togo,200,10,287,0,0,0,297,0,0,100,287,10,297
Trinidad and Tobago,3,0,5,107,107,107,112,0,0,112,112,0,112
Tunisia,1,10,1,275,298,298,286,0,0,274,276,10,286
Turkey,600,200,"1,900",798,744,389,"2,898",13,14,"2,100","2,685",200,"2,898"
Turkmenistan,43,19,140,285,285,0,444,0,0,310,326,118,444
Uganda,430,0,625,9,9,0,634,3,3,0,631,0,634
Ukraine,"1,856",626,"7,026","1,750","1,750",0,"9,402",600,600,"7,067","8,017",785,"9,402"
United States,"26,217","49,035","191,320",48,30,0,"240,403","60,132","60,034","111,320","146,120","34,151","240,403"
Uruguay,57,2,112,20,24,0,134,20,0,35,112,2,134
Uzbekistan; Republic of,111,90,460,950,950,0,"1,500",0,0,"1,312","1,397",103,"1,500"
Venezuela,500,130,"1,000",622,622,593,"1,752",0,0,500,"1,577",175,"1,752"
Vietnam,509,0,838,0,0,0,838,49,49,173,789,0,838
Yemen (Sanaa),40,0,45,143,143,143,188,0,0,0,188,0,188
Zambia,904,700,"1,700",0,0,0,"2,400",0,0,70,"2,000",400,"2,400"
Zimbabwe,"1,127",700,"2,171",0,0,0,"2,871",600,845,350,"1,771",500,"2,871"
