Player,Team,GIDP,R,SB,2B,SH
A Jenkins,GBO,3,22,1,9,1
S Mortimer,SAV,4,47,7,19,0
S Orr,LAK,12,64,0,21,3
J Devries,GRE,0,1,0,0,0
W Plaza,CHA,5,13,3,2,1
N Conte,AUG,7,20,2,9,1
R Haag,CHA,4,19,2,5,1
A Jansen,ROM,4,31,3,11,2
G Savas,WVA,1,0,0,0,0
J Tuttle,WVA,0,0,0,0,0
B Zobrist,LEX,2,45,16,17,4
L Apodaca,SAV,1,4,0,1,0
W Rosa,KAN,1,1,0,0,2
R Allen,CHA,0,5,1,3,1
J Gamero,HAG,2,8,0,2,0
A Burrows,ROM,0,0,0,0,0
T Brice,KAN,0,13,2,5,0
J Poppert,SAV,1,2,0,1,0
J Restko,GBO,9,69,3,22,0
S Pedroza,COL,5,31,0,11,0
C Westervelt,COL,4,31,0,15,0
J Noviskey,LCO,4,37,0,8,0
L Disla,AUG,5,24,3,3,2
T Denker,COL,6,65,2,23,0
M Reyes,HIC,3,10,0,2,0
T Allen,ASH,2,9,1,2,0
S Paniagua,GRE,2,34,0,12,0
H Rasheed,WVA,1,41,14,11,0
B LeVier,GRE,7,25,2,16,0
J Corsaletti,GRE,2,49,9,17,0
R Sandora,SAV,0,0,0,0,0
L Santangelo,LEX,4,43,4,14,3
P Perry,GRE,1,5,0,4,0
J Holt,ROM,8,60,12,23,12
C Bruce,COL,1,10,1,4,0
F Morales,ASH,0,0,0,0,1
P Maestrales,DEL,2,48,6,14,1
R Carter,COL,3,35,4,13,0
D Nicholson,COL,9,49,7,14,0
D Vroman,SAV,6,38,9,11,1
J Elliott,HIC,0,2,0,0,0
J Humphries,LEX,5,20,0,10,0
X Arroyo,GBO,8,17,4,3,1
M Dzurilla,LAK,8,73,2,33,5
B Dewitt,COL,13,61,0,31,0
K Rose,LAK,0,0,0,0,0
J Lomack,HIC,1,18,12,4,4
J Restrepo,ASH,3,15,4,4,1
R Clark,LEX,6,20,3,8,0
C Reineke,LEX,0,0,0,0,0
J Apodaca,COL,6,10,0,3,1
D Puente,DEL,0,1,0,0,2
A Cunningham,KAN,0,7,1,0,0
J Gaston,GBO,5,41,5,11,0
D Schwartzbauer,HIC,4,38,3,17,4
J Moreno,GRE,0,0,0,0,0
J Dragicevich,ASH,7,57,5,29,3
J Ash,LEX,5,44,3,11,3
B Horwitz,AUG,12,77,6,38,0
C Klemm,LAK,3,43,2,12,6
J Crosland,LAK,0,2,0,1,0
P Witt,GBO,1,1,0,0,0
J Castillo,KAN,9,16,2,11,2
B Jordan,ROM,0,5,1,1,0
C Turner,GRE,2,53,9,29,0
R Zimmerman,SAV,0,5,0,2,0
J Armitage,AUG,11,63,6,23,0
G Creek,ROM,1,3,1,1,0
J Abreu,AUG,0,3,1,2,1
C Clem,LCO,0,3,0,0,0
D Buller,AUG,1,7,1,3,0
J Zapata,DEL,2,4,1,1,3
C Smith,DEL,8,34,0,18,0
D Brant,LAK,5,11,0,6,1
N Martel Jr,KAN,0,3,1,1,0
C Jeroloman,GRE,10,44,5,21,0
W Toregas,LCO,15,57,0,22,2
G Richardson,WVA,5,54,7,34,0
J Brady,WVA,12,37,6,15,1
