Month,CAN Truck,CAN Rail,CAN Pipeline,MEX Truck,MEX Rail,MEX Pipeline,Canada TRUCK (billions),Canada RAIL (billions),Canada PIPELINE (billions),Mexico TRUCK (billions),Mexico RAIL (billions),Mexico PIPELINE (billions)
Jan-00,"20,029,030,927","5,114,528,834","1,715,647,797","12,180,593,638","2,001,171,769","13,294,259",20.029,5.115,1.716,12.181,2.001,0.013
Feb-00,"21,521,594,463","5,197,479,599","1,559,053,089","13,080,389,377","2,437,752,315","14,993,678",21.522,5.197,1.559,13.08,2.438,0.015
Mar-00,"24,354,256,773","6,113,677,231","1,709,328,538","15,254,642,605","2,555,962,212","18,694,749",24.354,6.114,1.709,15.255,2.556,0.019
Apr-00,"21,357,597,580","5,486,363,675","1,563,459,053","13,430,523,116","2,738,883,240","14,966,063",21.358,5.486,1.563,13.431,2.739,0.015
May-00,"23,056,749,565","5,468,410,508","1,538,900,678","13,950,024,798","2,667,147,090","29,341,681",23.057,5.468,1.539,13.95,2.667,0.029
Jun-00,"23,080,314,470","5,451,867,841","1,883,321,237","14,758,915,296","2,903,604,006","22,092,879",23.08,5.452,1.883,14.759,2.904,0.022
Jul-00,"17,912,268,431","3,976,714,586","1,836,690,526","13,524,522,174","2,499,640,141","39,113,310",17.912,3.977,1.837,13.525,2.5,0.039
Aug-00,"22,038,400,416","5,172,562,146","1,985,771,011","15,945,092,009","2,656,470,043","17,573,818",22.038,5.173,1.986,15.945,2.656,0.018
Sep-00,"21,546,051,471","4,959,439,739","2,017,580,424","15,120,071,054","2,809,372,630","30,728,652",21.546,4.959,2.018,15.12,2.809,0.031
Oct-00,"22,866,890,375","5,309,641,225","2,071,755,857","15,859,476,517","2,991,867,168","29,580,423",22.867,5.31,2.072,15.859,2.992,0.03
Nov-00,"21,422,424,429","5,633,188,282","2,016,992,605","15,190,725,445","2,799,534,378","68,769,095",21.422,5.633,2.017,15.191,2.8,0.069
Dec-00,"18,456,040,273","4,761,869,470","3,380,165,327","12,763,001,518","2,490,500,912","14,189,336",18.456,4.762,3.38,12.763,2.491,0.014
Jan-01,"19,575,104,052","4,960,529,192","3,099,044,662","13,403,486,057","2,447,110,841","12,497,649",19.575,4.961,3.099,13.403,2.447,0.012
Feb-01,"18,687,999,377","4,932,436,959","2,322,636,665","13,121,987,503","2,637,945,700","43,618,998",18.688,4.932,2.323,13.122,2.638,0.044
Mar-01,"21,804,956,729","5,507,629,211","2,358,813,380","14,529,661,801","2,986,182,836","13,916,769",21.805,5.508,2.359,14.53,2.986,0.014
Apr-01,"20,636,741,576","5,178,033,532","2,637,797,591","12,918,887,731","2,573,833,051","38,461,721",20.637,5.178,2.638,12.919,2.574,0.038
May-01,"21,813,182,189","5,308,899,091","2,687,235,664","14,171,581,419","2,625,435,492","10,200,006",21.813,5.309,2.687,14.172,2.625,0.01
Jun-01,"21,271,887,027","5,432,483,750","2,481,555,600","13,683,007,054","2,874,616,791","20,500,775",21.272,5.432,2.482,13.683,2.875,0.021
Jul-01,"16,822,784,514","3,840,893,132","2,463,025,715","12,605,287,059","2,566,191,078","4,075,257",16.823,3.841,2.463,12.605,2.566,0.004
Aug-01,"19,715,288,295","5,222,283,974","2,074,229,091","14,333,582,913","2,780,674,432","40,922,620",19.715,5.222,2.074,14.334,2.781,0.041
Sep-01,"18,571,036,661","4,983,056,182","1,434,606,762","12,514,369,473","2,659,230,085","48,469,782",18.571,4.983,1.435,12.514,2.659,0.048
Oct-01,"20,248,319,914","5,105,375,421","1,716,469,118","14,689,081,969","3,067,091,370","29,222,320",20.248,5.105,1.716,14.689,3.067,0.029
Nov-01,"19,172,841,495","5,170,942,992","1,515,375,326","13,365,646,615","2,752,766,021","29,683,769",19.173,5.171,1.515,13.366,2.753,0.03
Dec-01,"16,504,197,213","4,528,037,373","1,338,996,065","11,263,729,842","2,475,104,611","6,170,093",16.504,4.528,1.339,11.264,2.475,0.006
Jan-02,"17,780,527,518","4,620,232,160","1,591,486,091","12,541,947,142","2,374,630,580","38,119,394",17.781,4.62,1.591,12.542,2.375,0.038
Feb-02,"18,378,722,714","5,169,936,216","1,262,687,534","12,149,615,649","2,448,881,960","15,126,413",18.379,5.17,1.263,12.15,2.449,0.015
Mar-02,"20,250,359,112","5,744,185,868","1,726,600,243","12,903,892,800","2,782,191,975","13,840,843",20.25,5.744,1.727,12.904,2.782,0.014
Apr-02,"20,949,638,933","5,346,371,513","1,697,051,800","13,814,455,144","2,651,662,382","32,673,373",20.95,5.346,1.697,13.814,2.652,0.033
May-02,"21,558,407,917","5,547,379,730","1,902,749,329","14,213,238,343","2,766,397,929","35,157,385",21.558,5.547,1.903,14.213,2.766,0.035
Jun-02,"20,784,460,530","4,869,412,412","1,773,600,857","13,449,325,260","2,735,801,099","53,300,102",20.784,4.869,1.774,13.449,2.736,0.053
Jul-02,"17,782,639,673","3,774,054,757","1,756,225,434","13,377,250,807","2,364,046,522","56,851,291",17.783,3.774,1.756,13.377,2.364,0.057
Aug-02,"20,194,953,366","5,600,506,341","1,731,679,240","14,217,630,251","2,543,949,504","62,747,263",20.195,5.601,1.732,14.218,2.544,0.063
Sep-02,"20,057,945,283","5,041,117,690","1,890,730,961","13,846,036,951","2,551,620,429","57,890,049",20.058,5.041,1.891,13.846,2.552,0.058
Oct-02,"21,383,265,777","5,489,941,880","2,089,180,130","15,352,155,163","2,715,666,408","66,099,111",21.383,5.49,2.089,15.352,2.716,0.066
Nov-02,"19,902,217,523","5,073,200,116","1,972,543,440","13,976,572,696","2,761,657,133","73,529,502",19.902,5.073,1.973,13.977,2.762,0.074
Dec-02,"17,221,246,443","4,664,546,966","2,589,688,314","11,676,220,095","2,237,187,581","63,189,935",17.221,4.665,2.59,11.676,2.237,0.063
Jan-03,"18,631,976,143","4,891,728,981","2,678,770,991","12,874,507,934","2,192,718,973","67,962,921",18.632,4.892,2.679,12.875,2.193,0.068
Feb-03,"18,925,670,616","4,969,339,998","2,835,349,188","12,300,931,103","2,385,012,484","11,576,021",18.926,4.969,2.835,12.301,2.385,0.012
Mar-03,"21,241,642,472","5,789,304,443","3,720,137,419","13,471,951,821","2,627,442,309","16,182,024",21.242,5.789,3.72,13.472,2.627,0.016
Apr-03,"20,565,188,478","5,527,451,592","2,351,152,316","13,183,512,564","2,629,045,984","9,404,644",20.565,5.527,2.351,13.184,2.629,0.009
May-03,"21,562,209,652","5,321,495,699","2,948,361,384","13,544,900,107","2,791,867,507","15,063,095",21.562,5.321,2.948,13.545,2.792,0.015
Jun-03,"21,249,415,519","5,305,873,505","2,481,021,296","13,344,023,432","2,741,037,711","2,145,570",21.249,5.306,2.481,13.344,2.741,0.002
Jul-03,"17,699,756,693","4,056,316,759","2,550,890,477","13,334,178,595","2,348,895,156","6,501,126",17.7,4.056,2.551,13.334,2.349,0.007
Aug-03,"18,633,400,606","5,104,986,857","2,710,867,505","13,433,743,815","2,660,485,826","5,680,706",18.633,5.105,2.711,13.434,2.66,0.006
Sep-03,"21,272,949,749","5,617,724,605","2,416,401,068","14,234,087,594","2,696,262,541","3,321,634",21.273,5.618,2.416,14.234,2.696,0.003
Oct-03,"21,880,694,999","6,299,795,411","2,515,548,138","15,944,596,507","2,802,563,235","6,295,020",21.881,6.3,2.516,15.945,2.803,0.006
Nov-03,"20,380,270,133","6,141,150,811","2,524,850,583","14,143,929,004","2,683,859,063","4,973,062",20.38,6.141,2.525,14.144,2.684,0.005
Dec-03,"18,905,852,196","5,732,254,204","2,377,533,229","13,276,089,569","2,407,418,846","6,452,614",18.906,5.732,2.378,13.276,2.407,0.006
Jan-04,"18,604,686,619","5,232,067,144","3,238,966,807","13,616,984,873","2,342,854,622","8,125,567",18.605,5.232,3.239,13.617,2.343,0.008
Feb-04,"20,633,843,448","5,918,807,591","2,918,670,915","13,693,872,979","2,623,559,993","690,211",20.634,5.919,2.919,13.694,2.624,0.001
Mar-04,"24,459,957,120","6,813,288,649","2,898,925,125","16,420,545,112","2,915,139,471","611,507",24.46,6.813,2.899,16.421,2.915,0.001
Apr-04,"22,789,432,874","6,556,165,076","2,912,313,630","15,413,038,517","2,734,365,125","768,845",22.789,6.556,2.912,15.413,2.734,0.001
May-04,"22,977,456,960","7,713,688,476","2,770,236,382","15,074,275,562","3,049,966,252","810,059",22.977,7.714,2.77,15.074,3.05,0.001
Jun-04,"24,066,388,940","6,431,328,726","3,284,188,770","15,903,679,513","2,946,458,477","2,660,328",24.066,6.431,3.284,15.904,2.946,0.003
Jul-04,"19,484,796,252","5,016,635,667","3,421,142,998","14,766,964,140","2,331,963,457","5,878,132",19.485,5.017,3.421,14.767,2.332,0.006
Aug-04,"22,552,866,096","6,330,502,032","3,261,281,759","15,853,992,811","2,784,586,533","6,718,517",22.553,6.331,3.261,15.854,2.785,0.007
Sep-04,"23,406,328,480","6,534,417,264","3,192,985,542","15,878,837,429","2,992,179,951","20,038,685",23.406,6.534,3.193,15.879,2.992,0.02
Oct-04,"24,086,136,794","6,545,835,265","3,418,666,545","16,553,940,813","3,252,187,096","21,014,785",24.086,6.546,3.419,16.554,3.252,0.021
Nov-04,"23,585,183,473","6,571,408,848","3,560,303,731","16,240,952,408","3,007,013,152","7,917,863",23.585,6.571,3.56,16.241,3.007,0.008
Dec-04,"22,022,541,132","5,890,703,790","3,534,827,927","14,876,113,167","2,835,994,434","12,250,310",22.023,5.891,3.535,14.876,2.836,0.012
Jan-05,"21,626,636,712","5,951,392,754","4,235,194,364","14,981,630,329","2,381,472,577","10,138,460",21.627,5.951,4.235,14.982,2.381,0.01
Feb-05,"23,050,986,010","6,576,522,733","3,418,258,417","14,785,430,146","2,904,768,946","40,290,612",23.051,6.577,3.418,14.785,2.905,0.04
Mar-05,"25,893,697,482","7,260,692,727","3,881,501,365","16,377,782,116","3,028,283,929","28,114,183",25.894,7.261,3.882,16.378,3.028,0.028
Apr-05,"24,769,269,518","6,863,050,611","3,667,116,342","16,391,090,779","3,210,573,933","12,043,598",24.769,6.863,3.667,16.391,3.211,0.012
May-05,"25,433,805,630","6,702,246,077","3,234,086,607","16,191,790,946","3,189,629,095","51,583,511",25.434,6.702,3.234,16.192,3.19,0.052
Jun-05,"26,016,847,281","6,313,423,044","3,941,018,258","16,721,597,798","3,013,083,303","35,417,147",26.017,6.313,3.941,16.722,3.013,0.035
Jul-05,"20,277,619,446","5,167,045,960","3,777,832,287","14,834,563,006","2,382,423,548","51,209,451",20.278,5.167,3.778,14.835,2.382,0.051
Aug-05,"25,620,189,131","6,640,270,248","4,549,729,786","17,149,403,916","3,008,895,018","43,076,879",25.62,6.64,4.55,17.149,3.009,0.043
Sep-05,"25,790,297,976","6,836,559,330","4,763,084,870","16,885,439,492","3,273,000,619","70,022,678",25.79,6.837,4.763,16.885,3.273,0.07
Oct-05,"26,659,845,683","7,176,830,904","5,179,132,044","17,737,716,428","3,469,639,734","69,049,132",26.66,7.177,5.179,17.738,3.47,0.069
Nov-05,"26,273,883,381","7,261,852,823","4,899,338,900","17,719,626,006","3,302,956,818","65,509,688",26.274,7.262,4.899,17.72,3.303,0.066
Dec-05,"23,504,174,435","7,178,320,685","5,614,045,074","15,834,746,718","3,368,143,384","66,825,236",23.504,7.178,5.614,15.835,3.368,0.067
Jan-06,"24,197,461,292","7,201,936,798","5,731,743,900","17,223,645,119","3,298,624,331","57,780,684",24.197,7.202,5.732,17.224,3.299,0.058
Feb-06,"24,494,554,954","6,989,867,180","5,504,613,164","16,463,430,234","3,163,001,298","58,890,989",24.495,6.99,5.505,16.463,3.163,0.059
Mar-06,"28,760,049,016","7,755,453,154","4,688,102,477","19,605,598,129","3,868,787,940","57,903,367",28.76,7.755,4.688,19.606,3.869,0.058
Apr-06,"26,027,758,032","7,406,828,620","4,344,743,701","16,944,515,366","3,318,635,904","69,346,032",26.028,7.407,4.345,16.945,3.319,0.069
May-06,"28,335,942,144","7,518,705,541","4,560,099,333","18,902,533,745","3,520,271,518","66,851,635",28.336,7.519,4.56,18.903,3.52,0.067
Jun-06,"28,410,197,908","7,264,933,970","4,473,640,308","19,462,394,510","3,881,119,528","56,155,039",28.41,7.265,4.474,19.462,3.881,0.056
Jul-06,"22,497,909,821","6,019,831,852","4,251,949,869","17,211,019,281","2,834,435,873","45,941,163",22.498,6.02,4.252,17.211,2.834,0.046
Aug-06,"26,998,421,087","7,478,811,882","4,986,000,859","19,774,750,207","3,639,451,975","69,999,003",26.998,7.479,4.986,19.775,3.639,0.07
Sep-06,"26,462,856,253","6,717,073,769","4,319,893,393","18,385,654,908","3,711,450,775","67,873,731",26.463,6.717,4.32,18.386,3.711,0.068
Oct-06,"27,548,612,971","6,920,361,542","4,579,412,163","19,990,490,424","3,957,348,504","70,122,220",27.549,6.92,4.579,19.99,3.957,0.07
Nov-06,"26,330,571,478","7,224,509,050","4,368,108,071","19,260,268,312","4,114,255,309","63,414,047",26.331,7.225,4.368,19.26,4.114,0.063
Dec-06,"24,137,809,735","7,237,908,623","4,236,955,899","16,230,941,527","3,827,347,428","78,059,498",24.138,7.238,4.237,16.231,3.827,0.078
Jan-07,"24,331,468,470","7,046,227,259","4,504,538,724","18,263,650,811","2,851,413,176","88,327,584",24.331,7.046,4.505,18.264,2.851,0.088
Feb-07,"24,990,016,615","6,348,784,275","4,213,788,582","17,440,654,134","3,437,349,615","38,984,989",24.99,6.349,4.214,17.441,3.437,0.039
Mar-07,"29,043,693,733","8,530,842,253","4,504,121,834","20,057,766,307","3,952,521,788","80,104,962",29.044,8.531,4.504,20.058,3.953,0.08
Apr-07,"27,068,858,018","7,624,063,497","4,769,657,879","18,212,818,418","3,701,564,925","58,528,314",27.069,7.624,4.77,18.213,3.702,0.059
May-07,"28,425,168,518","7,906,290,333","4,841,289,733","20,265,314,194","4,077,996,363","57,691,555",28.425,7.906,4.841,20.265,4.078,0.058
Jun-07,"28,134,911,352","7,882,964,353","5,786,338,688","19,378,779,235","4,158,877,830","76,663,935",28.135,7.883,5.786,19.379,4.159,0.077
Jul-07,"24,194,163,962","6,659,860,813","4,982,888,079","18,396,728,362","3,480,975,933","57,904,632",24.194,6.66,4.983,18.397,3.481,0.058
Aug-07,"27,064,338,421","7,819,988,686","4,860,301,709","20,993,838,403","4,261,725,956","62,051,021",27.064,7.82,4.86,20.994,4.262,0.062
Sep-07,"27,570,435,225","7,979,940,464","4,438,017,638","18,930,370,694","4,309,008,135","78,048,825",27.57,7.98,4.438,18.93,4.309,0.078
Oct-07,"30,889,044,749","8,065,198,058","5,225,073,732","21,485,358,273","4,302,620,964","55,775,695",30.889,8.065,5.225,21.485,4.303,0.056
Nov-07,"29,028,974,491","8,238,637,084","4,847,540,356","19,997,775,529","4,249,055,103","95,723,841",29.029,8.239,4.848,19.998,4.249,0.096
Dec-07,"24,005,727,900","7,356,176,096","5,376,495,692","16,661,123,054","3,616,971,061","206,175,372",24.006,7.356,5.376,16.661,3.617,0.206
Jan-08,"25,506,768,666","7,016,082,316","6,337,103,709","18,876,190,828","3,440,877,380","87,341,995",25.507,7.016,6.337,18.876,3.441,0.087
Feb-08,"27,171,208,016","7,802,407,512","6,996,292,056","19,363,272,097","3,978,101,751","95,535,145",27.171,7.802,6.996,19.363,3.978,0.096
Mar-08,"28,374,382,919","8,460,530,542","7,228,016,509","18,813,706,763","3,885,730,020","99,958,295",28.374,8.461,7.228,18.814,3.886,0.1
Apr-08,"29,042,871,236","8,185,163,559","8,168,899,926","20,298,710,199","4,325,096,297","86,008,264",29.043,8.185,8.169,20.299,4.325,0.086
