QS,GS,HR,ER,SO,H,G,L,BAVG,S
0,0,3,11,0,22,20,0,0.275,0
0,0,0,16,0,42,70,2,0.221,1
0,28,21,94,1,193,32,14,0.299,0
0,15,17,47,0,87,15,4,0.267,0
0,5,3,19,0,40,10,1,0.323,0
0,0,4,13,0,33,48,2,0.217,1
0,0,4,19,0,42,64,3,0.194,32
0,0,7,18,0,45,45,3,0.276,1
0,2,3,12,0,25,18,1,0.203,1
0,33,29,87,0,210,33,13,0.266,0
0,13,11,48,0,103,33,4,0.251,0
0,10,7,35,1,78,12,5,0.312,0
0,0,1,8,0,11,4,0,0.379,0
0,0,3,16,0,32,17,0,0.39,0
0,19,9,48,0,80,19,7,0.22,0
0,10,7,22,0,63,15,5,0.258,0
0,2,0,9,0,23,9,2,0.307,0
0,0,0,8,0,26,23,1,0.257,0
0,0,4,17,0,51,64,4,0.223,43
0,0,0,1,0,5,2,0,0.357,0
0,0,2,19,0,50,57,4,0.24,36
0,4,4,20,0,23,5,2,0.299,0
0,0,0,6,0,4,4,0,0.235,0
0,7,11,42,0,83,43,8,0.243,0
0,10,7,31,0,54,10,5,0.271,0
0,0,3,9,0,19,14,0,0.241,0
0,0,1,16,0,45,45,1,0.221,3
0,12,10,47,0,90,12,6,0.344,0
0,0,1,4,0,5,4,0,0.278,0
0,0,2,4,0,8,16,0,0.296,0
0,34,24,67,2,174,34,5,0.192,0
0,0,5,21,0,36,56,0,0.211,0
0,0,2,8,0,14,11,0,0.341,0
0,26,24,82,0,175,27,11,0.287,0
0,0,6,25,0,41,63,5,0.181,30
0,0,4,8,0,18,15,0,0.261,0
0,0,1,16,0,26,39,5,0.224,3
0,0,3,20,0,54,66,3,0.216,4
0,0,0,2,0,5,9,1,0.2,0
0,0,6,23,0,51,47,3,0.264,0
0,0,1,3,0,12,10,0,0.316,0
0,0,5,9,0,33,40,1,0.221,0
0,0,7,22,0,44,71,4,0.188,6
0,0,0,4,0,9,9,2,0.3,0
0,0,1,10,0,14,14,2,0.286,1
0,0,8,19,0,55,57,4,0.237,0
0,11,12,44,0,100,20,4,0.291,0
0,0,2,14,0,27,31,1,0.239,0
0,33,31,107,0,226,34,14,0.267,0
0,29,23,90,0,187,29,13,0.289,0
0,0,7,25,0,49,57,2,0.218,0
0,0,0,0,0,0,1,0,0.0,0
0,0,8,27,0,48,32,1,0.318,0
0,0,1,11,0,28,62,3,0.224,1
0,0,5,19,0,45,55,5,0.236,1
0,0,0,9,0,21,41,1,0.142,0
0,33,17,86,0,217,33,12,0.255,0
0,31,21,82,0,221,31,9,0.277,0
0,0,8,25,0,53,59,3,0.255,0
0,32,22,95,3,205,32,13,0.26,0
0,24,19,78,0,154,24,7,0.277,0
0,0,1,8,0,40,70,0,0.17,1
0,0,1,7,0,13,10,2,0.302,0
0,0,6,18,0,50,44,1,0.269,4
0,0,0,5,0,10,6,0,0.357,0
0,26,14,77,0,178,27,11,0.284,0
0,0,2,14,0,25,17,1,0.301,0
0,0,10,25,0,62,62,4,0.276,29
0,0,2,7,0,13,10,0,0.241,0
0,0,4,14,0,19,15,0,0.365,0
0,0,10,31,0,66,69,7,0.262,15
0,0,1,5,0,8,18,0,0.216,0
0,21,14,48,0,102,23,10,0.212,0
0,2,4,6,0,12,5,0,0.226,0
0,0,6,22,0,55,66,5,0.238,0
0,0,1,2,0,5,6,1,0.217,0
0,0,8,34,0,73,76,4,0.269,1
0,26,23,72,0,159,29,9,0.25,0
0,6,1,11,0,33,9,3,0.252,0
0,0,1,13,0,23,13,0,0.319,0
0,0,5,24,0,43,31,3,0.295,0
0,0,5,27,0,46,70,9,0.179,1
0,0,0,1,0,0,2,0,0.0,0
0,5,3,28,0,45,8,3,0.352,0
0,7,4,22,0,32,8,3,0.224,0
0,0,1,7,0,12,8,0,0.293,0
0,0,2,8,0,13,5,2,0.433,1
0,0,10,23,0,48,73,2,0.255,0
0,0,4,25,0,69,67,2,0.296,0
0,0,1,15,0,52,71,3,0.217,0
0,13,6,42,0,78,13,6,0.271,0
0,0,11,32,0,50,39,6,0.313,0
0,33,19,90,0,218,33,14,0.248,0
0,16,15,63,0,128,23,9,0.284,0
0,0,1,4,0,3,3,0,0.25,0
0,8,4,25,0,54,12,3,0.286,0
0,0,4,14,0,22,19,2,0.355,0
0,0,4,8,0,11,6,0,0.229,0
0,33,28,85,0,172,33,14,0.238,0
0,0,7,26,0,58,61,3,0.232,2
0,3,8,16,0,36,26,1,0.231,1
0,15,7,38,0,93,15,3,0.285,0
0,3,6,24,0,47,17,1,0.309,0
0,0,1,3,0,10,6,0,0.313,0
0,0,0,3,0,5,5,0,0.385,0
0,28,12,79,0,162,28,11,0.276,0
0,0,3,9,0,12,4,0,0.353,0
0,0,2,5,0,12,9,1,0.387,0
0,20,10,44,0,117,20,10,0.255,0
0,0,3,8,0,39,60,3,0.199,1
0,0,2,17,0,49,78,2,0.202,9
0,31,24,78,0,177,31,11,0.25,0
0,0,0,4,0,10,11,0,0.213,0
0,0,0,2,0,5,1,0,0.5,0
0,0,4,23,0,52,30,1,0.275,1
0,0,2,21,0,33,33,2,0.258,0
0,2,0,1,0,7,3,0,0.167,0
0,0,0,5,0,6,1,1,0.429,0
0,24,14,52,0,118,24,9,0.241,0
0,0,2,20,0,24,54,1,0.147,1
0,33,26,78,4,195,33,12,0.217,0
0,0,2,5,0,18,12,0,0.29,0
0,31,16,84,1,225,32,9,0.29,0
0,0,3,13,0,47,61,5,0.236,2
0,33,15,66,1,176,33,14,0.222,0
0,0,4,26,0,49,74,3,0.193,11
0,0,1,6,0,11,5,1,0.407,0
0,0,4,8,0,11,7,0,0.344,0
0,6,11,46,0,93,33,2,0.316,0
0,14,5,54,0,118,48,9,0.279,1
0,0,3,27,0,59,54,3,0.28,0
0,25,14,75,0,166,27,11,0.303,0
0,0,2,8,0,15,12,1,0.278,0
0,0,0,4,0,7,9,0,0.226,3
0,6,1,17,0,32,6,2,0.311,0
0,31,20,74,0,166,31,9,0.234,0
0,0,2,12,0,25,25,0,0.21,0
0,0,1,4,0,15,9,0,0.273,0
0,0,8,23,0,57,73,3,0.204,43
0,0,0,1,0,3,7,1,0.088,0
0,5,2,11,0,28,5,0,0.283,0
0,32,17,98,1,186,32,13,0.254,0
0,0,1,1,0,6,10,0,0.194,0
0,0,0,0,0,2,2,0,0.286,0
0,1,2,3,0,9,4,0,0.29,0
0,34,22,87,0,192,34,13,0.23,0
0,0,1,2,0,6,6,0,0.316,0
0,26,19,74,0,183,26,10,0.305,0
0,20,15,66,0,119,20,8,0.287,0
0,31,18,96,0,210,31,9,0.292,0
0,0,8,29,0,56,46,3,0.197,0
0,10,6,29,0,73,11,3,0.303,0
0,0,8,17,0,34,51,4,0.27,1
0,0,1,11,0,18,10,0,0.3,0
0,0,0,10,0,12,4,0,0.353,0
0,32,14,88,0,189,32,11,0.264,0
0,0,4,18,0,33,42,3,0.229,2
0,0,8,22,0,37,39,0,0.22,1
0,0,0,16,0,17,18,1,0.243,0
0,32,31,109,0,190,33,11,0.26,0
0,0,10,34,0,71,52,2,0.24,1
0,0,2,14,0,17,12,0,0.304,0
0,0,1,19,0,66,78,6,0.234,5
0,0,1,3,0,2,2,1,0.286,0
0,0,3,16,0,34,72,1,0.239,1
0,1,1,3,0,9,3,0,0.243,0
0,0,1,11,0,22,19,2,0.328,0
0,3,5,31,0,63,24,1,0.272,1
0,0,7,29,0,73,77,8,0.263,0
0,0,7,32,0,71,40,0,0.302,0
0,0,2,11,0,31,36,2,0.254,0
0,3,6,22,0,40,13,0,0.303,0
0,0,1,6,0,16,12,0,0.432,0
0,14,10,53,0,87,18,5,0.289,0
0,0,1,4,0,5,8,1,0.185,0
0,7,6,20,0,48,8,2,0.304,0
0,3,2,6,0,18,3,1,0.265,0
0,22,21,67,0,115,22,8,0.253,0
0,0,6,10,0,14,14,1,0.28,1
0,0,0,1,0,2,4,1,0.125,0
0,0,6,18,0,34,43,2,0.228,0
0,33,26,86,1,207,33,12,0.241,0
0,0,0,3,0,6,5,0,0.261,0
0,0,0,8,0,29,31,1,0.302,0
0,0,3,21,0,50,63,1,0.207,31
0,33,16,95,0,208,33,9,0.29,0
0,27,21,90,0,175,32,13,0.27,1
0,29,16,87,1,199,29,13,0.291,0
0,0,3,23,0,50,71,6,0.223,0
0,0,6,22,0,52,58,2,0.203,8
0,29,21,62,1,146,29,10,0.21,0
0,0,0,6,0,11,17,0,0.22,5
0,8,10,37,0,69,28,3,0.245,1
0,1,0,5,0,7,2,1,0.318,0
0,0,0,0,0,9,4,0,0.409,0
0,0,2,12,0,17,13,0,0.347,0
0,25,21,87,0,176,29,11,0.303,0
0,0,2,1,0,6,5,1,0.182,0
0,9,2,33,0,59,9,7,0.314,0
0,28,20,69,0,175,28,7,0.269,0
0,20,22,65,1,122,20,11,0.256,0
0,0,1,10,0,33,49,2,0.183,6
0,32,17,70,0,175,32,12,0.23,0
0,23,23,75,1,141,23,6,0.269,0
0,33,15,59,2,174,33,5,0.207,0
0,1,0,19,0,29,31,2,0.282,0
0,0,0,14,0,53,66,2,0.245,1
0,0,2,9,0,24,26,0,0.235,0
0,32,18,61,2,176,32,7,0.213,0
0,4,10,22,0,40,15,2,0.292,0
0,0,2,8,0,30,33,0,0.273,0
0,0,1,4,0,4,4,0,0.19,0
0,12,16,52,0,97,28,10,0.294,0
0,31,20,77,0,180,31,12,0.258,0
0,0,1,4,0,6,5,0,0.286,0
0,0,2,14,0,47,55,0,0.228,2
0,0,0,6,0,11,12,1,0.333,0
0,0,5,16,0,41,67,2,0.184,2
0,0,5,16,0,28,29,4,0.326,0
0,9,6,42,0,101,21,4,0.324,1
0,0,3,13,0,47,64,2,0.215,44
0,0,3,18,0,52,63,2,0.256,2
0,0,1,2,0,4,4,0,0.286,0
0,12,16,64,1,119,34,7,0.288,0
0,21,15,64,0,130,21,9,0.27,0
0,0,5,12,0,44,75,4,0.169,2
0,33,22,79,0,175,33,7,0.232,0
0,32,18,62,6,197,32,8,0.229,0
0,33,17,79,1,230,33,8,0.255,0
0,0,1,8,0,13,4,0,0.406,0
0,9,9,39,0,62,37,7,0.238,0
0,15,14,41,0,110,34,6,0.255,0
0,0,2,5,0,7,3,0,0.636,0
0,13,8,37,0,86,13,6,0.27,0
0,26,21,73,1,172,29,10,0.267,0
0,0,5,25,0,37,39,0,0.28,0
0,28,18,71,0,133,28,10,0.211,0
0,30,21,62,1,146,30,7,0.211,0
0,32,10,61,1,208,32,6,0.239,0
0,18,10,57,0,118,22,6,0.293,0
0,0,3,5,0,13,54,1,0.149,0
0,0,3,9,0,24,49,1,0.24,0
0,0,1,5,0,8,13,3,0.286,0
0,0,5,32,0,59,60,1,0.24,0
0,9,9,24,0,58,9,3,0.274,0
0,26,12,57,0,154,26,11,0.251,0
0,0,1,26,0,54,59,3,0.22,2
0,3,4,11,0,21,5,1,0.276,0
0,25,18,65,0,152,25,8,0.258,0
0,0,4,16,0,43,64,3,0.261,0
0,28,15,54,1,164,30,7,0.244,0
0,24,8,40,1,123,24,5,0.22,0
0,0,7,22,0,55,63,3,0.251,0
0,4,4,26,0,39,7,1,0.358,0
0,0,11,28,0,56,53,4,0.269,11
0,0,0,3,0,12,13,1,0.343,0
0,0,1,5,0,9,12,1,0.22,0
0,30,13,70,0,180,31,9,0.257,0
0,0,7,23,0,67,47,2,0.306,0
0,26,22,61,1,163,30,9,0.263,0
0,0,0,9,0,18,26,1,0.214,0
0,0,8,29,0,57,68,4,0.235,36
0,0,5,18,0,46,44,3,0.224,0
0,12,10,28,0,53,12,8,0.241,0
0,3,0,10,0,19,3,1,0.306,0
0,1,0,0,0,4,1,0,0.211,0
0,9,10,35,0,51,13,4,0.256,0
0,0,5,33,0,54,75,6,0.205,34
0,10,15,40,0,62,10,4,0.305,0
0,0,2,18,0,48,53,4,0.255,0
