Team,SO,2B,H,HR,CS,SF,OPS,G,AVG
TIG,18,6,27,2,0,1,.673,32,.243
RSX,6,0,5,1,1,0,.684,6,.227
YAN,3,1,3,0,0,1,.422,9,.167
ORI,35,12,45,2,2,3,.777,40,.283
RDS,14,2,13,0,1,0,.560,21,.213
MTS,22,11,40,0,3,3,.744,37,.294
CAR,10,0,3,0,0,0,.317,12,.125
NAT,24,1,6,0,1,0,.444,24,.111
DGR,2,0,2,0,0,1,.396,7,.133
ORI,4,4,7,0,0,0,.844,9,.233
TWI,20,5,18,2,0,1,.777,22,.273
PIR,14,3,19,1,0,0,.687,19,.284
CAR,1,1,4,0,0,0,.968,4,.333
PIR,0,1,4,0,0,0,.785,4,.308
YAN,18,6,30,3,0,1,.786,33,.280
TIG,24,5,36,1,1,0,.832,44,.313
BLU,29,6,30,1,0,1,.578,39,.221
NAT,15,0,19,0,0,0,.526,31,.202
IND,20,4,29,4,1,0,.606,34,.228
PHL,42,3,23,1,1,0,.543,36,.211
DGR,16,0,8,0,1,1,.475,18,.163
TWI,23,2,40,0,2,0,.651,45,.288
TIG,23,1,9,1,0,2,.383,22,.130
YAN,39,7,47,6,5,0,.815,47,.283
CAR,13,1,6,1,0,0,.488,16,.143
PHL,13,5,26,0,3,0,.631,31,.255
MRL,5,5,11,0,0,1,1.063,7,.440
TIG,52,9,40,4,1,0,.798,46,.270
TWI,44,6,31,2,5,2,.762,38,.256
CAR,7,1,10,0,0,0,.830,10,.385
YAN,1,1,1,0,0,0,1.667,1,.500
RDS,27,6,35,0,4,2,.528,43,.227
PHL,0,0,1,0,0,0,1.167,1,.500
IND,29,8,44,0,3,1,.683,47,.277
TWI,7,4,10,0,0,0,.852,11,.323
DGR,22,7,18,0,3,2,.670,36,.205
RDS,29,3,20,0,1,0,.528,32,.211
MRL,17,7,14,0,0,1,.811,22,.246
MTS,6,0,6,0,0,0,.369,12,.146
PIR,11,0,7,0,0,0,.528,15,.212
NAT,24,8,32,1,2,0,.796,28,.305
DGR,36,5,24,2,0,0,.692,30,.250
MRL,30,10,23,1,3,0,.713,37,.221
RSX,26,8,53,1,6,2,.747,47,.301
TWI,17,4,35,0,2,3,.779,35,.321
NAT,46,9,28,4,1,1,.640,44,.194
TWI,11,1,13,0,2,1,.563,22,.232
DGR,10,0,6,0,2,1,.575,12,.214
BRA,14,3,16,3,0,0,.563,34,.198
BLU,62,7,38,1,1,1,.599,51,.216
RDS,12,0,7,0,0,0,.387,21,.146
ORI,43,9,40,0,7,0,.614,51,.209
TIG,31,4,31,2,3,2,.545,44,.205
MTS,3,3,5,1,0,0,1.076,5,.313
RDS,2,1,5,1,0,0,1.212,4,.417
ORI,58,8,46,2,2,2,.611,55,.219
DGR,14,5,29,0,1,0,.779,36,.305
NAT,9,3,8,2,0,0,1.036,10,.296
TIG,6,0,2,0,0,0,.490,3,.182
TIG,6,1,10,0,2,0,.698,15,.250
TWI,22,8,25,0,0,1,.672,27,.258
BRA,36,0,20,0,3,0,.427,45,.169
CAR,16,6,27,0,3,0,.722,39,.281
MRL,32,14,63,4,0,4,.916,52,.348
