AVG,G,VORP,oppOBP,AB,oppSLG,SLG,LG,oppTAv,LVL
0.267,37,-2.9,0.315,120,0.384,0.458,NL,0.266,MLB
0.4,2,-2.2,0.291,10,0.342,0.6,AL,0.238,MLB
0.286,7,-0.0,0.297,21,0.365,0.333,AL,0.25,MLB
0.222,13,-3.1,0.314,54,0.38,0.519,AL,0.262,MLB
0.3,37,1.0,0.315,233,0.385,0.391,AL,0.262,MLB
0.243,38,2.3,0.317,111,0.399,0.369,AL,0.266,MLB
0.191,16,0.9,0.313,47,0.384,0.298,AL,0.258,MLB
0.286,1,-0.4,0.314,7,0.378,0.286,NL,0.255,MLB
0.236,44,4.2,0.31,144,0.378,0.299,NL,0.259,MLB
0.25,19,1.1,0.313,48,0.392,0.354,NL,0.26,MLB
0.269,8,4.1,0.31,186,0.376,0.403,AL,0.255,MLB
0.333,3,0.8,0.307,18,0.375,0.444,AL,0.256,MLB
0.234,30,5.3,0.317,612,0.388,0.431,AL,0.264,MLB
0.183,71,12.5,0.315,240,0.396,0.263,NL,0.264,MLB
0.571,4,-0.9,0.314,7,0.37,0.571,AL,0.265,MLB
0.242,15,-5.7,0.309,335,0.388,0.415,NL,0.258,MLB
0.31,6,-1.0,0.316,29,0.388,0.517,AL,0.259,MLB
0.41,3,0.9,0.302,39,0.362,0.538,NL,0.25,MLB
0.538,2,1.0,0.306,13,0.376,0.615,AL,0.261,MLB
0.223,39,10.6,0.309,435,0.386,0.375,NL,0.258,MLB
0.325,6,3.0,0.311,80,0.393,0.45,AL,0.257,MLB
0.233,22,4.3,0.31,90,0.382,0.256,NL,0.261,MLB
0.204,20,4.0,0.307,250,0.384,0.304,AL,0.26,MLB
0.333,9,-1.2,0.308,27,0.369,0.556,AL,0.252,MLB
0.253,50,-0.3,0.308,178,0.378,0.36,NL,0.258,MLB
0.268,21,-0.3,0.312,82,0.382,0.427,AL,0.26,MLB
0.244,69,9.0,0.314,246,0.388,0.419,AL,0.263,MLB
0.269,32,1.7,0.314,761,0.388,0.447,AL,0.261,MLB
0.285,32,9.2,0.31,431,0.387,0.422,NL,0.259,MLB
0.316,27,5.8,0.319,643,0.402,0.505,AL,0.267,MLB
0.238,38,5.6,0.314,143,0.387,0.28,AL,0.261,MLB
0.263,5,-1.1,0.323,19,0.383,0.474,NL,0.262,MLB
0.209,31,10.4,0.314,541,0.393,0.322,AL,0.26,MLB
0.238,40,8.5,0.319,122,0.39,0.311,AL,0.266,MLB
0.264,21,3.1,0.315,129,0.391,0.372,AL,0.261,MLB
0.091,3,-2.2,0.322,11,0.353,0.364,NL,0.256,MLB
0.267,30,17.7,0.316,739,0.392,0.403,AL,0.262,MLB
0.22,70,2.0,0.313,223,0.387,0.323,NL,0.263,MLB
0.292,44,-2.9,0.308,240,0.383,0.454,NL,0.258,MLB
0.208,28,0.8,0.316,96,0.383,0.313,NL,0.263,MLB
0.23,27,13.1,0.298,583,0.364,0.348,NL,0.253,MLB
0.283,62,2.2,0.315,219,0.393,0.429,NL,0.264,MLB
0.324,13,0.3,0.306,74,0.371,0.446,AL,0.252,MLB
0.256,2,0.2,0.317,39,0.397,0.436,AL,0.261,MLB
0.265,11,1.6,0.308,238,0.372,0.45,NL,0.257,MLB
0.215,65,6.0,0.312,205,0.385,0.278,NL,0.262,MLB
0.119,23,4.9,0.309,67,0.387,0.194,AL,0.26,MLB
0.244,69,8.2,0.314,250,0.384,0.32,AL,0.262,MLB
0.255,31,-0.1,0.306,161,0.39,0.323,NL,0.26,MLB
0.213,61,1.5,0.311,127,0.398,0.283,NL,0.267,MLB
0.245,69,5.4,0.311,233,0.386,0.326,AL,0.258,MLB
0.279,18,0.1,0.321,86,0.396,0.477,NL,0.267,MLB
0.273,1,-0.3,0.298,22,0.396,0.455,NL,0.265,MLB
0.248,73,10.3,0.316,266,0.393,0.357,NL,0.264,MLB
0.227,66,11.8,0.314,203,0.39,0.31,AL,0.263,MLB
0.372,4,-4.4,0.311,86,0.374,0.616,AL,0.256,MLB
0.246,72,4.0,0.31,325,0.381,0.326,AL,0.258,MLB
0.266,57,15.2,0.313,338,0.392,0.37,NL,0.264,MLB
0.267,38,2.6,0.309,277,0.382,0.394,AL,0.259,MLB
0.257,26,26.4,0.302,591,0.379,0.364,NL,0.255,MLB
0.353,17,-2.6,0.3,150,0.374,0.52,NL,0.253,MLB
0.266,29,4.1,0.317,695,0.391,0.403,AL,0.265,MLB
0.25,1,16.7,0.427,4,0.383,0.5,NL,0.322,MLB
0.172,76,4.3,0.315,261,0.389,0.257,AL,0.263,MLB
0.259,23,2.2,0.305,85,0.374,0.318,NL,0.255,MLB
0.304,45,-2.9,0.315,138,0.384,0.536,AL,0.261,MLB
0.071,2,-1.2,0.315,14,0.374,0.286,NL,0.264,MLB
0.263,2,1.0,0.296,38,0.367,0.368,NL,0.252,MLB
0.198,35,11.4,0.315,126,0.389,0.294,AL,0.262,MLB
0.245,16,3.2,0.31,372,0.383,0.406,AL,0.26,MLB
0.266,31,15.4,0.313,725,0.389,0.426,AL,0.261,MLB
0.278,4,-1.0,0.323,79,0.395,0.392,NL,0.269,MLB
0.194,34,25.0,0.309,873,0.383,0.313,NL,0.259,MLB
0.378,21,-4.7,0.312,111,0.392,0.586,NL,0.262,MLB
0.223,72,5.5,0.315,256,0.394,0.305,NL,0.265,MLB
0.275,30,8.8,0.304,720,0.374,0.385,NL,0.257,MLB
0.24,33,33.8,0.309,810,0.392,0.372,NL,0.258,MLB
0.287,62,-3.6,0.314,164,0.384,0.39,NL,0.264,MLB
0.23,73,2.3,0.31,257,0.384,0.323,NL,0.259,MLB
0.294,64,3.6,0.313,235,0.396,0.46,AL,0.265,MLB
0.314,27,0.8,0.316,105,0.387,0.39,AL,0.264,MLB
0.363,6,-1.4,0.311,102,0.384,0.539,AL,0.255,MLB
0.5,2,-0.8,0.334,12,0.422,0.75,NL,0.281,MLB
0.24,16,4.4,0.305,383,0.39,0.36,NL,0.258,MLB
0.278,25,2.0,0.312,108,0.39,0.454,AL,0.258,MLB
0.26,29,4.9,0.313,104,0.392,0.317,NL,0.262,MLB
0.244,62,3.4,0.316,234,0.397,0.449,NL,0.263,MLB
0.214,14,6.6,0.313,266,0.39,0.316,NL,0.261,MLB
0.308,10,-0.8,0.301,214,0.382,0.519,NL,0.255,MLB
0.273,20,-1.7,0.317,480,0.398,0.475,AL,0.266,MLB
0.205,5,-0.5,0.297,39,0.391,0.385,NL,0.256,MLB
0.323,7,-0.8,0.324,62,0.39,0.5,NL,0.269,MLB
0.25,33,25.0,0.311,755,0.39,0.384,NL,0.26,MLB
0.241,10,3.8,0.305,133,0.398,0.391,NL,0.256,MLB
0.311,16,0.1,0.306,45,0.393,0.444,AL,0.259,MLB
0.236,4,-1.2,0.301,89,0.37,0.404,NL,0.255,MLB
0.318,16,-1.5,0.308,88,0.379,0.557,AL,0.259,MLB
0.206,41,3.5,0.309,126,0.381,0.302,NL,0.259,MLB
0.0,1,-0.7,0.296,3,0.391,0.0,NL,0.258,MLB
0.226,68,7.2,0.315,221,0.397,0.357,NL,0.262,MLB
0.23,31,15.7,0.309,716,0.385,0.327,NL,0.258,MLB
0.294,21,-7.1,0.318,109,0.396,0.495,AL,0.268,MLB
0.202,44,-0.7,0.311,119,0.38,0.328,NL,0.258,MLB
0.229,30,1.8,0.312,105,0.383,0.333,NL,0.264,MLB
0.267,28,0.8,0.318,509,0.395,0.444,AL,0.268,MLB
0.234,7,3.2,0.301,167,0.371,0.419,NL,0.254,MLB
0.234,60,6.5,0.308,218,0.386,0.33,AL,0.259,MLB
0.217,15,3.3,0.307,46,0.372,0.261,NL,0.26,MLB
0.28,1,-2.8,0.316,25,0.39,0.68,NL,0.264,MLB
0.6,1,-0.8,0.335,15,0.443,1.067,AL,0.278,MLB
0.276,32,-6.0,0.307,775,0.378,0.436,NL,0.256,MLB
0.183,68,3.2,0.31,169,0.373,0.254,NL,0.257,MLB
0.188,5,-0.4,0.31,69,0.389,0.319,NL,0.261,MLB
0.136,6,-0.3,0.301,22,0.362,0.136,NL,0.253,MLB
0.308,4,0.1,0.322,52,0.403,0.462,NL,0.264,MLB
0.272,20,14.2,0.317,430,0.401,0.423,AL,0.263,MLB
0.228,22,23.6,0.309,513,0.383,0.326,NL,0.26,MLB
0.2,1,-0.6,0.317,5,0.394,0.2,AL,0.262,MLB
0.281,47,2.7,0.308,160,0.378,0.394,NL,0.258,MLB
0.302,8,-2.9,0.328,53,0.422,0.472,AL,0.271,MLB
0.171,8,-0.2,0.282,35,0.369,0.343,NL,0.234,MLB
0.205,49,6.2,0.32,190,0.401,0.268,AL,0.268,MLB
0.301,8,-1.7,0.305,193,0.365,0.528,AL,0.252,MLB
0.219,72,3.7,0.312,210,0.388,0.343,AL,0.259,MLB
0.238,18,0.2,0.313,42,0.368,0.262,NL,0.259,MLB
0.303,13,-0.1,0.305,132,0.382,0.47,NL,0.26,MLB
0.333,1,-2.1,0.334,3,0.436,1.333,AL,0.29,MLB
0.338,16,1.5,0.312,65,0.383,0.538,NL,0.262,MLB
0.333,4,-1.8,0.313,48,0.409,0.604,NL,0.256,MLB
0.128,24,4.2,0.309,109,0.39,0.165,AL,0.26,MLB
0.375,1,-0.9,0.324,16,0.394,0.75,AL,0.263,MLB
0.143,20,0.2,0.318,70,0.403,0.229,NL,0.265,MLB
0.286,10,1.8,0.295,241,0.384,0.461,NL,0.255,MLB
0.0,1,2.3,0.299,3,0.386,0.0,AL,0.255,MLB
0.275,8,-1.4,0.325,40,0.415,0.5,AL,0.275,MLB
0.281,25,0.3,0.314,427,0.389,0.478,AL,0.26,MLB
0.253,32,7.4,0.313,562,0.388,0.375,AL,0.263,MLB
0.0,1,0.3,0.302,3,0.333,0.0,AL,0.252,MLB
0.214,3,0.2,0.306,14,0.392,0.214,AL,0.256,MLB
0.174,30,0.3,0.316,115,0.393,0.27,AL,0.266,MLB
0.0,1,-1.5,0.325,3,0.355,0.0,AL,0.255,MLB
0.4,2,-2.7,0.299,15,0.359,1.0,AL,0.259,MLB
0.4,1,5.9,0.299,5,0.342,0.4,AL,0.251,MLB
0.423,3,0.8,0.304,26,0.387,0.731,AL,0.264,MLB
0.0,1,0.0,0.366,2,0.452,0.0,NL,0.307,MLB
0.667,2,-3.1,0.328,18,0.417,1.056,AL,0.269,MLB
0.228,49,-5.5,0.314,167,0.395,0.413,NL,0.261,MLB
0.172,5,2.1,0.313,29,0.385,0.241,AL,0.271,MLB
0.228,57,8.9,0.311,219,0.384,0.361,AL,0.262,MLB
0.467,3,-1.5,0.321,15,0.421,0.8,NL,0.273,MLB
0.233,27,6.7,0.305,613,0.375,0.351,NL,0.256,MLB
0.258,31,8.5,0.318,691,0.396,0.365,AL,0.266,MLB
0.273,33,12.6,0.307,787,0.377,0.391,NL,0.259,MLB
0.25,1,4.0,0.304,4,0.308,0.25,NL,0.233,MLB
0.22,50,4.6,0.308,150,0.384,0.293,NL,0.261,MLB
0.241,4,1.9,0.312,79,0.38,0.304,AL,0.261,MLB
0.264,20,0.4,0.302,129,0.369,0.434,NL,0.256,MLB
0.247,32,40.0,0.308,770,0.385,0.373,NL,0.257,MLB
0.222,29,-3.0,0.31,126,0.386,0.381,AL,0.261,MLB
0.242,54,11.2,0.32,207,0.4,0.338,AL,0.268,MLB
0.246,73,4.7,0.309,171,0.374,0.327,AL,0.254,MLB
0.714,2,-0.7,0.333,7,0.395,1.0,NL,0.268,MLB
0.214,70,12.3,0.316,252,0.397,0.266,AL,0.262,MLB
0.275,22,-1.5,0.309,80,0.392,0.463,NL,0.263,MLB
0.304,18,-5.5,0.318,270,0.393,0.511,AL,0.263,MLB
0.259,26,11.6,0.316,583,0.396,0.401,AL,0.262,MLB
0.263,42,8.0,0.31,278,0.374,0.399,AL,0.257,MLB
0.216,64,7.7,0.312,236,0.39,0.386,AL,0.263,MLB
0.27,31,-2.6,0.308,738,0.384,0.407,NL,0.257,MLB
0.151,71,21.4,0.318,252,0.399,0.179,AL,0.264,MLB
0.245,34,25.8,0.304,807,0.375,0.385,NL,0.255,MLB
0.152,12,1.6,0.31,33,0.375,0.242,AL,0.254,MLB
0.179,3,1.3,0.311,39,0.387,0.282,NL,0.266,MLB
0.271,75,7.8,0.319,247,0.398,0.413,NL,0.268,MLB
0.232,33,15.4,0.313,805,0.391,0.327,AL,0.264,MLB
0.254,62,1.0,0.312,205,0.384,0.405,AL,0.26,MLB
0.238,32,5.0,0.302,677,0.373,0.394,NL,0.255,MLB
0.244,17,2.1,0.31,78,0.375,0.308,NL,0.259,MLB
0.231,27,9.7,0.316,616,0.398,0.325,AL,0.265,MLB
0.273,20,-1.3,0.306,88,0.383,0.432,NL,0.258,MLB
0.354,15,-1.6,0.303,65,0.364,0.492,NL,0.252,MLB
0.237,23,-0.3,0.304,455,0.375,0.378,NL,0.255,MLB
0.25,5,-0.3,0.332,20,0.438,0.45,NL,0.267,MLB
0.2,34,37.2,0.317,852,0.387,0.303,AL,0.264,MLB
0.281,7,-3.2,0.297,114,0.346,0.509,NL,0.247,MLB
0.313,7,-1.2,0.312,32,0.404,0.625,AL,0.267,MLB
0.279,10,-1.1,0.305,43,0.37,0.535,AL,0.252,MLB
0.326,26,-0.2,0.312,86,0.382,0.628,AL,0.259,MLB
0.241,25,-2.9,0.319,468,0.393,0.385,AL,0.262,MLB
0.226,8,0.7,0.314,31,0.375,0.355,NL,0.261,MLB
0.141,25,-1.5,0.315,78,0.379,0.218,AL,0.264,MLB
0.077,9,1.4,0.322,26,0.405,0.077,AL,0.276,MLB
0.23,9,1.8,0.311,209,0.38,0.344,NL,0.265,MLB
0.252,29,3.8,0.316,107,0.392,0.421,NL,0.265,MLB
0.222,7,2.2,0.317,27,0.393,0.296,AL,0.263,MLB
0.26,37,-6.5,0.314,127,0.386,0.48,NL,0.259,MLB
0.228,22,22.5,0.315,474,0.39,0.323,AL,0.261,MLB
0.296,40,-2.3,0.316,169,0.395,0.444,NL,0.266,MLB
0.239,34,3.9,0.315,808,0.388,0.385,AL,0.264,MLB
0.258,13,-4.0,0.304,240,0.365,0.458,NL,0.255,MLB
0.262,58,1.1,0.311,183,0.371,0.333,NL,0.256,MLB
0.164,68,6.6,0.312,220,0.389,0.236,NL,0.263,MLB
0.262,25,0.4,0.322,313,0.405,0.495,AL,0.269,MLB
0.246,42,0.4,0.317,167,0.395,0.359,AL,0.264,MLB
0.142,63,13.9,0.317,212,0.393,0.189,NL,0.265,MLB
0.167,2,0.1,0.301,6,0.35,0.167,AL,0.243,MLB
0.238,57,3.8,0.315,248,0.387,0.387,AL,0.261,MLB
0.198,18,1.5,0.316,101,0.392,0.376,AL,0.265,MLB
0.714,2,-1.1,0.306,7,0.395,0.857,AL,0.25,MLB
0.269,6,1.4,0.281,26,0.349,0.308,NL,0.241,MLB
0.253,18,2.0,0.31,423,0.382,0.369,AL,0.26,MLB
0.275,32,25.2,0.314,812,0.395,0.426,AL,0.261,MLB
0.218,29,2.3,0.297,595,0.371,0.331,NL,0.252,MLB
0.151,53,7.0,0.32,186,0.402,0.247,NL,0.266,MLB
0.292,66,5.1,0.305,253,0.373,0.419,NL,0.256,MLB
0.295,62,9.1,0.321,264,0.401,0.379,AL,0.265,MLB
0.337,26,2.4,0.312,89,0.394,0.517,AL,0.263,MLB
0.0,1,0.3,0.2,3,0.242,0.0,NL,0.161,MLB
0.223,13,8.9,0.318,269,0.403,0.312,AL,0.27,MLB
0.265,18,4.6,0.299,423,0.375,0.376,NL,0.254,MLB
0.324,9,-5.8,0.307,105,0.371,0.61,NL,0.259,MLB
0.129,7,1.0,0.322,31,0.399,0.161,AL,0.266,MLB
0.273,31,5.7,0.308,799,0.379,0.414,NL,0.259,MLB
0.168,50,10.4,0.316,149,0.393,0.242,AL,0.263,MLB
0.189,73,19.2,0.317,254,0.399,0.244,AL,0.265,MLB
0.245,17,10.3,0.305,404,0.374,0.366,NL,0.256,MLB
0.382,4,-1.1,0.315,34,0.374,0.559,NL,0.26,MLB
0.196,27,52.4,0.299,709,0.375,0.289,NL,0.251,MLB
0.28,54,6.8,0.314,182,0.386,0.407,AL,0.261,MLB
0.246,25,2.3,0.31,623,0.384,0.374,NL,0.26,MLB
0.289,33,-4.4,0.304,370,0.371,0.516,NL,0.255,MLB
0.25,1,-0.8,0.276,4,0.305,1.0,AL,0.23,MLB
0.277,31,19.1,0.304,686,0.375,0.429,NL,0.254,MLB
0.223,8,4.3,0.316,139,0.387,0.317,AL,0.263,MLB
0.28,15,3.9,0.3,50,0.362,0.36,AL,0.252,MLB
0.157,56,3.0,0.315,178,0.387,0.287,AL,0.265,MLB
0.264,32,-3.4,0.295,425,0.369,0.405,NL,0.25,MLB
0.268,34,-2.9,0.318,123,0.388,0.52,AL,0.266,MLB
0.203,34,2.3,0.322,123,0.407,0.35,AL,0.27,MLB
0.248,32,3.9,0.305,714,0.372,0.371,NL,0.257,MLB
0.261,7,1.0,0.319,23,0.373,0.391,AL,0.257,MLB
0.224,16,7.1,0.315,411,0.395,0.367,AL,0.266,MLB
0.201,26,22.9,0.315,617,0.389,0.261,AL,0.263,MLB
0.344,14,1.3,0.314,61,0.389,0.443,AL,0.261,MLB
0.239,13,-2.4,0.306,46,0.389,0.522,AL,0.262,MLB
0.209,34,4.2,0.309,297,0.379,0.36,NL,0.258,MLB
0.5,2,-3.2,0.322,14,0.388,1.214,AL,0.265,MLB
0.291,15,-5.2,0.316,55,0.395,0.491,NL,0.266,MLB
0.238,33,45.9,0.315,823,0.389,0.368,AL,0.262,MLB
0.205,21,1.7,0.31,73,0.382,0.342,AL,0.258,MLB
0.256,21,14.9,0.315,535,0.391,0.407,AL,0.263,MLB
0.232,33,10.1,0.312,812,0.387,0.36,NL,0.263,MLB
0.184,50,7.5,0.32,158,0.399,0.278,NL,0.268,MLB
0.571,3,-0.9,0.299,7,0.386,1.0,NL,0.237,MLB
0.287,32,24.0,0.308,795,0.38,0.416,AL,0.257,MLB
0.31,35,-1.9,0.305,100,0.374,0.53,NL,0.257,MLB
0.248,6,10.3,0.312,137,0.372,0.328,AL,0.259,MLB
0.254,13,8.3,0.306,264,0.387,0.42,NL,0.259,MLB
0.262,15,9.4,0.321,309,0.403,0.379,AL,0.267,MLB
0.155,63,6.5,0.31,219,0.384,0.301,AL,0.259,MLB
0.319,27,-1.8,0.309,323,0.381,0.464,AL,0.258,MLB
0.267,20,16.4,0.305,449,0.379,0.414,NL,0.258,MLB
0.2,7,1.2,0.311,25,0.405,0.28,AL,0.264,MLB
0.261,30,6.4,0.309,614,0.389,0.453,AL,0.261,MLB
0.256,34,25.4,0.319,874,0.403,0.404,AL,0.265,MLB
0.316,51,0.4,0.307,177,0.375,0.463,NL,0.256,MLB
0.266,57,6.9,0.315,188,0.393,0.378,NL,0.263,MLB
0.258,31,-1.8,0.307,655,0.376,0.374,AL,0.257,MLB
0.305,5,-5.4,0.323,95,0.391,0.505,AL,0.268,MLB
0.228,61,2.5,0.314,202,0.388,0.361,NL,0.263,MLB
0.236,32,6.9,0.307,678,0.384,0.388,NL,0.259,MLB
0.235,30,25.2,0.304,748,0.368,0.345,NL,0.255,MLB
0.297,6,-0.7,0.308,37,0.373,0.541,NL,0.257,MLB
0.253,53,1.9,0.314,316,0.392,0.44,AL,0.263,MLB
0.267,20,7.9,0.312,445,0.388,0.366,AL,0.262,MLB
0.182,7,-0.9,0.325,22,0.386,0.273,AL,0.263,MLB
0.169,61,15.2,0.305,225,0.376,0.262,AL,0.257,MLB
0.25,1,-10.7,0.305,4,0.333,0.5,AL,0.24,MLB
0.278,63,-3.8,0.313,234,0.389,0.325,NL,0.259,MLB
0.293,6,0.3,0.299,41,0.372,0.415,NL,0.253,MLB
0.238,34,9.5,0.318,794,0.388,0.373,AL,0.263,MLB
0.533,2,-1.3,0.34,15,0.445,0.733,NL,0.282,MLB
0.221,5,0.7,0.313,86,0.406,0.291,AL,0.265,MLB
0.292,3,-1.9,0.316,65,0.387,0.4,AL,0.262,MLB
0.314,10,-1.8,0.319,188,0.414,0.511,AL,0.268,MLB
0.24,67,-8.6,0.311,217,0.392,0.429,AL,0.26,MLB
0.211,24,3.9,0.306,114,0.383,0.307,NL,0.256,MLB
0.232,78,13.6,0.311,276,0.392,0.33,NL,0.262,MLB
0.258,33,-7.9,0.309,597,0.381,0.441,NL,0.257,MLB
0.256,34,-7.2,0.309,801,0.381,0.404,NL,0.262,MLB
0.257,16,0.5,0.3,214,0.372,0.402,NL,0.254,MLB
0.212,30,-0.3,0.308,66,0.391,0.288,AL,0.26,MLB
0.327,15,0.7,0.313,55,0.398,0.436,NL,0.264,MLB
0.315,3,1.1,0.324,54,0.42,0.481,AL,0.267,MLB
0.231,30,3.2,0.312,147,0.378,0.313,AL,0.26,MLB
0.204,27,4.1,0.305,113,0.376,0.31,NL,0.257,MLB
0.35,8,-3.9,0.299,20,0.393,0.7,NL,0.256,MLB
1.0,2,-1.3,0.334,1,0.317,1.0,AL,0.277,MLB
0.311,14,-0.2,0.322,45,0.399,0.578,NL,0.27,MLB
0.177,54,3.2,0.32,198,0.409,0.247,NL,0.267,MLB
0.238,23,16.3,0.311,655,0.387,0.379,AL,0.259,MLB
0.249,32,13.2,0.317,767,0.395,0.382,AL,0.265,MLB
0.302,28,6.2,0.302,557,0.373,0.496,NL,0.255,MLB
0.361,14,-4.8,0.314,83,0.379,0.699,NL,0.261,MLB
0.233,34,56.4,0.317,887,0.398,0.345,AL,0.263,MLB
0.288,74,-2.5,0.31,226,0.376,0.434,NL,0.259,MLB
0.223,54,5.1,0.312,202,0.381,0.356,NL,0.261,MLB
0.24,10,-2.6,0.318,50,0.404,0.46,NL,0.266,MLB
0.222,17,13.1,0.308,396,0.382,0.354,NL,0.26,MLB
0.297,23,8.7,0.314,529,0.39,0.446,AL,0.261,MLB
0.435,2,-0.6,0.311,46,0.361,0.783,NL,0.255,MLB
0.268,32,45.8,0.313,824,0.391,0.39,AL,0.261,MLB
0.22,72,2.2,0.315,264,0.398,0.341,AL,0.267,MLB
0.174,68,5.4,0.319,241,0.392,0.295,AL,0.267,MLB
0.158,33,2.0,0.316,114,0.392,0.263,NL,0.263,MLB
0.353,3,0.9,0.324,17,0.398,0.412,AL,0.269,MLB
0.263,8,2.3,0.318,38,0.391,0.342,AL,0.268,MLB
0.313,8,-3.1,0.307,134,0.4,0.47,NL,0.26,MLB
0.327,10,0.5,0.315,49,0.398,0.388,AL,0.261,MLB
0.247,61,-2.6,0.318,243,0.399,0.436,NL,0.266,MLB
0.27,61,-1.6,0.31,215,0.385,0.349,NL,0.259,MLB
