Shots,Team,iCorsi/60,G/60,IGP
209,Ottawa,7.92,0.11,5.8
259,Florida,17.32,0.91,49.0
62,Washington,4.82,0.05,2.8
252,Washington,11.43,0.58,22.1
174,Buffalo,8.68,0.60,22.4
135,NY Rangers,8.79,0.19,7.9
124,Los Angeles,10.80,0.33,12.9
150,Philadelphia,11.10,0.63,28.0
148,San Jose,11.94,0.03,1.7
311,Boston,10.14,0.19,7.8
283,Colorado,15.80,0.68,28.8
348,Minnesota,15.18,0.81,34.7
94,Montreal,11.92,0.05,2.4
289,Colorado,14.08,0.62,28.2
266,Vancouver,12.00,0.22,8.9
98,Chicago,7.67,0.10,5.9
453,Vancouver,16.16,0.95,30.4
184,Anaheim,10.29,0.39,21.1
255,San Jose,8.45,0.48,17.8
104,NY Islanders,9.45,0.26,12.2
181,Boston,10.35,0.74,37.0
121,Washington,10.47,1.01,33.3
166,St. Louis,7.77,0.08,4.0
48,Vancouver,5.88,0.05,2.2
311,Vancouver,15.68,0.81,33.0
475,Tampa Bay,15.34,1.45,43.5
266,Winnipeg,13.32,0.65,37.3
284,Arizona,14.08,0.48,21.2
349,NY Rangers,12.52,0.61,25.5
311,San Jose,12.93,0.39,16.2
318,Nashville,12.17,0.87,39.6
287,NY Islanders,12.13,0.54,22.5
295,Minnesota,11.67,0.70,36.4
258,Anaheim,10.85,0.65,29.9
169,New Jersey,8.21,0.16,6.8
251,San Jose,10.80,0.82,35.7
167,Colorado,10.89,0.75,40.0
174,Toronto,12.03,0.50,21.5
170,St. Louis,7.46,0.08,3.3
198,Detroit,7.20,0.30,12.6
206,Nashville,9.85,0.52,28.1
64,Philadelphia,5.05,0.04,2.6
352,Minnesota,14.54,0.87,36.9
167,Carolina,10.40,0.63,26.6
303,Ottawa,15.06,0.77,32.1
141,Los Angeles,9.18,0.24,11.1
195,Winnipeg,12.79,0.48,26.5
238,Vancouver,7.76,0.41,12.9
220,St. Louis,10.52,0.36,19.2
315,Florida,14.11,0.82,35.1
179,San Jose,8.06,0.11,4.2
193,Washington,12.35,0.65,27.9
212,St. Louis,6.95,0.18,8.7
256,Carolina,11.97,0.94,34.0
403,Arizona,15.07,0.65,26.1
217,Ottawa,12.89,0.48,24.6
360,Pittsburgh,16.70,1.17,34.4
74,Montreal,7.74,0.15,6.8
297,Vancouver,11.74,0.72,27.2
169,Arizona,9.70,0.58,25.0
64,Ottawa,7.05,0.04,1.8
129,Tampa Bay,10.17,0.38,20.0
195,Washington,16.42,0.63,30.4
312,St. Louis,11.72,0.22,8.8
124,Edmonton,6.87,0.24,17.0
58,Chicago,5.60,0.04,1.6
235,Detroit,11.08,0.20,7.2
164,NY Rangers,7.99,0.20,7.9
158,Chicago,6.98,0.11,4.8
257,Calgary,9.77,0.12,5.1
449,Los Angeles,19.38,1.16,42.5
374,Chicago,15.03,0.84,30.8
55,Vancouver,6.20,0.12,6.2
280,Winnipeg,10.88,0.68,24.6
63,Edmonton,6.33,0.06,3.3
341,Minnesota,12.68,0.64,27.6
266,Colorado,11.05,0.50,23.3
252,Calgary,16.16,0.39,28.2
104,Washington,7.64,0.24,10.4
429,Winnipeg,14.47,0.84,29.6
321,Columbus,10.78,0.50,24.0
242,St. Louis,9.59,0.23,9.4
361,Vancouver,17.25,0.69,34.2
163,Anaheim,9.59,0.34,25.0
265,Arizona,12.53,0.77,32.6
281,Washington,9.83,0.59,22.7
221,Vancouver,10.09,0.15,5.0
133,Winnipeg,9.38,0.12,6.1
451,Chicago,15.04,0.92,29.3
191,Washington,8.83,0.67,24.1
254,NY Islanders,10.74,0.11,4.8
136,Montreal,7.99,0.50,26.8
408,Edmonton,18.22,0.85,31.0
340,Vancouver,14.58,0.87,35.2
296,Columbus,15.09,0.64,36.6
288,Chicago,10.40,0.11,4.0
198,Arizona,9.10,0.11,4.7
131,Dallas,6.28,0.09,3.7
205,Toronto,9.50,0.15,6.7
184,Chicago,7.86,0.12,6.5
133,Minnesota,9.51,0.58,37.8
173,Philadelphia,12.56,1.10,38.6
137,Anaheim,6.48,0.06,2.4
128,Los Angeles,5.91,0.04,2.0
381,Anaheim,13.50,0.38,23.4
258,Detroit,10.83,0.77,27.4
392,Dallas,15.52,1.05,38.9
193,San Jose,10.73,0.18,10.9
102,Minnesota,6.56,0.18,15.4
51,Nashville,5.28,0.29,11.8
302,Boston,13.44,0.58,29.3
196,Dallas,15.22,0.46,38.7
415,St. Louis,13.76,0.70,26.5
384,NY Rangers,16.55,0.68,38.9
169,Colorado,7.81,0.07,3.1
159,Washington,10.96,0.30,13.3
236,St. Louis,12.73,0.36,18.0
79,San Jose,5.40,0.03,2.0
407,New Jersey,13.47,0.71,34.8
426,NY Islanders,13.94,0.90,33.6
267,New Jersey,12.86,0.46,25.4
268,Toronto,15.54,1.08,33.0
117,Arizona,8.59,0.21,8.1
292,Anaheim,10.68,0.71,29.4
327,Colorado,11.42,0.69,30.2
71,Minnesota,6.98,0.09,6.1
128,Colorado,8.09,0.06,2.3
112,Montreal,6.45,0.12,4.4
105,Toronto,6.05,0.06,3.1
340,NY Rangers,12.72,0.83,29.9
69,Winnipeg,8.71,0.09,3.4
458,Pittsburgh,18.10,1.06,34.8
251,Anaheim,9.64,0.35,13.8
239,St. Louis,13.88,0.89,30.1
197,Boston,9.71,0.45,25.0
291,Boston,10.80,0.80,26.9
326,Buffalo,15.65,0.63,29.6
178,Detroit,8.39,0.24,8.6
316,San Jose,14.41,0.74,29.7
382,Detroit,14.76,0.72,31.2
147,St. Louis,9.55,0.98,40.6
205,St. Louis,8.32,0.36,15.6
261,Carolina,12.94,0.75,26.4
314,St. Louis,11.91,0.76,30.2
115,Florida,8.40,0.21,11.5
252,Los Angeles,10.04,0.23,9.8
149,Washington,6.01,0.07,3.2
364,NY Rangers,13.58,0.87,32.6
58,Edmonton,5.20,0.13,5.9
206,Toronto,7.48,0.57,22.9
251,Arizona,16.60,0.67,27.9
131,Los Angeles,5.33,0.07,3.2
155,Minnesota,6.70,0.09,4.8
173,Winnipeg,10.92,0.64,31.4
178,Nashville,11.05,0.55,31.1
164,Edmonton,12.17,0.70,39.0
259,Calgary,11.48,1.06,42.4
443,Pittsburgh,16.42,0.98,30.5
52,Ottawa,6.12,0.18,8.7
154,Carolina,10.30,0.39,23.8
469,San Jose,16.98,1.09,46.4
366,Edmonton,12.86,0.58,26.5
74,New Jersey,5.55,0.00,0.0
166,Montreal,7.41,0.44,21.1
165,Calgary,6.96,0.81,28.1
298,Detroit,13.81,0.73,24.6
111,Vancouver,8.23,0.09,5.0
264,Vancouver,11.83,0.53,33.3
107,Edmonton,4.54,0.11,5.0
164,New Jersey,9.66,0.27,15.7
178,Boston,13.06,0.66,23.0
170,Buffalo,7.78,0.21,8.7
308,Buffalo,13.60,0.85,32.0
294,Toronto,12.84,0.80,29.9
420,Detroit,16.47,0.88,30.5
415,Carolina,18.16,1.06,40.5
264,Minnesota,11.10,0.48,20.4
450,Nashville,18.06,0.82,33.3
281,Florida,12.79,0.63,30.6
288,Ottawa,12.14,0.51,27.8
442,Columbus,15.17,1.07,40.5
250,Columbus,9.15,0.18,9.7
233,Pittsburgh,15.62,1.55,31.4
149,NY Islanders,11.38,0.11,5.5
269,Dallas,11.46,0.29,10.3
123,Colorado,5.97,0.06,3.3
53,Philadelphia,6.33,0.18,8.7
264,Winnipeg,11.27,0.25,12.1
409,Chicago,13.44,1.26,35.4
213,San Jose,13.73,0.68,37.3
211,Tampa Bay,9.13,0.19,6.8
245,Columbus,11.53,0.46,28.1
221,Anaheim,14.70,0.39,20.4
131,Tampa Bay,7.81,0.14,6.2
201,Buffalo,12.73,0.82,31.4
177,Anaheim,12.29,0.25,9.3
230,Toronto,10.01,0.50,27.0
440,Carolina,15.37,0.76,27.0
159,Anaheim,7.93,0.13,7.1
249,Edmonton,12.63,0.77,41.5
113,Detroit,8.45,0.15,7.9
112,Minnesota,6.87,0.08,3.8
219,Nashville,9.30,0.59,38.7
81,Tampa Bay,6.74,0.15,6.3
297,Los Angeles,13.97,0.58,28.2
196,Colorado,11.57,0.57,32.7
104,Montreal,8.44,0.53,25.0
162,Anaheim,6.54,0.04,2.0
240,New Jersey,13.68,0.60,24.7
262,Carolina,10.33,0.19,7.6
294,Tampa Bay,12.79,0.77,26.8
398,Washington,14.66,0.53,25.0
285,Washington,9.99,0.27,10.8
224,Philadelphia,11.31,0.48,22.4
311,Boston,13.30,0.94,28.8
73,Calgary,5.92,0.07,3.6
189,Philadelphia,10.51,0.17,6.0
287,San Jose,10.15,0.16,6.5
414,Los Angeles,15.86,0.66,25.6
270,NY Rangers,11.14,0.62,25.2
143,Colorado,11.38,0.58,29.8
374,Arizona,12.56,0.33,13.3
175,Nashville,8.55,0.73,29.0
222,Vancouver,10.95,0.59,22.8
340,Minnesota,15.41,0.69,40.0
131,Chicago,8.09,0.50,22.6
67,Toronto,7.60,0.20,7.4
362,Calgary,15.57,0.73,30.0
273,Washington,13.22,0.44,21.1
570,Toronto,18.90,1.00,36.0
258,Carolina,12.28,0.79,30.5
340,Colorado,13.37,0.91,34.8
87,NY Rangers,8.79,0.14,7.9
206,NY Islanders,8.63,0.32,11.0
133,Boston,8.84,0.16,5.7
123,New Jersey,7.32,0.17,9.1
182,Nashville,9.29,0.75,31.0
184,Colorado,7.80,0.16,8.2
117,Nashville,8.03,0.21,9.8
83,New Jersey,6.23,0.07,3.2
145,Chicago,9.02,0.23,8.5
266,Nashville,9.69,0.71,28.3
204,NY Rangers,7.14,0.09,4.4
307,Colorado,10.03,0.63,24.4
130,Chicago,9.88,0.39,22.5
148,Carolina,9.18,0.20,8.6
89,Montreal,6.59,0.17,7.2
393,Montreal,15.31,0.75,33.7
148,Washington,9.68,0.26,9.9
200,Minnesota,10.95,0.78,31.0
234,Tampa Bay,8.22,0.07,2.3
230,Washington,9.82,0.51,21.2
274,Calgary,16.30,0.57,27.1
132,Washington,9.37,0.51,23.2
248,Pittsburgh,10.82,0.72,30.1
235,Columbus,11.98,0.68,28.4
127,Los Angeles,10.22,0.24,12.3
271,Los Angeles,12.74,0.66,30.8
144,Vancouver,9.13,0.46,24.5
66,Chicago,7.21,0.23,8.9
240,Washington,10.41,0.36,16.9
316,Florida,17.92,0.77,37.3
102,Edmonton,9.36,0.25,11.8
354,Montreal,14.40,0.92,33.3
263,Colorado,12.21,0.79,36.5
148,Columbus,10.62,0.53,25.5
132,Philadelphia,9.50,0.19,9.8
162,Philadelphia,10.22,0.16,8.9
417,Chicago,17.91,0.96,34.9
319,Boston,12.51,0.97,31.1
262,Los Angeles,13.24,0.26,18.8
