Acquired,Tm,G,Rrep,oRAR,Rbaser,oWAR
Free Agency,BAL,26,0,0,0,0.0
Amateur Draft,ANA,9,0,0,-0,0.0
Free Agency,TEX,20,0,-0,0,-0.0
Amateur Draft,TEX,4,0,0,0,0.0
Traded,TEX,5,0,0,0,0.0
Amateur Draft,CHW,32,0,0,0,0.0
Free Agency,DET,36,0,-0,0,-0.0
Amateur Draft,MIN,112,14,6,3,0.6
Free Agency,SEA,28,0,0,0,0.0
Traded,SEA,150,24,49,6,4.8
Traded,OAK,35,0,0,0,0.0
Traded,TBD,37,0,0,0,0.0
Amateur Draft,NYY,37,0,-0,0,-0.0
Amateur Free Agent,NYY,17,0,0,0,0.0
Traded,KCR,7,0,0,0,0.0
Traded,CLE,70,0,0,0,0.0
Amateur Draft,TEX,76,11,13,0,1.3
Waivers,DET,136,19,33,1,3.2
Amateur Free Agent,OAK,11,2,-5,0,-0.5
Free Agency,TBD,58,8,17,0,1.6
Traded,TOR,80,0,0,0,0.0
Amateur Draft,ANA,137,22,16,0,1.6
Amateur Draft,KCR,118,18,8,1,0.8
