Time (MST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
2:29 PM,24.8 °F,14.6 °F,17.6 °F,74%,29.97 in,6.0 mi,SE,10.4 mph,-,0.00 in,Snow,Light Snow
2:53 PM,24.1 °F,13.1 °F,18.0 °F,77%,30.10 in,8.0 mi,ESE,11.5 mph,-,0.00 in, ,Overcast
3:53 PM,23.0 °F,13.1 °F,17.1 °F,78%,30.10 in,10.0 mi,SE,9.2 mph,-, , ,Overcast
4:50 PM,21.2 °F,10.9 °F,17.6 °F,86%,29.97 in,1.8 mi,SE,9.2 mph,-,0.00 in,Snow,Light Snow
4:53 PM,21.0 °F,9.9 °F,17.1 °F,85%,30.10 in,1.5 mi,SE,10.4 mph,-,0.00 in,Snow,Light Snow
5:11 PM,19.4 °F,9.5 °F,15.8 °F,86%,29.97 in,1.2 mi,SE,8.1 mph,-,0.00 in,Snow,Light Snow
5:29 PM,19.4 °F,9.5 °F,15.8 °F,86%,29.97 in,1.8 mi,SE,8.1 mph,-,0.00 in,Snow,Light Snow
5:36 PM,19.4 °F,9.5 °F,15.8 °F,86%,29.98 in,2.5 mi,SE,8.1 mph,-,0.00 in,Snow,Light Snow
5:44 PM,19.4 °F,9.5 °F,15.8 °F,86%,29.98 in,5.0 mi,SE,8.1 mph,-,0.00 in,Snow,Light Snow
5:53 PM,19.9 °F,10.1 °F,16.0 °F,85%,30.11 in,2.5 mi,SE,8.1 mph,-,0.00 in,Snow,Light Snow
6:02 PM,19.4 °F,9.5 °F,15.8 °F,86%,29.98 in,1.5 mi,SE,8.1 mph,-,0.00 in,Snow,Light Snow
6:12 PM,19.4 °F,9.5 °F,15.8 °F,86%,29.98 in,2.5 mi,SE,8.1 mph,-,0.00 in,Snow,Light Snow
6:15 PM,19.4 °F,11.5 °F,15.8 °F,86%,29.99 in,2.5 mi,SE,5.8 mph,-,0.00 in,Snow,Light Snow
6:25 PM,19.4 °F,10.4 °F,15.8 °F,86%,29.99 in,3.0 mi,SE,6.9 mph,-,0.00 in,Snow,Light Snow
6:34 PM,17.6 °F,9.3 °F,15.8 °F,93%,29.99 in,2.0 mi,SE,5.8 mph,-,0.00 in,Snow,Light Snow
6:47 PM,17.6 °F,9.3 °F,15.8 °F,93%,29.99 in,3.0 mi,SSE,5.8 mph,-,0.00 in,Snow,Light Snow
6:53 PM,18.0 °F,9.8 °F,14.0 °F,84%,30.13 in,4.0 mi,SSE,5.8 mph,-,0.00 in,Snow,Light Snow
7:24 PM,17.6 °F,7.3 °F,15.8 °F,93%,30.00 in,4.0 mi,SSE,8.1 mph,-,0.00 in,Snow,Light Snow
7:53 PM,18.0 °F,7.7 °F,14.0 °F,84%,30.12 in,7.0 mi,SE,8.1 mph,-,0.00 in,Snow,Light Snow
8:32 PM,17.6 °F,8.2 °F,15.8 °F,93%,29.99 in,3.0 mi,SSE,6.9 mph,-,0.00 in,Snow,Light Snow
8:49 PM,17.6 °F,9.3 °F,14.0 °F,86%,29.99 in,3.0 mi,SSE,5.8 mph,-,0.00 in,Snow,Light Snow
8:53 PM,18.0 °F,11.1 °F,14.0 °F,84%,30.12 in,3.0 mi,SSE,4.6 mph,-,0.00 in,Snow,Light Snow
9:14 PM,17.6 °F,8.2 °F,14.0 °F,86%,29.98 in,4.0 mi,SE,6.9 mph,-,0.00 in,Snow,Light Snow
9:25 PM,17.6 °F,7.3 °F,14.0 °F,86%,29.97 in,5.0 mi,SE,8.1 mph,-,0.00 in,Snow,Light Snow
9:53 PM,17.1 °F,7.6 °F,14.0 °F,88%,30.10 in,9.0 mi,SE,6.9 mph,-,0.00 in, ,Overcast
10:12 PM,17.6 °F,7.3 °F,14.0 °F,86%,29.97 in,10.0 mi,SE,8.1 mph,-, , ,Overcast
10:34 PM,17.6 °F,8.2 °F,15.8 °F,93%,29.96 in,9.0 mi,SE,6.9 mph,-, , ,Mostly Cloudy
10:41 PM,17.6 °F,9.3 °F,15.8 °F,93%,29.96 in,8.0 mi,SE,5.8 mph,-, , ,Overcast
10:53 PM,17.1 °F,8.7 °F,15.1 °F,92%,30.09 in,8.0 mi,SE,5.8 mph,-, , ,Overcast
11:53 PM,16.0 °F,7.4 °F,12.9 °F,88%,30.09 in,4.0 mi,SE,5.8 mph,-,0.00 in,Snow,Light Snow
