AVG,POS,SB,RBI,R,BB,HR,AB
.187,1B,0,4,4,4,0,75
.271,3B,6,9,17,5,1,107
.174,1B,0,0,2,2,0,23
.156,C,0,2,5,2,0,45
.308,2B,2,2,3,4,0,26
.205,RF,3,18,23,12,1,127
.312,3B,5,26,19,8,3,141
.224,3B,0,17,17,10,0,165
.154,C,0,4,0,3,0,39
.257,RF,2,15,13,7,3,148
.167,LF,2,4,5,8,1,36
.195,1B,3,15,29,27,4,149
.288,LF,13,19,23,28,0,163
.194,LF,0,10,11,8,0,124
.246,CF,6,10,13,13,1,118
--,SS,0,0,0,1,0,0
.250,2B,2,5,8,6,0,88
.215,LF,2,10,14,10,1,107
.500,2B,1,0,1,2,0,4
.200,RF,1,0,1,2,0,5
.200,RF,0,4,5,5,0,40
.194,1B,4,2,7,10,0,93
.351,1B,3,15,12,18,0,97
.194,2B,2,6,12,17,1,62
.282,CF,26,10,26,20,1,142
.188,1B,0,0,3,3,0,16
.259,3B,7,19,19,10,0,139
.250,P,0,2,1,0,0,4
.271,1B,0,35,28,36,4,181
.277,SS,11,14,14,13,0,94
.261,RF,4,10,20,8,2,142
.225,2B,13,16,17,15,3,142
.260,1B,0,3,6,6,0,50
.214,3B,3,9,11,9,1,70
.222,SS,2,9,9,3,1,81
.261,SS,14,19,26,8,1,188
.271,1B,0,18,22,18,3,144
.139,LF,5,6,10,11,2,101
.333,C,0,7,4,3,1,33
.500,OF,0,0,4,1,0,10
.216,RF,1,8,15,10,1,88
.236,C,2,6,9,13,0,72
.226,2B,8,15,17,7,0,168
.175,RF,1,0,7,9,0,40
.179,3B,4,7,3,6,0,78
.273,C,0,1,0,1,0,11
.224,RF,2,8,8,9,0,85
.215,LF,11,12,16,15,0,163
.202,RF,5,2,11,9,1,94
.204,SS,3,9,20,15,0,167
.214,1B,0,3,3,3,1,28
.223,2B,8,15,27,27,2,202
.000,2B,0,0,1,0,0,7
.250,SS,1,0,1,0,0,8
.253,RF,3,24,19,18,1,158
.208,C,9,8,9,9,0,72
.289,SS,7,13,23,17,0,159
.324,C,0,2,4,5,0,37
.208,RF,2,1,9,5,1,77
.265,2B,1,5,7,11,0,68
.228,LF,2,10,12,5,0,114
.231,SS,2,12,12,13,1,104
.290,CF,9,14,16,7,1,145
.205,C,0,6,7,6,0,44
.182,CF,3,8,9,13,0,77
.333,P,0,0,0,0,0,3
.310,3B,1,10,10,2,0,87
.100,C,0,1,6,7,0,80
.333,2B,0,1,1,1,0,9
.143,C,0,2,3,6,0,28
.385,2B,0,1,2,2,0,13
.293,C,1,7,8,7,1,41
.265,RF,7,29,28,24,6,166
.182,C,0,1,0,2,0,11
.133,RF,1,3,5,3,0,60
.210,RF,6,12,18,14,4,157
.286,LF,0,5,5,1,3,14
.101,1B,0,2,2,8,0,69
.102,DH,1,3,4,3,0,49
.165,LF,1,5,3,6,0,85
.278,C,0,7,5,4,0,36
.191,C,0,3,11,13,0,89
.326,1B,0,6,5,3,0,43
.226,3B,3,30,28,24,6,190
.667,1B,0,0,1,0,0,3
.188,C,0,9,3,6,0,69
.143,1B,0,4,6,9,0,63
.154,RF,0,3,6,6,0,52
.282,LF,6,5,11,3,0,110
.133,DH,0,0,0,3,0,15
.193,C,0,1,4,6,0,57
.273,LF,0,4,5,1,1,22
.257,C,0,21,16,11,0,179
.239,3B,4,12,17,8,1,138
.279,2B,2,14,13,13,2,111
.384,3B,2,11,16,6,0,86
.182,C,1,7,8,2,0,55
.237,1B,0,3,5,8,0,38
.226,CF,11,15,21,13,3,159
.158,DH,0,2,1,0,0,19
.214,SS,1,6,4,3,2,28
.230,1B,0,6,9,7,0,87
