AB,Pos,SF,RBI,Team,AVG,SO
6,OF,0,0,LAA,0.333,1
182,3B,1,34,ATL,0.275,43
324,SS,1,25,TB,0.238,76
45,C,0,2,CIN,0.178,9
225,OF,1,14,DET,0.262,41
292,OF,0,30,NYM,0.25,73
224,SS,0,22,HOU,0.268,48
174,OF,0,23,ARI,0.259,39
146,OF,0,18,COL,0.315,35
345,3B,4,30,TEX,0.27,36
66,OF,1,7,BOS,0.152,17
232,3B,1,16,CWS,0.224,50
75,SS,0,10,HOU,0.293,16
160,OF,0,12,MIA,0.213,55
281,3B,1,20,PHI,0.249,69
308,OF,0,34,TB,0.214,122
25,OF,1,7,OAK,0.32,5
387,OF,2,27,CHC,0.243,94
400,1B,3,61,TEX,0.33,50
127,SS,2,10,ARI,0.236,26
349,1B,2,60,PHI,0.241,101
119,SS,2,12,LAD,0.277,29
12,OF,0,4,NYM,0.333,1
374,OF,2,51,BAL,0.289,59
22,OF,0,1,LAA,0.136,9
94,SS,0,1,SEA,0.17,31
23,3B,0,3,CIN,0.261,12
