Batter,Team,AB,H,AVG,2B,3B,HR,RBI,BB,K,SB,CS,SLG,OBP,OPS
Josh Thole,TOR,12,4,0.333,2,0,0,2,1,3,0,0,0.5,0.385,0.885
Elijah Dukes, ,12,3,0.25,1,0,0,2,1,3,0,0,0.333,0.308,0.641
Lastings Milledge, ,12,3,0.25,0,0,0,0,0,3,0,0,0.25,0.25,0.5
Nyjer Morgan, ,12,3,0.25,0,0,0,0,0,3,0,0,0.25,0.25,0.5
Lyle Overbay, ,12,3,0.25,1,0,0,1,4,3,1,0,0.333,0.438,0.771
Aaron Rowand, ,12,3,0.25,0,0,0,1,0,2,0,0,0.25,0.25,0.5
Justin Upton,SD,12,3,0.25,0,0,0,0,0,6,0,0,0.25,0.25,0.5
Melvin Upton Jr.,SD,12,3,0.25,1,1,1,1,1,2,0,0,0.75,0.308,1.058
Alex Gonzalez, ,12,2,0.167,1,0,0,2,0,2,0,0,0.25,0.167,0.417
Adam Kennedy, ,12,2,0.167,0,0,0,0,0,2,0,2,0.167,0.167,0.333
Laynce Nix, ,12,2,0.167,0,0,0,0,1,6,0,0,0.167,0.231,0.397
Placido Polanco, ,12,2,0.167,0,0,0,1,0,2,1,0,0.167,0.167,0.333
Mark Reynolds,STL,12,1,0.083,0,0,1,1,0,9,1,0,0.333,0.083,0.417
Nick Johnson, ,11,6,0.545,0,0,0,2,1,1,0,0,0.545,0.643,1.188
Andres Torres, ,11,6,0.545,3,0,2,4,2,2,0,0,1.364,0.615,1.979
Skip Schumaker,CIN,11,4,0.364,0,0,0,0,0,2,0,0,0.364,0.364,0.727
Danny Espinosa,WAS,11,3,0.273,0,1,0,2,0,4,0,0,0.455,0.273,0.727
Chase Headley,NY-A,11,3,0.273,1,0,0,1,3,4,0,0,0.364,0.467,0.83
Evan Longoria,TB,11,3,0.273,1,0,0,2,0,4,2,1,0.364,0.273,0.636
Ruben Tejada,NY-N,11,3,0.273,0,0,0,0,1,3,0,0,0.273,0.385,0.657
Ryan Theriot, ,11,3,0.273,0,0,0,0,1,2,0,0,0.273,0.333,0.606
Ryan Church, ,11,2,0.182,1,0,0,0,1,2,0,0,0.273,0.308,0.58
Freddie Freeman,ATL,11,2,0.182,1,0,0,2,1,3,0,0,0.273,0.231,0.503
J.J. Hardy,BAL,11,2,0.182,0,0,0,1,1,4,1,0,0.182,0.25,0.432
Corey Hart,PIT,11,2,0.182,1,0,0,0,4,6,2,0,0.273,0.4,0.673
Ben Zobrist,KC,11,2,0.182,0,0,0,0,1,3,0,0,0.182,0.25,0.432
Ian Stewart,WAS,11,1,0.091,0,0,1,1,1,8,0,0,0.364,0.167,0.53
Scott Rolen, ,10,6,0.6,2,0,0,2,0,1,0,0,0.8,0.6,1.4
Gregor Blanco,SF,10,5,0.5,0,1,0,0,2,3,0,0,0.7,0.583,1.283
Steve Lombardozzi,PIT,10,4,0.4,0,1,0,0,0,3,0,0,0.6,0.4,1.0
Russell Martin,TOR,10,4,0.4,1,0,0,1,1,1,1,0,0.5,0.5,1.0
Alex Rios,KC,10,4,0.4,2,0,1,2,0,1,0,0,0.9,0.4,1.3
Jose Tabata,LA,10,4,0.4,1,0,0,0,0,2,0,0,0.5,0.4,0.9
Joey Votto,CIN,10,4,0.4,0,0,0,2,2,3,0,1,0.4,0.5,0.9
Randy Winn, ,10,4,0.4,2,0,0,0,1,1,0,0,0.6,0.455,1.055
Jay Bruce,CIN,10,3,0.3,0,0,0,2,1,2,0,0,0.3,0.364,0.664
Bryce Harper,WAS,10,2,0.2,0,0,0,0,0,2,0,0,0.2,0.2,0.4
Omar Infante,KC,10,2,0.2,0,1,0,3,1,2,1,0,0.4,0.25,0.65
Austin Kearns, ,10,2,0.2,0,0,2,5,0,3,0,0,0.8,0.2,1.0
Buster Posey,SF,10,2,0.2,0,0,0,1,0,2,0,0,0.2,0.2,0.4
Troy Tulowitzki,TOR,10,2,0.2,0,0,0,1,0,3,0,0,0.2,0.2,0.4
Wilson Valdez, ,10,2,0.2,1,0,0,0,0,1,0,0,0.3,0.2,0.5
Eric Hinske, ,10,1,0.1,0,0,0,1,1,6,0,0,0.1,0.182,0.282
Travis Ishikawa,PIT,10,1,0.1,0,0,0,0,0,2,1,0,0.1,0.1,0.2
Will Venable,SD,10,1,0.1,0,1,0,0,4,6,0,0,0.3,0.357,0.657
