OBP,H,RBI,SB,CS,AVG,2B
0.381,7,3,0,0,0.212,0
0.329,34,9,4,2,0.266,4
0.3,20,8,0,0,0.208,7
0.323,12,3,3,3,0.222,2
0.338,30,19,9,2,0.233,5
0.341,48,18,6,3,0.241,5
0.258,22,8,1,1,0.188,10
0.345,55,28,6,3,0.291,11
0.326,28,16,1,0,0.23,9
0.291,42,18,7,9,0.202,7
0.255,15,7,8,2,0.122,2
0.382,46,22,12,3,0.235,16
0.5,4,2,0,1,0.364,0
0.346,51,25,1,3,0.254,13
0.364,33,17,2,5,0.26,9
0.316,43,25,2,2,0.25,11
0.371,28,11,1,1,0.298,10
0.378,50,18,18,5,0.254,8
0.273,2,1,2,1,0.059,0
0.292,22,10,3,2,0.196,8
0.222,1,1,0,0,0.071,0
0.346,35,28,2,2,0.227,7
0.359,57,25,8,8,0.258,14
0.316,2,1,1,0,0.143,0
0.313,30,8,1,0,0.199,7
0.279,19,8,4,2,0.171,4
0.298,22,12,1,3,0.182,3
0.31,52,30,16,9,0.232,9
0.304,20,5,0,2,0.204,2
0.307,44,11,6,7,0.22,7
0.289,14,9,0,0,0.171,2
0.285,36,18,2,1,0.216,3
0.28,14,4,1,0,0.192,3
0.357,34,11,6,4,0.236,4
0.338,42,11,1,1,0.286,4
0.214,8,3,0,0,0.195,1
0.323,21,12,6,2,0.25,5
0.31,57,16,13,5,0.225,5
0.271,19,12,2,1,0.161,2
0.25,1,2,1,0,0.167,0
0.289,55,22,4,4,0.25,11
0.407,3,0,3,0,0.158,1
0.333,60,39,9,2,0.256,11
0.333,15,9,3,1,0.2,1
0.418,84,28,19,6,0.336,15
0.349,7,3,1,2,0.2,1
0.348,38,25,6,3,0.273,13
0.352,49,13,13,6,0.246,7
0.2,1,0,0,0,0.2,0
0.25,0,0,0,1,0.0,0
0.413,54,18,9,8,0.329,7
0.314,29,10,0,1,0.259,4
0.429,45,29,16,5,0.288,9
0.284,40,18,12,4,0.204,2
0.278,62,28,18,14,0.235,10
0.378,51,28,18,3,0.313,15
0.396,72,27,14,8,0.301,14
0.286,39,16,7,5,0.214,9
0.312,34,25,4,7,0.198,4
0.31,3,2,1,0,0.136,0
0.299,62,16,19,12,0.255,7
0.232,7,4,3,2,0.117,1
0.304,21,7,6,2,0.228,3
0.318,24,4,8,2,0.247,1
0.365,23,3,11,7,0.261,3
0.375,2,0,0,1,0.286,0
0.313,50,15,4,5,0.275,5
0.275,23,10,0,1,0.23,4
0.24,43,23,0,0,0.194,3
0.291,3,2,0,0,0.071,0
0.275,8,2,0,2,0.216,2
0.364,11,7,0,0,0.208,3
0.389,20,9,4,6,0.256,2
0.377,36,13,4,3,0.273,2
0.299,47,17,2,2,0.239,10
0.353,32,14,1,2,0.225,8
0.301,21,6,0,2,0.21,2
0.295,35,6,4,2,0.223,5
0.338,52,17,14,8,0.255,8
0.267,16,7,0,1,0.195,2
0.311,8,6,1,2,0.211,0
0.436,66,20,14,11,0.292,11
0.37,48,15,12,8,0.298,9
0.378,68,20,23,7,0.305,4
0.32,36,22,17,9,0.232,4
0.302,53,28,2,1,0.236,5
0.315,45,18,4,4,0.288,8
0.333,23,13,4,3,0.19,4
0.397,75,46,16,14,0.31,15
0.422,78,28,32,10,0.333,20
0.264,40,31,1,1,0.221,8
0.357,43,27,1,2,0.246,9
0.33,22,8,0,2,0.229,4
0.375,29,17,9,7,0.248,7
0.327,19,10,3,2,0.204,2
0.278,6,0,0,1,0.133,0
