RBI,Gact,PA,SLG,BB,H,Rk,RC
16,50,167,.293,5,32,494,11
28,71,230,.335,31,45,341,22
12,35,132,.205,11,17,458,5
0,6,14,.000,1,0,372,0
54,133,555,.427,52,144,466,76
30,72,204,.492,20,60,421,36
0,7,19,.333,1,3,127,1
35,124,528,.360,35,137,422,58
10,46,119,.404,7,32,404,15
0,22,3,.667,0,2,290,1
3,31,85,.207,2,13,252,3
8,49,94,.253,14,16,410,6
2,25,54,.255,3,10,111,3
4,55,150,.279,9,34,84,12
22,67,246,.373,22,58,141,27
10,37,128,.198,10,19,151,5
13,24,78,.371,11,18,430,9
2,23,47,.150,2,5,359,1
0,1,1,3.000,0,1,6,3
38,94,341,.332,33,75,427,33
28,86,315,.356,39,78,192,36
0,7,17,.000,1,0,258,0
56,153,607,.302,21,135,399,45
65,120,501,.430,27,121,283,60
0,8,4,.000,0,0,65,0
13,72,250,.454,28,77,322,42
0,37,24,.316,4,5,390,2
11,57,188,.258,21,30,395,12
1,21,65,.143,7,8,133,2
45,110,448,.348,20,107,240,42
0,2,2,.000,0,0,12,0
0,14,10,.300,0,3,434,1
3,33,56,.089,9,4,155,1
7,40,140,.321,5,39,183,14
46,110,471,.404,37,124,119,60
39,92,336,.363,20,82,327,35
15,38,83,.437,7,22,405,12
0,4,3,.000,0,0,491,0
7,33,83,.297,5,21,506,7
9,51,138,.362,5,31,451,13
57,113,452,.439,12,132,312,61
0,6,8,.000,0,0,294,0
6,25,49,.356,2,14,288,5
67,105,391,.491,32,113,331,65
39,106,407,.298,37,81,276,32
99,146,680,.396,94,170,408,89
3,36,71,.270,3,14,21,4
47,118,469,.422,45,124,326,64
0,4,17,.000,2,0,499,0
4,42,100,.178,5,13,256,3
6,41,79,.315,4,20,415,7
0,3,8,.000,0,0,104,0
46,117,478,.337,38,111,43,46
0,44,55,.245,1,12,81,3
4,10,12,.545,1,5,161,3
7,35,98,.287,4,18,379,6
46,156,754,.339,53,172,468,70
0,5,11,.300,0,3,130,1
0,34,25,.000,1,0,242,0
4,9,10,.900,0,5,92,4
4,34,70,.281,5,15,388,5
5,40,101,.258,3,18,423,5
34,98,370,.450,31,98,193,54
4,10,38,.324,2,8,102,3
0,1,1,.000,0,0,249,0
0,1,1,.000,0,0,109,0
1,3,5,.400,0,2,412,1
0,26,26,.000,1,0,307,0
2,37,49,.116,4,5,55,1
0,30,41,.139,3,4,30,1
1,8,24,.238,3,3,187,1
1,21,21,.286,0,3,429,1
79,151,665,.422,22,188,230,86
55,149,711,.408,59,182,61,90
36,106,387,.280,62,72,343,32
0,5,11,.000,0,0,420,0
15,43,136,.285,3,27,332,8
3,38,55,.176,4,9,158,2
15,35,83,.413,3,25,246,12
35,111,420,.369,11,110,444,43
16,30,90,.300,3,18,413,6
0,3,1,.000,0,0,433,0
1,35,60,.174,8,7,299,2
4,11,41,.263,3,9,253,3
51,115,435,.483,23,139,48,74
50,108,488,.410,63,121,42,65
4,32,88,.263,9,18,467,6
7,40,67,.383,3,17,338,7
0,16,17,.250,0,4,386,1
6,32,85,.286,3,17,378,5
115,143,645,.471,31,183,309,96
6,19,76,.309,5,18,503,6
6,25,61,.373,2,19,72,7
23,37,159,.345,15,38,473,17
0,1,2,.000,0,0,245,0
14,43,199,.411,5,59,300,25
0,15,14,.000,0,0,339,0
1,28,25,.217,1,4,330,1
9,59,140,.393,5,45,148,19
0,30,29,.296,2,6,384,2
9,27,67,.422,2,16,262,7
65,151,696,.393,29,184,418,80
0,2,1, ,0,0,8,0
1,1,5,.000,0,0,93,0
15,63,197,.337,21,46,402,20
6,15,49,.233,6,9,138,3
0,3,6,.000,0,0,409,0
0,5,2,.000,0,0,145,0
3,29,34,.344,1,9,39,3
4,36,98,.245,2,19,210,5
0,6,9,.000,0,0,180,0
61,127,562,.449,56,152,176,84
2,34,72,.175,3,10,163,2
11,45,126,.336,10,31,213,13
8,46,93,.341,7,23,271,9
0,6,9,.286,2,1,66,1
22,54,150,.403,7,33,18,16
41,99,387,.344,15,105,447,40
0,3,2,.000,0,0,500,0
63,151,624,.379,38,159,185,70
1,50,71,.148,0,7,285,1
1,4,19,.389,1,5,247,2
59,148,620,.374,24,164,218,67
0,3,5,.000,0,0,335,0
10,40,125,.236,7,17,353,5
7,44,88,.195,2,15,369,3
0,4,1,.000,0,0,47,0
16,72,282,.316,22,61,53,24
4,33,86,.234,6,14,275,4
45,121,489,.394,34,132,382,60
9,37,85,.367,1,17,487,6
56,118,409,.409,31,112,424,55
