Date,Match,Result,Appearance,MINS,G,A,SHT,SOG,FC,FS,Y,R
8/30/2013,POR @ RSL,W 2-4,Unused Sub,0,0,0,0,0,0,0,0,0
8/24/2013,CLB @ RSL,W 0-4,Started,81,1,0,3,1,1,0,1,0
8/21/2013,RSL @ POR,T 3-3,Unused Sub,0,0,0,0,0,0,0,0,0
8/17/2013,RSL @ LA,L 2-4,Unused Sub,0,0,0,0,0,0,0,0,0
8/10/2013,HOU @ RSL,W 0-1,Subbed On,15,0,0,1,1,2,0,0,0
8/3/2013,RSL @ COL,T 2-2,Unused Sub,0,0,0,0,0,0,0,0,0
7/27/2013,RSL @ NY,L 3-4,Unused Sub,0,0,0,0,0,0,0,0,0
7/20/2013,KC @ RSL,L 2-1,Unused Sub,0,0,0,0,0,0,0,0,0
7/13/2013,RSL @ DAL,W 3-0,Unused Sub,0,0,0,0,0,0,0,0,0
7/3/2013,PHI @ RSL,T 2-2,Unused Sub,0,0,0,0,0,0,0,0,0
6/29/2013,RSL @ TOR,W 1-0,Started,82,0,0,1,0,0,2,0,0
6/22/2013,SEA @ RSL,W 0-2,Unused Sub,0,0,0,0,0,0,0,0,0
6/8/2013,LA @ RSL,W 1-3,Subbed On,11,0,0,1,0,0,0,0,0
6/1/2013,SJ @ RSL,W 0-3,Unused Sub,0,0,0,0,0,0,0,0,0
5/25/2013,CHI @ RSL,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
5/19/2013,RSL @ CHV,W 4-1,Started,63,0,0,1,0,1,0,0,0
5/11/2013,RSL @ MTL,L 2-3,Started,85,0,0,3,0,0,0,0,0
5/8/2013,RSL @ NE,W 2-1,Started,83,1,0,2,2,1,0,0,0
5/4/2013,VAN @ RSL,W 0-2,Started,90,0,0,0,0,0,2,0,0
4/27/2013,LA @ RSL,L 2-0,Subbed On,28,0,0,1,1,0,0,0,0
4/20/2013,CHV @ RSL,W 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
4/13/2013,RSL @ VAN,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
4/6/2013,RSL @ COL,L 0-1,Started,45,0,0,1,1,0,1,0,0
3/30/2013,SEA @ RSL,W 1-2,Started,90,0,0,2,1,0,4,0,0
3/23/2013,RSL @ DAL,L 0-2,Subbed On,17,0,0,1,1,0,1,0,0
3/16/2013,COL @ RSL,T 1-1,Subbed On,11,0,0,0,0,0,0,0,0
3/9/2013,RSL @ DC,L 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
3/3/2013,RSL @ SJ,W 2-0,Subbed On,3,0,0,0,0,0,0,0,0
