HBP,SB,AB,SO,3B,G,BB,Pos,SF
2,0,124,20,0,40,14,C,1
0,0,204,60,0,68,35,C,2
0,0,17,4,0,7,3,3B,0
4,5,292,73,8,96,29,OF,4
2,1,323,39,3,97,23,3B,0
0,0,61,12,0,24,8,C,1
1,3,135,21,1,40,8,OF,0
2,2,403,57,0,106,34,3B,2
3,14,276,87,0,75,42,OF,2
1,1,237,50,1,63,20,3B,5
1,3,183,50,4,55,16,3B,1
2,0,119,29,2,51,7,SS,2
2,4,384,71,4,101,34,1B,2
5,5,356,99,1,94,19,OF,1
0,0,36,4,1,18,3,SS,1
3,9,301,74,3,93,10,2B,1
0,1,357,48,1,98,22,C,4
2,0,112,21,0,36,17,C,0
0,0,5,3,0,6,1,1B,0
2,0,244,75,0,73,21,C,3
0,3,310,89,2,81,16,3B,2
3,0,148,41,1,66,7,SS,0
2,3,128,28,5,44,8,OF,1
0,0,6,5,0,17,2,SS,0
1,2,113,38,3,51,18,C,1
0,2,20,4,0,5,1,SS,1
6,0,98,26,0,41,9,2B,1
2,1,345,36,3,86,21,3B,4
4,0,218,62,0,74,16,2B,1
3,0,190,42,0,60,6,1B,2
1,0,97,26,1,32,4,1B,0
3,0,214,32,0,65,24,C,1
0,0,25,5,1,8,1,3B,0
0,7,177,44,2,67,14,2B,3
0,0,11,2,0,3,2,OF,0
1,0,39,7,2,14,1,SS,0
5,7,286,70,1,74,23,OF,0
2,3,324,76,4,92,22,SS,1
6,1,370,29,2,101,28,SS,0
6,9,407,100,3,103,41,2B,6
0,0,45,10,0,24,4,C,0
0,0,29,3,0,10,0,SS,0
4,0,232,50,1,70,6,3B,1
6,28,403,42,0,99,23,2B,3
2,2,217,65,2,81,14,OF,1
3,3,361,91,1,97,20,C,0
1,1,201,62,2,66,26,OF,1
0,0,15,1,0,5,1,OF,0
0,0,22,4,0,9,3,1B,0
1,17,222,55,6,69,34,OF,1
1,0,45,12,0,21,0,C,0
0,1,44,9,0,13,5,OF,0
2,1,292,73,1,82,20,OF,0
3,9,323,57,5,100,20,OF,4
0,1,101,18,0,29,3,C,0
4,3,364,81,1,99,55,3B,3
6,10,346,126,4,95,55,3B,5
0,0,5,3,0,4,0,SS,0
1,5,192,40,0,48,14,SS,2
0,0,68,14,1,20,2,SS,0
0,2,255,60,2,83,11,3B,4
0,1,235,26,2,67,33,2B,3
3,5,222,70,0,71,16,OF,0
0,1,48,6,0,19,6,3B,0
1,0,64,21,1,25,6,OF,0
4,0,380,84,1,99,28,3B,4
0,0,108,32,2,54,16,2B,0
0,0,13,7,0,6,1,OF,0
2,1,209,49,2,58,21,OF,1
0,0,30,9,0,12,4,OF,1
3,14,365,45,1,92,17,2B,1
0,0,72,25,0,41,8,2B,0
0,0,190,36,0,64,21,1B,2
2,0,64,12,1,46,1,2B,0
