FGA,3PA,BPG,FTA,#,PPG,PF,FGM,FTM
56.1,22.5,3.5,17.6,39,72.4,19.7,26.1,12.3
51.6,21.5,2.6,17.8,82,64.7,18.9,22.5,11.7
49.4,17.1,2.1,16.9,268,60.4,16.5,21.6,11.2
50.7,16.7,1.9,16.9,122,62.0,18.2,22.2,11.9
53.3,17.4,1.9,17.8,102,63.0,18.6,21.9,13.3
57.1,15.7,2.9,18.1,167,69.2,17.6,25.0,13.4
61.2,20.0,5.0,21.5,24,73.7,20.3,26.6,14.4
51.2,16.1,4.1,22.3,239,66.3,16.9,22.8,15.1
52.4,16.3,4.4,18.0,207,63.0,17.2,22.4,12.6
54.9,21.6,1.8,14.5,245,67.8,16.8,24.6,10.6
54.0,22.1,1.3,19.7,264,64.0,16.5,21.7,13.3
55.6,15.5,2.7,19.6,21,68.1,20.3,24.3,14.2
59.4,14.3,4.3,19.6,101,71.6,18.6,26.5,14.1
52.2,18.2,1.4,17.7,161,59.6,17.7,21.2,11.8
57.2,14.6,5.3,21.6,284,71.8,16.2,25.8,15.4
57.8,16.9,2.5,21.3,7,66.9,21.1,22.7,15.8
54.4,16.5,3.0,19.6,78,63.4,19.0,22.3,13.0
55.1,17.6,3.8,17.7,339,70.0,14.1,25.5,12.5
50.2,18.5,2.2,18.1,184,60.0,17.4,20.9,12.4
49.5,15.6,2.9,21.9,158,67.1,17.7,22.8,16.1
52.5,16.9,1.3,19.5,153,67.0,17.7,23.5,13.5
57.6,17.4,4.1,18.8,23,64.4,20.3,23.2,12.7
54.2,16.9,5.1,19.3,124,65.4,18.2,22.9,13.5
55.1,14.3,2.4,18.1,269,68.9,16.5,25.0,13.4
52.9,19.3,2.7,18.5,242,62.8,16.8,21.2,13.9
53.1,16.6,3.9,22.4,127,66.3,18.1,22.8,15.5
50.0,16.4,2.0,20.0,285,64.3,16.1,21.7,14.7
54.4,19.7,4.1,18.9,211,68.2,17.2,23.8,13.5
49.3,14.9,2.8,22.1,281,63.5,16.2,21.5,15.7
57.6,16.9,3.3,20.9,152,62.1,17.8,21.7,13.7
57.2,16.0,3.2,20.8,66,68.2,19.2,24.2,14.6
51.4,18.1,2.4,23.9,206,65.2,17.2,21.9,15.6
52.3,16.9,3.0,22.2,99,67.1,18.7,22.5,16.2
54.1,23.0,4.4,16.3,136,64.6,18.0,22.7,11.3
58.9,19.7,4.5,21.5,221,76.0,17.1,27.1,14.9
54.4,14.6,3.5,16.5,92,59.6,18.8,22.5,9.8
55.9,22.1,2.7,18.3,118,76.8,18.3,27.5,13.4
58.2,13.4,3.3,18.8,95,69.2,18.8,25.9,13.3
56.9,19.7,2.2,16.8,26,63.5,20.2,23.2,10.6
51.2,17.3,1.8,13.2,322,62.1,15.3,23.1,9.9
55.3,17.4,2.7,22.2,304,77.0,15.7,27.5,15.7
53.9,16.5,3.8,20.3,308,68.0,15.6,23.9,14.3
49.2,11.8,2.8,19.9,271,55.0,16.5,19.7,11.9
55.2,13.3,3.8,20.9,267,71.0,16.5,25.4,15.4
55.5,14.2,2.8,20.3,31,63.9,19.8,23.0,13.5
50.0,17.5,2.5,15.7,249,61.2,16.8,22.2,10.4
51.2,18.6,2.6,17.1,103,62.4,18.6,21.6,12.8
61.1,20.1,4.3,18.4,283,72.9,16.2,26.2,13.5
49.7,16.3,2.5,15.3,337,57.8,14.4,20.5,10.9
54.8,17.7,3.6,25.1,260,78.6,16.6,26.4,18.7
