RC,HR,BB,3B,PA,AB,H
5,0,1,1,98,94,19
94,3,23,22,543,505,174
0,0,0,0,5,5,0
0,0,0,0,3,3,0
0,0,0,0,14,14,0
9,0,3,1,107,103,27
32,0,32,5,345,299,75
2,0,0,0,28,28,8
0,0,0,0,3,3,0
0,0,0,0,1,1,0
83,7,28,18,691,643,181
43,2,20,6,427,395,106
42,0,20,4,448,408,107
0,0,0,0,16,15,0
1,0,4,0,57,46,5
0,0,0,0,2,2,0
20,0,21,1,197,169,46
16,1,19,1,236,214,45
65,2,63,7,488,407,121
6,0,5,1,78,72,17
2,0,0,0,37,35,8
0,0,0,0,1,1,0
1,0,1,0,22,20,4
38,7,29,1,417,376,91
1,0,1,0,44,43,6
2,0,4,0,24,19,5
73,2,36,20,668,620,161
83,11,36,14,538,478,148
72,10,46,13,455,402,118
6,2,4,0,86,81,16
63,3,38,5,628,574,156
0,0,0,0,8,7,0
50,1,29,9,470,425,119
1,0,0,0,3,3,2
0,0,0,0,2,2,0
1,0,3,0,55,46,6
54,5,47,7,432,367,102
4,1,3,0,83,76,14
18,0,23,3,248,214,50
113,23,64,11,645,570,176
55,3,32,2,481,430,127
118,12,67,17,691,597,197
1,0,3,0,42,38,5
3,0,3,0,41,38,9
47,2,27,4,638,590,143
7,0,5,0,83,74,21
1,0,0,1,32,31,5
0,0,0,0,14,14,0
12,1,6,2,114,106,26
3,0,2,1,38,34,8
7,0,3,3,86,80,19
4,0,3,0,28,25,9
76,5,52,11,555,489,144
13,1,3,0,123,117,32
0,0,0,0,1,1,0
45,2,22,4,519,478,125
4,1,6,0,86,77,14
103,1,46,14,733,666,214
88,9,50,19,681,607,170
2,0,3,0,35,32,7
5,2,11,0,132,112,17
1,0,0,0,11,10,3
7,0,4,1,82,73,19
4,0,3,1,71,63,14
0,0,2,0,7,5,0
33,3,33,0,341,295,75
107,6,89,7,695,574,193
50,3,36,5,560,508,128
54,3,31,10,370,327,98
3,1,3,0,62,53,9
8,1,10,0,67,55,16
65,8,32,7,391,350,113
0,0,0,0,6,6,0
74,5,46,9,616,536,151
19,2,12,2,125,110,35
20,3,26,1,138,110,29
47,8,39,10,479,414,99
56,7,26,4,437,399,116
35,6,17,3,312,288,76
96,18,33,11,651,589,173
0,0,0,0,2,2,0
3,0,6,0,49,43,9
4,0,2,0,63,57,13
6,2,2,2,39,37,10
8,1,12,1,191,172,28
0,0,1,0,24,21,0
0,0,0,0,3,3,0
3,0,1,1,56,50,11
28,2,16,3,388,366,84
0,0,0,0,8,8,0
3,0,4,0,45,38,10
17,0,5,2,115,109,37
27,0,16,5,251,233,66
35,5,22,1,335,305,80
21,5,18,2,189,171,41
8,0,17,2,124,104,20
65,5,48,6,547,487,138
28,2,19,4,327,299,72
21,1,7,3,135,127,41
5,1,3,0,101,93,18
0,0,0,0,1,1,0
12,1,3,0,83,80,25
0,0,2,0,17,13,0
5,0,2,0,49,45,14
1,0,0,1,71,61,7
87,5,76,7,678,577,169
58,1,40,10,579,530,137
0,0,0,0,1,1,0
58,7,17,5,405,376,117
0,0,0,0,2,1,0
7,0,3,0,63,60,18
6,3,1,1,85,79,17
66,1,61,3,467,390,129
4,0,1,1,76,71,15
11,2,2,1,31,28,12
0,0,0,0,3,3,0
46,2,38,4,478,415,111
1,0,4,0,38,33,5
0,0,0,0,1,1,0
69,2,47,8,638,581,161
22,1,21,2,180,156,43
0,0,0,0,16,16,0
69,1,16,7,645,613,180
1,0,0,0,8,8,3
1,0,0,0,13,12,3
1,0,2,0,11,8,3
70,5,27,4,514,479,148
64,4,45,5,469,398,124
1,0,0,1,21,21,3
4,1,3,1,70,65,12
2,0,4,0,55,51,9
7,1,3,2,65,60,15
67,6,24,6,620,578,164
28,1,26,3,326,290,69
32,0,18,5,280,248,69
0,0,4,0,14,9,0
39,4,15,1,379,354,96
2,0,2,0,100,90,12
1,0,0,0,3,3,2
0,0,0,0,5,5,0
3,0,2,1,64,60,11
60,9,27,8,501,437,121
1,0,4,0,46,40,5
0,0,0,0,4,4,0
0,0,0,0,3,3,0
0,0,0,0,12,12,0
0,0,0,0,5,4,0
0,0,0,0,3,3,0
0,0,0,0,1,1,0
72,2,54,3,666,587,164
