Points/60,Team,Points,G/60,A/60,iFenwick/60,GP,FirstA/60
1.32,Philadelphia,51,0.60,0.73,7.55,198,0.57
0.63,Boston,34,0.15,0.49,9.17,190,0.26
1.32,Buffalo,58,0.46,0.87,7.52,204,0.57
1.96,Tampa Bay,76,0.77,1.19,10.06,168,0.77
0.93,Vancouver,30,0.25,0.68,7.42,162,0.37
1.48,Philadelphia,33,0.63,0.85,8.49,123,0.54
1.98,Boston,51,0.66,1.32,9.99,118,0.82
1.59,Minnesota,66,0.41,1.18,9.99,174,0.60
0.44,New Jersey,19,0.12,0.33,5.03,146,0.16
2.01,Columbus,92,1.07,0.94,12.39,191,0.61
2.01,San Jose,94,1.09,0.92,13.59,207,0.66
1.47,Ottawa,49,0.69,0.78,10.80,153,0.42
1.02,Buffalo,22,0.42,0.60,9.40,139,0.42
1.23,Los Angeles,39,0.60,0.63,9.24,205,0.41
2.03,Washington,107,0.93,1.10,15.32,204,0.74
1.53,Colorado,43,0.68,0.85,12.85,118,0.43
1.96,Washington,78,0.58,1.38,8.97,166,0.70
0.55,Ottawa,14,0.04,0.51,4.21,97,0.19
1.33,Vancouver,48,0.69,0.64,13.28,156,0.36
0.62,Calgary,27,0.09,0.53,4.35,161,0.12
2.42,Ottawa,86,0.87,1.55,11.86,147,1.10
1.81,Washington,75,0.51,1.31,7.35,180,0.60
0.36,Vancouver,8,0.05,0.32,3.17,92,0.09
1.75,Florida,73,0.82,0.94,10.22,174,0.62
1.50,Minnesota,60,0.48,1.03,8.45,193,0.73
0.73,Calgary,43,0.12,0.61,6.70,203,0.27
0.65,NY Rangers,14,0.09,0.55,4.75,90,0.09
1.37,Arizona,51,0.48,0.89,11.25,164,0.46
1.61,Anaheim,71,0.54,1.06,5.41,196,0.43
2.14,Chicago,92,0.84,1.30,11.43,186,0.70
1.11,Edmonton,38,0.44,0.67,7.28,159,0.35
2.26,Boston,100,0.79,1.47,11.93,203,0.92
2.11,Carolina,111,0.76,1.35,11.78,210,0.93
1.78,Arizona,85,0.65,1.13,11.89,199,0.65
1.89,Los Angeles,78,1.16,0.73,15.26,183,0.36
1.57,Columbus,72,0.50,1.07,8.55,209,0.57
2.11,Boston,91,0.97,1.14,14.07,203,0.67
2.32,Detroit,96,0.73,1.60,10.16,173,0.94
0.67,Dallas,15,0.09,0.58,5.29,93,0.18
1.23,Chicago,44,0.42,0.81,6.43,188,0.62
1.34,Minnesota,46,0.61,0.73,9.43,187,0.41
1.58,Detroit,52,0.45,1.12,10.42,173,0.85
1.31,Chicago,30,0.39,0.91,8.31,178,0.57
1.35,Philadelphia,29,0.65,0.70,8.92,109,0.42
0.61,Tampa Bay,18,0.03,0.58,4.73,127,0.20
0.99,Washington,59,0.27,0.72,6.69,211,0.32
0.73,San Jose,40,0.11,0.62,5.11,196,0.24
1.77,San Jose,65,0.82,0.95,9.30,198,0.46
0.80,Los Angeles,49,0.23,0.57,6.39,201,0.31
0.52,Calgary,14,0.07,0.45,3.89,104,0.15
0.36,Detroit,12,0.09,0.27,7.11,129,0.15
0.60,Philadelphia,34,0.12,0.48,6.21,196,0.28
1.35,Florida,58,0.51,0.84,9.74,208,0.51
0.89,Anaheim,26,0.34,0.55,7.57,184,0.38
0.80,Winnipeg,39,0.25,0.55,7.99,169,0.14
1.01,Pittsburgh,30,0.23,0.77,7.72,210,0.34
0.76,Philadelphia,29,0.16,0.60,4.26,148,0.26
1.09,Calgary,27,0.16,0.93,7.53,120,0.28
0.44,Tampa Bay,12,0.15,0.29,4.38,121,0.11
0.60,Arizona,25,0.19,0.41,6.41,164,0.24
4.18,Pittsburgh,100,1.55,2.63,12.61,99,1.75
0.60,Montreal,25,0.12,0.48,3.83,158,0.22
0.80,Winnipeg,27,0.21,0.59,5.44,138,0.30
1.55,New Jersey,85,0.71,0.84,10.23,195,0.56
0.87,Chicago,54,0.21,0.66,5.64,207,0.24
0.45,Vancouver,11,0.12,0.33,3.39,110,0.21
0.94,Winnipeg,29,0.39,0.55,7.86,196,0.39
0.65,Buffalo,25,0.10,0.55,4.16,151,0.13
0.84,Boston,42,0.20,0.64,6.34,190,0.22
1.90,Philadelphia,83,0.94,0.96,11.15,196,0.53
1.28,Chicago,31,0.50,0.78,6.86,125,0.41
0.84,Montreal,18,0.05,0.79,6.68,107,0.33
1.42,Boston,39,0.44,0.99,11.21,135,0.44
1.80,Washington,47,0.65,1.15,10.13,131,0.58
1.10,Calgary,31,0.39,0.71,12.44,199,0.50
1.36,Florida,36,0.91,0.45,13.92,135,0.19
1.12,Columbus,39,0.46,0.66,9.18,177,0.31
1.16,Tampa Bay,71,0.07,1.09,5.19,212,0.49
2.21,Dallas,95,0.77,1.44,8.54,189,1.09
1.53,Florida,52,0.56,0.97,9.44,150,0.50
1.16,Ottawa,42,0.53,0.64,10.84,184,0.30
1.98,Winnipeg,94,0.97,1.01,15.91,195,0.67
0.60,Chicago,32,0.11,0.49,4.45,195,0.22
1.14,Nashville,29,0.55,0.59,9.06,140,0.31
0.69,New Jersey,37,0.08,0.62,4.43,186,0.23
1.20,Winnipeg,48,0.47,0.72,8.30,194,0.37
0.76,NY Islanders,40,0.11,0.64,7.14,183,0.19
1.42,Nashville,65,0.87,0.55,9.49,192,0.35
1.55,Colorado,72,0.69,0.86,9.43,193,0.49
0.55,Arizona,26,0.13,0.42,5.75,175,0.25
0.96,Colorado,27,0.57,0.39,9.62,194,0.14
0.56,Colorado,27,0.12,0.43,6.48,181,0.21
1.40,New Jersey,47,0.60,0.81,10.37,166,0.51
0.74,NY Islanders,17,0.26,0.48,6.67,84,0.26
1.38,Edmonton,48,0.77,0.60,9.70,187,0.23
1.22,New Jersey,45,0.46,0.76,10.01,185,0.38
1.29,San Jose,41,0.47,0.82,9.54,156,0.53
1.84,Vancouver,68,0.87,0.97,12.06,174,0.49
1.66,Pittsburgh,64,0.62,1.04,8.21,191,0.62
0.58,Ottawa,32,0.11,0.47,5.49,210,0.15
0.73,Edmonton,32,0.09,0.64,6.13,156,0.34
1.73,Tampa Bay,53,0.65,1.08,9.06,146,0.59
1.37,Nashville,47,0.52,0.84,7.92,174,0.50
1.36,Chicago,48,0.62,0.74,7.51,172,0.54
0.81,Columbus,29,0.19,0.61,5.67,140,0.19
1.34,Pittsburgh,63,0.19,1.14,8.01,168,0.57
0.95,Columbus,21,0.50,0.45,7.50,170,0.36
1.44,Winnipeg,69,0.56,0.88,10.02,206,0.46
1.59,Los Angeles,79,0.66,0.92,11.88,210,0.58
1.36,Edmonton,31,0.70,0.66,9.67,145,0.44
0.99,Dallas,39,0.58,0.41,8.07,204,0.25
0.56,Arizona,26,0.11,0.45,6.09,169,0.21
1.41,NY Islanders,55,0.62,0.80,6.60,188,0.41
0.17,Pittsburgh,5,0.00,0.17,3.61,119,0.10
0.55,Tampa Bay,19,0.14,0.40,5.31,142,0.14
2.03,Chicago,80,0.96,1.07,14.71,203,0.71
1.33,Montreal,52,0.90,0.43,11.52,183,0.31
1.21,Boston,38,0.54,0.67,13.08,205,0.45
1.32,NY Rangers,53,0.72,0.60,9.37,197,0.37
2.12,NY Rangers,105,0.87,1.25,10.33,200,0.75
2.19,Washington,52,1.01,1.18,7.57,137,0.84
2.22,Los Angeles,104,0.75,1.48,14.01,203,0.73
0.44,Minnesota,10,0.18,0.27,5.63,174,0.13
0.49,Philadelphia,15,0.16,0.33,7.37,148,0.13
0.88,Dallas,23,0.46,0.42,11.03,165,0.27
1.80,Nashville,68,0.82,0.98,15.06,179,0.56
0.76,Carolina,27,0.20,0.56,6.46,123,0.31
1.47,Florida,61,0.65,0.82,7.03,173,0.43
2.01,New Jersey,92,0.70,1.31,9.03,210,0.83
1.65,Nashville,74,0.71,0.94,7.86,190,0.62
1.85,Carolina,68,0.79,1.06,9.61,152,0.71
0.35,Washington,13,0.05,0.30,2.61,151,0.16
0.95,Winnipeg,43,0.22,0.73,4.37,156,0.40
0.60,Pittsburgh,26,0.14,0.46,6.48,178,0.16
0.94,Washington,32,0.26,0.67,6.45,142,0.41
0.86,Tampa Bay,23,0.26,0.60,10.22,164,0.30
1.91,Dallas,89,1.05,0.86,11.43,210,0.45
1.75,Carolina,65,0.94,0.81,9.27,184,0.46
0.55,NY Rangers,24,0.07,0.48,4.71,144,0.21
1.38,Colorado,49,0.62,0.76,11.41,174,0.59
