FOW,FO,S/G,Player,TOI/G,№,PPG
650,1162,2.4,Vasicek Josef,19:36,63,14
2,3,1.4,Panarin Artemy,12:52,72,3
40,77,2.3,Kukumberg Roman,14:54,14,5
2,6,1.0,Ostapchuk Sergei,8:15,24,0
2,9,1.4,Savchenko Filipp,13:50,91,0
29,80,3.6,Kuznetsov Evgeny,14:12,92,5
325,630,1.0,Brylin Sergei,13:42,18,0
0,0,-,Fakhrutdinov Marat,5:38,77,0
2,6,2.7,Linglet Charles,18:47,7,8
525,919,1.8,Stumpel Jozef,18:52,15,4
7,20,1.2,Krysanov Alexander,15:28,80,2
1,6,3.0,Sushinsky Maxim,17:47,33,5
4,21,2.7,Perezhogin Alexander,14:26,37,8
0,0,0.3,Alshevsky Yaroslav,4:48,88,0
21,59,1.9,Kulakov Alexander,14:59,11,2
25,54,2.1,Lapenkov Evgeny,13:07,95,2
4,9,2.6,Weinhandl Mattias,16:10,80,3
3,9,1.1,Vorontsov Alexei,9:36,54,0
0,5,1.0,Velichkin Igor,9:07,31,0
19,39,1.9,Demitra Pavol,18:58,38,3
59,162,0.6,Spiridonov Andrei,8:22,23,0
0,2,0.7,Shitikov Dmitry,8:03,23,0
2,3,1.3,Kazionov Denis,10:58,41,0
1,4,2.3,Musatov Igor,10:32,15,0
7,12,2.0,Chernikov Alexander,16:27,37,7
13,28,1.1,Stepanov Alexander,12:15,30,0
73,143,3.7,Cervenka Roman,19:28,10,13
0,0,1.0,Popov Vitaly,5:44,25,0
11,20,1.3,Kulyomin Vyacheslav,13:40,95,0
4,16,0.3,Kazakovtsev Nikolai,6:16,90,0
12,21,2.1,Ling David,15:23,18,0
37,80,1.6,Trubachyov Yury,16:56,10,1
37,80,2.0,Netik Tomas,12:34,71,1
87,166,0.7,Kucheryavenko Alexander,9:03,15,0
1,3,2.1,Parshin Denis,19:14,27,7
0,0,1.0,Zdunov Pavel,7:35,42,0
9,31,2.5,Demagin Sergei,13:19,59,3
121,241,2.4,Rolinek Tomas,16:46,60,3
4,13,1.9,Lesnukhin Sergei,14:06,26,2
272,682,2.2,Popov Andrei,14:41,9,1
8,28,1.6,Tarasov Dmitry,14:22,17,0
51,102,0.5,Goroshansky Alexander,6:33,23,0
90,168,1.0,Malyshev Anton,8:58,35,0
4,24,2.3,Skorokhodov Igor,14:16,23,8
7,19,0.8,Pronin Nikolai,13:58,7,0
0,0,1.2,Klopov Dmitry,9:24,9,0
2,3,2.3,Aaltonen Juhamatti,15:08,50,3
247,526,1.1,Medvedev Alexei,13:44,58,1
0,0,3.7,Satan Miroslav,17:16,80,1
0,1,0.5,Polozov Kirill,6:17,71,0
