#,DRB,ORB,FTM,3PM,GP
337,18.5,6.8,11.6,6.8,34
371,24.5,7.7,14.0,8.5,55
660,19.3,9.1,12.8,5.8,36
352,19.1,8.7,12.1,5.6,33
107,24.4,10.7,15.0,7.4,36
52,27.3,8.4,16.3,8.2,69
576,24.1,10.3,14.9,8.2,52
193,20.5,5.9,11.3,6.4,34
653,22.2,7.8,13.5,9.4,30
498,22.7,7.9,13.9,9.0,69
353,21.1,7.8,12.3,7.4,38
376,22.7,12.5,15.3,8.2,34
776,24.0,10.8,12.3,8.2,53
691,25.0,8.3,14.0,8.3,3
377,22.4,10.0,16.4,9.1,38
355,27.4,14.4,18.9,6.2,17
191,23.1,9.1,16.1,7.0,79
159,22.4,8.0,15.2,7.1,42
670,21.8,12.8,16.5,7.2,4
526,24.7,11.1,15.2,7.6,38
190,26.7,10.1,16.8,5.1,31
616,21.9,9.6,11.5,9.9,44
488,23.8,10.8,18.0,6.8,30
559,22.7,12.3,11.3,6.2,33
141,24.4,9.1,15.3,6.1,37
625,22.7,7.3,14.0,6.5,36
796,25.6,9.0,16.5,5.5,31
221,19.2,7.3,12.9,7.4,28
814,23.5,11.0,17.0,5.5,2
542,24.2,10.8,16.0,6.4,52
623,24.6,9.8,16.6,4.1,34
36,25.3,13.0,12.6,11.5,19
446,25.4,11.6,10.3,5.5,22
130,24.2,10.7,18.1,6.0,26
618,21.9,7.8,13.4,7.3,37
412,21.7,9.9,11.4,5.7,62
302,20.3,9.5,13.3,6.4,47
62,25.9,11.6,15.4,5.2,16
592,24.8,9.0,17.4,8.5,58
362,22.7,8.3,16.7,7.7,18
595,21.8,12.8,15.8,7.3,6
761,26.2,9.1,14.9,6.8,26
585,25.6,9.2,16.3,5.7,38
275,29.6,14.3,9.4,3.6,21
413,24.4,9.7,14.0,6.6,43
637,23.5,10.1,13.7,7.2,22
664,20.0,7.5,11.9,7.7,26
71,22.2,10.4,13.1,6.2,20
261,22.3,8.6,15.7,7.3,44
108,24.2,9.0,12.8,7.1,30
822,0.7,0.7,18.3,7.0,3
61,27.8,13.7,17.0,7.5,17
34,33.5,12.5,23.9,8.0,47
575,25.2,9.1,16.5,8.2,53
779,31.0,16.2,13.8,3.5,21
231,19.5,9.4,14.1,7.4,26
648,20.0,7.8,9.1,8.1,26
679,23.1,9.6,13.2,7.5,42
784,25.4,12.6,14.7,4.7,16
757,20.9,10.4,12.9,5.2,34
515,20.3,8.8,14.1,5.5,44
137,23.9,9.6,15.8,7.5,56
468,21.8,7.3,13.3,7.1,28
651,21.2,8.0,15.4,5.3,30
114,23.6,9.2,13.1,9.5,38
609,24.1,10.2,12.7,5.3,26
459,18.6,11.4,11.9,7.6,27
730,22.7,9.9,17.2,7.8,33
35,30.2,12.0,15.9,8.7,42
568,19.2,5.2,9.5,3.8,4
188,23.5,9.2,12.2,7.9,46
19,31.3,11.7,18.9,7.7,35
206,20.6,9.0,14.1,9.4,35
517,22.3,9.4,14.6,6.7,36
461,25.5,7.2,15.0,6.1,26
296,21.3,10.0,14.2,7.6,30
126,26.7,11.6,14.4,7.1,30
819,0.0,0.0,19.2,8.5,4
346,21.2,8.5,14.8,8.3,34
209,23.4,10.5,14.7,6.9,62
674,29.0,12.0,11.5,6.0,2
163,23.4,9.4,15.3,10.5,40
239,22.5,8.0,15.0,5.7,26
277,23.0,9.0,15.8,7.8,29
406,18.5,9.8,13.4,7.0,21
215,21.8,8.1,14.8,5.5,37
182,20.7,8.1,14.0,7.8,34
491,22.9,10.6,9.9,5.4,57
152,20.8,8.4,13.7,7.3,30
234,21.6,9.1,12.7,7.2,26
396,23.4,7.9,15.1,6.0,40
717,18.8,6.6,14.8,5.8,17
629,23.4,10.6,14.6,6.8,30
132,22.6,7.2,16.2,5.0,26
367,20.2,8.1,14.8,7.6,28
476,23.4,10.3,17.7,5.7,29
484,23.4,8.2,12.2,9.8,30
490,23.1,9.0,13.5,5.8,30
479,22.1,9.3,13.4,8.4,34
76,21.0,9.6,16.1,7.5,34
541,22.6,8.3,13.6,4.6,22
162,23.2,9.6,17.0,6.7,30
303,22.4,9.1,14.4,6.3,30
263,21.0,8.8,15.8,7.6,28
124,21.7,8.3,12.6,8.5,42
774,25.5,11.3,14.6,5.7,32
773,22.9,9.2,18.5,6.9,37
14,31.9,14.8,17.6,6.6,47
422,20.8,9.4,15.1,5.9,61
666,22.0,12.3,14.9,5.5,32
324,21.9,7.9,15.8,7.1,55
768,20.8,8.9,13.0,7.9,43
522,23.7,9.2,16.6,4.1,36
546,26.5,8.9,14.2,6.8,31
398,20.5,8.9,10.8,7.6,19
614,24.8,9.2,16.0,8.0,47
127,23.9,7.4,20.7,4.4,9
473,23.7,13.5,13.8,7.3,33
192,29.6,10.1,18.6,7.9,34
677,23.3,10.0,14.9,5.5,33
799,23.7,11.5,13.5,7.7,31
497,25.8,8.5,16.2,7.7,48
295,22.5,9.2,13.5,6.8,30
167,24.3,10.4,14.7,4.5,31
118,24.2,11.4,10.4,6.9,8
812,18.0,7.0,25.0,8.0,1
253,23.3,9.7,13.8,6.1,25
33,25.5,9.6,18.4,6.7,32
291,22.6,10.3,14.0,6.0,30
343,22.9,11.7,15.1,6.5,34
78,22.5,9.1,15.8,5.7,28
503,23.2,9.9,17.4,5.4,34
644,22.6,9.1,14.8,5.5,39
170,21.4,9.4,16.6,6.8,42
45,27.7,12.0,15.6,11.3,40
287,21.4,8.9,14.6,10.4,45
30,33.3,15.4,17.8,5.4,49
251,26.7,9.9,15.0,6.2,52
194,21.2,8.6,14.8,8.2,34
735,25.1,12.2,14.0,6.3,16
431,24.3,10.4,15.5,8.1,71
293,23.5,7.4,11.9,4.8,30
655,22.4,7.6,14.2,7.1,37
654,28.0,8.0,15.0,2.3,3
562,25.3,12.3,17.9,7.7,36
222,22.2,10.6,13.1,6.8,38
549,27.1,10.1,15.3,7.3,18
403,22.2,9.1,11.5,4.6,42
294,22.4,10.3,13.8,5.0,30
553,21.9,8.2,12.5,9.4,34
95,23.4,9.8,15.8,7.0,37
505,23.9,8.9,15.4,4.5,34
281,24.5,9.4,13.9,7.0,48
464,27.9,12.8,11.9,10.3,35
288,22.6,10.0,15.3,7.9,38
665,22.1,7.6,16.8,6.3,44
122,22.4,10.0,17.2,7.9,49
561,19.9,6.5,12.6,7.6,27
583,23.9,8.7,16.1,7.4,49
728,25.6,10.3,15.2,7.1,40
102,25.5,9.5,14.5,6.9,27
474,24.0,10.9,14.1,5.2,36
633,23.0,10.5,9.2,7.2,4
764,21.4,7.7,15.3,8.4,51
777,27.6,7.8,13.5,5.6,21
106,23.2,8.5,15.4,6.9,22
68,24.3,9.1,12.6,6.1,38
496,24.0,9.4,15.7,8.1,55
806,22.7,8.9,16.2,6.0,39
612,18.5,8.2,15.7,6.8,37
494,22.5,8.8,12.3,7.4,31
257,23.5,9.5,15.2,7.6,41
338,21.7,8.7,14.7,6.9,34
332,31.4,12.4,16.1,8.7,30
719,20.8,8.1,10.4,6.6,54
740,23.8,9.3,14.7,7.4,39
50,25.5,11.4,15.7,6.8,51
458,23.4,8.4,13.2,8.3,27
240,22.5,9.5,12.8,8.4,34
803,24.1,11.4,9.9,5.6,21
224,25.3,7.8,18.1,7.2,34
554,24.5,8.2,12.8,8.6,40
366,24.1,9.4,14.5,8.6,52
244,26.2,10.2,13.4,7.5,65
611,21.9,12.4,13.4,5.9,29
762,21.0,10.1,16.5,5.9,36
705,22.7,11.4,11.7,6.9,32
135,24.3,8.6,14.9,9.1,32
596,19.7,10.0,22.3,4.7,3
617,20.8,6.9,11.4,7.3,26
610,24.0,9.7,15.1,9.0,35
241,23.9,8.3,13.0,7.1,79
259,24.1,12.5,15.7,6.0,35
172,22.3,10.1,16.1,6.9,37
336,22.1,10.3,12.2,6.4,36
133,24.7,7.3,17.1,6.7,26
430,21.4,8.7,15.7,6.3,27
329,22.7,9.5,16.0,6.8,49
667,25.0,11.2,11.0,8.3,46
399,23.5,8.5,15.7,7.1,64
175,21.6,10.2,11.8,6.6,33
74,27.2,10.7,18.5,7.4,22
567,20.9,7.1,14.9,6.4,34
586,24.7,8.8,12.3,5.3,41
322,23.7,13.9,13.6,7.8,32
256,21.8,10.0,14.0,6.2,22
463,24.6,9.7,15.6,5.9,42
656,26.2,12.2,10.5,6.1,32
388,18.9,8.3,13.1,6.4,21
77,20.8,11.4,11.5,3.5,22
589,25.6,8.8,14.6,8.3,27
481,24.8,9.6,16.0,6.6,34
85,23.7,8.2,14.8,9.4,31
254,25.1,9.0,15.7,7.6,44
530,20.5,9.7,12.9,5.1,36
7,31.3,13.2,21.4,8.2,48
156,19.6,8.7,11.8,5.7,30
782,21.7,7.4,12.1,7.8,36
811,29.0,9.0,24.0,6.0,2
720,23.1,11.4,11.8,4.6,60
800,22.5,10.0,13.0,6.7,22
627,24.0,8.6,16.5,6.5,42
48,27.6,9.1,15.1,7.1,58
533,23.6,9.8,14.8,5.6,39
405,23.8,9.6,9.6,5.5,42
747,24.2,9.0,14.8,6.0,32
590,22.2,9.3,11.2,7.1,44
525,20.8,10.5,10.8,2.8,4
305,22.3,9.7,13.5,8.3,46
23,39.6,17.1,14.0,9.9,20
89,25.4,9.0,15.6,7.6,22
707,24.0,9.9,16.0,6.1,38
417,23.7,7.8,15.3,8.7,61
603,24.5,10.4,12.9,5.4,61
335,25.7,13.7,19.4,8.2,36
448,19.7,6.9,13.6,7.4,26
540,20.6,8.4,10.7,7.2,40
475,22.6,9.9,12.0,7.2,36
765,23.7,10.5,13.8,8.5,50
158,25.2,9.5,12.2,6.1,50
813,31.5,19.0,20.0,3.5,2
523,25.6,8.4,14.4,7.2,34
738,23.8,8.0,13.7,6.4,33
395,23.8,9.2,16.2,6.7,40
809,22.0,28.0,18.0,8.0,1
27,25.2,11.6,19.0,7.1,42
756,24.0,7.0,11.0,4.7,3
501,29.1,11.0,16.2,6.0,31
117,27.1,13.1,10.1,7.6,22
25,28.6,11.7,19.3,8.2,40
379,22.3,7.9,17.5,6.7,19
703,25.2,9.5,18.8,7.2,40
165,22.2,8.3,17.1,5.5,40
748,23.9,9.3,11.1,7.1,47
751,20.7,8.1,12.1,7.3,18
120,23.4,8.8,13.3,7.2,41
544,21.5,10.0,12.6,6.9,31
715,23.0,8.1,17.1,7.0,35
793,19.3,8.9,13.5,7.3,34
13,26.9,12.9,17.6,9.8,37
150,22.1,11.7,16.8,7.1,40
480,20.4,10.7,10.3,5.9,54
345,21.8,10.2,12.0,6.9,34
51,29.1,12.3,15.0,4.8,32
309,21.9,9.1,13.4,6.7,31
753,27.5,11.9,13.1,6.6,35
69,23.5,8.3,17.0,6.9,40
487,22.4,8.5,14.7,7.2,30
57,23.7,8.7,18.7,3.7,3
697,19.6,12.0,12.8,6.5,17
508,25.3,10.5,14.5,6.8,34
727,24.4,8.0,15.2,8.4,39
692,19.8,13.2,9.2,6.2,4
818,22.0,26.0,20.0,4.0,1
339,22.8,9.3,13.6,7.1,34
18,32.8,14.2,19.1,6.9,53
696,19.0,11.8,13.8,3.5,4
687,17.8,6.5,13.8,3.2,4
630,21.1,9.6,14.4,6.1,31
200,21.4,8.6,12.9,8.8,34
731,25.9,9.2,14.2,7.9,75
591,22.8,9.0,12.9,7.0,58
344,21.7,9.6,13.5,6.6,34
284,22.3,10.2,13.1,9.8,28
786,23.9,8.6,15.2,6.2,47
708,24.4,9.5,17.7,8.8,37
710,21.8,7.2,14.2,5.4,33
662,18.9,8.2,14.7,5.7,40
255,22.8,7.4,17.1,5.6,31
548,23.1,9.8,11.7,6.0,41
67,22.8,11.1,14.1,6.9,47
249,23.5,9.1,16.3,7.8,40
744,21.0,8.2,13.4,6.2,26
718,19.2,7.9,14.6,6.1,27
712,19.4,8.2,15.6,5.6,32
635,13.0,8.5,13.0,6.5,2
790,36.6,13.2,12.4,4.2,20
519,23.4,10.0,13.9,7.2,36
641,20.6,7.8,13.5,7.5,28
556,23.7,8.9,19.8,7.1,42
1,26.9,10.3,19.4,5.4,28
80,24.1,7.5,13.4,7.2,30
543,28.0,14.3,16.8,6.6,25
688,23.8,11.2,14.8,5.8,4
297,25.6,11.6,16.2,6.5,45
789,23.0,8.1,16.1,8.2,57
646,25.1,11.3,16.1,6.6,38
134,19.7,7.1,15.0,7.9,18
151,22.9,9.5,14.2,6.1,35
350,23.3,9.9,12.5,6.8,33
250,23.2,8.9,15.9,5.9,34
607,22.8,9.0,13.0,8.5,42
663,20.4,6.5,14.1,6.3,26
