SF,BB,SLG,2B,OPS,SH,POS,SB,AB,3B
0,1,.222,0,0.498,0,OF,0,27,0
1,12,.278,5,0.567,0,3B,2,194,1
1,36,.227,5,0.527,3,CF,6,198,3
0,34,.314,4,0.674,7,OF,27,226,5
2,17,.338,5,0.714,4,DH,7,213,0
1,11,.386,7,0.705,2,1B,1,145,0
1,4,.226,0,0.497,0,LF,2,62,1
1,20,.400,12,0.769,1,OF,8,150,2
0,7,.587,5,1.073,0,OF,2,63,1
1,43,.387,11,0.795,1,OF,4,204,4
3,22,.291,6,0.609,11,2B,15,179,1
0,5,.486,2,0.886,0,1B,1,37,0
1,5,.143,1,0.4,0,C,0,28,0
2,21,.388,21,0.736,1,SS,22,255,1
1,4,.189,0,0.468,0,C,0,37,0
1,31,.346,8,0.705,5,OF,14,246,2
0,12,.191,3,0.453,0,3B,7,115,0
5,28,.385,10,0.767,1,OF,17,270,6
0,12,.459,5,0.893,1,LF,2,61,1
0,19,.277,6,0.564,3,OF,22,220,3
2,5,.236,6,0.482,1,OF,6,178,0
1,35,.267,2,0.682,4,C,2,116,1
1,22,.348,8,0.718,4,RF,8,161,1
0,1,.545,0,0.879,1,CF,0,11,0
0,1,.000,0,0.5,0,C,0,1,0
4,36,.336,10,0.712,2,DH,4,152,3
1,5,.171,1,0.41,0,C,1,82,0
2,13,.339,12,0.642,3,OF,11,227,1
0,6,.413,1,0.828,2,C,1,46,0
4,28,.353,8,0.728,5,SS,18,238,3
0,9,.197,3,0.484,1,LF,4,61,0
0,3,.116,1,0.286,0,C,0,43,0
0,36,.355,9,0.728,3,OF,15,234,2
4,12,.305,4,0.622,0,C,2,105,0
2,18,.262,7,0.562,2,3B,5,183,0
0,16,.214,4,0.491,0,OF,2,112,1
1,5,.378,5,0.711,1,C,2,45,0
0,19,.358,3,0.768,0,OF,5,106,2
2,11,.247,1,0.537,4,CF,4,73,0
1,16,.224,3,0.528,1,C,2,116,0
2,27,.395,14,0.727,0,OF,12,228,3
0,9,.207,3,0.459,1,2B,12,87,1
0,10,.295,4,0.583,0,OF,6,95,4
4,14,.333,11,0.667,3,OF,8,168,0
0,12,.402,3,0.767,2,C,1,82,3
1,24,.309,4,0.648,0,OF,6,136,1
0,7,.309,6,0.596,1,DH,1,139,1
2,9,.222,1,0.508,2,2B,1,99,0
2,3,.264,6,0.514,2,DH,2,144,0
3,35,.359,10,0.727,3,1B,10,220,1
2,18,.284,4,0.611,6,C,8,190,2
0,1,.000,0,0.5,0,RF,0,1,0
1,14,.311,3,0.687,1,SS,3,90,1
1,16,.341,6,0.701,4,SS,12,132,1
3,25,.380,14,0.72,0,OF,3,200,1
1,10,.219,2,0.53,1,C,0,73,0
0,17,.305,11,0.606,5,OF,6,154,0
0,5,.320,2,0.707,0,OF,1,25,0
2,30,.363,8,0.709,2,SS,14,212,8
1,12,.096,1,0.319,0,C,3,94,0
1,27,.359,7,0.715,0,DH,10,223,6
0,2,.120,1,0.316,0,1B,0,50,0
4,17,.393,12,0.735,0,3B,6,168,3
3,11,.314,6,0.591,0,1B,3,137,0
0,25,.295,2,0.72,2,2B,13,95,0
1,25,.266,1,0.597,6,SS,22,192,4
0,9,.336,6,0.65,0,C,4,107,0
0,14,.212,3,0.5,0,OF,0,137,0
0,22,.258,3,0.562,4,OF,22,190,2
0,24,.195,3,0.482,1,2B,7,154,1
1,15,.168,2,0.443,1,SS,5,95,0
1,12,.176,3,0.461,2,3B,6,102,0
2,18,.242,6,0.495,0,C,0,165,0
0,1,.250,1,0.481,0,C,0,12,0
3,41,.357,7,0.764,5,2B,12,224,4
1,7,.203,0,0.491,1,1B,3,64,0
2,15,.208,6,0.52,2,OF,2,96,0
0,1,.262,3,0.506,0,C,0,42,0
2,21,.407,15,0.752,0,OF,12,226,5
0,33,.305,3,0.636,7,OF,6,200,8
0,21,.223,4,0.5,3,OF,4,184,2
3,32,.312,9,0.697,0,C,6,157,0
0,26,.287,5,0.648,0,2B,31,171,0
0,6,.471,3,0.821,0,3B,3,68,1
0,3,.120,0,0.361,1,DH,1,25,0
4,36,.461,7,0.864,1,2B,31,206,10
2,18,.331,9,0.602,0,OF,7,157,2
0,8,.242,4,0.49,0,C,1,120,1
1,31,.231,1,0.561,0,DH,8,182,2
0,9,.255,2,0.541,1,1B,0,102,1
0,8,.375,2,0.78,0,3B,2,64,1
3,24,.348,15,0.688,1,3B,10,253,0
1,5,.291,5,0.569,0,DH,1,172,2
0,7,.200,0,0.678,0,LF,2,15,0
2,23,.285,7,0.628,1,P,6,172,1
0,2,.284,2,0.497,0,OF,8,102,2
2,17,.245,6,0.54,2,C,9,151,0
1,22,.239,4,0.542,3,3B,5,180,1
0,3,.048,0,0.214,0,C,0,21,0
1,19,.350,7,0.685,7,2B,8,183,5
0,8,.366,3,0.73,6,1B,2,82,0
1,47,.432,8,0.902,2,DH,10,176,4
0,9,.366,4,0.728,0,OF,0,82,1
1,8,.195,1,0.445,2,DH,1,82,2
0,18,.317,5,0.651,1,LF,4,145,3
2,22,.247,3,0.594,0,1B,0,97,0
1,21,.368,7,0.79,1,OF,19,163,2
0,4,.194,0,0.487,2,OF,4,36,0
5,30,.423,7,0.819,0,SS,4,239,5
2,27,.314,7,0.656,3,CF,8,185,3
1,18,.303,4,0.611,0,3B,3,142,1
1,30,.291,6,0.614,0,1B,2,165,0
2,22,.271,6,0.604,1,C,2,144,0
0,0,--,0,0.0,0,P,0,0,0
1,26,.315,9,0.632,0,2B,9,181,2
0,2,.000,0,0.4,0,C,0,3,0
0,16,.236,0,0.592,3,OF,9,123,0
0,5,.324,0,0.624,0,OF,1,34,1
0,23,.281,5,0.64,1,2B,11,160,0
1,7,.487,8,0.803,0,OF,3,150,2
0,2,.268,1,0.564,0,OF,0,41,0
1,30,.192,2,0.506,1,SS,6,156,0
0,4,.341,2,0.649,0,DH,0,44,1
0,10,.297,2,0.714,0,SS,1,37,0
1,6,.182,0,0.656,0,OF,2,11,0
0,20,.252,1,0.564,2,CF,4,103,4
0,27,.337,5,0.734,4,1B,14,98,3
1,9,.304,5,0.638,0,C,0,69,0
6,20,.340,10,0.666,2,3B,19,215,0
2,7,.267,1,0.577,2,OF,4,60,1
0,4,.191,2,0.421,0,2B,1,68,0
0,3,.333,2,0.686,0,C,0,30,0
0,9,.320,6,0.631,1,SS,4,150,0
1,24,.284,6,0.608,3,SS,17,232,1
0,22,.414,8,0.806,1,OF,5,152,0
0,0,--,0,0.0,0,3B,0,0,0
6,35,.357,8,0.704,0,3B,2,210,1
5,29,.397,8,0.806,3,C,11,179,3
0,1,.143,0,0.393,0,OF,0,7,0
2,14,.442,18,0.825,0,3B,9,240,1
3,26,.384,8,0.766,3,2B,23,237,4
2,8,.248,5,0.506,0,1B,0,121,0
2,2,.275,7,0.546,1,1B,0,102,0
0,15,.153,1,0.448,2,OF,0,72,0
2,39,.299,6,0.702,2,OF,8,174,1
1,10,.264,2,0.598,2,1B,1,87,0
0,4,.300,0,0.661,1,CF,3,30,1
0,8,.377,8,0.72,0,1B,1,130,0
0,0,--,0,0.0,0,P,0,0,0
8,15,.318,9,0.638,6,3B,28,245,0
6,12,.364,8,0.668,4,OF,7,187,2
2,13,.255,3,0.591,1,3B,2,137,0
1,16,.311,3,0.596,4,OF,15,209,1
4,13,.427,9,0.792,2,OF,13,164,2
1,17,.369,7,0.725,1,DH,3,179,3
0,6,.216,0,0.491,1,OF,4,88,1
0,32,.263,5,0.603,1,1B,3,133,0
0,18,.422,7,0.818,2,RF,7,102,2
2,30,.341,13,0.688,4,OF,13,223,3
1,21,.179,4,0.503,2,RF,13,106,0
