3P%,PF,SPG,FG%,3PA,3PM,FGA,ORB
0.361,18.5,5.8,0.444,20.4,7.4,67.2,10.7
0.304,18.3,7.0,0.385,20.1,6.1,60.2,10.6
0.317,22.1,7.7,0.444,23.2,7.3,58.8,7.9
0.322,23.7,5.6,0.439,20.3,6.5,56.7,9.5
0.377,20.1,7.3,0.481,23.2,8.7,65.7,11.3
0.332,21.8,7.1,0.435,22.0,7.3,61.8,10.4
0.374,21.6,6.2,0.476,22.8,8.5,55.9,8.9
0.246,17.2,7.7,0.432,17.6,4.3,63.0,9.5
0.342,21.4,8.4,0.477,19.6,6.7,59.8,9.4
0.4,23.5,10.2,0.425,30.0,12.0,71.8,9.5
0.356,20.3,7.7,0.457,18.7,6.7,60.3,11.5
0.353,19.6,7.5,0.457,20.4,7.2,61.4,10.0
0.334,21.4,9.1,0.459,16.2,5.4,64.6,11.3
0.354,21.5,5.6,0.458,16.6,5.9,59.2,9.4
0.284,16.3,7.0,0.425,16.5,4.7,70.4,12.6
0.29,20.6,9.3,0.4,24.7,7.2,61.4,10.1
0.349,20.0,7.3,0.47,18.8,6.6,63.2,9.1
0.257,24.2,7.6,0.387,20.2,5.2,63.8,10.4
0.311,20.9,6.4,0.413,24.5,7.6,64.4,12.0
0.362,23.9,6.6,0.461,19.8,7.2,59.3,9.0
0.272,19.3,5.6,0.442,21.0,5.7,56.0,9.5
0.374,21.5,6.4,0.46,20.8,7.8,62.6,11.0
0.305,24.3,7.3,0.435,21.6,6.6,64.2,11.6
0.346,21.7,7.1,0.48,21.7,7.5,59.2,8.1
0.328,23.0,7.2,0.418,24.4,8.0,82.0,12.5
0.41,13.7,7.7,0.478,20.3,8.3,61.3,8.3
0.374,18.0,6.3,0.453,16.3,6.1,61.1,9.1
0.31,22.5,6.4,0.462,23.3,7.2,57.2,8.4
0.379,18.2,6.3,0.474,22.4,8.5,63.1,10.0
0.297,19.2,7.2,0.456,22.6,6.7,57.8,8.5
0.321,18.6,6.3,0.431,19.9,6.4,58.8,7.1
0.351,18.9,7.9,0.468,22.3,7.8,68.1,11.1
0.353,18.2,5.4,0.488,18.5,6.5,60.2,9.3
0.281,17.2,6.8,0.442,19.9,5.6,65.3,11.4
0.317,22.3,7.0,0.469,21.2,6.7,56.8,8.3
0.348,21.7,9.7,0.417,15.3,5.3,62.3,10.3
0.351,17.3,8.8,0.468,26.7,9.4,72.0,13.5
0.346,20.0,7.1,0.479,24.0,8.3,62.6,10.3
0.352,21.0,6.7,0.463,21.6,7.6,66.0,10.0
0.323,21.8,7.9,0.435,18.1,5.8,61.7,12.3
0.331,20.3,7.5,0.447,22.1,7.3,60.7,10.7
0.341,19.6,7.4,0.487,24.3,8.3,63.5,8.4
0.328,24.1,6.6,0.447,22.9,7.5,64.8,10.2
0.444,19.0,6.0,0.554,9.0,4.0,74.0,26.0
0.329,18.6,8.1,0.45,20.8,6.8,60.0,8.2
0.386,21.6,8.5,0.49,20.6,7.9,62.1,9.2
0.279,19.8,8.2,0.419,18.2,5.1,62.6,9.7
0.336,19.2,8.1,0.428,20.3,6.8,63.8,10.5
0.305,21.8,8.1,0.416,22.5,6.9,68.3,12.8
0.328,16.8,7.8,0.441,24.0,7.9,70.3,12.0
0.349,19.5,6.2,0.484,19.5,6.8,61.8,9.2
0.372,20.4,9.4,0.508,21.6,8.0,58.0,8.7
0.284,22.4,9.3,0.458,17.2,4.9,62.8,9.9
0.361,23.2,7.3,0.493,22.2,8.0,64.4,10.6
0.368,21.1,6.4,0.477,22.1,8.1,61.2,9.0
0.367,20.7,6.0,0.477,24.8,9.1,60.3,9.8
0.375,18.9,7.6,0.48,27.8,10.4,65.4,8.9
0.373,21.1,6.9,0.473,21.3,7.9,60.0,7.1
0.351,20.9,7.8,0.492,17.4,6.1,63.3,9.1
0.328,20.9,7.1,0.476,14.8,4.8,62.3,9.0
0.343,24.0,7.5,0.46,17.3,5.9,58.3,9.9
0.308,20.5,10.1,0.461,20.6,6.3,61.5,8.2
0.319,20.3,6.8,0.412,19.7,6.3,61.9,9.2
0.355,24.2,11.8,0.378,23.2,8.2,61.5,8.0
0.339,16.4,7.2,0.467,18.6,6.3,71.8,11.9
0.344,22.2,7.5,0.427,22.5,7.8,66.8,16.0
0.315,26.0,8.7,0.404,20.8,6.6,61.7,9.0
0.376,21.0,7.4,0.486,23.2,8.7,66.5,9.7
0.305,22.1,6.4,0.41,19.0,5.8,58.0,9.0
0.362,22.3,9.6,0.498,22.3,8.1,78.0,13.5
0.299,16.7,6.2,0.434,19.4,5.8,61.4,9.1
0.354,21.3,9.3,0.461,21.4,7.6,71.0,10.0
0.324,26.7,8.6,0.46,19.3,6.3,58.4,10.1
0.263,19.8,8.4,0.404,17.9,4.7,65.5,14.3
0.331,22.9,9.2,0.465,24.3,8.1,79.6,10.3
0.321,19.8,6.8,0.447,22.4,7.2,61.4,8.9
0.343,22.9,10.0,0.456,20.8,7.1,61.8,8.8
0.274,19.9,6.2,0.4,19.8,5.4,63.1,9.0
0.294,22.7,9.7,0.408,22.6,6.6,60.8,12.7
0.295,17.2,7.5,0.354,15.2,4.5,60.0,11.2
0.363,18.9,5.7,0.451,23.5,8.5,66.4,11.2
0.317,18.8,8.4,0.474,19.3,6.1,64.2,10.1
0.341,21.3,9.5,0.474,20.3,6.9,64.5,10.5
0.323,15.4,10.2,0.459,13.2,4.2,64.2,13.2
0.378,18.5,6.8,0.5,15.3,5.8,60.2,6.1
0.352,19.2,5.6,0.449,24.0,8.4,69.9,12.3
0.366,21.6,8.2,0.475,19.9,7.3,57.1,8.1
0.366,20.0,6.7,0.423,25.7,9.4,62.0,8.2
0.324,22.2,7.0,0.499,18.7,6.1,61.6,7.2
0.33,21.2,12.1,0.475,30.0,9.9,99.6,16.4
0.365,20.2,7.6,0.468,21.4,7.8,60.7,8.7
0.349,17.8,7.2,0.456,24.5,8.6,69.8,13.0
0.325,22.6,6.0,0.446,21.6,7.0,62.3,8.1
0.32,23.4,7.3,0.422,29.4,9.4,60.5,9.0
0.292,23.8,9.1,0.463,19.3,5.7,57.0,8.2
0.394,17.1,7.8,0.495,21.8,8.6,66.7,8.2
0.331,20.0,7.9,0.462,18.0,5.9,59.2,9.1
0.383,24.5,7.4,0.494,20.6,7.9,60.8,10.0
0.32,21.7,8.3,0.495,16.7,5.3,65.3,9.0
0.343,19.3,5.3,0.462,17.0,5.8,55.8,7.6
0.226,14.0,8.0,0.378,20.7,4.7,67.0,7.0
0.373,16.9,5.6,0.479,23.6,8.8,70.1,9.5
0.273,23.4,10.7,0.362,22.4,6.1,64.5,10.5
0.363,25.0,10.5,0.496,23.9,8.7,76.9,12.0
0.382,18.1,6.2,0.478,21.8,8.3,63.7,9.0
0.344,22.1,7.2,0.476,21.0,7.2,58.4,7.8
0.344,23.0,9.9,0.466,24.3,8.4,82.4,11.8
0.329,20.8,6.8,0.485,15.9,5.2,74.4,11.6
0.283,18.5,11.0,0.445,25.1,7.1,60.8,8.0
0.295,19.8,7.2,0.459,22.0,6.5,67.5,9.8
0.333,21.3,7.8,0.466,14.5,4.8,65.2,10.5
0.333,20.3,6.1,0.505,18.6,6.2,61.6,8.6
0.344,18.4,8.4,0.48,16.3,5.6,58.3,8.2
0.315,20.6,5.6,0.438,18.5,5.8,67.8,8.9
0.31,23.2,6.9,0.4,23.4,7.2,61.7,12.0
0.377,20.1,4.7,0.459,22.5,8.5,61.9,7.7
0.348,22.5,7.5,0.469,18.3,6.4,59.5,9.0
0.332,22.2,6.3,0.441,21.0,7.0,60.2,9.0
0.333,23.2,8.0,0.425,21.8,7.3,64.7,10.3
0.319,18.6,6.1,0.448,18.2,5.8,55.1,6.6
0.337,22.0,9.0,0.467,16.5,5.6,57.4,7.6
0.36,22.5,8.5,0.489,15.5,5.6,56.7,7.4
0.274,23.9,6.5,0.41,24.9,6.8,82.0,13.8
0.294,19.5,8.3,0.44,21.2,6.2,73.8,12.3
0.325,21.1,8.0,0.458,22.8,7.4,64.2,10.5
0.308,20.8,7.4,0.435,22.2,6.8,62.4,9.5
0.312,20.5,6.5,0.447,17.8,5.5,58.7,8.8
0.336,18.6,10.0,0.437,23.6,7.9,63.8,11.1
0.296,19.6,10.2,0.452,30.4,9.0,97.8,12.8
0.471,20.0,5.0,0.644,17.0,8.0,90.0,28.0
0.356,22.2,5.7,0.464,19.8,7.0,57.7,7.2
0.354,16.7,5.4,0.478,21.8,7.7,72.7,9.8
0.342,25.0,7.4,0.446,19.9,6.8,58.1,9.4
0.355,20.6,6.1,0.477,22.4,8.0,61.5,8.4
0.328,24.1,5.6,0.42,23.5,7.7,79.1,11.9
0.323,19.6,5.6,0.438,21.3,6.9,63.4,9.5
0.324,22.2,13.8,0.439,27.0,8.8,71.8,1.0
0.285,20.0,7.5,0.454,23.2,6.6,61.0,9.7
0.343,20.8,7.2,0.474,22.9,7.8,59.5,9.9
0.339,22.3,8.5,0.477,18.5,6.3,62.0,8.8
0.31,24.8,8.6,0.381,24.5,7.6,61.6,11.4
0.327,22.9,8.2,0.42,17.9,5.9,64.4,8.9
0.385,20.4,7.0,0.51,20.3,7.8,58.1,7.7
0.275,19.7,6.9,0.4,16.7,4.6,58.8,8.3
0.398,16.7,6.2,0.481,20.9,8.3,67.1,10.3
0.293,20.0,6.9,0.462,17.7,5.2,64.6,10.2
0.346,19.3,7.6,0.478,16.6,5.7,61.7,9.3
0.366,18.1,7.3,0.473,23.2,8.5,61.3,8.6
0.395,19.3,6.7,0.474,21.4,8.4,59.8,7.8
0.33,20.5,8.8,0.438,19.7,6.5,57.3,8.7
0.301,23.6,7.7,0.46,16.8,5.1,59.5,10.1
0.335,16.6,5.8,0.422,25.4,8.5,64.6,9.0
0.376,20.4,5.7,0.474,20.1,7.6,58.1,8.1
0.384,19.1,10.1,0.477,24.4,9.4,61.8,8.2
0.301,17.7,8.6,0.439,20.1,6.1,61.0,10.2
0.409,17.0,6.7,0.463,22.0,9.0,62.7,6.7
0.367,23.9,8.4,0.501,22.2,8.1,60.6,9.4
0.255,21.2,10.8,0.409,21.6,5.5,69.5,11.4
0.308,21.3,5.9,0.479,20.0,6.2,62.7,9.0
0.358,20.6,10.6,0.463,22.0,7.9,59.8,10.2
0.332,18.9,6.5,0.421,18.4,6.1,60.9,9.2
0.326,22.8,4.9,0.471,21.8,7.1,62.3,11.7
0.331,20.8,7.9,0.47,23.9,7.9,64.6,8.9
0.379,21.3,7.2,0.487,21.6,8.2,63.1,8.4
0.35,20.9,8.7,0.484,22.8,8.0,63.4,8.3
0.351,18.2,6.0,0.459,22.9,8.1,70.8,12.0
0.386,21.9,9.5,0.507,19.2,7.4,63.6,9.5
0.365,23.6,7.3,0.445,18.4,6.7,59.1,9.6
0.316,22.4,6.9,0.438,22.0,6.9,64.6,10.2
0.367,19.3,10.6,0.465,21.1,7.8,59.9,9.1
0.325,21.8,6.0,0.451,18.6,6.0,59.2,10.3
0.336,22.2,6.6,0.424,31.3,10.5,61.0,9.4
0.345,23.3,10.6,0.441,25.4,8.8,86.8,15.0
0.368,22.3,7.6,0.43,26.8,9.9,85.4,11.9
0.338,21.6,5.7,0.446,21.3,7.2,58.3,7.9
0.337,17.1,5.1,0.458,22.6,7.6,67.5,10.7
0.31,22.2,6.1,0.443,21.5,6.6,61.6,9.6
0.356,23.2,9.4,0.465,23.2,8.2,81.3,11.7
0.348,18.6,7.0,0.444,24.0,8.3,60.4,8.8
0.332,16.3,5.6,0.416,18.5,6.2,61.6,9.5
0.357,17.6,6.2,0.473,18.2,6.5,56.5,7.3
0.304,20.7,5.7,0.441,19.9,6.1,61.2,9.5
0.309,19.6,5.1,0.429,19.8,6.1,64.5,10.1
0.292,18.5,5.8,0.438,16.2,4.8,66.2,11.0
0.38,21.5,6.4,0.477,22.8,8.7,60.1,9.0
0.294,21.6,10.8,0.436,19.8,5.8,66.1,11.4
0.343,22.4,6.4,0.462,20.8,7.1,60.7,8.9
0.327,22.9,9.2,0.427,22.6,7.4,66.0,9.4
0.353,17.6,7.5,0.45,24.8,8.7,70.0,12.4
0.317,19.2,4.4,0.422,17.1,5.4,65.6,10.4
0.347,17.5,9.8,0.483,16.3,5.7,60.4,8.2
0.29,19.0,11.2,0.458,21.5,6.2,66.8,11.9
0.352,19.1,6.2,0.489,20.3,7.1,59.9,8.3
0.321,20.8,5.7,0.453,22.0,7.1,64.9,9.3
0.342,22.3,7.3,0.43,23.5,8.0,61.4,9.1
0.356,19.2,8.6,0.476,19.4,6.9,61.5,10.5
0.315,19.2,7.8,0.502,17.6,5.5,59.1,8.1
0.296,26.0,3.0,0.514,27.0,8.0,74.0,7.0
0.35,21.0,7.9,0.463,24.1,8.4,68.5,12.0
0.324,18.3,6.2,0.459,21.2,6.9,65.1,10.9
0.363,21.8,6.2,0.455,20.9,7.6,60.9,9.0
0.307,20.3,9.4,0.476,19.7,6.1,61.1,8.2
0.333,19.0,6.8,0.458,18.8,6.3,60.7,10.5
0.379,16.9,6.7,0.48,22.5,8.5,62.3,9.0
0.377,21.0,8.4,0.452,18.3,6.9,59.3,8.0
0.338,20.0,9.7,0.466,16.5,5.6,67.6,8.4
0.352,18.6,12.0,0.476,23.9,8.4,68.4,10.7
0.353,17.5,4.8,0.454,27.7,9.8,60.2,8.2
0.342,21.5,8.1,0.447,19.5,6.7,61.0,9.1
0.319,22.0,15.5,0.387,22.8,7.2,68.5,12.8
0.36,19.6,7.6,0.42,21.2,7.6,70.7,9.0
0.276,23.0,8.8,0.417,19.6,5.4,60.8,9.4
0.386,18.8,7.3,0.477,23.4,9.1,65.1,10.4
0.349,20.0,6.7,0.456,21.5,7.5,67.0,9.0
0.324,22.5,9.5,0.477,21.0,6.8,62.7,10.7
0.324,16.4,8.7,0.463,16.1,5.2,71.1,10.9
0.358,21.2,7.6,0.455,21.2,7.6,59.6,8.4
0.348,23.3,8.5,0.481,22.7,7.9,63.3,11.1
0.344,19.1,7.2,0.467,22.5,7.8,59.5,7.4
0.314,18.4,5.9,0.408,23.0,7.2,71.6,13.2
0.348,18.8,9.0,0.376,23.0,8.0,68.6,10.8
0.321,20.6,7.3,0.461,18.9,6.1,61.6,7.9
0.356,22.1,7.7,0.471,20.0,7.1,60.9,7.9
0.346,19.2,6.2,0.433,23.8,8.2,68.9,11.7
0.356,21.7,6.6,0.445,21.8,7.8,59.7,8.1
0.316,19.0,7.9,0.454,18.0,5.7,62.0,9.9
0.36,21.6,9.0,0.485,20.8,7.5,60.2,7.4
0.337,23.3,6.5,0.451,14.7,5.0,58.9,10.3
0.364,22.4,5.6,0.469,23.8,8.7,58.5,7.8
0.351,20.1,6.6,0.483,21.0,7.4,58.6,7.8
0.368,20.9,8.5,0.471,21.6,7.9,58.8,7.6
0.348,22.5,7.9,0.458,24.0,8.4,63.0,9.3
0.324,18.7,6.1,0.451,23.9,7.8,63.8,9.0
0.329,18.7,7.1,0.494,19.5,6.4,58.9,8.5
0.351,21.8,8.1,0.446,20.3,7.1,56.8,7.3
0.291,18.8,6.0,0.427,15.7,4.5,57.9,8.1
0.318,21.2,7.7,0.445,16.0,5.1,58.9,9.0
0.34,18.7,5.0,0.415,19.8,6.7,66.0,11.5
0.294,28.0,8.3,0.44,18.2,5.4,73.3,10.3
0.335,18.6,8.0,0.448,20.8,7.0,67.0,9.4
0.327,22.1,7.3,0.434,24.5,8.0,60.9,9.2
0.456,17.5,8.9,0.512,6.0,2.7,60.3,10.3
0.282,17.9,6.6,0.436,21.4,6.0,68.6,12.5
0.315,23.6,8.4,0.427,22.1,7.0,59.8,8.0
0.39,20.5,8.5,0.444,25.5,10.0,61.5,8.9
0.376,23.1,6.5,0.469,23.9,9.0,59.7,6.8
0.327,19.3,9.8,0.461,19.5,6.4,64.6,9.4
0.338,24.6,5.5,0.419,20.6,6.9,75.4,14.2
0.316,23.5,8.1,0.458,22.5,7.1,69.1,10.7
0.359,23.2,9.7,0.466,27.3,9.8,85.6,12.9
0.356,20.2,7.8,0.478,22.2,7.9,69.6,10.1
0.32,20.8,7.3,0.413,25.5,8.2,66.3,13.7
0.323,20.2,8.2,0.494,19.5,6.3,58.8,6.5
0.322,18.8,4.0,0.441,20.6,6.6,64.4,9.6
0.333,17.9,6.0,0.47,16.1,5.4,61.5,10.4
0.351,19.2,10.7,0.481,19.5,6.8,68.4,9.9
0.277,19.9,8.3,0.39,19.9,5.5,69.1,11.6
0.353,19.7,6.5,0.492,18.6,6.6,57.3,9.0
0.349,20.1,8.1,0.457,23.5,8.2,66.3,10.8
0.333,19.5,6.8,0.435,12.0,4.0,58.0,7.2
0.344,17.6,11.9,0.491,30.9,10.6,97.5,15.6
0.316,17.1,12.2,0.435,26.4,8.4,61.7,9.0
0.328,20.8,6.0,0.437,22.5,7.4,56.9,9.2
0.368,22.6,6.2,0.455,19.4,7.1,62.0,9.8
0.304,20.1,10.0,0.441,19.9,6.0,62.6,12.7
0.311,22.1,8.5,0.42,21.9,6.8,59.9,10.8
0.363,18.5,7.1,0.429,20.8,7.5,56.6,7.8
0.317,20.1,7.3,0.42,21.3,6.8,60.5,10.6
0.341,21.3,9.4,0.474,21.3,7.3,72.2,10.1
0.33,19.0,6.2,0.418,30.4,10.0,60.4,7.3
0.34,23.8,7.5,0.461,22.7,7.7,60.0,9.3
0.375,20.0,8.0,0.384,16.0,6.0,62.5,12.0
0.319,18.7,6.5,0.452,20.4,6.5,62.0,11.7
0.335,18.9,6.7,0.465,22.9,7.7,70.5,11.5
0.31,17.8,7.4,0.439,25.3,7.9,67.9,13.1
0.311,22.7,7.3,0.443,21.9,6.8,57.9,9.3
0.366,18.3,6.3,0.445,23.7,8.7,66.7,7.7
0.382,20.0,6.2,0.485,19.4,7.4,60.8,8.2
0.387,21.7,8.3,0.491,21.1,8.1,63.0,9.4
0.309,17.2,5.3,0.432,19.0,5.9,65.9,10.2
0.349,19.3,5.2,0.461,21.2,7.4,60.8,8.2
0.278,17.9,6.0,0.402,14.4,4.0,66.1,9.9
0.332,17.4,7.4,0.451,22.5,7.5,69.3,12.4
0.33,20.9,9.4,0.489,20.5,6.8,68.6,10.9
0.373,19.6,8.8,0.514,19.9,7.4,65.6,8.7
0.203,19.2,8.2,0.382,16.0,3.2,54.2,8.5
0.32,19.3,5.7,0.474,19.3,6.2,69.0,9.9
0.354,17.7,8.0,0.467,18.2,6.4,64.0,9.5
0.189,18.7,5.7,0.44,12.3,2.3,56.0,8.0
0.339,20.0,10.2,0.493,18.0,6.1,60.8,10.4
0.364,20.6,6.1,0.452,19.6,7.1,56.0,9.3
0.362,17.7,6.3,0.453,19.0,6.9,59.5,8.0
0.268,17.1,6.7,0.425,12.3,3.3,62.0,11.4
0.32,22.9,7.3,0.457,15.0,4.8,79.1,12.3
0.377,21.9,8.1,0.463,24.8,9.4,64.0,8.5
0.343,21.6,7.5,0.466,21.2,7.3,58.2,8.4
0.318,22.0,7.8,0.462,22.6,7.2,83.1,14.5
0.267,21.4,7.2,0.413,18.3,4.9,63.3,9.4
0.36,20.3,7.5,0.463,17.2,6.2,66.8,9.2
0.332,21.4,5.2,0.483,18.1,6.0,61.5,7.9
0.349,16.7,6.2,0.459,20.7,7.2,71.8,9.6
0.36,24.6,8.3,0.456,20.3,7.3,61.2,10.4
0.341,20.1,7.6,0.466,20.1,6.8,62.0,8.9
0.351,22.4,6.7,0.447,18.8,6.6,60.8,10.3
0.303,17.1,7.7,0.437,20.7,6.3,61.5,10.0
0.36,20.5,9.1,0.476,18.2,6.6,62.2,9.4
0.302,14.3,6.9,0.428,17.6,5.3,67.0,10.2
0.257,21.7,11.0,0.432,11.7,3.0,64.0,8.3
0.338,19.4,7.8,0.446,18.6,6.3,69.0,12.3
0.288,22.5,7.2,0.435,18.4,5.3,63.1,9.7
0.351,23.3,6.2,0.45,21.7,7.6,54.8,8.1
0.343,20.4,6.8,0.475,22.2,7.6,60.8,8.9
0.344,20.2,7.0,0.448,22.1,7.6,62.2,9.5
0.538,19.5,8.5,0.48,6.5,3.5,86.5,19.0
0.368,19.6,4.8,0.464,23.6,8.7,63.1,8.9
0.351,19.9,6.3,0.451,25.7,9.0,62.9,9.7
0.326,17.8,6.1,0.484,14.9,4.9,60.6,7.9
0.325,17.0,7.5,0.421,19.3,6.3,64.3,9.1
0.667,22.0,2.0,0.707,12.0,8.0,58.0,8.0
0.344,18.6,5.7,0.451,20.0,6.9,60.1,9.6
0.347,27.1,8.2,0.459,27.2,9.4,79.8,11.5
0.278,20.0,5.7,0.428,16.5,4.6,74.0,12.8
0.33,26.5,8.9,0.44,21.5,7.1,74.7,11.6
0.347,20.3,5.7,0.443,21.2,7.4,58.0,7.8
0.34,19.6,9.7,0.471,19.3,6.6,62.3,11.8
0.325,20.1,8.8,0.436,25.3,8.2,69.9,9.2
0.375,21.9,6.5,0.452,25.3,9.5,60.8,8.3
0.414,21.5,12.5,0.528,49.5,20.5,109.0,16.5
0.284,23.0,7.1,0.469,17.1,4.8,55.9,6.9
0.191,18.0,9.2,0.378,17.0,3.2,57.5,6.5
0.333,18.0,7.9,0.471,14.8,4.9,67.0,10.8
0.404,23.4,7.4,0.498,21.2,8.6,65.4,8.0
0.328,18.2,7.9,0.444,19.7,6.4,62.9,10.3
0.357,18.8,7.8,0.452,24.4,8.7,67.0,10.6
0.332,21.8,6.5,0.487,16.3,5.4,64.0,9.9
0.313,16.5,5.0,0.467,17.9,5.6,66.2,9.8
0.37,18.1,5.3,0.452,27.7,10.3,70.6,12.8
0.353,23.4,5.9,0.473,21.0,7.4,61.1,8.5
0.38,17.5,3.9,0.488,17.0,6.5,62.7,7.7
0.34,17.9,7.0,0.475,22.1,7.5,64.5,9.6
0.367,22.4,6.7,0.439,24.1,8.8,59.2,7.4
0.347,17.5,6.2,0.466,23.7,8.2,60.3,8.1
0.364,19.9,6.3,0.45,22.4,8.2,61.1,9.1
0.403,21.8,8.3,0.492,28.1,11.3,78.2,12.0
0.297,19.4,5.6,0.419,31.0,9.2,91.6,11.0
0.348,22.8,10.0,0.485,18.2,6.3,56.8,7.6
0.314,20.1,7.0,0.462,17.4,5.5,58.1,7.0
0.359,21.1,10.9,0.462,21.4,7.7,63.1,10.2
0.297,24.2,8.1,0.442,24.1,7.2,59.6,8.4
0.345,20.8,8.8,0.462,22.7,7.8,60.5,8.2
0.348,19.7,6.8,0.452,17.7,6.2,66.6,10.2
0.362,20.6,7.7,0.467,24.0,8.7,63.0,10.6
0.396,18.2,6.4,0.491,19.0,7.5,59.2,6.8
0.358,23.6,8.0,0.49,19.7,7.1,66.2,9.1
0.298,21.9,5.0,0.45,19.3,5.8,59.1,7.7
0.41,18.5,5.7,0.5,23.2,9.5,60.0,7.4
0.353,20.5,6.4,0.491,17.5,6.2,59.9,8.1
0.317,17.6,6.3,0.436,18.0,5.7,55.7,9.1
0.325,19.8,8.0,0.476,18.6,6.0,56.1,9.0
0.334,21.9,8.6,0.436,25.5,8.5,70.4,10.5
0.256,23.7,7.9,0.426,24.0,6.1,66.4,13.9
0.344,19.2,6.5,0.478,22.8,7.8,62.8,10.9
0.314,20.5,8.6,0.444,18.9,5.9,59.8,8.7
0.321,27.0,6.5,0.419,26.5,8.5,58.5,10.5
0.287,18.5,4.8,0.399,25.7,7.4,68.0,13.2
0.326,22.3,5.8,0.446,23.5,7.7,61.0,8.0
0.345,22.0,7.9,0.455,21.4,7.4,62.7,9.3
0.336,20.8,11.2,0.471,22.8,7.6,60.3,8.8
0.327,19.2,8.8,0.486,19.8,6.5,63.9,8.6
0.341,20.6,5.6,0.422,22.7,7.8,56.2,8.5
0.306,19.1,8.1,0.404,25.3,7.8,70.8,13.9
0.329,20.5,9.5,0.44,16.2,5.3,60.9,8.0
0.304,21.8,7.2,0.452,19.9,6.1,63.2,8.4
0.303,18.4,5.8,0.451,19.3,5.8,73.1,13.3
0.372,21.3,6.3,0.477,14.3,5.3,66.3,9.0
0.308,20.0,6.4,0.461,18.7,5.8,59.4,8.5
0.383,20.1,11.8,0.464,23.7,9.1,59.8,8.6
