BB,HR,OPS,Player,G,Team
4,0,0.834,A Santos,10,PIR
3,0,0.536,D Pellegrino,16,ORI
11,4,0.874,L Perez,41,CAR
1,0,0.561,W Rodriguez,5,NAT
8,0,0.17,S Thompson,13,RSX
10,2,0.563,C Valenzuela,45,PHL
14,3,0.567,J Gonzalez,51,BLU
6,1,0.58,H Rodriguez,38,PHL
1,0,0.436,K Diaz,19,AST
12,0,0.773,R Ruiz,23,AST
2,0,0.633,A Almonte,7,YAN
9,0,0.583,R McChesney,17,RAY
3,2,0.907,G Lorenzo,25,ORI
4,0,0.283,D Green,9,TIG
2,1,0.508,V Castro,23,MRL
8,0,0.674,H Bailey,26,NAT
2,0,0.633,R Welty,3,ORI
2,0,0.386,J Almonte,20,BLU
17,2,0.699,J Licon,49,TWI
1,0,0.382,C Duran,10,MRL
5,0,0.471,T Pascazi,14,BLU
6,2,0.614,T Nix,38,NAT
4,0,0.571,D Smith,8,YAN
2,0,0.429,T Hawkins,16,RAY
0,0,0.345,C Coste,12,RSX
2,1,0.503,J Pimentel,36,TWI
5,1,0.598,A Nieto,8,NAT
2,0,0.422,F Perez,18,YAN
26,2,0.791,J Ustariz,50,TIG
13,2,0.538,G Cenas,49,BLU
0,0,0.5,C Yelich,1,MRL
0,1,0.609,L Cortez,6,TIG
21,5,0.782,D Cozens,50,PHL
7,0,0.498,C Burke,24,MRL
4,0,0.734,W Becerra,11,BLU
1,0,0.944,J Benson,3,TWI
3,0,1.584,D Brown,5,PHL
4,0,0.348,J Graham,17,ORI
3,0,0.665,J Schwind,9,PIR
3,2,1.5,A Rendon,5,NAT
1,0,0.212,K Vizcaino,10,AST
32,3,0.727,N Moore,50,RSX
1,0,1.038,E Gattis,4,BRA
2,2,0.856,J Ceballos,16,MRL
0,0,0.25,C Walsh,2,CAR
9,0,0.447,S Russell,39,ORI
5,0,0.316,A Rodriguez,7,BLU
19,1,0.768,A Aune,39,YAN
13,1,0.507,R Hunnicutt,27,ORI
5,0,0.698,D Eusebio,43,NAT
0,0,0.552,C De Los Santos,8,TIG
4,0,0.548,J Reynolds,11,AST
16,1,0.583,D Loveless,37,BLU
2,0,0.322,L Martone,10,AST
13,1,0.664,B Haar,44,TWI
14,2,0.672,L Ortiz,42,MRL
4,1,0.517,J Solano,24,AST
16,0,0.735,B Lippincott,43,NAT
14,2,0.708,K Ortiz,42,TWI
4,0,0.772,J Peraza,21,BRA
9,1,0.798,J Davies,20,RSX
7,0,0.477,D Cruz,20,MRL
13,0,0.574,C Livesay,27,BRA
12,2,0.634,R Garcia,31,CAR
3,0,0.921,D Popkins,21,CAR
15,0,0.698,C Myles,34,PIR
1,0,0.25,J Bautista,1,BLU
21,0,0.672,N Minnich,27,RSX
21,3,0.654,S Allie,42,PIR
0,0,0.571,B Jeroloman,3,BLU
24,2,0.675,A Dean,47,MRL
21,8,0.832,Y Calderon,44,YAN
6,0,0.971,N Balog,28,ORI
6,0,0.474,D Driggers,28,TIG
11,0,0.485,H Jennings,47,NAT
8,2,0.925,W Carmona,25,PHL
5,0,0.863,C Larsson,5,BRA
5,0,0.472,D Devonshire,11,BLU
7,2,0.706,A Longley,33,TIG
1,0,0.286,B Frantini,3,ORI
3,0,0.524,D Child,15,PIR
0,0,0.917,J Solano,2,NAT
3,0,0.411,O Lartiguez,16,ORI
5,0,0.553,J Anderson,10,YAN
0,0,0.857,P O'Brien,4,YAN
8,0,0.463,C Perez,33,RAY
1,0,0.785,G Nivar,14,PIR
3,0,0.395,M Paulino,12,TIG
2,0,0.311,E Sappelt,12,MRL
4,1,1.029,J Ellsbury,4,RSX
0,0,0.0,D Williams,4,NAT
7,2,0.625,C Correa,39,AST
6,0,0.577,A Aguilar,37,ORI
18,2,0.712,E Escobar,54,PIR
0,0,0.0,C Keene,2,MRL
5,1,1.247,A Lambo,9,PIR
1,0,0.889,E Perez,5,NAT
10,1,0.763,H Castro,51,TIG
7,0,0.492,M Rodriguez,31,RSX
5,0,0.655,F Rosario,21,YAN
9,2,0.682,A Delgado,31,TIG
9,0,0.636,B McConkey,12,MRL
0,0,0.471,L Exposito,5,ORI
2,0,0.799,C Carman,25,PHL
7,1,0.862,M Meyers,30,RSX
