oWAR,WAA,Name,162WL%,RAA,Tm
0.6,-0.9,Dave Bancroft#,.495,-8,BRO
-0.0,-0.0,Bonnie Hollingsworth,.500,-0,BSN
-0.1,-0.1,Art Reinhart*,.500,-0,STL
-0.4,-0.3,Specs Toporcer*,.498,-3,STL
1.0,-0.9,Ethan Allen,.495,-8,CIN
-0.1,-0.1,Pete Donohue,.500,-0,CIN
-0.1,-0.1,Claude Willoughby,.499,-1,PHI
-0.0,-0.0,Harlan Pyle,.500,-0,CIN
-0.0,-0.0,John O'Connell,.500,-0,PIT
-0.1,-0.2,Luke Urban,.499,-2,BSN
2.8,1.2,Kiki Cuyler,.508,13,CHC
-0.0,-0.0,Sheriff Blake#,.500,-0,CHC
0.2,0.2,Ray Moss,.501,2,BRO
-0.0,-0.0,Emilio Palmero*,.500,-0,BSN
-0.3,-0.8,Tommy Thevenow,.495,-7,STL
-0.3,-0.3,Jimmy Ring,.498,-3,PHI
0.3,-0.2,Mike Gonzalez,.499,-2,CHC
5.0,2.3,Del Bissonette*,.515,24,BRO
3.7,1.7,Babe Herman*,.511,18,BRO
-0.1,-0.1,Lou Koupal,.499,-1,BRO
-0.3,-0.3,Al Lopez,.498,-3,BRO
2.9,3.4,Travis Jackson,.522,34,NYG
-0.8,-1.2,Wally Gilbert,.493,-11,BRO
0.1,-0.5,Jay Partridge*,.497,-5,BRO
-0.1,-0.1,Pinky Pittenger,.499,-1,CIN
0.4,0.4,Joe Dawson,.502,4,PIT
-0.3,-1.6,Charlie Hargreaves,.494,-15,2TM
0.3,-0.3,Adam Comorosky,.498,-3,PIT
0.0,-0.5,Earl Smith*,.499,-5,2TM
0.2,0.2,Augie Walsh,.501,2,PHI
-0.7,-1.4,Art Jahn,.494,-14,2TM
-0.0,-0.0,Joe Price,.500,-0,NYG
0.0,0.0,Chick Fullis,.500,0,NYG
0.0,0.0,Cobe Jones#,.500,0,PIT
1.4,0.2,Val Picinich,.502,3,CIN
0.0,0.0,Ray Foley*,.500,0,NYG
-0.0,-0.0,Pat Malone*,.500,-0,CHC
-0.1,-0.1,Howie Williamson*,.499,-1,STL
1.0,-2.6,Fresco Thompson,.485,-24,PHI
0.1,0.1,Fred Frankhouse,.500,1,STL
0.4,0.4,Bob Smith,.502,4,BSN
0.0,-0.7,Johnny Gooch#,.498,-7,2TM
-0.2,-0.4,Eddie Mulligan,.497,-4,PIT
3.7,2.0,Harvey Hendrick*,.513,21,BRO
-0.4,-0.8,Heinie Mueller*,.495,-8,BSN
0.3,-0.9,Billy Zitzmann,.495,-8,CIN
2.3,-0.3,Les Bell,.499,-2,BSN
-0.0,-0.0,Ben Cantwell,.500,-0,2TM
-0.3,-0.3,Bill Walker,.498,-3,NYG
-0.3,-0.5,Joe Kelly*,.497,-5,CHC
