oppRPA+,oppOBP,AGE,PA,PPF,AVG,VORP,#,TEAM,LG
97,0.311,23,122,98,0.215,1.2,478.0,TBA,AL
104,0.323,28,347,105,0.241,-5.4,568.0,MIN,AL
102,0.321,23,416,104,0.247,14.5,597.0,DET,AL
97,0.309,26,686,100,0.241,6.5,644.0,WAS,NL
99,0.31,30,24,102,0.333,-0.2,432.0,SDN,NL
106,0.324,24,295,119,0.251,11.9,74.0,COL,NL
102,0.324,28,673,104,0.249,21.9,640.0,DET,AL
95,0.31,23,88,105,0.343,-3.3,35.0,CHN,NL
99,0.32,36,41,100,0.368,-2.9,229.0,SLN,NL
103,0.32,32,112,93,0.314,-3.5,85.0,SFN,NL
95,0.307,30,31,93,0.185,-1.7,403.0,CLE,AL
98,0.315,27,732,99,0.254,15.7,658.0,HOU,NL
101,0.332,22,34,102,0.267,-0.3,453.0,KCA,AL
94,0.308,29,302,94,0.274,1.7,104.0,MIA,NL
102,0.318,34,200,107,0.291,-3.7,345.0,BAL,AL
103,0.322,23,113,107,0.242,6.5,485.0,MIL,NL
105,0.319,30,572,93,0.263,-0.3,575.0,ANA,AL
97,0.312,25,414,103,0.223,7.5,538.0,NYA,AL
89,0.303,24,11,91,0.286,-0.5,392.0,ANA,AL
103,0.327,28,24,106,0.316,-0.2,321.0,TOR,AL
105,0.322,39,178,97,0.28,-1.9,272.0,ANA,AL
114,0.334,27,21,98,0.563,-0.4,83.0,TBA,AL
96,0.31,26,17,89,0.471,0.6,87.0,MIA,NL
106,0.324,23,265,104,0.232,6.5,23.0,TEX,AL
101,0.32,38,125,97,0.18,0.5,170.0,NYN,NL
104,0.321,28,521,106,0.242,12.1,580.0,TOR,AL
96,0.315,26,131,128,0.324,4.6,130.0,COL,NL
100,0.316,24,172,95,0.229,5.2,28.0,ANA,AL
96,0.309,28,910,95,0.267,-18.8,709.0,SDN,NL
98,0.314,27,74,92,0.215,3.9,256.0,SFN,NL
100,0.314,29,296,101,0.309,1.6,550.0,CHN,NL
101,0.316,27,98,87,0.317,-4.9,477.0,OAK,AL
103,0.32,25,191,96,0.227,13.5,212.0,OAK,AL
94,0.308,40,303,102,0.232,12.1,555.0,NYA,AL
101,0.323,30,305,108,0.241,4.2,1.0,MIL,NL
104,0.315,27,40,103,0.206,-2.0,10.0,TOR,AL
72,0.27,33,10,95,0.286,-1.4,218.0,SDN,NL
105,0.337,23,59,107,0.313,-3.6,466.0,DET,AL
91,0.303,31,561,100,0.28,10.9,618.0,ARI,NL
102,0.32,22,344,102,0.25,15.4,57.0,KCA,AL
98,0.317,23,772,105,0.235,35.0,656.0,CHA,AL
118,0.348,21,26,93,0.136,0.8,183.0,LAN,NL
101,0.32,28,294,94,0.215,7.3,52.0,SDN,NL
