OBP,R,3B,Player,OPS,H,SF,SLG,Team,CS
.264,13,0,M Head,0.527,29,1,.264,MID,1
.120,2,0,T Tartamella,0.25,2,1,.130,SPR,0
.322,14,0,L Montanez,0.779,23,1,.457,ARK,1
--,0,0,R Buch,0.0,0,0,--,TUL,0
.295,31,0,C Stanley,0.636,68,2,.342,SPR,0
--,0,0,C Zavada,0.0,0,0,--,SA,0
.340,34,1,T Ladendorf,0.738,70,2,.398,MID,0
.293,18,3,J Benson,0.687,27,1,.394,FRI,1
.289,40,3,A Buschini,0.664,68,2,.375,SA,6
.299,58,3,T Witherspoon,0.641,96,4,.342,ARK,10
.223,37,1,Y Prades,0.51,59,4,.288,NWA,3
.291,36,1,J Swift,0.658,77,4,.367,ARK,1
.320,75,3,D Myers,0.707,138,2,.388,MID,10
.301,17,0,C Ramirez,0.701,32,0,.400,ARK,0
.323,55,0,K Roling,0.823,107,7,.500,TUL,0
.000,0,0,J Geer,0.0,0,0,.000,SA,0
.300,1,0,N Longmire,0.425,1,0,.125,SPR,0
.333,40,1,M Stassi,0.863,80,5,.529,CC,1
.310,9,0,L Orr,0.649,14,1,.339,SA,2
--,0,0,A Mavare,0.0,0,0,--,FRI,0
.331,45,6,A Nina,0.753,125,2,.422,TUL,9
.290,5,0,D Tarleton,0.58,13,0,.290,TUL,0
.250,1,0,N Pritchard,0.457,5,0,.207,SPR,1
.182,0,0,B Tanos,0.282,1,0,.100,TUL,0
.250,0,0,J Rodriguez,0.583,3,0,.333,SA,0
.305,55,12,C Oberacker,0.694,106,6,.388,MID,1
.323,20,2,R Hernandez,0.655,71,1,.332,NWA,6
.312,59,4,O Calixte,0.68,121,3,.368,NWA,11
.280,20,1,E Rodriguez,0.645,48,2,.365,SA,1
.333,19,0,J Barfield,0.848,24,1,.515,MID,1
.000,0,0,P Frazier,0.0,0,0,.000,TUL,0
.274,43,3,D Cleary,0.533,82,3,.259,TUL,7
.227,13,0,H Wrigley,0.575,21,1,.348,TUL,0
.371,15,0,J Bonifacio,0.812,28,1,.441,NWA,1
.304,17,3,J Hoying,0.741,37,1,.438,FRI,1
.250,1,0,B Whiting,0.5,1,0,.250,SPR,0
.333,0,0,S Robinson,0.533,2,0,.200,SPR,0
.000,0,0,D Roach,0.0,0,0,.000,SA,0
.000,0,0,J McBryde,0.0,0,0,.000,SA,0
.000,0,0,C McHugh,0.0,0,0,.000,TUL,0
.338,27,3,A Franco,0.742,83,1,.404,NWA,7
.267,2,0,C Gentry,0.574,3,1,.308,FRI,0
.351,23,0,C Hankerd,0.784,33,2,.433,ARK,0
.182,2,0,T Hairgrove,0.364,2,0,.182,ARK,0
.353,46,1,J Lemmerman,0.72,71,1,.367,SPR,1
--,0,0,L Stoppelman,0.0,0,0,--,SPR,0
.360,41,4,M Canham,0.741,76,2,.381,NWA,7
--,0,0,R Bleier,0.0,0,0,--,FRI,0
.333,1,0,M Olt,1.083,4,0,.750,FRI,0
.500,1,0,N Rickles,1.0,2,0,.500,MID,0
1.000,0,0,J Gyorko,2.0,1,0,1.000,SA,0
.293,21,0,T Smalling,0.617,27,0,.325,TUL,3
.290,32,0,T Telis,0.643,92,4,.353,FRI,2
.354,7,1,L Heras,0.739,8,0,.385,CC,0
.000,0,0,K Roberts,0.0,0,0,.000,TUL,0
.354,20,2,R Odor,0.884,41,0,.530,FRI,2
.345,70,3,K Parker,0.836,138,4,.492,TUL,6
--,0,0,R Henry,0.0,0,0,--,FRI,0
.376,67,1,X Scruggs,0.863,111,3,.487,SPR,7
.348,74,5,R Noel,0.681,132,5,.333,SA,19
.182,0,0,J Baker,0.364,2,0,.182,FRI,0
.337,37,1,A Buchholz,0.809,84,1,.472,FRI,1
.322,44,0,G Rodriguez,0.594,71,2,.272,FRI,7
.000,0,0,E Butler,0.0,0,0,.000,TUL,0
.423,14,3,A Wates,0.871,27,0,.448,CC,1
.279,48,1,K Cowart,0.58,110,3,.301,ARK,5
.167,3,0,S Blair,0.167,0,0,.000,SPR,0
.000,0,0,K Siegrist,0.0,0,0,.000,SPR,0
