Acquired,Tm,G,Rrep,oRAR,Rbaser,oWAR
Free Agency,BAL,26,0,0,0,0.0
Amateur Draft,ANA,9,0,0,-0,0.0
Free Agency,TEX,20,0,-0,0,-0.0
Free Agency,SEA,72,0,0,0,0.0
Conditional Deal,2TM,12,0,-0,0,-0.0
Traded,TEX,6,0,0,0,0.0
Free Agency,2TM,58,7,6,-0,0.6
Amateur Free Agent,NYY,56,0,0,0,-0.0
Traded,TEX,21,0,0,0,0.0
Traded,MIN,89,13,3,0,0.3
Conditional Deal,TBD,81,9,3,2,0.3
Amateur Draft,DET,62,0,0,0,0.0
Traded,CLE,10,1,-1,-1,-0.1
Amateur Draft,SEA,4,0,0,0,0.0
Amateur Free Agent,TOR,162,26,55,0,5.4
Free Agency,ANA,44,0,0,0,0.0
Amateur Free Agent,CHW,150,23,13,-1,1.2
Traded,TOR,5,0,0,0,0.0
Amateur Draft,CHW,11,0,0,0,0.0
Free Agency,BAL,33,0,-1,0,-0.1
Free Agency,KCR,15,0,0,0,0.0
Free Agency,TEX,18,0,0,0,0.0
Amateur Draft,OAK,7,0,-1,-0,-0.1
Free Agency,NYY,6,1,-1,-1,-0.1
Amateur Draft,MIN,15,2,7,-1,0.6
Purchased,TBD,97,14,26,-3,2.5
Amateur Draft,NYY,10,0,-0,0,-0.0
Amateur Draft,CLE,33,0,-1,0,-0.1
Amateur Draft,TBD,49,0,0,0,0.0
Free Agency,TBD,136,21,19,1,1.8
Free Agency,CLE,124,19,34,2,3.3
Traded,NYY,137,22,11,6,1.1
Traded,SEA,31,0,-0,0,-0.0
Free Agency,TEX,45,0,0,0,0.0
Amateur Draft,CHW,32,0,0,0,0.0
Traded,TEX,133,19,39,1,3.8
Free Agency,SEA,28,0,0,0,0.0
Traded,TOR,146,23,44,5,4.3
Traded,TEX,3,0,0,0,0.0
Free Agency,ANA,139,19,9,1,0.8
Waivers,DET,136,19,33,1,3.2
Amateur Draft,TOR,2,0,0,0,0.0
Traded,BOS,19,0,0,0,0.0
Free Agency,KCR,100,16,16,5,1.5
Free Agency,TEX,160,26,51,0,4.9
Traded,TBD,30,0,0,0,0.0
Amateur Draft,TEX,70,0,0,0,0.0
Amateur Draft,TEX,7,0,-2,-0,-0.2
Amateur Draft,TBD,2,0,0,0,0.0
Traded,KCR,54,4,-9,1,-0.9
Amateur Draft,DET,17,3,-7,-1,-0.7
Traded,OAK,124,17,20,-2,1.9
Amateur Draft,TBD,20,0,0,0,0.0
Traded,DET,154,25,27,1,2.7
Amateur Free Agent,TEX,1,0,0,0,0.0
Traded,OAK,65,0,0,0,0.0
Traded,BOS,68,0,0,0,0.0
Amateur Draft,BAL,34,0,0,0,0.0
Traded,NYY,154,24,24,-1,2.3
Free Agency,TBD,2,0,0,0,0.0
Free Agency,SEA,44,0,0,0,0.0
Traded,CLE,28,3,-0,-1,-0.0
Amateur Free Agent,CLE,134,18,19,-1,1.9
Traded,KCR,45,5,-6,-1,-0.6
Amateur Draft,ANA,7,0,0,0,0.0
Traded,NYY,39,3,-8,-0,-0.8
Traded,CHW,16,0,0,-0,0.1
Free Agency,SEA,69,0,0,0,0.0
Amateur Draft,TEX,76,11,13,0,1.3
Free Agency,TEX,15,0,0,0,0.0
Free Agency,TEX,72,10,-1,0,-0.1
Amateur Free Agent,NYY,71,0,0,0,0.0
Free Agency,TOR,154,25,9,-1,0.9
Traded,2TM,69,0,0,0,0.0
Waivers,ANA,24,0,0,0,0.0
Free Agency,BOS,62,0,-0,0,-0.0
Free Agency,BOS,142,23,53,-2,5.1
Traded,BAL,14,0,0,0,0.0
Traded,BAL,139,22,31,-3,3.0
Amateur Free Agent,NYY,17,0,0,0,0.0
Waivers,2TM,19,2,1,1,0.1
Free Agency,DET,36,0,-0,0,-0.0
Amateur Draft,MIN,62,0,0,0,0.0
Amateur Free Agent,NYY,3,0,-1,0,-0.1
Free Agency,OAK,65,0,0,0,0.0
Amateur Draft,NYY,138,21,34,-6,3.3
Free Agency,2TM,7,0,0,0,0.0
Free Agency,CHW,1,0,0,0,0.0
Amateur Draft,KCR,27,0,-1,0,-0.1
Amateur Free Agent,DET,5,0,0,0,0.0
Purchased,2TM,77,8,10,-2,1.0
Free Agency,TEX,54,8,6,0,0.6
Free Agency,BOS,26,0,-0,0,-0.0
Traded,2TM,11,0,0,0,0.0
Traded,BOS,18,0,0,0,0.0
Free Agency,ANA,2,0,0,0,0.0
Traded,CLE,70,0,0,0,0.0
Amateur Draft,TBD,13,0,0,0,0.0
Traded,2TM,93,15,16,1,1.5
Traded,TBD,78,10,0,0,-0.0
Amateur Draft,ANA,11,0,0,0,0.0
Amateur Draft,TOR,155,25,38,-1,3.7
Amateur Free Agent,MIN,37,4,1,-1,0.1
Purchased,BOS,12,0,-0,0,-0.0
Traded,CHW,69,0,0,0,0.0
Traded,CHW,39,0,0,0,0.0
Traded,NYY,10,0,0,0,0.0
Amateur Draft,MIN,148,23,28,0,2.8
Free Agency,NYY,34,0,-0,0,-0.0
Free Agency,SEA,5,0,-0,0,-0.1
Traded,TOR,16,0,0,0,0.0
Traded,BAL,95,12,0,-0,0.0
Traded,DET,30,0,1,-0,0.1
Amateur Draft,SEA,94,3,-2,1,-0.2
Free Agency,DET,79,5,-5,1,-0.5
Traded,DET,1,0,0,0,0.0
Amateur Draft,MIN,151,23,28,-4,2.8
Amateur Draft,BAL,9,1,-2,0,-0.2
Amateur Draft,TBD,28,0,1,-0,0.1
Traded,BOS,102,16,19,1,1.8
Amateur Draft,OAK,154,25,91,-0,8.7
Traded,ANA,29,2,2,-0,0.2
Amateur Draft,TEX,4,0,0,0,0.0
Free Agency,TBD,5,0,0,0,0.0
Traded,OAK,34,3,3,1,0.3
Waivers,ANA,64,0,0,0,0.0
Traded,BAL,18,0,0,0,0.0
Amateur Draft,CLE,9,0,0,0,0.0
Traded,CLE,32,0,0,0,0.0
Amateur Draft,TEX,22,3,4,-0,0.4
Traded,BAL,18,0,0,0,0.0
Purchased,KCR,98,9,0,1,0.0
Traded,BOS,96,14,13,-1,1.2
Waivers,TEX,48,4,-0,1,-0.0
Free Agency,BAL,9,0,0,0,0.0
Waivers,ANA,153,25,46,13,4.5
Amateur Draft,NYY,31,0,-0,-0,-0.0
Free Agency,CLE,20,2,5,0,0.5
Traded,BOS,51,7,13,-0,1.3
Free Agency,ANA,104,10,14,-1,1.4
Free Agency,SEA,125,18,32,3,3.2
Traded,SEA,123,15,15,-3,1.5
Traded,MIN,9,1,-4,0,-0.4
Free Agency,CLE,122,17,23,-2,2.2
Traded,KCR,16,0,-0,-0,-0.1
Free Agency,KCR,113,16,3,-0,0.3
Amateur Free Agent,ANA,32,0,-1,-0,-0.1
Amateur Draft,OAK,36,4,-4,0,-0.4
Amateur Draft,TBD,49,7,9,-1,0.9
Traded,CLE,67,0,0,0,0.0
Free Agency,CHW,32,4,-12,0,-1.2
Free Agency,CLE,141,12,9,2,0.9
Free Agency,BAL,58,8,1,3,0.0
Free Agency,ANA,31,0,-1,0,-0.1
Traded,NYY,12,1,-4,-0,-0.4
Free Agency,MIN,8,0,0,0,0.0
Free Agency,KCR,56,6,-1,-1,-0.1
Amateur Draft,KCR,6,1,3,-0,0.3
Amateur Draft,BOS,94,12,8,-1,0.7
Traded,NYY,48,4,0,-0,0.0
Amateur Draft,CLE,3,0,0,0,0.0
Traded,TOR,71,0,0,0,0.0
Free Agency,BOS,33,0,0,0,0.0
Amateur Draft,ANA,161,26,56,2,5.5
Traded,BOS,67,0,0,0,0.0
Amateur Draft,ANA,157,25,15,1,1.5
Traded,KCR,29,3,-8,-1,-0.8
Traded,OAK,7,0,-2,0,-0.2
Amateur Free Agent,DET,4,0,2,-0,0.2
Amateur Free Agent,CLE,34,0,-0,0,-0.0
Amateur Draft,CHW,57,6,6,-0,0.5
Traded,CLE,52,5,1,-1,0.1
Free Agency,TOR,134,17,-5,-1,-0.5
Free Agency,BAL,58,9,10,0,1.0
Amateur Draft,NYY,80,12,11,1,1.1
Amateur Free Agent,OAK,162,26,43,1,4.2
Traded,TBD,41,5,1,-0,0.1
Amateur Draft,KCR,13,0,0,0,0.0
Traded,TEX,34,0,-0,0,-0.0
Free Agency,BOS,52,6,3,-1,0.3
Traded,TOR,36,0,-0,0,-0.0
Free Agency,OAK,1,0,-0,0,-0.0
Traded,NYY,32,0,0,0,0.0
Amateur Draft,MIN,57,7,2,-2,0.2
Traded,NYY,111,16,4,-1,0.3
Amateur Draft,OAK,36,0,-0,0,-0.1
Free Agency,BOS,15,0,0,0,0.0
Amateur Draft,DET,16,0,-0,0,-0.0
Amateur Draft,TEX,30,0,-0,0,-0.1
