PTS,GP,Team,ESG,SDS,%FO,№,TOI/G,PIM
28,48,TOR,11,1,47.8,18,14:26,42
16,33,VIT,1,0,48.9,9,15:52,28
0,6,CSK,0,0,34.0,93,11:10,0
0,6,NKH,0,0,0.0,80,11:04,4
2,16,TOR,1,0,50.0,23,6:33,6
8,43,BAR,1,0,47.3,18,11:39,18
0,4,MNK,0,0,-,74,7:16,0
38,53,AKB,13,0,62.8,26,15:28,30
6,41,MMG,2,0,-,42,7:35,43
56,53,AKB,13,1,100.0,95,18:05,24
6,30,AVT,3,0,42.1,32,12:57,8
23,47,BAR,6,0,49.9,33,15:47,36
10,49,ATL SPR,6,0,25.0,15,10:32,74
19,51,SPR TRK,5,0,37.6,50,14:34,28
17,51,SKA,10,0,35.3,39,14:34,33
8,40,SAL,1,0,57.7,22,11:45,24
20,50,DRG,6,0,46.9,75,16:20,36
2,11,NKH,1,0,47.1,30,10:38,2
3,28,LOK,2,0,33.3,24,8:15,10
18,42,AKB,7,0,54.2,27,14:46,16
15,32,SAL,3,0,50.0,28,12:44,16
1,2,SEV,0,0,-,25,5:44,0
36,53,SKA,10,1,29.6,10,14:43,28
19,49,AKB UGR,5,2,16.7,9,14:48,20
9,48,VIT,3,0,52.5,52,14:34,42
17,54,ATL,3,0,59.4,23,14:04,34
4,20,DRG,1,0,38.7,37,11:03,8
18,45,MNK,7,0,45.7,79,16:36,8
29,54,UGR,9,1,40.3,11,16:35,30
32,53,LOK,10,0,25.0,11,14:54,31
33,49,CSK,9,2,33.3,27,19:14,32
8,13,BAR,2,0,56.2,19,13:24,16
1,18,CSK,1,0,0.0,97,7:33,2
0,4,SAL,0,0,-,98,8:16,0
12,31,SPR,1,1,42.9,13,11:06,8
0,8,MMG,0,0,44.7,99,6:05,2
29,46,VIT DYN,9,1,41.9,45,15:03,111
39,53,MMG,9,0,49.6,55,18:17,12
14,54,SEV,4,0,44.7,6,17:46,26
17,47,AMR,6,0,55.1,19,15:26,8
0,2,MNK,0,0,-,15,5:13,0
14,47,MNK,3,0,47.0,34,14:58,39
9,36,TRK,4,0,33.3,39,11:23,14
29,43,DMN,7,0,50.0,8,18:57,20
20,52,AVT UGR,8,0,35.9,25,18:18,51
0,3,SAL,0,0,-,9,9:33,0
23,53,SAL,9,0,48.3,24,13:22,14
22,52,SEV SKA,4,1,46.2,10,16:56,50
0,16,SPR,0,0,46.0,91,9:04,4
13,52,MNK,5,0,53.4,21,14:56,48
17,51,ATL,4,3,46.9,24,17:19,24
44,45,DRG,16,1,41.2,10,16:13,70
3,26,VIT,2,0,33.3,61,9:49,4
0,5,AKB,0,0,-,71,2:11,2
2,13,DYN,1,0,-,69,5:54,2
12,49,CSK,4,0,52.4,25,14:37,52
24,48,DMN,13,0,29.0,59,13:19,12
6,42,SIB,0,1,28.6,17,14:22,18
21,49,AVG TRK,5,0,42.9,16,15:46,58
12,54,ATL,5,0,44.8,11,16:35,54
9,45,DRG SPR,5,0,48.6,38,12:51,26
8,52,AVG,0,0,46.4,52,12:20,22
0,3,SPR,0,0,-,71,5:03,0
6,43,DRG,4,0,35.3,21,7:59,8
12,54,AVT,5,0,38.5,80,17:21,40
13,45,SEV SPR,6,0,48.9,33,14:58,50
6,23,ATL,2,0,50.0,16,15:07,16
5,28,MNK,2,0,46.7,22,13:19,14
0,2,VIT,0,0,-,43,1:57,31
4,16,TOR,1,0,16.7,25,7:50,2
24,44,DYN,13,0,33.3,54,12:35,10
61,54,ATL,18,1,39.1,10,20:27,12
3,16,TRK,1,0,29.1,8,9:07,14
33,54,SKA,8,0,51.1,9,17:38,28
2,18,DRG,0,0,41.7,34,10:03,8
21,40,VIT,2,1,66.7,72,12:52,8
25,43,SAL,4,0,50.8,42,16:01,52
29,54,MMG,10,0,50.2,60,16:46,26
6,40,BAR,3,0,62.5,85,9:22,16
40,48,LOK,9,0,11.1,94,15:57,30
24,54,DYN,7,0,53.8,19,13:28,14
2,16,LOK,1,0,48.1,91,6:27,4
8,38,AVT,3,0,44.5,82,15:07,37
10,24,NKH,4,0,46.2,86,12:20,0
0,0,SPR,0,0,-,81,-,0
5,18,UGR,3,0,49.1,48,11:41,6
33,51,SKA,9,0,22.2,61,15:30,50
0,6,NKH,0,0,-,88,4:48,0
1,8,MNK,1,0,0.0,69,8:58,10
0,2,CSK,0,0,-,80,2:33,0
13,41,TRK,3,0,38.9,21,16:19,30
27,52,AKB CSK,4,0,52.8,57,17:59,30
2,15,SEV,1,0,25.0,90,6:16,0
2,18,NKH,0,0,0.0,27,5:44,4
35,52,DMN,7,0,25.0,18,17:43,28
30,40,ATL MMG NKH,9,3,53.7,19,12:38,105
0,3,CSK,0,0,0.0,88,7:06,0
19,53,AMR,2,0,35.0,80,15:28,67
1,6,TOR,1,0,0.0,80,8:25,14
7,39,SEV,1,0,0.0,81,8:24,20
7,17,AMR,3,0,50.0,27,13:53,4
0,3,MNK,0,0,44.0,62,10:32,2
2,12,VIT,0,0,-,42,8:35,6
7,39,TOR,6,0,40.0,8,7:17,10
37,51,NKH,6,1,50.0,33,17:01,31
31,54,NKH,10,0,30.8,28,16:00,20
1,7,MNK,1,0,-,65,7:58,4
8,49,DMN,3,0,47.9,23,12:54,42
19,49,SPR CSK,7,0,50.0,17,15:13,24
8,21,NKH,4,0,45.1,60,11:58,16
25,43,SEV,12,0,30.0,40,15:46,18
80,54,SAL,12,0,54.5,47,18:41,83
11,51,SPR,5,0,34.8,83,13:53,33
0,5,SPR,0,0,-,89,4:25,0
11,52,AKB,3,0,52.6,11,11:53,28
1,9,BAR,0,0,0.0,81,9:49,8
1,11,TOR,0,0,50.0,39,7:17,2
9,29,SKA,2,0,46.5,62,12:09,6
7,18,AMR,1,0,57.1,18,15:23,14
16,43,TRK,3,0,37.1,43,16:18,16
9,44,SAL,3,0,31.6,91,12:17,42
2,17,TRK,1,1,71.4,94,11:01,6
26,54,MNK,5,0,42.7,18,18:30,63
16,54,TOR,2,0,48.9,15,16:08,10
4,39,SIB,3,0,50.8,47,8:15,12
17,47,AMR TRK,3,0,51.9,14,14:54,12
24,52,SIB,5,0,48.8,26,17:24,20
32,47,SPR,12,0,40.9,14,17:09,47
30,54,SPR,6,0,45.1,92,17:43,51
3,32,ATL,1,1,55.7,18,15:19,10
10,39,TOR,2,0,50.2,12,15:00,54
3,14,DRG,2,0,40.0,23,8:08,2
16,49,AMR TRK,9,0,30.6,10,12:21,18
19,42,SIB,7,1,57.1,91,14:19,8
48,51,TOR,12,2,54.9,19,20:06,18
5,25,SKA,0,0,48.9,7,11:37,14
20,49,SEV,5,0,47.1,13,13:34,26
17,53,AVT,8,0,32.6,19,14:47,34
41,54,DRG,12,0,46.1,19,16:07,30
19,49,UGR,6,0,42.6,14,13:14,34
6,25,SEV,2,0,66.7,32,7:26,10
16,48,SIB,5,0,48.6,19,15:41,44
6,37,AMR,1,0,51.7,15,13:40,38
6,29,DYN,4,0,100.0,25,9:57,16
9,25,DYN,5,0,0.0,40,11:38,10
19,39,SAL,7,0,58.8,15,14:28,44
21,54,LOK,11,0,20.0,17,13:40,43
22,52,AKB,6,0,100.0,34,12:25,16
6,33,SEV,2,0,41.2,11,12:33,16
17,24,ATL NKH,3,0,49.6,9,16:26,24
0,7,SIB,0,0,-,46,8:32,2
19,48,MNK,4,0,54.6,13,17:43,26
29,53,VIT,9,0,49.7,36,17:38,69
3,20,VIT,2,0,63.6,7,7:21,169
7,44,AKB,1,2,46.8,67,13:09,32
17,43,DYN,3,0,53.7,32,15:35,24
37,51,AVG,12,0,19.0,37,14:26,28
21,48,BAR,7,0,41.0,48,13:58,33
1,7,MNK TRK,0,0,66.7,41,10:58,29
5,32,BAR,2,0,33.3,54,9:36,57
5,8,DYN,1,0,100.0,13,14:57,6
5,23,AVG,2,0,0.0,44,8:58,21
1,22,BAR,1,0,36.4,23,8:22,4
3,37,ATL,2,0,-,67,5:41,18
13,33,NKH,2,0,50.2,63,10:18,12
0,7,CSK,0,0,-,73,3:52,0
36,49,AVG,11,0,48.7,19,16:07,22
2,4,BAR,1,0,25.0,25,8:23,2
23,50,BAR,12,0,50.0,62,15:46,18
15,39,NKH,3,0,56.5,53,17:14,32
1,8,ATL,0,0,-,17,9:19,0
25,52,UGR,9,0,50.0,19,13:49,14
18,41,SEV,7,0,50.0,80,12:36,46
1,33,CSK,0,0,41.6,19,5:25,12
6,23,VIT,4,0,66.7,25,8:54,2
22,51,DYN,11,0,27.3,18,14:58,28
4,18,DYN,1,0,33.3,27,9:18,16
4,26,DRG,1,0,-,87,7:18,2
22,53,AMR,4,0,53.8,25,14:43,22
