G,Player,R,SLG,SH,RBI,SB,H,SO
135,N Castellanos,65,.436,1,76,3,158,130
45,M Brownstein,20,.372,2,20,8,41,25
105,M Walker,54,.455,3,72,7,101,120
22,K Holloway,7,.333,0,6,0,18,23
28,J Arias,5,.163,6,5,1,13,20
60,M McGee,44,.426,2,29,5,67,40
52,R Cuneo,25,.379,0,28,1,52,36
12,S Cilladi,1,.296,2,2,0,5,5
123,C Bisson,61,.325,6,43,21,109,106
55,J Campos,23,.241,5,9,0,34,38
87,M Gibbs,32,.317,0,28,1,75,69
55,M Browning,21,.307,2,19,4,44,29
53,G Hall,23,.404,5,16,4,46,46
116,E Inciarte,73,.333,12,25,26,118,59
65,C Stang,30,.387,4,14,12,64,50
60,A Martinez,21,.265,6,24,8,46,53
118,J Marisnick,68,.496,0,77,37,148,91
25,M O'Neill,15,.438,2,10,1,27,13
31,D Iden,14,.253,0,10,1,20,20
64,J Rogers,29,.429,2,37,6,66,48
83,D Harris,44,.361,1,35,12,64,95
14,B Miller,9,.528,0,7,1,22,9
68,V Sanchez,28,.342,0,28,4,58,39
38,J Hicks,21,.446,0,26,2,43,17
65,C Jacobs,31,.521,0,33,0,62,62
30,A Fields,9,.304,0,11,0,22,23
104,J Duran,48,.463,0,71,1,97,152
32,R Grichuk,12,.402,0,13,0,28,29
127,M Helm,58,.379,0,60,16,118,134
69,R Castillo,21,.357,0,32,5,44,58
122,C Moncrief,73,.422,3,53,20,108,158
127,D Vidal,85,.498,2,85,3,127,111
98,R Rodriguez,41,.449,4,42,10,91,83
130,M Wiswall,49,.340,2,57,4,122,104
60,J Rivero,19,.273,6,22,5,38,62
69,H Guevara,24,.372,0,29,2,58,37
9,J McCann,0,.088,0,1,0,2,12
37,V Hill,18,.292,1,15,8,22,51
25,C Tremblay,7,.157,1,8,0,13,31
62,D Lohman,14,.256,8,31,9,43,47
26,J Smit,17,.489,0,11,1,31,24
126,N Shaw,80,.333,12,40,8,121,82
101,C Stanley,54,.425,0,66,4,100,92
39,R Pena,19,.403,0,8,2,28,24
48,T Jones,18,.351,1,16,2,36,31
121,M Knecht,77,.474,0,86,4,120,124
21,J Parks,5,.197,0,7,1,12,19
42,J Blash,13,.347,0,13,5,27,43
129,D Ortiz,58,.391,1,71,7,112,96
93,M Swinson,46,.329,1,26,9,82,59
4,J Bowen,3,.417,0,4,0,4,4
13,J Becker,2,.244,0,5,0,11,9
33,K Fontanez,10,.259,2,9,0,22,22
35,J Bergman,24,.356,0,18,2,34,16
60,S Domecus,28,.419,1,23,2,58,37
99,C Edmondson,51,.456,0,54,5,85,73
128,K Hobson,65,.333,0,53,1,120,73
16,R Stock,4,.275,1,6,1,9,6
30,T Cannon,18,.613,0,17,2,34,20
50,J Murphy,14,.346,0,24,0,36,43
58,C Berset,27,.311,1,23,3,38,36
46,T Roberts,14,.349,0,27,1,32,58
89,R Gomez,42,.388,3,37,15,90,91
101,Y Cabrera,59,.368,0,47,23,83,110
1,I Nazario,0,.000,0,0,0,0,0
12,J Nunez,3,.132,0,3,0,4,7
40,D Fitzgerald,16,.184,3,9,4,18,34
1,J Gonzalez,0,--,0,0,0,0,0
24,F Parejo,11,.320,0,10,2,12,31
57,A Gallas,35,.517,0,21,4,65,38
56,R Anston,25,.326,0,16,11,44,34
2,R Soares,1,.000,0,0,0,0,0
29,K Castillo,19,.567,0,22,0,32,25
107,W Cunningham,43,.381,1,50,9,97,71
101,M Crouse,73,.475,0,55,38,95,113
20,M Cerione,6,.213,0,5,3,15,28
75,D McCallum,21,.258,2,23,2,42,65
122,G Beltre,62,.340,16,42,18,121,92
125,L Landry,59,.360,8,41,28,125,67
6,C Adamson,0,.222,0,1,0,3,7
72,R Ortiz,24,.330,1,22,8,49,67
66,J Matthews,26,.364,1,21,7,47,60
95,C Perez,58,.355,1,41,6,98,74
67,R Torreyes,53,.457,7,41,12,99,19
4,C Gomez,3,.333,0,0,3,4,0
134,Y Arbelo,68,.516,0,95,1,114,161
3,J Azcona,2,.667,0,5,0,2,3
18,R Jones,10,.182,0,4,3,8,19
49,A Lavisky,19,.391,3,24,0,38,66
129,H Perez,69,.364,11,42,23,130,87
76,C Powers,48,.538,1,45,0,93,64
76,B Eibner,46,.408,0,31,2,58,90
11,E Lara,4,.438,0,6,0,6,13
77,G Pena,28,.314,1,24,2,60,81
8,J Andreoli,3,.111,0,1,2,3,6
6,J Pozo,1,.235,2,2,0,4,7
33,C Mirabal,6,.287,1,7,1,27,20
6,E Williams,5,.300,0,1,3,6,3
7,P Mooney,3,.600,0,1,0,9,5
32,Y Rivera,6,.262,4,5,0,20,34
1,B Marcoe,0,.000,0,0,0,0,2
47,K Wong,39,.510,0,25,9,65,24
97,A Franco,49,.348,16,27,5,95,40
57,S Baron,17,.323,1,20,6,39,49
7,S Irvine,3,.176,0,1,1,3,4
126,R Alvarez,54,.388,2,64,2,124,96
43,B Taylor,16,.367,1,17,1,43,34
117,N Schwaner,43,.357,0,44,8,96,85
6,M Blackburn,5,.250,1,0,1,4,4
19,D Poulk,6,.403,0,10,1,17,16
7,B Pardo,3,.158,1,0,0,3,6
110,D Landaeta,51,.364,2,55,10,105,89
82,J Nester,30,.325,5,23,4,53,72
38,O Garcia,19,.289,4,12,1,30,26
1,P Krebs,0,--,0,0,0,0,0
93,R Silva,59,.400,9,37,6,117,73
6,D Macias,3,.308,0,1,0,7,2
116,M Gonzales,66,.468,0,76,4,119,105
10,R Neda,3,.114,0,4,0,4,3
87,B Heere,26,.318,4,35,0,68,62
85,N Akins,43,.394,0,45,0,66,77
97,O Dominguez,56,.326,2,39,15,70,76
127,D Dietrich,73,.502,0,81,5,133,128
95,J Aguilar,58,.544,0,69,1,102,98
125,A Giansanti,53,.372,3,56,8,103,80
98,B Coyle,42,.368,0,44,3,95,68
96,T Morris,44,.356,0,42,21,85,87
122,C Rogers,89,.404,3,51,28,116,111
79,L Washington,35,.315,1,20,15,65,89
46,J Crisotomo,19,.456,1,20,7,55,22
3,T Motter,1,.455,0,3,1,2,4
44,T Medica,22,.465,1,21,0,38,33
22,B Macias,11,.347,0,6,3,19,9
74,J Perez,56,.580,1,60,11,93,48
75,R Brantly,42,.440,3,44,2,86,39
4,B May,3,.462,1,3,0,2,5
81,O Calixte,19,.263,4,31,11,60,70
91,D D'Anna,47,.422,0,58,2,92,62
27,B Hernandez,7,.361,4,17,1,22,15
66,J Bass,24,.345,2,20,4,69,38
123,B Guinn,49,.307,12,34,34,102,104
86,R Gil,63,.330,5,34,18,85,83
113,J Whitaker,67,.556,0,68,10,129,107
32,D Narodowski,10,.361,0,7,3,31,27
