OPS,SLG,CS,SO,2B,G,SH
0.734,.352,2,10,9,35,3
0.582,.261,8,25,3,53,5
0.592,.239,2,18,1,27,0
0.92,.464,0,11,5,18,0
0.884,.467,7,28,8,51,0
1.13,.606,0,4,0,11,1
0.779,.382,9,40,12,64,7
0.626,.304,2,26,4,43,3
0.538,.235,6,27,3,29,1
0.741,.360,2,22,16,52,0
0.716,.400,0,17,4,28,1
0.635,.293,1,16,7,38,2
0.628,.324,1,73,12,62,0
0.576,.249,6,49,3,54,3
0.766,.328,6,46,7,47,3
0.492,.206,0,14,0,19,0
0.384,.141,0,13,1,22,1
0.0,--,0,0,0,2,0
0.622,.300,4,32,7,64,1
0.657,.317,5,26,4,44,3
0.658,.324,2,21,8,43,5
0.52,.211,4,25,2,46,5
0.736,.359,5,30,6,47,6
0.396,.121,0,15,0,13,0
0.605,.286,3,27,3,45,2
0.493,.227,1,9,2,15,0
0.761,.386,5,34,9,48,2
0.588,.239,1,50,6,62,6
0.704,.327,10,40,6,64,5
0.499,.279,1,17,1,29,2
0.526,.229,6,44,2,52,5
0.653,.302,1,17,4,54,3
0.383,.178,2,21,2,25,0
0.593,.293,5,36,7,41,2
0.68,.333,0,7,2,17,1
0.6,.305,3,57,14,58,2
0.827,.422,8,18,8,55,4
0.786,.414,1,25,9,46,2
0.671,.327,2,16,8,36,0
0.696,.333,1,19,6,26,0
0.355,.172,0,35,1,30,0
0.555,.288,2,29,5,39,0
0.474,.197,0,16,2,32,1
1.167,.667,0,1,1,1,0
0.584,.242,3,25,6,59,2
0.583,.263,5,34,3,56,6
0.666,.349,4,27,5,61,3
0.896,.540,4,22,10,52,6
0.825,.375,0,4,2,15,1
0.769,.390,2,45,7,66,3
0.542,.269,6,62,8,62,3
0.611,.294,2,25,1,43,0
0.0,--,0,0,0,1,0
0.614,.288,3,26,2,32,0
0.768,.369,9,48,3,61,3
0.901,.492,11,49,10,66,5
0.427,.200,2,18,1,45,4
0.717,.394,2,32,10,58,0
0.774,.392,1,25,10,52,1
0.602,.305,2,17,4,26,1
0.605,.282,5,15,4,50,3
0.769,.392,9,37,9,63,3
0.394,.123,2,17,1,22,0
0.403,.187,0,22,2,34,1
0.751,.384,4,24,10,55,2
0.909,.542,2,12,8,18,0
0.703,.394,10,38,16,60,1
0.694,.277,16,42,5,69,3
0.558,.220,6,30,2,44,6
0.0,--,0,0,0,9,0
0.529,.226,3,30,4,41,0
0.794,.451,1,36,16,59,0
0.76,.412,3,38,10,53,1
0.653,.303,4,26,6,45,1
0.701,.390,0,14,3,12,1
0.568,.276,2,22,5,37,0
0.843,.472,4,61,11,67,0
0.762,.333,1,1,0,2,0
0.695,.373,3,40,4,46,2
0.642,.312,1,12,3,29,0
0.413,.173,2,32,4,33,0
0.777,.316,0,7,1,8,1
0.748,.345,9,31,2,61,2
0.567,.248,5,16,4,32,3
0.658,.314,0,42,8,52,0
0.485,.188,5,38,2,55,6
0.539,.245,3,45,7,51,2
0.709,.349,5,39,10,46,1
0.657,.259,4,16,2,49,1
0.71,.315,4,14,4,38,3
0.445,.165,1,26,0,37,0
0.616,.331,2,33,2,43,0
0.469,.152,2,5,0,15,1
0.589,.300,4,29,9,48,1
0.0,--,0,0,0,1,0
0.382,.121,3,13,0,34,2
0.673,.309,2,25,7,41,0
0.771,.394,1,29,9,45,0
0.703,.360,1,17,6,32,0
0.526,.261,3,92,7,54,1
0.565,.091,0,5,0,9,1
0.632,.309,8,9,7,59,12
0.507,.245,2,29,6,49,0
0.901,.410,3,12,2,32,2
0.506,.241,0,20,2,20,0
0.764,.366,6,23,7,44,0
0.807,.356,3,10,3,24,0
0.561,.266,4,80,4,65,2
0.66,.285,3,35,1,44,6
0.822,.426,8,35,4,66,0
0.0,--,0,0,0,1,0
0.653,.309,11,44,11,59,1
0.64,.304,4,62,6,60,4
0.595,.250,0,7,1,9,1
0.748,.396,3,18,12,44,0
0.524,.196,2,50,6,38,0
0.919,.538,0,12,5,12,0
0.585,.266,4,48,6,65,2
0.636,.272,3,11,2,41,2
0.638,.304,0,5,2,16,0
0.604,.279,3,21,5,35,1
0.65,.283,7,35,8,44,3
0.502,.228,3,50,6,48,3
0.651,.339,1,19,6,38,2
0.582,.292,1,18,8,27,1
0.573,.288,3,19,4,32,0
0.677,.375,9,47,7,64,8
0.847,.487,4,42,13,65,0
0.727,.379,2,76,11,57,1
0.581,.300,1,11,3,25,2
0.694,.369,1,15,2,22,0
0.678,.336,6,35,5,62,3
0.898,.500,0,28,13,44,2
0.766,.364,0,22,8,52,3
0.473,.200,0,6,0,6,0
0.688,.335,6,23,9,63,4
0.474,.227,2,10,3,34,5
0.0,--,0,0,0,1,0
0.557,.262,3,34,6,49,1
0.503,.206,5,27,4,32,2
0.588,.244,3,41,5,40,1
0.858,.399,6,19,8,55,8
0.669,.336,5,42,3,51,1
0.384,.158,1,18,1,24,0
0.811,.437,4,30,14,47,0
