Acquired,Tm,G,Rrep,oRAR,Rbaser,oWAR
Free Agency,BAL,26,0,0,0,0.0
Amateur Draft,ANA,9,0,0,-0,0.0
Free Agency,TEX,20,0,-0,0,-0.0
Traded,CLE,89,11,-5,-1,-0.6
Traded,CHW,69,0,0,0,0.0
Traded,TEX,17,1,-2,-0,-0.2
Amateur Draft,TEX,22,3,4,-0,0.4
Traded,CHW,7,0,0,-0,0.0
Free Agency,BAL,33,0,-1,0,-0.1
Traded,MIN,89,13,3,0,0.3
Free Agency,BAL,46,0,0,0,0.1
Waivers,DET,136,19,33,1,3.2
Waivers,2TM,156,23,9,-0,0.9
Amateur Draft,CLE,47,0,0,0,0.0
Traded,CLE,10,1,-1,-1,-0.1
Amateur Draft,BOS,94,12,8,-1,0.7
Purchased,KCR,98,9,0,1,0.0
Amateur Draft,BAL,128,19,-6,-2,-0.6
Amateur Draft,KCR,20,0,0,0,0.0
Traded,2TM,158,25,28,1,2.7
Free Agency,TBD,36,0,0,0,0.0
Amateur Draft,TEX,70,0,0,0,0.0
Amateur Draft,MIN,15,2,7,-1,0.6
Amateur Draft,DET,79,8,-10,-2,-1.0
Waivers,ANA,24,0,0,0,0.0
Free Agency,ANA,104,10,14,-1,1.4
Amateur Draft,BAL,9,1,-2,0,-0.2
Waivers,ANA,153,25,46,13,4.5
Waivers,KCR,28,2,-0,0,-0.0
Traded,CHW,8,0,0,0,0.0
Free Agency,BAL,82,13,25,1,2.5
Free Agency,CLE,20,2,5,0,0.5
Traded,KCR,15,2,1,1,0.1
Amateur Draft,CHW,152,24,37,3,3.6
Traded,TBD,30,0,0,0,0.0
Amateur Draft,ANA,137,22,16,0,1.6
Traded,SEA,11,0,0,0,0.0
Amateur Draft,NYY,1,0,-0,0,-0.0
Amateur Free Agent,TEX,1,0,0,0,0.0
Amateur Draft,NYY,5,0,0,0,0.0
Amateur Draft,OAK,7,0,-1,-0,-0.1
Traded,TEX,21,0,0,0,0.0
Amateur Draft,CLE,7,0,0,0,0.1
Traded,CHW,2,0,0,0,0.0
Amateur Draft,CLE,8,0,0,0,0.0
Free Agency,ANA,31,0,-1,0,-0.1
Amateur Draft,CHW,30,0,-0,0,-0.0
Free Agency,NYY,76,0,0,0,0.0
Amateur Draft,CLE,15,0,1,0,0.1
Free Agency,BAL,22,0,0,0,0.0
Amateur Draft,KCR,39,0,0,0,0.0
Traded,BAL,14,0,0,0,0.0
Waivers,BOS,17,2,3,0,0.3
Traded,2TM,69,0,0,0,0.0
Free Agency,DET,57,9,5,0,0.5
Free Agency,BOS,2,0,0,0,0.0
Waivers,SEA,9,1,-1,0,-0.1
Amateur Draft,TBD,2,0,0,0,0.0
Amateur Free Agent,NYY,6,0,0,0,0.0
Free Agency,TBD,136,21,19,1,1.8
Amateur Draft,TEX,4,0,0,0,0.0
Traded,TEX,5,0,0,0,0.0
Traded,NYY,154,24,24,-1,2.3
Amateur Free Agent,TOR,46,5,4,2,0.4
Traded,DET,56,0,0,0,0.0
Traded,CLE,15,0,-1,-1,-0.1
Traded,BAL,61,7,2,-0,0.2
Amateur Draft,NYY,10,0,-0,0,-0.0
Traded,ANA,137,20,8,0,0.8
Traded,TEX,38,5,5,2,0.4
Free Agency,SEA,135,19,14,-1,1.3
Free Agency,CLE,124,19,34,2,3.3
Amateur Free Agent,2TM,13,1,3,1,0.2
Traded,MIN,19,0,1,0,0.1
Amateur Draft,OAK,36,4,-4,0,-0.4
Free Agency,CHW,1,0,0,0,0.0
Traded,CHW,135,18,9,-1,0.9
Amateur Draft,CHW,17,2,-2,0,-0.2
Free Agency,SEA,28,0,0,0,0.0
Traded,BOS,96,14,13,-1,1.2
Traded,CHW,16,0,0,-0,0.1
Free Agency,NYY,22,0,0,0,0.0
Traded,TBD,78,10,0,0,-0.0
Traded,TEX,6,0,0,0,0.0
Traded,CLE,52,5,1,-1,0.1
Amateur Draft,DET,16,0,-0,0,-0.0
Traded,KCR,14,1,-3,-0,-0.3
Amateur Draft,KCR,21,0,0,0,0.0
Free Agency,DET,79,5,-5,1,-0.5
Free Agency,SEA,125,18,32,3,3.2
Rule 5 Draft,DET,3,0,-0,-0,-0.0
Amateur Draft,OAK,36,0,-0,0,-0.1
Amateur Free Agent,CLE,43,0,0,0,0.0
Free Agency,ANA,139,19,9,1,0.8
Free Agency,KCR,56,6,-1,-1,-0.1
Amateur Draft,MIN,148,23,28,0,2.8
Traded,ANA,16,2,-10,0,-1.1
Traded,TBD,154,24,20,-0,2.0
Amateur Draft,SEA,10,0,0,0,0.0
Amateur Free Agent,SEA,69,0,0,0,0.0
Amateur Draft,TOR,2,0,0,0,0.0
Traded,NYY,137,22,11,6,1.1
Purchased,TEX,66,0,0,0,0.0
Waivers,2TM,19,2,1,1,0.1
Free Agency,CLE,140,22,49,1,4.7
Free Agency,TOR,134,17,-5,-1,-0.5
Traded,DET,60,0,0,0,0.0
Traded,DET,30,0,0,0,0.0
Amateur Free Agent,DET,33,0,0,0,0.0
Free Agency,BOS,52,6,3,-1,0.3
Amateur Draft,BOS,20,3,-0,-0,-0.0
Amateur Draft,KCR,6,1,3,-0,0.3
Waivers,NYY,5,0,-0,-0,-0.1
Amateur Draft,ANA,8,0,0,0,0.0
Amateur Draft,TBD,20,0,0,0,0.0
Amateur Draft,BAL,7,1,0,1,0.0
Amateur Free Agent,NYY,56,0,0,0,-0.0
Free Agency,CLE,141,12,9,2,0.9
Amateur Draft,KCR,118,18,8,1,0.8
Traded,TEX,19,0,0,0,0.0
Free Agency,CHW,70,9,1,-0,0.1
Amateur Draft,DET,62,0,0,0,0.0
Amateur Free Agent,CLE,34,0,-0,0,-0.0
Traded,KCR,7,0,0,0,0.0
Amateur Free Agent,DET,5,0,0,0,0.0
Traded,TBD,37,0,0,0,0.0
Amateur Draft,DET,46,4,1,-2,0.1
Free Agency,OAK,12,2,-7,0,-0.7
Amateur Draft,TOR,34,0,0,0,0.0
Amateur Draft,ANA,157,25,15,1,1.5
Traded,CHW,45,0,0,-0,0.0
Traded,2TM,11,0,0,0,0.0
Traded,TOR,12,0,0,0,0.0
Amateur Draft,MIN,114,15,18,-0,1.7
Free Agency,TEX,72,10,-1,0,-0.1
Amateur Draft,MIN,62,0,0,0,0.0
Amateur Draft,OAK,151,23,49,1,4.8
Amateur Draft,TOR,30,4,6,1,0.6
Amateur Draft,TEX,30,0,-0,0,-0.1
Free Agency,CLE,16,2,-0,-0,-0.0
Traded,DET,30,0,1,-0,0.1
Free Agency,KCR,15,0,0,0,0.0
Traded,TEX,3,0,0,0,0.0
Amateur Draft,BAL,159,23,12,1,1.1
Amateur Free Agent,CLE,134,18,19,-1,1.9
Free Agency,OAK,9,1,0,-0,0.0
Traded,NYY,48,4,0,-0,0.0
Amateur Free Agent,CHW,150,23,13,-1,1.2
Amateur Draft,CLE,113,14,14,0,1.4
Traded,BAL,139,22,31,-3,3.0
Amateur Draft,DET,17,3,-7,-1,-0.7
Traded,TOR,16,0,0,0,0.0
Traded,BAL,136,20,18,-1,1.7
Free Agency,BAL,58,9,10,0,1.0
Amateur Draft,CLE,3,0,0,0,0.0
Traded,SEA,100,12,5,-1,0.5
Traded,MIN,118,19,41,5,4.0
Waivers,CLE,12,0,0,0,0.0
Amateur Draft,DET,1,0,0,0,0.0
Free Agency,MIN,64,8,2,0,0.2
Free Agency,CLE,22,0,0,0,0.0
Free Agency,CHW,33,0,0,0,0.0
Amateur Draft,KCR,29,0,0,-0,0.0
Free Agency,TEX,160,26,51,0,4.9
Free Agency,KCR,73,0,0,0,0.0
Amateur Draft,CLE,9,0,0,0,0.0
Traded,SEA,34,0,-0,-0,-0.0
Traded,NYY,111,16,4,-1,0.3
Amateur Draft,CHW,40,0,0,0,0.0
Traded,SEA,31,0,-0,0,-0.0
Traded,TEX,47,5,3,-1,0.3
Amateur Draft,TEX,4,0,-1,0,-0.1
Free Agency,2TM,37,0,0,0,0.0
Free Agency,BAL,70,0,0,0,0.0
Amateur Draft,DET,126,19,22,-2,2.2
Purchased,KCR,34,0,1,-0,0.1
Amateur Draft,TBD,39,6,-2,1,-0.2
Free Agency,TBD,58,8,17,0,1.6
Traded,ANA,29,2,2,-0,0.2
