TOI,G,Points,IPP,Shots,Player Name,IAP,IGP
3541:53,46,97,71.3,521,"HAGMAN, NIKLAS",37.5,33.8
6249:24,24,75,28.7,561,"PHANEUF, DION",19.5,9.2
3992:34,49,124,68.5,487,"RUUTU, TUOMO",41.4,27.1
3007:05,27,66,73.3,294,"MITCHELL, JOHN",43.3,30.0
3516:56,61,135,84.4,511,"BENN, JAMIE",46.2,38.1
3607:43,38,94,61.4,329,"BOLLAND, DAVE",36.6,24.8
5720:58,13,77,32.1,408,"SCHENN, LUKE",26.7,5.4
3956:02,35,91,67.4,492,"KOPECKY, TOMAS",41.5,25.9
5262:25,13,51,24.4,426,"CORVO, JOE",18.2,6.2
3326:03,24,82,80.4,487,"TOOTOO, JORDIN",56.9,23.5
3773:59,51,115,74.2,753,"KENNEDY, TYLER",41.3,32.9
5279:10,12,64,35.8,312,"KLEIN, KEVIN",29.1,6.7
4869:02,13,66,37.5,340,"LILES, JOHN-MICHAEL",30.1,7.4
5509:04,107,221,77.8,1122,"OVECHKIN, ALEX",40.1,37.7
4499:26,11,35,19.8,218,"BOUILLON, FRANCIS",13.6,6.2
4393:50,10,58,34.7,283,"GONCHAR, SERGEI",28.7,6.0
3403:29,11,35,25.5,218,"KLESLA, ROSTISLAV",17.5,8.0
4482:11,43,129,67.2,533,"GAGNER, SAM",44.8,22.4
4825:47,14,68,33.0,287,"KUBINA, PAVEL",26.2,6.8
6352:25,23,78,33.2,386,"DOUGHTY, DREW",23.4,9.8
3090:28,33,83,70.3,507,"MOSS, DAVID",42.4,28.0
5840:16,6,48,26.8,223,"SCHULTZ, NICK",23.5,3.4
4851:16,10,45,25.9,228,"TALLINDER, HENRIK",20.1,5.7
4888:51,10,83,41.9,292,"STREIT, MARK",36.9,5.1
3870:33,24,64,64.0,339,"MOEN, TRAVIS",40.0,24.0
4672:02,61,144,68.2,560,"GRABOVSKI, MIKHAIL",39.3,28.9
5916:09,6,41,20.3,223,"HANNAN, SCOTT",17.3,3.0
3335:11,42,102,77.3,417,"HEMSKY, ALES",45.5,31.8
3997:07,44,131,75.7,684,"WILLIAMS, JUSTIN",50.3,25.4
3571:29,28,85,70.8,400,"O_REILLY, RYAN",47.5,23.3
4141:33,52,125,75.8,483,"SELANNE, TEEMU",44.2,31.5
3191:59,10,46,33.8,198,"MCDONAGH, RYAN",26.5,7.4
3438:33,6,32,31.1,191,"SBISA, LUCA",25.2,5.8
3006:01,2,25,23.6,168,"BARKER, CAM",21.7,1.9
3776:26,47,99,70.7,591,"HIGGINS, CHRIS",37.1,33.6
6595:41,10,84,33.3,397,"SUTER, RYAN",29.4,4.0
5149:00,61,141,66.8,772,"BROWN, DUSTIN",37.9,28.9
3201:02,36,84,71.8,367,"KOVALEV, ALEX",41.0,30.8
4483:56,9,40,28.8,285,"VOLCHENKOV, ANTON",22.3,6.5
5192:14,100,198,78.3,955,"KESSEL, PHIL",38.7,39.5
3223:45,4,28,23.9,162,"KOMISAREK, MIKE",20.5,3.4
4135:38,46,115,68.9,406,"JOKINEN, JUSSI",41.3,27.5
3605:16,32,91,66.4,462,"GOC, MARCEL",43.1,23.4
3129:52,26,64,71.1,237,"HALPERN, JEFF",42.2,28.9
6209:44,17,77,32.6,488,"SEIDENBERG, DENNIS",25.4,7.2
3715:59,50,100,64.9,606,"SAMUELSSON, MIKAEL",32.5,32.5
5312:34,6,48,23.2,178,"GORGES, JOSH",20.3,2.9
4789:04,3,39,22.5,209,"GROSSMANN, NICKLAS",20.8,1.7
5126:36,61,178,74.5,946,"ZETTERBERG, HENRIK",49.0,25.5
4376:23,56,135,68.9,432,"ANTROPOV, NIK",40.3,28.6
4050:57,15,67,36.4,362,"MONTADOR, STEVE",28.3,8.2
5301:36,16,86,36.6,262,"ENSTROM, TOBIAS",29.8,6.8
3956:56,10,51,29.7,216,"SPACEK, JAROSLAV",23.8,5.8
5301:00,9,64,29.6,260,"LYDMAN, TONI",25.5,4.2
5852:31,13,68,31.1,315,"ODUYA, JOHNNY",25.1,5.9
4261:36,69,132,70.2,582,"MOULSON, MATT",33.5,36.7
3493:29,10,49,35.0,235,"MCCABE, BRYAN",27.9,7.1
3607:01,44,112,70.9,404,"HANSEN, JANNIK",43.0,27.8
4132:38,11,48,34.5,265,"GERVAIS, BRUNO",26.6,7.9
4952:41,23,66,34.6,432,"BOGOSIAN, ZACH",22.5,12.0
5090:36,67,156,70.0,675,"BACKES, DAVID",39.9,30.0
4441:24,7,35,28.0,183,"SALVADOR, BRYCE",22.4,5.6
5112:47,16,102,38.5,474,"LETANG, KRIS",32.5,6.0
4540:47,55,125,75.8,537,"SIMMONDS, WAYNE",42.4,33.3
3570:01,9,33,25.4,125,"SKRASTINS, KARLIS",18.5,6.9
4873:01,71,166,69.5,675,"WHEELER, BLAKE",39.7,29.7
4221:03,52,126,66.7,670,"STAFFORD, DREW",39.2,27.5
4341:34,6,45,28.5,229,"ALLEN, BRYAN",24.7,3.8
4826:00,62,174,78.7,609,"RICHARDS, BRAD",50.7,28.1
3804:05,27,84,65.6,429,"FIDDLER, VERNON",44.5,21.1
6903:04,19,70,29.8,387,"BOUWMEESTER, JAY",21.7,8.1
5213:04,27,86,36.0,333,"VISNOVSKY, LUBOMIR",24.7,11.3
5540:06,18,61,32.8,355,"JOHNSON, JACK",23.1,9.7
3461:21,6,34,24.1,141,"ALBERTS, ANDREW",19.9,4.3
5806:59,16,59,26.8,340,"TYUTIN, FEDOR",19.5,7.3
5065:54,20,51,24.5,314,"BREWER, ERIC",14.9,9.6
3037:51,49,101,71.1,371,"POULIOT, BENOIT",36.6,34.5
4159:19,84,161,80.1,667,"GABORIK, MARIAN",38.3,41.8
5284:02,13,65,32.5,305,"HAMRLIK, ROMAN",26.0,6.5
5034:55,97,186,78.8,913,"NASH, RICK",37.7,41.1
5630:02,4,37,19.3,263,"REGEHR, ROBYN",17.2,2.1
3717:10,56,125,71.0,524,"BRIERE, DANIEL",39.2,31.8
5053:04,52,131,67.9,682,"JOKINEN, OLLI",40.9,26.9
4222:34,33,100,69.0,464,"WARD, JOEL",46.2,22.8
5908:15,19,79,32.8,377,"DALEY, TREVOR",24.9,7.9
5113:14,18,78,35.8,410,"BIEKSA, KEVIN",27.5,8.3
3647:00,35,83,65.9,450,"MIETTINEN, ANTTI",38.1,27.8
6682:52,21,104,34.0,647,"CHARA, ZDENO",27.1,6.9
4748:09,13,62,31.6,254,"SEKERA, ANDREJ",25.0,6.6
3499:01,39,90,70.9,295,"WELLWOOD, KYLE",40.2,30.7
5074:26,97,186,71.0,750,"RYAN, BOBBY",34.0,37.0
4441:28,68,133,70.4,616,"CAMMALLERI, MIKE",34.4,36.0
3154:39,44,101,73.7,552,"PACIORETTY, MAX",41.6,32.1
5203:01,11,50,29.6,317,"MORRIS, DEREK",23.1,6.5
5002:10,10,64,39.5,263,"ZIDLICKY, MAREK",33.3,6.2
5523:26,7,63,29.6,312,"HAINSEY, RON",26.3,3.3
3720:32,14,59,37.8,324,"PIETRANGELO, ALEX",28.8,9.0
4153:32,4,29,19.6,185,"WHITE, COLIN",16.9,2.7
4034:34,7,36,25.0,162,"MACDONALD, ANDREW",20.1,4.9
4061:01,13,49,32.5,255,"RUSSELL, KRIS",23.8,8.6
4751:35,57,114,65.1,579,"FISHER, MIKE",32.6,32.6
3752:44,38,109,66.9,384,"BRASSARD, DERICK",43.6,23.3
4138:46,17,62,34.6,233,"MYERS, TYLER",25.1,9.5
4449:54,8,65,41.4,324,"WISNIEWSKI, JAMES",36.3,5.1
3995:10,63,128,66.3,665,"FRANZEN, JOHAN",33.7,32.6
4423:44,59,161,82.1,576,"ELIAS, PATRIK",52.0,30.1
3686:39,45,124,78.0,459,"WOLSKI, WOJTEK",49.7,28.3
3301:27,34,99,69.2,334,"PARENTEAU, PIERRE",45.5,23.8
6242:38,16,76,30.5,439,"WIDEMAN, DENNIS",24.1,6.4
3653:47,44,103,75.7,664,"BLAKE, JASON",43.4,32.4
4481:32,11,60,33.0,333,"MESZAROS, ANDREJ",26.9,6.0
3154:31,12,59,46.5,242,"SHATTENKIRK, KEVIN",37.0,9.4
4902:58,4,49,31.0,169,"WEAVER, MIKE",28.5,2.5
5296:12,72,190,79.2,578,"ERIKSSON, LOUI",49.2,30.0
4111:34,65,151,68.0,498,"HORTON, NATHAN",38.7,29.3
3421:26,3,31,24.8,145,"MOTTAU, MIKE",22.4,2.4
4024:49,49,90,59.6,473,"PYATT, TAYLOR",27.2,32.5
4751:46,64,186,75.9,594,"DATSYUK, PAVEL",49.8,26.1
3438:16,7,35,28.7,276,"JURCINA, MILAN",23.0,5.7
4391:17,26,87,39.4,376,"GREEN, MIKE",27.6,11.8
4495:16,68,165,72.4,459,"LUCIC, MILAN",42.5,29.8
4141:24,48,124,67.4,476,"BERTUZZI, TODD",41.3,26.1
4736:49,13,54,31.4,233,"BALLARD, KEITH",23.8,7.6
4857:24,50,125,69.4,510,"LEGWAND, DAVID",41.7,27.8
4575:24,49,113,71.1,711,"CALLAHAN, RYAN",40.3,30.8
