Name,oRAR,WAR,G,Rbaser,PA,Rfield,waaWL%,Age
Bill Joyce*,63,4.1,127,-1,596,-14,.517,27
Jake Hewitt*,-1,-0.1,4,0,6,0,.486,25
Jack Doyle,16,1.4,82,3,345,-1,.503,25
Jimmy Collins,13,1.7,107,-1,462,4,.501,25
Marty Hogan,-1,-0.1,5,0,23,0,.468,25
Dick Buckley,-0,0.1,38,-0,130,0,.491,36
Harry Truby?,4,0.3,33,-1,135,-2,.495,27
Jack Crooks,30,2.6,118,1,506,-1,.508,29
Gus Weyhing,-2,-0.2,31,-0,108,0,.495,28
Chippy McGarr,-8,-0.1,113,-1,472,3,.485,32
Buck Ewing,22,2.1,105,2,467,1,.505,35
Fred Pfeffer,1,-0.2,11,-0,50,-4,.467,35
Gussie Gannon*,-1,-0.1,1,0,2,0,.443,21
Kid Gleason#,13,1.1,112,-1,465,-3,.496,28
George Treadway*,1,0.0,87,-1,380,-4,.486,28
Ed Doheny*,-1,-0.1,3,0,11,0,.475,21
George Van Haltren*,42,3.2,131,-1,587,-6,.509,29
Arlie Pond,0,0.0,7,0,6,0,.505,22
Denny Lyons,7,0.2,34,-0,151,-6,.490,29
Tom Parrott,21,1.4,64,-0,218,-2,.522,27
Deke White#,-1,-0.1,3,0,9,0,.465,22
Jack Clements*,54,4.7,88,-0,355,4,.540,30
Bill Hassamaer?,-12,-1.1,109,-1,496,-5,.475,30
Monte McFarland,-2,-0.1,2,0,8,0,.440,22
Bid McPhee,30,2.7,115,-1,520,1,.509,35
Carlton Molesworth*,-1,-0.1,4,0,7,0,.476,19
Art Madison,3,0.2,11,0,36,-1,.502,24
Ike Samuels,-4,-0.6,24,0,83,-4,.465,21
King Bailey*,1,0.1,1,0,4,0,.568,24
Joe Otten?,-5,-0.2,26,-0,93,1,.479,24
Tub Welch?,-1,-0.2,47,-0,169,-3,.484,28
Lave Cross,1,2.0,125,-1,589,19,.501,29
Bert Cunningham,7,0.5,32,0,109,0,.517,29
Biff Sheehan*,8,0.4,52,-1,207,-5,.494,27
Joe Quinn,20,1.4,135,-2,602,-7,.496,30
Larry Battam?,1,0.0,2,0,6,0,.512,19
Fred Buckingham?,-0,-0.0,1,0,1,0,.472,19
Joe Fagin?,0,-0.1,1,0,4,-1,.422,--
Cap Anson,26,2.1,122,-2,545,-4,.502,43
John Anderson#,7,0.7,103,1,441,-1,.493,21
Phil Knell,-4,-0.3,30,0,85,0,.489,30
Duke Farrell#,18,1.6,90,-1,357,0,.505,28
Bert Inks*,1,0.1,28,0,91,0,.502,24
Morgan Murphy,0,0.1,25,0,94,0,.491,28
Ad Gumbert,13,1.0,34,0,105,0,.529,27
Jouett Meekin,4,0.3,31,-0,100,0,.510,28
Walt Preston*,6,0.2,50,-0,225,-6,.488,27
Frank Killen*,4,0.3,14,-0,45,0,.525,24
Tom Gettinger*,-6,-0.5,63,-1,275,-2,.478,26
Henry Lampe,-2,-0.1,7,0,18,0,.483,22
Scoops Carey,-14,-0.9,123,0,532,-2,.478,24
Eddie O'Meara,0,0.0,1,0,2,0,.505,22
Doggie Miller,6,0.1,122,-2,526,-10,.486,30
Monte Cross,13,0.8,109,4,444,-7,.494,25
Billy Shindle,17,2.4,117,-2,545,9,.505,34
Bones Ely,-10,-0.6,118,1,503,-2,.481,32
George Meakim,0,0.0,1,0,3,0,.502,29
George Borchers#,0,0.0,1,0,0,0,.500,26
Pat Luby*,6,0.5,19,-0,65,0,.526,26
Mike Trost?,-2,-0.2,3,0,12,0,.420,29
George Davis#,52,4.5,110,4,490,2,.526,24
Willie Keeler*,48,5.3,131,0,637,15,.525,23
Joe Woerlin?,0,0.0,1,0,4,0,.495,30
Walt Wilmot#,-9,-0.3,108,1,506,0,.482,31
Sandy McDougal,-0,-0.0,1,0,1,0,.481,21
Joe Harrington,2,0.2,18,-0,75,0,.497,25
Mike Sullivan*,-2,-0.2,4,0,15,0,.455,28
Ed Stein,2,0.2,32,0,115,0,.505,25
Oyster Burns,-0,-0.2,53,1,215,-4,.483,30
Bill McCauley?,-1,-0.0,1,0,2,0,.451,25
John Corcoran,-3,-0.2,6,0,20,0,.452,22
Bill Hallman,14,1.7,124,-2,592,3,.499,28
