BPG,SPG,FTA,3PM,PF,ORB,FT%
1.6,7.2,23.3,6.4,17.5,10.8,0.685
3.7,5.9,20.0,7.0,18.0,10.6,0.702
2.6,12.2,19.0,8.4,17.1,9.0,0.749
2.0,7.0,20.5,7.6,20.2,9.5,0.742
2.6,7.2,23.0,6.0,20.2,11.0,0.703
1.8,6.3,20.4,7.3,20.4,8.6,0.772
2.6,5.6,21.4,9.2,19.4,11.0,0.636
1.7,7.6,18.8,10.4,18.9,8.9,0.776
2.5,5.6,19.2,8.1,19.1,8.8,0.653
3.2,5.4,19.3,7.7,16.7,9.8,0.753
3.4,8.2,17.2,7.5,17.2,12.5,0.735
2.3,8.5,21.7,6.3,22.3,8.8,0.783
1.4,8.9,19.0,6.6,19.3,9.6,0.709
2.2,6.8,23.7,6.4,20.3,10.3,0.723
2.8,5.1,20.8,5.6,15.3,7.8,0.649
1.2,7.5,18.8,7.3,21.6,8.4,0.729
3.5,8.0,18.8,7.3,23.2,10.3,0.689
3.0,6.8,20.6,8.9,20.2,10.9,0.608
3.6,8.0,19.9,7.0,18.6,9.4,0.702
4.6,7.2,34.3,8.0,23.0,12.5,0.695
3.3,7.5,21.0,7.8,20.3,9.6,0.743
1.8,7.0,19.7,7.1,21.3,8.0,0.768
3.0,6.2,19.9,8.2,19.2,11.7,0.709
2.9,8.8,17.9,8.4,26.1,8.9,0.742
2.2,7.2,19.5,5.3,18.3,10.2,0.651
1.8,7.7,23.0,5.1,21.2,9.0,0.672
3.0,5.0,24.0,8.0,20.0,28.0,0.75
2.1,8.5,23.8,5.6,22.5,7.4,0.72
3.9,9.1,20.8,5.4,21.4,11.3,0.619
3.3,9.7,22.6,5.6,20.0,8.4,0.715
3.7,5.2,28.7,6.7,25.2,14.5,0.697
1.7,6.2,19.0,6.8,19.5,9.2,0.758
1.9,6.6,19.8,7.5,23.4,9.4,0.726
4.0,7.3,21.4,6.0,20.6,9.8,0.673
2.3,6.3,20.2,6.4,18.6,7.1,0.735
2.9,7.0,15.1,4.4,22.1,14.2,0.546
1.2,7.8,12.8,7.2,16.8,10.5,0.725
3.6,5.6,19.8,6.5,23.7,9.5,0.709
5.1,11.9,26.3,10.6,17.6,15.6,0.721
3.1,9.0,20.5,8.4,19.5,10.0,0.733
3.0,6.2,21.6,7.2,16.7,9.6,0.683
2.8,10.4,17.1,7.2,20.3,9.9,0.704
2.7,6.4,18.5,8.7,21.5,9.0,0.746
1.4,6.6,24.8,5.8,18.0,11.2,0.653
2.8,5.7,18.3,6.6,22.1,9.7,0.697
1.0,8.2,11.8,3.2,19.2,8.5,0.702
1.6,5.7,16.0,7.1,20.8,9.3,0.693
1.0,6.9,19.5,7.9,23.0,9.0,0.687
2.6,7.8,23.6,4.1,21.5,9.2,0.703
2.1,7.6,20.3,7.8,20.2,8.7,0.794
1.3,6.8,22.0,8.4,20.0,8.5,0.714
2.3,5.6,15.1,6.2,16.3,9.5,0.68
2.2,10.7,18.3,8.5,17.2,11.8,0.732
2.8,8.7,19.1,8.3,23.5,9.0,0.801
3.2,6.2,20.3,5.4,19.9,9.0,0.705
3.5,5.9,21.8,6.2,21.3,9.0,0.725
1.9,10.1,18.9,9.4,19.1,8.2,0.783
2.5,5.6,21.3,7.8,20.6,8.5,0.717
1.4,7.6,22.5,7.5,19.0,9.2,0.786
2.5,9.4,22.9,8.0,20.4,8.7,0.73
2.5,8.4,21.1,7.3,22.0,9.8,0.691
1.9,6.8,16.3,5.6,17.2,11.4,0.603
4.8,7.8,24.2,7.9,20.2,10.1,0.77
1.4,8.8,20.3,6.5,20.5,8.7,0.762
3.1,8.6,19.8,6.4,19.3,10.2,0.624
1.3,6.0,25.4,5.9,22.8,9.8,0.65
2.3,9.1,16.7,6.0,22.7,10.5,0.713
2.5,7.8,22.9,5.9,21.5,9.7,0.682
1.8,8.2,20.9,5.1,19.8,9.7,0.618
1.7,8.8,21.1,6.5,19.2,8.6,0.778
2.0,6.5,19.9,7.8,19.2,10.9,0.743
3.4,6.2,19.7,7.1,22.6,9.8,0.735
2.8,4.9,23.7,7.1,22.8,11.7,0.709
3.2,9.5,24.5,5.3,23.2,14.9,0.645
2.7,8.5,24.4,5.7,21.3,10.3,0.727
5.2,6.8,18.9,5.1,21.7,9.3,0.709
3.3,7.5,23.2,5.9,24.0,9.9,0.713
2.2,6.9,19.0,5.3,14.3,10.2,0.765
1.9,6.0,19.7,6.9,20.6,10.4,0.704
1.9,8.4,21.6,8.1,23.9,9.4,0.728
2.3,4.9,19.1,7.7,20.9,8.6,0.774
1.8,7.8,25.8,7.2,22.0,14.5,0.678
2.5,8.0,18.8,3.8,19.0,7.8,0.56
2.5,7.9,20.2,5.8,21.8,12.3,0.66
5.3,8.3,14.7,5.3,21.7,9.0,0.705
2.7,8.5,14.7,10.0,20.5,8.9,0.764
3.3,7.7,17.8,7.2,22.5,9.1,0.711
1.0,9.0,20.0,7.3,18.7,13.0,0.683
1.7,7.5,25.8,6.0,22.8,8.8,0.722
2.7,10.4,23.3,6.5,21.0,10.2,0.695
1.3,5.9,18.4,5.9,17.8,6.5,0.698
2.9,6.0,27.4,8.9,23.9,14.4,0.692
1.5,5.7,18.1,7.4,20.3,7.8,0.68
1.5,6.3,22.8,8.2,19.9,9.1,0.722
3.4,7.3,20.4,8.7,20.1,11.3,0.713
2.0,6.7,16.7,8.4,19.3,7.8,0.78
2.9,7.2,16.8,7.8,19.1,7.4,0.721
2.3,5.7,26.0,2.3,18.7,8.0,0.577
1.8,7.7,21.2,6.3,17.1,10.0,0.711
3.5,6.0,18.5,8.5,21.3,8.3,0.68
1.6,7.2,18.6,8.4,23.4,9.3,0.716
2.6,5.5,20.5,4.5,20.6,10.4,0.717
2.9,6.0,18.9,7.4,20.8,9.2,0.744
1.7,9.7,20.3,5.3,21.7,10.3,0.705
2.5,5.5,19.1,9.1,18.7,10.7,0.721
1.8,7.5,23.0,6.4,22.5,9.0,0.756
3.1,6.3,16.1,6.1,18.0,9.1,0.728
2.8,6.7,23.4,4.5,21.9,8.9,0.656
3.2,6.5,20.0,8.2,19.9,8.6,0.815
2.1,6.8,20.7,8.0,19.2,9.2,0.774
2.6,6.0,22.7,9.1,20.7,9.8,0.76
2.1,6.6,24.1,6.9,21.9,8.9,0.74
3.6,7.4,20.0,2.6,16.2,10.8,0.65
2.9,7.8,29.3,8.2,21.6,14.7,0.692
2.2,5.7,21.8,7.0,22.2,7.2,0.721
3.9,6.8,14.7,6.6,18.3,8.1,0.706
1.9,4.8,18.2,9.8,17.5,8.2,0.668
1.6,8.2,22.1,7.3,21.6,8.1,0.784
2.6,6.1,20.4,4.9,17.8,7.9,0.706
4.6,11.2,21.8,9.9,20.1,17.1,0.642
4.9,11.0,28.3,8.2,23.3,13.2,0.755
2.4,8.5,24.4,6.8,22.1,10.8,0.738
3.4,6.7,19.8,8.8,22.4,7.4,0.753
3.6,11.8,19.4,5.7,19.9,10.9,0.632
2.0,7.2,24.3,5.8,24.2,10.5,0.68
2.6,7.3,18.3,6.8,20.1,10.6,0.718
1.2,5.9,20.9,8.4,17.6,8.0,0.727
1.7,7.8,23.6,7.5,20.5,9.6,0.68
2.9,6.7,17.0,9.4,20.0,8.2,0.738
1.4,7.0,23.8,8.5,19.2,9.0,0.731
3.0,7.0,21.9,8.3,18.6,8.8,0.665
2.0,10.9,16.3,7.6,19.9,13.1,0.623
1.9,7.6,20.7,6.8,20.1,8.9,0.686
1.9,7.9,21.9,5.7,23.0,8.3,0.703
1.3,6.5,21.1,8.5,18.8,9.1,0.789
3.6,7.1,20.3,5.7,20.2,9.7,0.668
3.7,10.7,23.2,6.8,19.2,9.9,0.661
1.1,8.2,15.5,5.7,22.5,8.7,0.76
2.1,10.6,19.9,7.9,20.6,10.2,0.734
2.2,10.2,23.2,12.0,23.5,9.5,0.753
4.1,7.4,18.8,8.6,23.4,8.0,0.782
0.9,7.2,20.6,4.9,21.4,9.4,0.638
1.9,9.4,14.8,6.5,20.8,8.9,0.69
2.2,5.3,21.0,5.7,21.4,8.0,0.712
2.2,8.1,19.5,6.8,22.7,9.8,0.749
3.0,5.2,19.1,6.8,18.4,9.2,0.704
1.3,6.3,27.7,5.3,21.3,9.0,0.59
0.9,10.1,20.0,6.1,19.0,9.7,0.687
2.3,7.1,17.0,5.9,22.2,9.0,0.686
1.2,5.8,22.9,6.8,20.5,8.5,0.755
2.3,10.8,23.7,5.8,21.6,11.4,0.621
3.7,6.6,19.9,6.7,18.5,10.0,0.669
2.8,5.0,17.6,6.7,18.7,11.5,0.709
1.5,7.7,22.0,6.9,24.6,8.5,0.7
2.3,8.2,24.1,5.9,22.9,8.9,0.663
1.9,7.3,22.9,6.7,22.7,9.1,0.734
2.6,6.4,26.6,7.1,22.4,8.9,0.742
3.0,8.7,17.1,8.1,20.9,9.6,0.742
1.3,6.2,17.4,5.8,16.7,9.1,0.736
4.4,7.0,22.8,4.7,16.3,12.6,0.646
1.8,5.8,22.3,5.8,18.4,13.3,0.761
2.3,8.3,18.7,7.2,18.3,9.0,0.707
3.1,10.0,20.4,7.9,18.6,11.1,0.722
3.2,7.3,20.0,9.1,18.8,10.4,0.796
2.8,7.0,16.8,6.1,18.3,10.6,0.636
5.0,13.0,29.0,0.0,0.0,16.0,0.793
1.6,5.6,17.1,7.6,16.8,8.7,0.787
1.9,7.0,17.5,7.6,21.1,10.6,0.713
1.3,8.1,21.2,4.9,19.2,10.8,0.538
4.1,11.2,20.1,6.6,19.9,11.9,0.651
1.6,7.8,23.1,5.5,20.1,8.3,0.74
3.0,6.8,18.2,4.0,19.5,7.2,0.658
1.2,8.1,17.0,7.1,21.8,7.3,0.782
1.9,6.9,19.0,6.9,22.4,10.2,0.647
1.9,8.0,19.3,8.2,23.1,8.6,0.767
4.6,5.0,19.9,5.6,16.5,9.8,0.712
1.9,5.6,22.0,9.0,19.0,6.2,0.766
3.6,7.6,29.0,9.9,22.3,11.9,0.716
2.7,9.0,19.4,7.5,21.6,7.4,0.714
1.7,6.1,22.8,6.6,22.2,9.6,0.703
1.9,6.2,20.3,8.3,16.7,10.3,0.706
2.7,9.9,22.5,8.4,23.0,11.8,0.718
1.9,8.3,18.5,7.5,21.2,6.3,0.658
2.1,5.9,18.5,6.2,23.8,8.2,0.726
3.2,7.9,22.9,7.8,18.9,11.1,0.744
5.2,7.0,23.4,6.9,23.6,12.4,0.692
2.0,7.2,22.6,5.0,21.9,7.2,0.717
4.0,7.5,18.5,5.5,18.7,9.7,0.758
3.9,7.3,24.6,5.8,19.4,11.5,0.712
1.7,9.5,18.5,6.8,22.5,10.7,0.71
2.7,8.7,20.2,5.2,16.4,10.9,0.7
4.3,5.7,21.8,8.5,18.9,11.2,0.75
2.5,6.1,21.6,7.8,18.7,9.0,0.73
3.9,6.7,19.7,6.0,20.7,11.0,0.754
4.5,5.5,27.5,6.9,24.6,14.2,0.696
2.5,6.5,28.5,8.5,27.0,10.5,0.807
2.2,7.7,20.1,7.1,22.1,7.9,0.783
2.6,8.3,18.3,5.5,19.9,11.6,0.562
2.5,7.1,18.3,8.0,20.8,9.1,0.778
1.9,6.6,19.3,7.6,18.7,9.2,0.727
1.3,9.0,15.3,5.6,22.0,7.6,0.748
2.2,8.3,26.4,5.4,28.0,10.3,0.732
1.2,6.7,19.1,5.3,23.9,7.8,0.669
1.7,7.6,18.3,7.5,22.6,6.7,0.762
1.8,7.0,19.1,7.8,20.4,7.7,0.74
3.8,8.0,22.3,5.5,22.1,10.0,0.666
2.1,10.7,19.9,6.1,23.4,10.5,0.648
1.8,8.3,22.3,6.1,20.9,12.4,0.687
1.3,7.4,24.7,7.9,24.5,10.0,0.696
1.6,5.2,16.9,7.4,19.3,8.2,0.684
2.6,6.3,20.0,7.3,18.5,9.3,0.688
1.5,8.7,19.4,7.1,20.6,7.6,0.732
2.4,15.1,20.1,5.9,20.9,7.9,0.701
1.5,5.7,17.6,5.3,20.5,8.8,0.7
2.9,6.3,21.0,9.0,19.9,9.7,0.717
1.6,6.5,20.5,5.4,19.3,7.2,0.693
1.6,8.5,20.1,9.0,19.1,10.8,0.673
2.0,5.6,28.8,6.6,22.6,11.3,0.688
4.6,9.9,27.2,7.0,21.6,11.1,0.679
2.5,7.1,17.6,6.1,17.2,9.5,0.692
2.0,7.5,23.3,7.3,14.3,12.8,0.679
1.6,6.7,21.9,6.6,22.4,10.3,0.745
2.0,7.9,21.8,8.4,21.5,8.6,0.735
0.7,7.7,21.0,8.6,19.0,8.7,0.77
1.8,7.0,19.3,7.2,18.5,7.5,0.693
2.6,6.8,17.2,6.6,20.5,8.5,0.704
1.9,5.0,20.9,7.4,20.7,7.9,0.718
2.1,6.0,23.3,6.5,21.2,12.2,0.704
1.5,7.9,19.3,7.9,20.8,8.9,0.675
2.2,11.2,17.9,6.2,19.0,11.9,0.689
1.4,5.9,22.1,7.2,19.8,8.4,0.651
3.0,5.7,27.6,5.4,24.8,15.4,0.643
4.0,12.4,18.8,10.4,20.8,18.8,0.606
2.2,12.5,20.0,3.5,23.0,11.8,0.688
3.4,7.1,19.6,10.3,17.0,15.5,0.741
4.2,7.8,18.4,6.9,19.7,12.2,0.646
1.8,7.0,21.2,5.5,20.1,7.0,0.665
2.2,8.9,19.0,8.3,19.9,9.1,0.743
4.8,11.2,15.5,6.2,20.2,13.2,0.597
2.3,8.4,19.6,4.7,19.8,14.3,0.704
4.3,11.0,16.7,3.0,21.7,8.3,0.72
3.4,9.3,20.0,7.2,20.6,10.1,0.683
2.7,6.3,20.9,7.0,19.1,10.7,0.725
0.9,5.7,16.4,7.3,20.4,8.1,0.733
2.3,7.5,23.4,7.7,23.8,9.3,0.736
2.9,6.5,18.1,9.5,21.9,8.3,0.758
2.1,5.8,18.8,7.5,21.6,7.8,0.706
3.1,9.3,21.1,4.4,21.5,7.0,0.683
2.6,8.9,22.5,8.5,19.1,9.8,0.718
2.2,6.9,20.6,7.2,23.2,12.0,0.606
3.6,10.2,23.2,6.7,17.9,10.2,0.696
2.9,6.9,13.7,5.4,21.0,10.6,0.721
2.4,9.4,25.9,6.1,20.3,8.2,0.667
2.1,8.3,23.4,9.5,18.5,8.8,0.738
1.3,6.7,18.6,6.3,19.7,8.8,0.718
2.8,6.6,17.8,5.1,19.9,6.6,0.627
3.0,9.4,26.8,9.4,21.1,14.0,0.692
2.0,6.2,19.7,7.6,23.3,8.1,0.75
2.3,7.2,21.0,6.7,22.2,10.6,0.718
2.8,9.3,26.6,7.6,21.3,10.0,0.736
2.4,7.3,20.1,8.0,22.1,9.2,0.731
2.3,6.1,22.1,5.5,16.9,9.0,0.747
4.9,9.6,27.6,5.7,25.3,15.1,0.709
2.8,6.6,23.3,3.7,19.6,13.4,0.733
3.8,9.0,25.4,6.7,22.3,9.6,0.724
2.5,6.7,22.1,6.5,22.5,7.5,0.715
2.5,9.4,22.9,6.8,20.9,10.9,0.607
2.2,5.6,19.3,5.9,21.5,9.4,0.784
1.9,8.0,21.7,6.0,19.8,9.0,0.683
2.0,6.5,24.1,5.4,21.8,9.9,0.724
2.4,7.4,17.8,6.8,20.8,9.5,0.688
2.6,5.6,22.5,8.4,19.2,12.3,0.722
5.0,7.3,28.1,7.2,24.5,9.5,0.667
