OBP,OPS,RBI,HR,AB,Team,SF,CS,Player Name,BB
0.237,0.429,2,1,52,BOS,0,0,"Craig, Allen",5
0.295,0.602,11,0,114,PHI,0,1,"Brown, Domonic",8
0.355,0.737,43,10,317,CLE,3,1,"Santana, Carlos",64
0.295,0.579,14,1,222,MIA,2,5,"Suzuki, Ichiro",17
0.303,0.663,24,6,272,CHC,0,3,"Russell, Addison",26
0.304,0.622,13,4,157,ATL,2,1,"Gomes, Jonny",22
0.311,0.718,45,12,327,TEX,4,1,"Choo, Shin-Soo",33
0.286,0.726,6,1,25,PIT,0,0,"Ishikawa, Travis",3
0.4,0.9,5,1,48,TB,1,0,"Jaso, John",6
0.355,0.83,41,10,318,SF,2,2,"Belt, Brandon",36
0.31,0.707,38,8,345,OAK,1,1,"Lawrie, Brett",15
0.406,0.92,58,15,368,TEX,3,0,"Fielder, Prince",37
0.278,0.528,1,0,16,ARI,0,0,"Hernandez, Oscar",2
0.306,0.817,7,3,45,SEA,1,0,"Gutierrez, Franklin",3
0.257,0.532,25,4,218,PHI,6,0,"Utley, Chase",21
0.325,0.761,24,4,218,DET,1,0,"McCann, James",11
0.203,0.348,4,0,55,TB,0,0,"Wilson, Bobby",4
0.266,0.507,3,2,54,NYM,0,0,"Recker, Anthony",9
0.329,0.703,13,1,131,CHC,1,1,"Denorfia, Chris",7
0.345,0.774,23,10,280,CHC,0,1,"Coghlan, Chris",37
0.353,0.831,52,12,318,COL,3,0,"Tulowitzki, Troy",24
0.25,0.52,5,0,89,COL,0,0,"Ynoa, Rafael",3
0.259,0.633,15,4,99,MIL,2,1,"Herrera, Elian",7
0.239,0.52,8,1,64,MIN,0,0,"Herrmann, Chris",6
0.194,0.368,4,0,69,SEA,0,1,"Bloomquist, Willie",2
0.239,0.55,24,9,280,SEA,2,1,"Zunino, Mike",18
0.271,0.615,27,6,244,BAL,2,0,"Hardy, J.J.",12
0.42,0.94,48,18,346,CIN,1,2,"Votto, Joey",68
0.328,0.724,35,6,283,NYM,1,2,"Murphy, Daniel",22
0.337,0.729,32,10,217,CHC,2,0,"Montero, Miguel",33
0.389,0.722,0,0,15,LAD,0,0,"Barnes, Austin",2
0.288,0.663,8,3,72,MIA,0,0,"Baker, Jeff",8
0.393,0.893,3,1,24,ATL,0,0,"Lavarnway, Ryan",4
0.25,0.479,4,0,96,BAL,2,0,"Cabrera, Everth",5
0.306,0.601,4,0,78,KC,0,1,"Colon, Christian",7
0.301,0.644,7,3,102,TEX,0,4,"Rosales, Adam",10
0.306,0.5,3,0,31,TOR,0,0,"Saunders, Michael",5
0.31,0.783,27,11,222,NYY,0,1,"Young, Chris",15
0.306,0.696,30,7,200,BAL,1,0,"Joseph, Caleb",19
0.111,0.222,0,0,9,SF,0,0,"Parker, Jarrett",0
0.444,1.027,6,1,24,CLE,0,0,"Sands, Jerry",3
0.296,0.652,23,5,295,SEA,1,8,"Jackson, Austin",17
0.462,1.065,74,21,345,ARI,5,4,"Goldschmidt, Paul",79
0.28,0.669,29,4,211,MIN,3,3,"Escobar, Eduardo",9
0.36,0.711,6,0,74,WAS,2,2,"Rendon, Anthony",9
0.335,0.744,20,2,159,ARI,0,1,"Lamb, Jake",13
0.37,0.773,39,4,347,COL,0,3,"LeMahieu, DJ",31
0.143,0.295,4,0,46,MIA,2,0,"Mathis, Jeff",1
0.227,0.545,9,3,110,NYM,0,0,"Mayberry, John",9
0.365,0.865,58,16,316,MIL,2,0,"Lind, Adam",40
0.291,0.65,6,2,78,SD,0,2,"Upton Jr., Melvin",8
0.315,0.772,55,14,357,MIN,2,0,"Plouffe, Trevor",31
0.246,0.543,13,2,128,LAA,1,0,"Perez, Carlos",5
0.297,0.678,43,16,299,HOU,4,1,"Carter, Chris",45
0.295,0.725,22,7,214,HOU,0,2,"Gonzalez, Marwin",8
0.246,0.598,9,2,54,PIT,1,0,"Hart, Corey",1
0.339,0.792,65,12,358,KC,2,0,"Morales, Kendrys",27
0.21,0.499,24,5,239,TB,2,0,"Rivera, Rene",9
0.319,0.663,4,1,61,ARI,1,0,"Saltalamacchia, Jarrod",9
0.302,0.76,34,13,253,HOU,2,1,"Rasmus, Colby",25
0.339,0.766,40,14,347,NYM,2,1,"Duda, Lucas",43
0.333,0.754,3,0,19,NYY,0,0,"Ryan, Brendan",1
0.25,0.393,0,0,7,DET,0,0,"Machado, Dixon",1
0.277,0.696,17,4,148,KC,0,1,"Orlando, Paulo",5
0.284,0.644,7,2,89,MIL,0,0,"Rogers, Jason",5
0.327,0.75,22,6,194,LAD,1,2,"Puig, Yasiel",20
0.267,0.635,21,5,228,HOU,3,4,"Marisnick, Jake",10
0.354,0.738,8,3,112,CIN,1,1,"Barnhart, Tucker",14
0.32,0.666,34,2,358,LAA,4,4,"Aybar, Erick",20
0.232,0.535,4,1,66,NYY,1,0,"Pirela, Jose",2
0.241,0.586,19,4,177,CLE,2,1,"Chisenhall, Lonnie",7
0.217,0.62,4,3,67,TEX,0,0,"Rua, Ryan",2
0.232,0.381,2,0,74,STL,0,0,"Kozma, Pete",7
0.229,0.502,5,0,77,ATL,0,0,"Young Jr., Eric",6
0.331,0.902,67,27,380,CIN,4,4,"Frazier, Todd",28
0.356,0.837,15,5,104,ARI,0,0,"Castillo, Welington",12
0.264,0.628,10,0,88,ATL,2,1,"Ciriaco, Pedro",0
0.273,0.673,2,0,10,OAK,0,0,"Ladendorf, Tyler",1
0.298,0.682,15,4,138,PHI,2,0,"Ruf, Darin",8
0.455,1.0,1,0,11,BAL,0,0,"Clevenger, Steve",0
0.371,0.795,4,1,33,NYM,0,0,"Wright, David",2
0.173,0.24,0,0,45,OAK,0,0,"Crisp, Coco",7
0.333,0.666,8,2,66,ARI,2,0,"Pacheco, Jordan",9
0.362,0.73,15,3,209,NYY,2,6,"Ellsbury, Jacoby",21
0.368,0.884,41,12,258,ATL,1,1,"Freeman, Freddie",27
0.313,0.697,22,4,305,PIT,2,4,"Harrison, Josh",11
0.316,0.704,28,8,286,SEA,3,1,"Miller, Brad",33
0.277,0.591,12,4,159,MIA,0,0,"Morse, Mike",12
0.261,0.783,3,1,23,CIN,0,0,"Dominguez, Chris",0
0.453,1.12,11,3,48,CHC,0,1,"Schwarber, Kyle",5
0.283,0.654,39,8,275,WAS,1,3,"Taylor, Michael",17
0.308,0.726,21,4,225,MIN,1,5,"Rosario, Eddie",8
0.32,0.774,39,10,284,BAL,2,2,"Paredes, Jimmy",14
0.169,0.312,1,0,56,CIN,0,0,"Boesch, Brennan",3
0.303,0.58,18,3,148,NYM,2,2,"Campbell, Eric",25
0.365,0.822,29,13,276,HOU,2,3,"Springer, George",42
0.352,0.874,6,3,67,TEX,0,0,"Blanks, Kyle",4
0.247,0.435,7,0,64,BOS,1,0,"Nava, Daniel",7
0.208,0.435,1,0,22,LAA,0,1,"Nieuwenhuis, Kirk",2
0.247,0.438,3,0,89,BOS,0,0,"Leon, Sandy",7
0.345,0.661,11,0,231,CIN,1,0,"Pena, Brayan",21
0.316,0.787,28,9,153,TOR,0,0,"Smoak, Justin",18
0.254,0.552,16,2,114,COL,0,2,"Descalso, Daniel",8
0.272,0.589,11,2,101,TOR,4,0,"Navarro, Dioner",9
0.337,0.642,6,0,82,LAD,0,0,"Callaspo, Alberto",10
0.306,0.683,35,11,297,BOS,1,1,"Napoli, Mike",40
0.34,0.733,9,2,89,DET,1,5,"Romine, Andrew",7
0.224,0.443,3,0,64,STL,0,0,"Cruz, Tony",3
0.333,0.772,3,0,41,TOR,0,0,"Tolleson, Steve",4
0.267,0.641,22,4,139,WAS,1,0,"Moore, Tyler",10
0.353,0.941,3,1,17,NYY,0,0,"Heathcott, Slade",0
0.35,0.835,18,5,130,CIN,0,1,"Suarez, Eugenio",6
0.321,0.772,34,9,182,ATL,1,1,"Johnson, Kelly",13
0.294,0.691,33,15,290,TB,0,5,"Souza, Steven",34
0.346,0.745,47,8,316,ATL,2,4,"Maybin, Cameron",31
0.333,0.691,8,0,106,PIT,1,0,"Stewart, Chris",5
0.25,0.45,0,0,15,BOS,0,0,"Shaw, Travis",1
0.378,0.935,7,5,79,MIA,0,0,"Dietrich, Derek",6
0.346,0.896,62,27,367,DET,1,1,"Martinez, J.D.",30
0.363,0.826,44,12,365,COL,4,7,"Blackmon, Charlie",32
0.345,0.691,2,0,26,TOR,0,0,"Thole, Josh",3
0.306,0.754,13,5,87,TEX,0,0,"Gallo, Joey",11
0.277,0.636,7,3,103,BAL,0,2,"De Aza, Alejandro",7
0.321,0.678,3,2,70,SEA,0,2,"Ruggiano, Justin",11
0.227,0.677,3,2,20,TB,0,2,"Mahtook, Mikie",2
0.19,0.38,0,0,21,LAA,0,1,"Butera, Drew",0
0.259,0.606,5,2,49,WAS,0,0,"den Dekker, Matt",5
0.329,0.761,56,13,370,LAA,3,1,"Calhoun, Kole",29
0.29,0.682,24,7,176,BAL,1,1,"Pearce, Steve",12
0.271,0.562,23,3,323,CIN,3,7,"Hamilton, Billy",20
0.299,0.745,18,5,112,TB,3,1,"Beckham, Tim",10
0.36,0.844,34,7,215,TOR,1,1,"Travis, Devon",18
0.39,0.891,67,14,335,SF,5,0,"Posey, Buster",36
0.308,0.558,1,0,12,HOU,0,0,"Presley, Alex",1
0.31,0.629,7,0,69,LAA,0,0,"Robertson, Dan",2
0.312,0.648,20,3,226,MIL,2,0,"Lucroy, Jonathan",21
0.324,0.696,26,9,360,CHC,2,5,"Fowler, Dexter",46
0.357,0.782,2,0,40,ATL,0,0,"Gosselin, Phil",2
0.35,0.854,28,5,127,SF,0,0,"Pence, Hunter",10
0.313,0.698,26,5,260,CHC,2,1,"Soler, Jorge",20
0.3,0.522,2,0,9,TEX,0,0,"Telis, Tomas",0
0.313,0.646,25,7,192,LAA,2,0,"Iannetta, Chris",33
0.187,0.416,5,1,70,LAA,1,1,"Featherston, Taylor",4
0.257,0.564,13,2,199,CWS,1,1,"Sanchez, Carlos",6
0.0,0.0,0,0,5,KC,0,0,"Coleman, Dusty",0
0.3,0.522,1,0,9,CLE,0,0,"Aguilar, Jesus",0
0.317,0.801,55,15,386,DET,4,4,"Cespedes, Yoenis",19
0.314,0.776,7,1,65,MIA,1,0,"Gillespie, Cole",4
0.327,0.724,21,8,358,CWS,0,4,"Eaton, Adam",33
0.282,0.589,7,1,137,PHI,1,0,"Rupp, Cameron",10
0.299,0.805,23,9,174,ARI,0,0,"Trumbo, Mark",10
0.256,0.57,34,4,347,CWS,6,3,"Ramirez, Alexei",13
0.292,0.642,9,2,123,CLE,0,0,"Urshela, Giovanny",6
0.351,0.89,68,24,388,TOR,5,0,"Donaldson, Josh",36
0.348,0.611,2,0,57,CHC,0,0,"Baxter, Mike",7
0.143,0.451,4,1,13,SD,0,0,"Nieves, Wil",1
0.397,0.873,38,6,380,CLE,6,5,"Kipnis, Jason",45
0.328,0.688,35,2,364,KC,3,4,"Escobar, Alcides",18
0.152,0.394,2,1,33,DET,0,0,"Krauss, Marc",0
0.338,0.873,17,4,71,NYM,1,0,"d'Arnaud, Travis",3
0.394,0.851,39,11,258,KC,3,4,"Gordon, Alex",39
0.209,0.423,2,0,42,KC,0,0,"Butera, Drew",0
0.217,0.548,7,1,124,MIL,0,0,"Gomez, Hector",3
0.315,0.751,46,10,381,BOS,4,4,"Betts, Mookie",30
0.185,0.395,5,0,62,MIA,0,0,"Solano, Donovan",1
0.26,0.544,6,1,74,BOS,0,0,"Castillo, Rusney",3
0.27,0.543,1,0,33,MIL,0,0,"Schafer, Logan",3
0.304,0.66,11,2,177,SD,3,2,"Spangenberg, Cory",14
0.271,0.667,12,1,48,DET,0,0,"Holaday, Bryan",0
0.317,0.685,7,1,95,HOU,1,2,"Villar, Jonathan",8
0.309,0.648,17,3,177,TB,2,4,"Loney, James",15
0.219,0.419,3,0,30,ARI,0,0,"Dorn, Danny",2
0.341,0.63,4,0,38,PIT,0,1,"Tabata, Jose",2
0.315,0.76,11,2,119,MIN,1,3,"Nunez, Eduardo",7
0.311,0.68,37,4,352,MIA,2,1,"Hechavarria, Adeiny",17
0.324,0.666,40,3,333,ATL,3,9,"Peterson, Jace",38
0.338,0.717,8,2,58,MIN,1,0,"Arcia, Oswaldo",4
0.0,0.0,0,0,7,PIT,0,0,"Ramirez, Aramis",0
0.194,0.527,5,1,36,SF,0,0,"Sanchez, Hector",0
0.332,0.845,55,21,378,MIN,6,3,"Dozier, Brian",38
0.208,0.556,4,1,23,DET,0,0,"Marte, Jefry",1
0.363,0.776,31,5,259,PIT,1,3,"Kang, Jung-Ho",20
0.283,0.702,8,3,86,TEX,0,0,"Hamilton, Josh",6
0.25,0.327,0,0,13,MIA,0,0,"Brignac, Reid",3
0.301,0.731,47,14,284,PIT,3,0,"Alvarez, Pedro",27
0.321,0.701,16,2,274,DET,0,6,"Gose, Anthony",19
0.237,0.599,3,1,58,LAD,0,0,"Crawford, Carl",1
0.333,0.891,36,11,224,STL,1,1,"Grichuk, Randal",15
0.171,0.436,1,1,34,ATL,0,0,"Terdoslavich, Joey",1
0.314,0.784,46,19,328,BOS,3,3,"Ramirez, Hanley",20
0.298,0.761,34,16,281,CIN,2,1,"Byrd, Marlon",20
0.367,0.797,22,5,237,WAS,2,0,"Span, Denard",24
0.291,0.616,21,4,302,NYY,2,2,"Gregorius, Didi",17
0.333,0.63,3,0,74,CWS,0,2,"Johnson, Micah",5
0.29,0.705,48,15,325,CLE,3,0,"Moss, Brandon",31
0.335,0.722,13,4,155,MIN,2,3,"Hicks, Aaron",15
0.333,0.784,56,19,337,TOR,6,2,"Encarnacion, Edwin",49
0.293,0.589,14,1,108,WAS,0,1,"Uggla, Dan",15
0.326,0.797,4,1,87,MIL,0,1,"Perez, Hernan",2
0.323,0.86,62,29,365,LAA,1,2,"Pujols, Albert",30
0.274,0.619,5,1,58,CHC,0,0,"Lake, Junior",4
0.583,1.25,3,0,9,NYM,0,0,"Conforto, Michael",2
